"Supplied Name","guid","scientificName","family","kingdom","family","sourceStatus","status","Introduced  Status"
"Cryptodus foveatus","urn:lsid:biodiversity.org.au:afd.taxon:406bcc0f-f9c4-413d-abec-cf7f044ba4c2","Cryptodus foveatus","Scarabaeidae",,,,"(not listed)","(not listed)"
"Uca capricornis","urn:lsid:biodiversity.org.au:afd.taxon:2d01ee9b-d9aa-4725-8213-2432af592936","Tubuca capricornis","Ocypodidae",,,,"(not listed)","(not listed)"
"Crotalaria cunninghamii  ","https://id.biodiversity.org.au/node/apni/2897979","Crotalaria cunninghamii","Fabaceae",,,,"Least Concern","Native to the N.T."
"Lactarius lactarius","urn:lsid:biodiversity.org.au:afd.taxon:01cd76c3-5035-4efb-90ae-7b31b0ea1fa1","Lactarius lactarius","Lactariidae",,,,"(not listed)","(not listed)"
"Jayella compressa","urn:lsid:biodiversity.org.au:afd.taxon:a9a48bda-58bf-419c-8364-5e2908e48310","Jayella compressa","Caecidae",,,,"(not listed)","Endemic to the N.T."
"Pseudorhynchus raggei","urn:lsid:biodiversity.org.au:afd.taxon:a462b947-93bd-48c6-8dc6-a6594f9380a0","Pseudorhynchus raggei","Tettigoniidae",,,,"(not listed)","Endemic to the N.T."
"Dimorphothynnus fulvicrus","urn:lsid:biodiversity.org.au:afd.taxon:ac4e28a6-4bb0-456d-85f7-befe22d21a55","Dimorphothynnus fulvicrus","Tiphiidae",,,,"(not listed)","Endemic to the N.T."
"Thyrsitoides marleyi","urn:lsid:biodiversity.org.au:afd.taxon:1fe7c39c-8221-46d3-a2a8-8e04634cb62a","Thyrsitoides marleyi","Gempylidae",,,,"(not listed)","(not listed)"
"Dandinus crassus","urn:lsid:biodiversity.org.au:afd.taxon:fb8672c3-0c5f-4b03-a093-6bbd486bab41","Dandinus crassus","Pentatomidae",,,,"(not listed)","(not listed)"
"Achaea serva","urn:lsid:biodiversity.org.au:afd.taxon:8d25f814-3f70-4b51-a956-d495f8980a59","Achaea serva","Erebidae",,,,"(not listed)","(not listed)"
"Cochlospermum fraseri subsp. heteronemum","https://id.biodiversity.org.au/node/apni/2902807","Cochlospermum fraseri subsp. heteronemum","Bixaceae",,,,"Least Concern","Native to the N.T."
"Amitermes arcuatus","urn:lsid:biodiversity.org.au:afd.taxon:3f2f0cf7-8c62-4d2f-a830-88e8fda3e8fd","Amitermes arcuatus","Termitidae",,,,"(not listed)","(not listed)"
"Thrips hawaiiensis","urn:lsid:biodiversity.org.au:afd.taxon:f71a9822-a01a-472d-aa74-ee33603a6f73","Thrips hawaiiensis","Thripidae",,,,"(not listed)","(not listed)"
"Eremophila goodwinii subsp. ecapitata","https://id.biodiversity.org.au/node/apni/2889073","Eremophila goodwinii subsp. ecapitata","Scrophulariaceae",,,,"Least Concern","Native to the N.T."
"Syrrhopodon spiculosus  ","https://id.biodiversity.org.au/node/ausmoss/10116618","Syrrhopodon spiculosus","Calymperaceae",,,,,"(not listed)"
"Huxleya linifolia  ","https://id.biodiversity.org.au/node/apni/2888904","Huxleya linifolia","Lamiaceae",,,,"Least Concern","Endemic to the N.T."
"Leptoclinides brandi","urn:lsid:biodiversity.org.au:afd.taxon:f6c634f1-8a5f-4703-93d9-72a1ea654a72","Leptoclinides brandi","Didemnidae",,,,"(not listed)","(not listed)"
"Bembix moma","urn:lsid:biodiversity.org.au:afd.taxon:2f2f37af-3046-422f-bc7a-a98de3f86544","Bembix moma","Crabronidae",,,,"(not listed)","(not listed)"
