id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,W A Taxon Id,status,sourceStatus,W A Status,W A Rank,E P B C Status,E P B C Desc,sensitivityZoneId,county,municipality,verbatimLocality,vernacular name,class,taxonRemarks
4036151,Inocybe torresiae,,Inocybe torresiae,https://id.biodiversity.org.au/taxon/fungi/60081804,dr2201,"[{'key': 'W A Taxon Id', 'value': '41484.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'WEST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'Beverley Springs Stn.'}]",41484.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,WEST KIMBERLEY,Beverley Springs Stn.,,,
4035860,Ipomoea trichosperma,,Ipomoea trichosperma,https://id.biodiversity.org.au/node/apni/2889573,dr2201,"[{'key': 'W A Taxon Id', 'value': '6640.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'South Maret Is., Cassini Is., Condillac Is., Osborn Is., Corneille Is.'}]",6640.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,EAST KIMBERLEY,"South Maret Is., Cassini Is., Condillac Is., Osborn Is., Corneille Is.",,,
4037735,Isotropis browniae,,Isotropis browniae,https://id.biodiversity.org.au/taxon/apni/51285660,dr2201,"[{'key': 'W A Taxon Id', 'value': '44733.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'Mornington Sanctuary, Wyndham'}]",44733.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,EAST KIMBERLEY,"Mornington Sanctuary, Wyndham",,,
4035723,Laportea interrupta,,Laportea interrupta,https://id.biodiversity.org.au/node/apni/2892153,dr2201,"[{'key': 'W A Taxon Id', 'value': '12653.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'Mt Elizabeth Stn., Beverley Springs Stn., Prince Regent N.R.'}]",12653.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,EAST KIMBERLEY,"Mt Elizabeth Stn., Beverley Springs Stn., Prince Regent N.R.",,,
4036567,Leptospermum madidum subsp. sativum,Weeping Tea Tree,Leptospermum madidum subsp. sativum,https://id.biodiversity.org.au/node/apni/2914118,dr2201,"[{'key': 'W A Taxon Id', 'value': '13347.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'Osmond Range, Purnululu N.P., Bedford Downs Stn., Prince Regent N.R.'}]",13347.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,EAST KIMBERLEY,"Osmond Range, Purnululu N.P., Bedford Downs Stn., Prince Regent N.R.",,,
4039231,Lepturus repens,Stalky Grass,Lepturus repens,https://id.biodiversity.org.au/node/apni/2901962,dr2201,"[{'key': 'W A Taxon Id', 'value': '473.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY,WEST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'Ashmore Reef, Cassine Is., High Cliffy Is.'}]",473.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,"EAST KIMBERLEY,WEST KIMBERLEY","Ashmore Reef, Cassine Is., High Cliffy Is.",,,
4036303,Limnophila aromatica,,Limnophila aromatica,https://id.biodiversity.org.au/node/apni/2899750,dr2201,"[{'key': 'W A Taxon Id', 'value': '46915.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'Doongan Stn., Drysdale River Stn. Mt Elizabeth Stn., NT, QLD.'}]",46915.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,EAST KIMBERLEY,"Doongan Stn., Drysdale River Stn. Mt Elizabeth Stn., NT, QLD.",,,
4037360,Lindernia macrosiphonia,,Vandellia macrosiphonia,https://id.biodiversity.org.au/node/apni/7491920,dr2201,"[{'key': 'W A Taxon Id', 'value': '12484.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'Kalumburu Mission, King Edward River, Mitchell Plateau, Roe River, Prince Regent River, King George River'}]",12484.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,EAST KIMBERLEY,"Kalumburu Mission, King Edward River, Mitchell Plateau, Roe River, Prince Regent River, King George River",,,
4038592,Lophostemon grandiflorus subsp. grandiflorus,Lardik,Lophostemon grandiflorus subsp. grandiflorus,https://id.biodiversity.org.au/node/apni/2902655,dr2201,"[{'key': 'W A Taxon Id', 'value': '11425.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY,WEST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'Dampier Peninsula, Edgar Range'}]",11425.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,"EAST KIMBERLEY,WEST KIMBERLEY","Dampier Peninsula, Edgar Range",,,
4037204,Lygodium flexuosum,,Lygodium flexuosum,https://id.biodiversity.org.au/node/apni/2905639,dr2201,"[{'key': 'W A Taxon Id', 'value': '19.0'}, {'key': 'status', 'value': 'WA Priority 3'}, {'key': 'sourceStatus', 'value': 'Priority 3 - Poorly known species'}, {'key': 'W A Status', 'value': '3'}, {'key': 'sensitivityZoneId', 'value': 'WA'}, {'key': 'county', 'value': 'KIMB'}, {'key': 'municipality', 'value': 'EAST KIMBERLEY'}, {'key': 'verbatimLocality', 'value': 'Osborne Is., Naturalist Is., Drysdale River N.P., Prince Regent N.R.'}]",19.0,WA Priority 3,Priority 3 - Poorly known species,3,,,,WA,KIMB,EAST KIMBERLEY,"Osborne Is., Naturalist Is., Drysdale River N.P., Prince Regent N.R.",,,
