id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,generalisation
4349716,Calyptorhynchus banksii graptogyne,Red-tailed Black Cockatoo (south-east),Calyptorhynchus (Calyptorhynchus) banksii graptogyne,https://biodiversity.org.au/afd/taxa/f8ecc7e3-47fc-494a-907c-c444ce843e73,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349667,Calyptorhynchus lathami halmaturinus,Glossy Black-cockatoo (kangaroo Island Subspecies),Calyptorhynchus (Calyptorhynchus) lathami halmaturinus,https://biodiversity.org.au/afd/taxa/d2f5121c-ab9e-4241-a2d8-3c625c4445bd,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349689,Lophochroa leadbeateri leadbeateri,,Lophochroa leadbeateri leadbeateri,https://biodiversity.org.au/afd/taxa/9c73df1d-400f-4657-b61c-a216be2a964d,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349731,Lophochroa leadbeateri mollis,,Lophochroa leadbeateri mollis,https://biodiversity.org.au/afd/taxa/85620c71-fbcb-4f6b-8a23-7fef40bb61c2,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349764,Zanda funerea whiteae,Yellow-tailed Black Cockatoo,Zanda funerea whiteae,https://biodiversity.org.au/afd/taxa/bfad7e85-ce5e-4196-b21f-96484f884500,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349664,Neophema chrysogaster,Orange-bellied Parrot,Neophema (Neonanodes) chrysogaster,https://biodiversity.org.au/afd/taxa/88653999-1e2f-47d1-87fa-1f6d3e47ffb8,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349777,Neophema splendida,Scarlet-chested Parrot,Neophema (Neophema) splendida,https://biodiversity.org.au/afd/taxa/45e4f886-5d69-4b1c-98c0-2178c194f9c7,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349804,Polytelis alexandrae,Alexandra's Parrot,Polytelis alexandrae,https://biodiversity.org.au/afd/taxa/be7a08f5-387f-4156-91e2-77f0d3d09d8c,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349767,Polytelis anthopeplus monarchoides,Regent Parrot (eastern Subspecies),Polytelis anthopeplus monarchoides,https://biodiversity.org.au/afd/taxa/1958a1ff-0233-4257-9f8c-032dcadb6fea,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349728,Amytornis striatus howei,Striated Grasswren,Amytornis striatus howei,ALA_DR653_208,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349805,Amytornis whitei aenigma,Yellabinna Rufous Grasswren,Amytornis whitei aenigma,ALA_DR653_210,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349721,Amytornis whitei oweni,Sandhill Rufous Grasswren,Amytornis whitei oweni,ALA_DR653_211,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349611,Amytornis whitei,,Amytornis (Magnamytis) striatus whitei,https://biodiversity.org.au/afd/taxa/55473ac9-5966-4947-8f2e-1761f3c748f2,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349740,Pachycephala rufogularis,Red-lored Whistler,Pachycephala (Timixos) rufogularis,https://biodiversity.org.au/afd/taxa/bc33a603-3b2b-44d3-a5d7-12485e4533c7,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349636,Thinornis cucullatus cucullatus,Eastern Hooded Dotteral,Thinornis cucullatus cucullatus,https://biodiversity.org.au/afd/taxa/a1591e76-2f0e-4107-a24d-9263f58b03eb,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349624,Elanus scriptus,Letter-winged Kite,Elanus scriptus,https://biodiversity.org.au/afd/taxa/4a6524fb-b256-4790-a877-e5f10502da93,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349669,Falco hypoleucos,Grey Falcon,Falco (Hierofalco) hypoleucos,https://biodiversity.org.au/afd/taxa/4c73a934-63ae-417d-af40-56a82ae68371,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349818,Falco peregrinus macropus,Peregrine Falcon,Falco (Hierofalco) peregrinus macropus,https://biodiversity.org.au/afd/taxa/0946a897-aece-487a-8ec9-90fff71e3824,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349821,Haliaeetus leucogaster,White-bellied Sea-eagle,Haliaeetus (Pontoaetus) leucogaster,https://biodiversity.org.au/afd/taxa/dc420306-4746-4663-9c2d-cf367587f728,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349705,Lophoictinia isura,Square-tailed Kite,Lophoictinia isura,https://biodiversity.org.au/afd/taxa/715a2874-1942-4762-866c-1194990e7a91,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349634,Pandion haliaetus cristatus,Fish Hawk,Pandion haliaetus cristatus,https://biodiversity.org.au/afd/taxa/e61096e6-7685-45bd-b5ae-922cce74c254,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349757,Euastacus bispinosus,Glenelg Spiny Crayfish,Euastacus bispinosus,https://biodiversity.org.au/afd/taxa/fa41771a-56b3-47bc-a5c9-3db5f768c154,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349626,Nephrurus deleani,Pernatty Knob-tailed Gecko,Nephrurus deleani,https://biodiversity.org.au/afd/taxa/06125aff-65f8-44f1-bb4a-afa372cb8180,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349699,Tiliqua adelaidensis,Pygmy Bluetongue,Tiliqua adelaidensis,https://biodiversity.org.au/afd/taxa/a70c19ab-7d61-4e14-91ff-c81e54cbea9f,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349657,Denisonia devisi,De Vis' Banded Snake,Denisonia devisi,https://biodiversity.org.au/afd/taxa/c6a94d0b-f66f-4501-9690-6fce0f85662f,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
4349795,Callitriche umbonata,Water Starwort,Callitriche umbonata,https://id.biodiversity.org.au/node/apni/2900062,dr884,"[{'key': 'generalisation', 'value': '10 km'}]",10 km
