raw_scientificName,field,value,notes
Acianthus,rank,genus
Acriopsis,rank,genus
Anoectochilus,rank,genus
Aphyllorchis,rank,genus
Apostasia,rank,genus
Appendicula,rank,genus
Arthrochilus,rank,genus
Bromheadia,rank,genus
Bulbophyllum,rank,genus
Cadetia,rank,genus
Caladenia,rank,genus
Calanthe,rank,genus
Caleana,rank,genus
Calochilus,rank,genus
Cestichis,rank,genus
Cheirostylis,rank,genus
Chiloglottis,rank,genus
Chiloschista,rank,genus
Cooktownia,rank,genus
Corunastylis,rank,genus
Corybas,rank,genus
Corymborkis,rank,genus
Crepidium,rank,genus
Cryptostylis,rank,genus
Cymbidium,rank,genus
Cyrtostylis,rank,genus
Dendrobium,rank,genus
Didymoplexis,rank,genus
Dienia,rank,genus
Diplocaulobium,rank,genus
Dipodium,rank,genus
Diuris,rank,genus
Dockrillia,rank,genus
Drymoanthus,rank,genus
Epidendrum,rank,genus
Epipogium,rank,genus
Eria,rank,genus
Eriochilus,rank,genus
Erythrorchis,rank,genus
Eulophia,rank,genus
Flickingeria,rank,genus
Gastrodia,rank,genus
Geodorum,rank,genus
Glossodia,rank,genus
Goodyera,rank,genus
Grastidium,rank,genus
Habenaria,rank,genus
Hetaeria,rank,genus
Liparis,rank,genus
Luisia,rank,genus
Lyperanthus,rank,genus
Micropera,rank,genus
Microtis,rank,genus
Mobilabium,rank,genus
Nervilia,rank,genus
Oberonia,rank,genus
Octarrhena,rank,genus
Oeceoclades,rank,genus
Orchidaceae,rank,family
Orthoceras,rank,genus
Pachystoma,rank,genus
Papillilabium,rank,genus
Pecteilis,rank,genus
Peristeranthus,rank,genus
Peristylus,rank,genus
Petalochilus,rank,genus
Phaius,rank,genus
Phalaenopsis,rank,genus
Pholidota,rank,genus
Phreatia,rank,genus
Plectorrhiza,rank,genus
Pomatocalpa,rank,genus
Prasophyllum,rank,genus
Pseudovanilla,rank,genus
Pterostylis,rank,genus
Rhinerrhiza,rank,genus
Rhizanthella,rank,genus
Rhynchophreatia,rank,genus
Robiquetia,rank,genus
Saccolabiopsis,rank,genus
Sarcochilus,rank,genus
Schistotylus,rank,genus
Schoenorchis,rank,genus
Spathoglottis,rank,genus
Spiranthes,rank,genus
Taeniophyllum,rank,genus
Tainia,rank,genus
Thelasis,rank,genus
Thelychiton,rank,genus
Thelymitra,rank,genus
Thrixspermum,rank,genus
Trachoma,rank,genus
Trichoglottis,rank,genus
Vanda,rank,genus
Vrydagzynea,rank,genus
Zeuxine,rank,genus
Pholidota,rank,genus
Dendrobium kingianum x D.speciosum,scientificName,Dendrobium kingianum Bidwill ex Lindl. x Dendrobium speciosum Sm.,
Macrozamia lomandroides x M.pauli-guilielmi,scientificName,Macrozamia lomandroides - Macrozamia pauli-guilielmi,
Dendrobium discolor x D.nindii,scientificName,Dendrobium discolor x Dendrobium nindii
Blakella bloxsomei x Blakella citriodora,scientificName,Corymbia bloxsomei x Corymbia citriodora
