Taxon_Name,Status,Authority,Taxon_Geoprivacy,taxon_id,wildnetID,Description,url,iNaturalist_Place_ID,Username
Acianthus,Least concern,Qld Department of Environment and Science,obscured,202580,9655,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=9655,7308,peggydnew
Acianthus fornicatus,Special least concern,Qld Department of Environment and Science,obscured,202579,14087,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=14087,7308,peggydnew
Acianthus ledwardii,Special least concern,Qld Department of Environment and Science,obscured,1239753,8545,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=8545,7308,peggydnew
Acriopsis emarginata,Vulnerable,Qld Department of Environment and Science,obscured,1141144,31909,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=31909,7308,peggydnew
Alsophila cunninghamii,Near Threatened,Qld Department of Environment and Science,obscured,407141,41744,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=41744,7308,peggydnew
Amblovenatum tildeniae,Critically Endangered,Qld Department of Environment and Science,obscured,1292538,41354,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=41354,7308,peggydnew
Amytornis ballarae,Least concern,Qld Department of Environment and Science,obscured,12109,1566,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=1566,7308,peggydnew
Amytornis barbatus,Near Threatened,Qld Department of Environment and Science,obscured,12122,1563,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=1563,7308,peggydnew
Amytornis barbatus barbatus,Endangered,Qld Department of Environment and Science,obscured,713111,29885,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=29885,7308,peggydnew
Amytornis barbatus diamantina,Near Threatened,Qld Department of Environment and Science,obscured,713112,29886,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=29886,7308,peggydnew
Amytornis dorotheae,Endangered,Qld Department of Environment and Science,obscured,12120,1564,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=1564,7308,peggydnew
Amytornis goyderi,Least concern,Qld Department of Environment and Science,obscured,12118,1565,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=1565,7308,peggydnew
Anoectochilus yatesiae,Near Threatened,Qld Department of Environment and Science,obscured,983088,12862,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=12862,7308,peggydnew
Anthochaera phrygia,Critically Endangered,Qld Department of Environment and Science,obscured,144707,1478,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=1478,7308,peggydnew
Antrophyum plantagineum,Near Threatened,Qld Department of Environment and Science,obscured,425340,14034,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=14034,7308,peggydnew
Antrophyum subfalcatum,Vulnerable,Qld Department of Environment and Science,obscured,1003047,11744,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=11744,7308,peggydnew
Aphyllorchis,,Qld Department of Environment and Science,obscured,369720,20190,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=20190,7308,peggydnew
Aponogeton bullosus,Endangered,Qld Department of Environment and Science,obscured,1180143,11218,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=11218,7308,peggydnew
Aponogeton lancesmithii,Endangered,Qld Department of Environment and Science,obscured,965453,21901,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=21901,7308,peggydnew
Aponogeton queenslandicus,Special least concern,Qld Department of Environment and Science,obscured,1363735,11267,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=11267,7308,peggydnew
Aponogeton vanbruggenii,Special least concern,Qld Department of Environment and Science,obscured,1044341,21847,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=21847,7308,peggydnew
Apostasia,Least concern,Qld Department of Environment and Science,obscured,363263,11219,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=11219,7308,peggydnew
Argynnis hyperbius inconstans,Endangered,Qld Department of Environment and Science,obscured,323771,2008,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=2008,7308,peggydnew
Arthrochilus,,Qld Department of Environment and Science,obscured,559050,9162,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=9162,7308,peggydnew
Arthrochilus apectus,Special least concern,Qld Department of Environment and Science,obscured,1044134,30805,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=30805,7308,peggydnew
Arthrochilus aquilus,Special least concern,Qld Department of Environment and Science,obscured,1044135,30806,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=30806,7308,peggydnew
Arthrochilus byrnesii,Special least concern,Qld Department of Environment and Science,obscured,1044136,41413,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=41413,7308,peggydnew
Arthrochilus corinnae,Special least concern,Qld Department of Environment and Science,obscured,1044137,30807,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=30807,7308,peggydnew
Arthrochilus dockrillii,Special least concern,Qld Department of Environment and Science,obscured,1044138,13369,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=13369,7308,peggydnew
Arthrochilus lavarackianus,Special least concern,Qld Department of Environment and Science,obscured,1044141,31121,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=31121,7308,peggydnew
Arthrochilus oreophilus,Special least concern,Qld Department of Environment and Science,obscured,1044142,7932,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=7932,7308,peggydnew
Arthrochilus prolixus,Special least concern,Qld Department of Environment and Science,obscured,1042961,8527,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=8527,7308,peggydnew
Arthrochilus rosulatus,Special least concern,Qld Department of Environment and Science,obscured,1044143,7933,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=7933,7308,peggydnew
Arthrochilus sabulosus,Special least concern,Qld Department of Environment and Science,obscured,1044144,7934,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=7934,7308,peggydnew
Arthrochilus stenophyllus,Special least concern,Qld Department of Environment and Science,obscured,1044145,7935,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=7935,7308,peggydnew
Atrichornis rufescens,Vulnerable,Qld Department of Environment and Science,obscured,7419,1632,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=1632,7308,peggydnew
Austrocallerya pilipes,Near Threatened,Qld Department of Environment and Science,obscured,1144120,41292,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=41292,7308,peggydnew
Bogoria matutina,Vulnerable,Qld Department of Environment and Science,obscured,1434859,41817,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=41817,7308,peggydnew
Bowenia,Least concern,Qld Department of Environment and Science,obscured,129812,9800,Listed as Confidential - refer to https://www.data.qld.gov.au/dataset/queensland-confidential-species,https://apps.des.qld.gov.au/species-search/details/?id=9800,7308,peggydnew
