,status_id,taxon_id,user_id,place_id,source_id,authority,status,url,description,geoprivacy,iucn,created_at,updated_at,place_name,place_display_name,taxon_id_y,taxonID,identifier,parentNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,modified,scientificName,taxonRank,references,preferred_common_name,is_active,current_synonymous_taxon_ids
948,153441,403940,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:11:31.849332,2022-06-08 10:34:33.476376,Western Australia,"Western Australia, AU",403940,https://www.inaturalist.org/taxa/403940,https://www.inaturalist.org/taxa/403940,https://www.inaturalist.org/taxa/54047,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Microseris,scapigera,,2022-10-15T07:46:52Z,Microseris scapigera,species,,,,
2017,153418,404693,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:11:26.492866,2019-07-23 00:11:26.492866,Western Australia,"Western Australia, AU",404693,https://www.inaturalist.org/taxa/404693,https://www.inaturalist.org/taxa/404693,https://www.inaturalist.org/taxa/379188,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Pentapogon,quadrifidus,,2019-02-15T12:15:56Z,Pentapogon quadrifidus,species,,,,
2092,153506,4072,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:11:46.241296,2019-07-23 00:11:46.241296,Western Australia,"Western Australia, AU",,,,,,,,,,,,,,Oceanodroma matsudairae,,,Matsudaira's Storm-Petrel,False,[1289611]
728,153417,4075,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:11:26.220961,2020-02-16 13:55:58.905871,Western Australia,"Western Australia, AU",,,,,,,,,,,,,,Oceanodroma monorhis,,,Swinhoe's Storm-Petrel,False,[1289619]
911,153054,4088,708886,6827,16654,WA Department of Environment and Convservation,vulnerable,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,30,2019-07-23 00:10:01.331867,2020-08-09 02:03:12.788074,Western Australia,"Western Australia, AU",4088,https://www.inaturalist.org/taxa/4088,https://www.inaturalist.org/taxa/4088,https://www.inaturalist.org/taxa/4086,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,cauta,,2021-05-13T18:21:59Z,Thalassarche cauta,species,http://www.birdlife.org/datazone/speciesfactsheet.php?id=31007,,,
2404,153376,409601,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:11:16.93851,2019-11-01 19:37:25.266793,Western Australia,"Western Australia, AU",409601,https://www.inaturalist.org/taxa/409601,https://www.inaturalist.org/taxa/409601,https://www.inaturalist.org/taxa/960602,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,novo-zelandicum,,2022-12-22T07:42:59Z,Sphagnum novo-zelandicum,species,,,,
1969,153357,425785,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:11:12.322242,2019-07-23 00:11:12.322242,Western Australia,"Western Australia, AU",,,,,,,,,,,,,,Schizaea digitata,,,,False,[1330928]
1875,153251,427051,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:10:48.21346,2019-07-23 00:10:48.21346,Western Australia,"Western Australia, AU",,,,,,,,,,,,,,Lipocarpha chinensis,,,,False,[921414]
1887,153267,42773,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:10:51.616763,2019-07-23 00:10:51.616763,Western Australia,"Western Australia, AU",42773,https://www.inaturalist.org/taxa/42773,https://www.inaturalist.org/taxa/42773,https://www.inaturalist.org/taxa/42772,Animalia,Chordata,Mammalia,Diprotodontia,Pseudocheiridae,Petropseudes,dahlii,,2021-12-03T00:58:27Z,Petropseudes dahlii,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/6900298,,,
1810,153177,42921,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:10:30.412002,2019-07-23 00:10:30.412002,Western Australia,"Western Australia, AU",42921,https://www.inaturalist.org/taxa/42921,https://www.inaturalist.org/taxa/42921,https://www.inaturalist.org/taxa/42916,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Petrogale,lateralis,,2019-08-27T01:42:13Z,Petrogale lateralis,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/6863114,,,
2236,153676,42950,708886,6827,16654,WA Department of Environment and Convservation,vulnerable,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,30,2019-07-23 00:12:25.244598,2019-07-23 00:12:25.244598,Western Australia,"Western Australia, AU",42950,https://www.inaturalist.org/taxa/42950,https://www.inaturalist.org/taxa/42950,https://www.inaturalist.org/taxa/42949,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Lagorchestes,conspicillatus,,2019-08-27T01:42:05Z,Lagorchestes conspicillatus,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/6863086,,,
1899,153284,42951,708886,6827,16654,WA Department of Environment and Convservation,presumed extinct,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,70,2019-07-23 00:10:55.287265,2019-07-23 00:10:55.287265,Western Australia,"Western Australia, AU",42951,https://www.inaturalist.org/taxa/42951,https://www.inaturalist.org/taxa/42951,https://www.inaturalist.org/taxa/42949,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Lagorchestes,hirsutus,,2019-08-27T01:42:05Z,Lagorchestes hirsutus,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/6863087,,,
2206,153638,42975,708886,6827,16654,WA Department of Environment and Convservation,vulnerable,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,30,2019-07-23 00:12:17.055702,2019-07-23 00:12:17.055702,Western Australia,"Western Australia, AU",42975,https://www.inaturalist.org/taxa/42975,https://www.inaturalist.org/taxa/42975,https://www.inaturalist.org/taxa/42974,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Lagostrophus,fasciatus,,2019-08-27T01:42:06Z,Lagostrophus fasciatus,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/6863089,,,
1991,153387,42997,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:11:19.507884,2019-07-23 00:11:19.507884,Western Australia,"Western Australia, AU",42997,https://www.inaturalist.org/taxa/42997,https://www.inaturalist.org/taxa/42997,https://www.inaturalist.org/taxa/42994,Animalia,Chordata,Mammalia,Diprotodontia,Potoroidae,Bettongia,lesueur,,2019-08-27T01:41:57Z,Bettongia lesueur,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/6863061,,,
