,status_id,taxon_id,user_id,place_id,source_id,authority,status,url,description,geoprivacy,iucn,created_at,updated_at,place_name,place_display_name,taxon_id_y,taxonID,identifier,parentNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,modified,scientificName,taxonRank,references,preferred_common_name,is_active,current_synonymous_taxon_ids
2837,264792,1038965,3249428,7830,,Victoria Flora and Fauna Guarantee Act 1988,Critically Endangered,https://www.environment.vic.gov.au/conserving-threatened-species/threatened-list,,open,50,2022-06-09 16:35:57.66875,2022-06-09 16:35:57.66875,Victoria,"Victoria, AU",,,,,,,,,,,,,,Boronia anemonifolia variabilis,,,,False,[1426173]
705,264648,1064159,3249428,7830,,Victoria Flora and Fauna Guarantee Act 1988,Critically Endangered,https://www.environment.vic.gov.au/conserving-threatened-species/threatened-list,,open,50,2022-06-07 16:03:11.775614,2022-06-07 16:03:11.775614,Victoria,"Victoria, AU",1064159,https://www.inaturalist.org/taxa/1064159,https://www.inaturalist.org/taxa/1064159,https://www.inaturalist.org/taxa/142347,Plantae,Tracheophyta,Polypodiopsida,Cyatheales,Cyatheaceae,Alsophila,leichhardtiana,,2022-06-07T16:03:11Z,Alsophila leichhardtiana,species,http://plantsoftheworldonline.org/,,,
60,168028,1084244,702203,7830,,Rare Plants of Victoria,CR,http://www.viridans.com/RAREPL/oncecommon.htm,,,50,2021-05-11 01:21:06.087344,2021-05-11 01:21:06.087344,Victoria,"Victoria, AU",1084244,https://www.inaturalist.org/taxa/1084244,https://www.inaturalist.org/taxa/1084244,https://www.inaturalist.org/taxa/147472,Plantae,Tracheophyta,Magnoliopsida,Malvales,Thymelaeaceae,Pimelea,spinescens,,2021-05-11T01:21:06Z,Pimelea spinescens,species,,,,
3157,265697,1115629,702203,7830,,Atlas of Living Australia,EN,https://bie.ala.org.au/species/https://id.biodiversity.org.au/name/apni/124321#overview,,obscured,40,2022-06-26 03:44:30.838914,2022-06-26 03:44:30.838914,Victoria,"Victoria, AU",1115629,https://www.inaturalist.org/taxa/1115629,https://www.inaturalist.org/taxa/1115629,https://www.inaturalist.org/taxa/83401,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Pterostylis,×,,2022-07-03T07:38:09Z,Pterostylis × toveyana,hybrid,https://bie.ala.org.au/species/https://id.biodiversity.org.au/name/apni/124321#overview,,,
868,162244,1127952,708886,7830,16656,VIC Government,endangered,https://lists.ala.org.au/speciesListItem/list/dr490#download,,obscured,40,2020-09-11 20:27:04.578565,2020-09-11 20:27:04.578565,Victoria,"Victoria, AU",1127952,https://www.inaturalist.org/taxa/1127952,https://www.inaturalist.org/taxa/1127952,https://www.inaturalist.org/taxa/35099,Animalia,Chordata,Reptilia,Squamata,Elapidae,Suta,spectabilis,,2020-09-11T20:34:41Z,Suta spectabilis,species,,,,
2686,264754,1170290,3249428,7830,,Victoria Flora and Fauna Guarantee Act 1988,Critically Endangered,https://www.environment.vic.gov.au/conserving-threatened-species/threatened-list,,open,50,2022-06-08 17:31:04.575349,2022-06-08 17:31:04.575349,Victoria,"Victoria, AU",1170290,https://www.inaturalist.org/taxa/1170290,https://www.inaturalist.org/taxa/1170290,https://www.inaturalist.org/taxa/54686,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Thelymitra,x,,2022-12-13T05:34:46Z,Thelymitra x merraniae,hybrid,https://vicflora.rbg.vic.gov.au/flora/taxon/a0ad0e03-ccaf-440c-b951-3bfaeaa941ae,,,
3306,266736,1348449,702203,7830,,FFG Threatened List,CR,https://www.environment.vic.gov.au/__data/assets/pdf_file/0031/533893/20210714-FFG-Threatened-List.pdf,,,50,2022-08-17 06:51:39.259399,2022-08-17 06:51:39.259399,Victoria,"Victoria, AU",1348449,https://www.inaturalist.org/taxa/1348449,https://www.inaturalist.org/taxa/1348449,https://www.inaturalist.org/taxa/700994,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Blechnaceae,Cranfillia,deltoides,,2022-01-07T04:56:03Z,Cranfillia deltoides,species,https://www.nzpcn.org.nz/flora/species/cranfillia-deltoides/,,,
2698,153818,19251,708886,7830,16656,Victoria Flora and Fauna Guarantee Act 1988 ,Vulnerable,https://www.environment.vic.gov.au/conserving-threatened-species/threatened-list,,obscured,30,2019-07-23 00:13:00.007388,2022-06-11 01:21:17.349699,Victoria,"Victoria, AU",19251,https://www.inaturalist.org/taxa/19251,https://www.inaturalist.org/taxa/19251,https://www.inaturalist.org/taxa/19249,Animalia,Chordata,Aves,Psittaciformes,Psittaculidae,Polytelis,anthopeplus,,2022-06-11T01:21:17Z,Polytelis anthopeplus,species,http://www.birdlife.org/datazone/speciesfactsheet.php?id=1457,,,
3374,265543,33842,3249428,7830,,Flora and Fauna Guarantee Act 1988,Endangered,https://www.environment.vic.gov.au/conserving-threatened-species/threatened-list,,open,40,2022-06-14 11:02:11.43527,2022-06-14 11:02:11.43527,Victoria,"Victoria, AU",33842,https://www.inaturalist.org/taxa/33842,https://www.inaturalist.org/taxa/33842,https://www.inaturalist.org/taxa/33841,Animalia,Chordata,Reptilia,Squamata,Diplodactylidae,Rhynchoedura,ornata,,2022-06-14T11:02:11Z,Rhynchoedura ornata,species,http://reptile-database.reptarium.cz/search.php?genus=Rhynchoedura&species=ornata&submit=Search,,,
2660,164661,353855,702203,7830,,Victoria,NT,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2905235,,,20,2020-12-08 19:17:33.899612,2020-12-08 19:17:33.899612,Victoria,"Victoria, AU",353855,https://www.inaturalist.org/taxa/353855,https://www.inaturalist.org/taxa/353855,https://www.inaturalist.org/taxa/52713,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Calamagrostis,quadriseta,,2020-12-08T19:17:33Z,Calamagrostis quadriseta,species,http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9784752,,,
