Unnamed: 0,id,name,commonName,scientificName_x,lsid,dataResourceUid,kvpValues,taxonId,W A  Status,D B C A  District,Distribution,status,sourceStatus,status description,category,sensitivityZoneId,W A  Rank,taxonRemarks,scientificName_y,canonicalName,canonicalNameComplete,type,rankMarker,wa_taxonID,wa_scientificName,wa_status,new_geoprivacy,status_id,taxon_id,user_id,description,iucn,authority,geoprivacy,place_id,place_display_name,new_url,new_description,new_authority,new_place_id,new_username,new_iucn_equivalent,new_status,taxonID,identifier,parentNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,modified,taxonRank,references
,,,,,https://id.biodiversity.org.au/node/apni/2889676,,,,,,,,,,,,,,,,,,,14713,Verticordia fimbrilepis fimbrilepis,Vulnerable,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/14713,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/node/apni/2903566,,,,,,,,,,,,,,,,,,,14715,Verticordia luteola luteola,Priority 3: Poorly-known species,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/14715,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Priority 3: Poorly-known species,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/node/apni/2914610,,,,,,,,,,,,,,,,,,,36802,Verticordia mitchelliana mitchelliana,Priority 3: Poorly-known species,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/36802,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Priority 3: Poorly-known species,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/node/apni/2920012,,,,,,,,,,,,,,,,,,,14716,Verticordia muelleriana muelleriana,Priority 3: Poorly-known species,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/14716,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Priority 3: Poorly-known species,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/node/apni/2906144,,,,,,,,,,,,,,,,,,,14719,Verticordia sieberi pachyphylla,Priority 1: Poorly-known species,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/14719,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Priority 1: Poorly-known species,,,,,,,,,,,,,,
,,,,,ALA_DR2201_121,,,,,,,,,,,,,,,,,,,12463,Verticordia staminosa cylindracea,Vulnerable,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/12463,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Vulnerable,,,,,,,,,,,,,,
,,,,,ALA_DR2201_4139,,,,,,,,,,,,,,,,,,,12464,Verticordia staminosa erecta,Critically Endangered,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/12464,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Critically Endangered,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/node/apni/2916999,,,,,,,,,,,,,,,,,,,15614,Verticordia staminosa staminosa,Critically Endangered,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/15614,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Critically Endangered,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/node/apni/2906683,,,,,,,,,,,,,,,,,,,14661,Verticordia eurardyensis,Priority 1: Poorly-known species,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/14661,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Priority 1: Poorly-known species,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/taxon/apni/51285787,,,,,,,,,,,,,,,,,,,46577,Vigna triodiophila,Priority 3: Poorly-known species,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/46577,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Priority 3: Poorly-known species,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/node/apni/2896774,,,,,,,,,,,,,,,,,,,11278,Vittadinia cervicularis occidentalis,Priority 1: Poorly-known species,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/11278,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Priority 1: Poorly-known species,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/node/apni/2920653,,,,,,,,,,,,,,,,,,,11885,Vittadinia cervicularis oldfieldii,Priority 1: Poorly-known species,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/11885,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Priority 1: Poorly-known species,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/node/apni/2914936,,,,,,,,,,,,,,,,,,,727,Whiteochloa capillipes,Priority 1: Poorly-known species,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/727,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Priority 1: Poorly-known species,,,,,,,,,,,,,,
,,,,,https://id.biodiversity.org.au/name/apni/121805,,,,,,,,,,,,,,,,,,,18006,Xanthoparmelia darlingensis,Priority 1: Poorly-known species,obscured,,,,,,,,,,https://florabase.dpaw.wa.gov.au/browse/profile/18006,Listed as Confidential - refer to https://www.dpaw.wa.gov.au/plants-and-animals/threatened-species-and-communities/threatened-plants,"WA Deparment of Biodiversity, Conservation and Attractions",6827,peggydnew,Vulnerable,Priority 1: Poorly-known species,,,,,,,,,,,,,,
