id_x,taxon_id,user_id,place_id,source_id,authority,status,url,description,geoprivacy,iucn,created_at,updated_at,place_name,place_display_name,id_y,taxonID,identifier,parentNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,modified,scientificName,taxonRank,references,preferred_common_name,is_active,current_synonymous_taxon_ids
166610,1120831,3669610,6744,,Australian Government,VU,http://www.environment.gov.au/epbc,,,30,2021-03-14 08:53:04.517383,2021-03-14 08:53:04.517383,Australia,Australia,1120831,https://www.inaturalist.org/taxa/1120831,https://www.inaturalist.org/taxa/1120831,https://www.inaturalist.org/taxa/576108,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Cunoniaceae,Acrophyllum,australe,,2021-03-14T08:51:19Z,Acrophyllum australe,species,http://plantsoftheworldonline.org/,,,
180872,1255393,702203,7308,,Atlas of Living Australia,NT,https://bie.ala.org.au/species/https://id.biodiversity.org.au/node/apni/2892812,,,20,2021-09-10 01:07:13.003067,2021-09-10 01:07:13.003067,Queensland,"Queensland, AU",1255393,https://www.inaturalist.org/taxa/1255393,https://www.inaturalist.org/taxa/1255393,https://www.inaturalist.org/taxa/72232,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Melaleuca,groveana,,2022-09-05T10:45:16Z,Melaleuca groveana,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/9707899,,,
169815,334758,58320,7308,,Queensland Nature Conservation Act 1992,Vulnerable,https://apps.des.qld.gov.au/species-search/details/?id=13670,,,30,2021-07-07 22:26:12.687826,2021-07-07 22:26:12.687826,Queensland,"Queensland, AU",334758,https://www.inaturalist.org/taxa/334758,https://www.inaturalist.org/taxa/334758,https://www.inaturalist.org/taxa/334761,Plantae,Tracheophyta,Magnoliopsida,Fabales,Surianaceae,Cadellia,pentastylis,,2021-07-07T22:26:12Z,Cadellia pentastylis,species,http://www.ubio.org/browser/details.php?namebankID=5953174,,,
169816,334758,58320,6744,,Environment Protection and Biodiversity Conservation Act 1999,Vulnerable,http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=9828,,,30,2021-07-07 22:26:12.780586,2021-07-07 22:26:12.780586,Australia,Australia,334758,https://www.inaturalist.org/taxa/334758,https://www.inaturalist.org/taxa/334758,https://www.inaturalist.org/taxa/334761,Plantae,Tracheophyta,Magnoliopsida,Fabales,Surianaceae,Cadellia,pentastylis,,2021-07-07T22:26:12Z,Cadellia pentastylis,species,http://www.ubio.org/browser/details.php?namebankID=5953174,,,
169818,1262199,28,6827,,WA Department of Environment and Conservation,vulnerable,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,30,2021-07-07 22:57:56.655523,2021-07-07 22:57:56.655523,Western Australia,"Western Australia, AU",,,,,,,,,,,,,,Caleana dixonii,,,Sandplain Duck Orchid,False,[]
170269,5315,702203,7830,,FFG Threatened List,EN,https://www.environment.vic.gov.au/__data/assets/pdf_file/0031/536089/FFG-Threatened-List-June-2021-v2.pdf,,obscured,40,2021-07-29 02:54:11.346908,2021-07-29 02:54:11.346908,Victoria,"Victoria, AU",5315,https://www.inaturalist.org/taxa/5315,https://www.inaturalist.org/taxa/5315,https://www.inaturalist.org/taxa/5303,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,leucogaster,,2022-05-07T18:58:43Z,Haliaeetus leucogaster,species,http://www.birdlife.org/datazone/speciesfactsheet.php?id=3359,,,
152478,83578,708886,7308,16653,QLD DEHP,LC,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,"Least concern (Nature Conservation Act 1992) but still considered by the QLD government as a ""confidential species"" (https://apps.des.qld.gov.au/species-search/details/?id=22382)",obscured,10,2019-07-23 00:07:43.508477,2021-04-16 08:46:34.579605,Queensland,"Queensland, AU",83578,https://www.inaturalist.org/taxa/83578,https://www.inaturalist.org/taxa/83578,https://www.inaturalist.org/taxa/882406,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Dendrobium,kingianum,,2022-10-04T07:24:43Z,Dendrobium kingianum,species,http://www.catalogueoflife.org/annual-checklist/2010/details/species/id/7302129,,,
167721,1230189,3669610,7308,,Queensland Nature Conservation Act 1992,LC,https://www.data.qld.gov.au/dataset/queensland-confidential-species/resource/7e3dcd53-4d3a-431e-b35c-d1acbc068b2a,,,10,2021-04-17 04:11:17.249193,2021-04-17 04:24:32.002275,Queensland,"Queensland, AU",1230189,https://www.inaturalist.org/taxa/1230189,https://www.inaturalist.org/taxa/1230189,https://www.inaturalist.org/taxa/83159,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Liparis,angustilabris,,2021-05-18T05:11:02Z,Liparis angustilabris,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/9703767,,,
167722,1073668,3669610,7308,,Queensland Government,LC,https://www.data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,"Least concern, locations still considered confidental (https://www.data.qld.gov.au/dataset/queensland-confidential-species/resource/7e3dcd53-4d3a-431e-b35c-d1acbc068b2a)",,10,2021-04-17 04:18:23.66365,2021-04-17 04:25:26.793911,Queensland,"Queensland, AU",1073668,https://www.inaturalist.org/taxa/1073668,https://www.inaturalist.org/taxa/1073668,https://www.inaturalist.org/taxa/83159,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Liparis,coelogynoides,,2022-07-12T13:44:01Z,Liparis coelogynoides,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/9703844,,,
152527,370122,708886,7308,16653,QLD DEHP,LC,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,Least concern (Nature Conservation Act 1992) but still considered by the QLD government as a confidential species (https://apps.des.qld.gov.au/species-search/details/?id=22382),obscured,10,2019-07-23 00:07:54.74249,2021-04-17 04:26:31.55681,Queensland,"Queensland, AU",370122,https://www.inaturalist.org/taxa/370122,https://www.inaturalist.org/taxa/370122,https://www.inaturalist.org/taxa/83159,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Liparis,nugentiae,,2022-07-12T13:20:59Z,Liparis nugentiae,species,http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9704059,,,
152549,369261,708886,7308,16653,QLD DEHP,LC,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,Least concern plant but geolocations still considered confidential (https://www.data.qld.gov.au/dataset/queensland-confidential-species),obscured,10,2019-07-23 00:08:00.112235,2021-04-17 04:31:49.698423,Queensland,"Queensland, AU",369261,https://www.inaturalist.org/taxa/369261,https://www.inaturalist.org/taxa/369261,https://www.inaturalist.org/taxa/83467,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Calanthe,triplicata,,2022-01-21T02:27:02Z,Calanthe triplicata,species,http://www.catalogueoflife.org/annual-checklist/2012/details/species/id/9766931,,,
152965,123278,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2019-07-23 00:09:39.861162,2021-03-30 16:58:59.314345,Western Australia,"Western Australia, AU",123278,https://www.inaturalist.org/taxa/123278,https://www.inaturalist.org/taxa/123278,https://www.inaturalist.org/taxa/123279,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Droseraceae,Aldrovanda,vesiculosa,,2021-06-03T12:00:29Z,Aldrovanda vesiculosa,species,http://www.ubio.org/browser/details.php?namebankID=5821398,,,
264550,1377598,708886,6827,16654,WA Department of Environment and Convservation,endangered,https://lists.ala.org.au/speciesListItem/list/dr467#download,,obscured,40,2022-05-28 06:48:42.965069,2022-05-28 06:48:42.965069,Western Australia,"Western Australia, AU",1377598,https://www.inaturalist.org/taxa/1377598,https://www.inaturalist.org/taxa/1377598,https://www.inaturalist.org/taxa/50055,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Setaria,distans,,2022-04-20T21:07:49Z,Setaria distans,species,,,,
167723,993605,3669610,7308,,QLD DEHP,NT,https://www.data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,,obscured,20,2021-04-17 04:45:40.511094,2021-04-17 04:53:14.516153,Queensland,"Queensland, AU",993605,https://www.inaturalist.org/taxa/993605,https://www.inaturalist.org/taxa/993605,https://www.inaturalist.org/taxa/202580,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Acianthus,amplexicaulis,,2021-10-05T08:48:02Z,Acianthus amplexicaulis,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/9725873,,,
167776,537331,3669610,6825,,NSW Office of Environment & Heritage,EN,https://www.environment.nsw.gov.au/threatenedspeciesapp/profile.aspx?id=10150,,,40,2021-04-24 09:42:32.716628,2021-04-24 09:42:32.716628,New South Wales,"New South Wales, AU",537331,https://www.inaturalist.org/taxa/537331,https://www.inaturalist.org/taxa/537331,https://www.inaturalist.org/taxa/68685,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cassia,marksiana,,2021-04-24T09:42:32Z,Cassia marksiana,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/587574,,,
167777,537331,3669610,7308,,Queensland Government,VU,https://apps.des.qld.gov.au/species-search/details/?id=14735,,,30,2021-04-24 09:42:32.805519,2021-04-24 09:42:32.805519,Queensland,"Queensland, AU",537331,https://www.inaturalist.org/taxa/537331,https://www.inaturalist.org/taxa/537331,https://www.inaturalist.org/taxa/68685,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Cassia,marksiana,,2021-04-24T09:42:32Z,Cassia marksiana,species,http://www.catalogueoflife.org/annual-checklist/details/species/id/587574,,,
