id,taxonid,taxonname,taxonstatus,authority,taxonurl,user_id,taxonID,kingdom,class,family,scientificName,vernacularName,scientificNameAuthorship,sourceStatus,Significant,status,Endemicity,EPBC Status
152895.0,882400.0,Dendrobium bifalce,Least concern,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=13284,708886.0,13284.0,Plantae,Equisetopsida,Orchidaceae,Dendrobium bifalce,,Lindl.,SL,Y,Special least concern,Regional Endemic,
152512.0,534410.0,Dendrobium gracilicaule,Least concern,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=12834,708886.0,12834.0,Plantae,Equisetopsida,Orchidaceae,Dendrobium gracilicaule,slender orchid,F.Muell.,SL,Y,Special least concern,Intranational,
152610.0,369421.0,Caladenia fuscata,LC Sensitive Species,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,8247.0,Plantae,Equisetopsida,Orchidaceae,Caladenia fuscata,,(Rchb.f.) M.A.Clem. & D.L.Jones,SL,Y,Special least concern,Intranational,
152483.0,370788.0,Pterostylis grandiflora,SL,QLD DEHP,https://apps.des.qld.gov.au/species-search/details/?id=12694,708886.0,12694.0,Plantae,Equisetopsida,Orchidaceae,Pterostylis grandiflora,,R.Br.,SL,Y,Special least concern,Intranational,
152676.0,140426.0,Pterostylis hispidula,SL,QLD DEHP,https://apps.des.qld.gov.au/species-search/details/?id=8179,708886.0,8179.0,Plantae,Equisetopsida,Orchidaceae,Pterostylis hispidula,,Fitzg.,SL,Y,Special least concern,Intranational,
152887.0,369224.0,Corybas barbarae,SL,QLD DEHP,https://apps.des.qld.gov.au/species-search/details/?id=9265,708886.0,9265.0,Plantae,Equisetopsida,Orchidaceae,Corybas barbarae,helmet orchid,D.L.Jones,SL,Y,Special least concern,Queensland Endemic,
152559.0,878273.0,Corybas abellianus,NT,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,13328.0,Plantae,Equisetopsida,Orchidaceae,Corybas abellianus,nodding helmet orchid,Dockrill,NT,Y,Near Threatened,Queensland Endemic,
152604.0,417787.0,Calochilus campestris,SL,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,14140.0,Plantae,Equisetopsida,Orchidaceae,Calochilus campestris,copper beard orchid,R.Br.,SL,Y,Special least concern,Intranational,
152799.0,83533.0,Dendrobium linguiforme,Least concern,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=5779,708886.0,,,,,,,,,,,,
152542.0,323907.0,Corybas fimbriatus,LC Confidential Species (SL),QLD DEHP,https://apps.des.qld.gov.au/species-search/details/?id=13326,708886.0,13326.0,Plantae,Equisetopsida,Orchidaceae,Corybas fimbriatus,fringed helmet orchid,(R.Br.) Rchb.f.,SL,Y,Special least concern,Intranational,
152892.0,427480.0,Dendrobium lobbii,SL,QLD DEHP,https://apps.des.qld.gov.au/species-search/details/?id=12833,708886.0,12833.0,Plantae,Equisetopsida,Orchidaceae,Dendrobium lobbii,,Teijsm. & Binn.,SL,Y,Special least concern,Not Endemic to Australia,
152830.0,805371.0,Bulbophyllum argyropus,VU,QLD DEHP,https://apps.des.qld.gov.au/species-search/details/?id=9493,708886.0,9493.0,Plantae,Equisetopsida,Orchidaceae,Bulbophyllum argyropus,,(Endl.) Rchb.f.,V,Y,Vulnerable,Intranational,
261567.0,1357800.0,Eulophia pulchra,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,,,,,,,,,,,,
152480.0,491475.0,Eulophia pulchra,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,,,,,,,,,,,,
152766.0,323437.0,Pterostylis pedunculata,LC,Atlas of Living Australia,https://bie.ala.org.au/species/https://id.biodiversity.org.au/name/apni/75254,708886.0,12696.0,Plantae,Equisetopsida,Orchidaceae,Pterostylis pedunculata,maroonhood,R.Br.,SL,Y,Special least concern,Intranational,
152853.0,43357.0,Pholidota,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,21277.0,Plantae,Equisetopsida,Orchidaceae,Pholidota,,,C,N,Least concern,Unknown,
163912.0,602507.0,Nervilia concolor,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,,,,,,,,,,,,
152635.0,896713.0,Arthrochilus irritabilis,SL,QLD DEHP,https://apps.des.qld.gov.au/species-search/details/?id=15816,708886.0,15816.0,Plantae,Equisetopsida,Orchidaceae,Arthrochilus irritabilis,leafy elbow orchid,F.Muell.,SL,Y,Special least concern,Queensland Endemic,
152822.0,425528.0,Bulbophyllum maxillare,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,34663.0,Plantae,Equisetopsida,Orchidaceae,Bulbophyllum maxillare,,(Lindl.) Rchb.,E,Y,Endangered,Regional Endemic,
152568.0,428072.0,Bulbophyllum purpurascens,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,39191.0,Plantae,Equisetopsida,Orchidaceae,Bulbophyllum purpurascens,,Teijsm. & Binn.,C,N,Least concern,Queensland Endemic,
152751.0,428054.0,Bulbophyllum gracillimum,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,12448.0,Plantae,Equisetopsida,Orchidaceae,Bulbophyllum gracillimum,graceful orchid,(Rolfe) Rolfe,V,Y,Vulnerable,Queensland Endemic,Vulnerable
154918.0,954413.0,Oeceoclades pulchra,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,,,,,,,,,,,,
154449.0,937255.0,Caladenia major,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,,,,,,,,,,,,
154450.0,937256.0,Caladenia minorata,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,,,,,,,,,,,,
154451.0,937266.0,Caladenia caerulea,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,,,,,,,,,,,,
152890.0,552476.0,Cyanicula caerulea,Least concern,Queensland Nature Conservation Act 1992,https://apps.des.qld.gov.au/species-search/details/?id=31824,708886.0,31824.0,Plantae,Equisetopsida,Orchidaceae,Cyanicula caerulea,,(R.Br.) Hopper & A.P.Br.,SL,Y,Special least concern,Intranational,
152652.0,506956.0,Nervilia crociformis,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,8552.0,Plantae,Equisetopsida,Orchidaceae,Nervilia crociformis,,(Zoll. & Moritzi) Seidenf.,NT,Y,Near Threatened,Queensland Endemic,
155106.0,963748.0,Nervilia simplex,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,,,,,,,,,,,,
155739.0,472420.0,Hymenasplenium unilaterale,endangered,QLD DEHP,https://data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife/resource/1c8b4859-31a4-42e7-8e63-b7cf125d4321,708886.0,,,,,,,,,,,,
152440.0,136197.0,Cycas media,Special least concern,QLD DEHP, https://www.data.qld.gov.au/dataset/conservation-status-of-queensland-wildlife,708886.0,17503.0,Plantae,Equisetopsida,Cycadaceae,Cycas media,,R.Br.,SL,Y,Special least concern,Queensland Endemic,
