wildnetTaxonID,name,status,wildnet_geoprivacy,lsid,scientificName,canonicalName,canonicalNameComplete,type,rankMarker,new_geoprivacy,status_id,taxon_id,user_id,description,iucn,authority,status_inat,geoprivacy,place_id,place_display_name,new_authority,new_description,new_url,new_place_id,new_username,new_iucn_equivalent,new_status,id,taxonID,identifier,parentNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,modified,taxonRank,references
41704,Styphelia sp. (Coolmunda D.Halford Q1635),Endangered,open,ALA_DR652_770,Styphelia spec.,Styphelia spec.,Styphelia spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7445,Prostanthera sp. (Dunmore D.M.Gordon 8A),Vulnerable,open,https://id.biodiversity.org.au/node/apni/2910678,Prostanthera spec.,Prostanthera spec.,Prostanthera spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6393,Acacia sp. (Castletower N.Gibson TOI345),Vulnerable,open,https://id.biodiversity.org.au/node/apni/2902054,Acacia spec.,Acacia spec.,Acacia spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5830,Acacia sp. (Ruined Castle Creek P.I.Forster+ PIF17848),Vulnerable,open,https://id.biodiversity.org.au/node/apni/2888743,Acacia spec.,Acacia spec.,Acacia spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6822,Hardenbergia sp. (Mt Mulligan J.R.Clarkson 5775),Vulnerable,open,https://id.biodiversity.org.au/taxon/apni/51363434,Hardenbergia spec.,Hardenbergia spec.,Hardenbergia spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7048,Nymphoides sp. (Hann River J.R.Clarkson 3109),Special least concern,open,https://id.biodiversity.org.au/taxon/apni/51300271,Nymphoides spec.,Nymphoides spec.,Nymphoides spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33026,Ornduffia sp. (Laura C.Dalliston CC18),Special least concern,open,ALA_DR652_1103,Ornduffia spec.,Ornduffia spec.,Ornduffia spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30948,Wilkiea sp. (McDowall Range J.G.Tracey 14552),Near Threatened,open,https://id.biodiversity.org.au/node/apni/2918680,Wilkiea spec.,Wilkiea spec.,Wilkiea spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27869,Lenwebbia sp. (Blackall Range P.R.Sharpe 5387),Endangered,open,https://id.biodiversity.org.au/taxon/apni/51290197,Lenwebbia spec.,Lenwebbia spec.,Lenwebbia spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28334,Lenwebbia sp. (Main Range P.R.Sharpe+ 4877),Critically Endangered,open,https://id.biodiversity.org.au/taxon/apni/51290197,Lenwebbia spec.,Lenwebbia spec.,Lenwebbia spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6090,Phyllanthus sp. (Bulburin P.I.Forster+ PIF16034),Vulnerable,open,https://id.biodiversity.org.au/taxon/apni/51311187,Phyllanthus spec.,Phyllanthus spec.,Phyllanthus spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33473,Samadera sp. (Kennedy River J.R.Clarkson 5645),Vulnerable,open,ALA_DR652_2048,Samadera spec.,Samadera spec.,Samadera spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6891,Stackhousia sp. (McIvor River J.R.Clarkson 5201),Endangered,open,https://id.biodiversity.org.au/node/apni/2904183,Stackhousia spec.,Stackhousia spec.,Stackhousia spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7382,Argyrodendron sp. (Boonjie B.P.Hyland RFK2139),Near Threatened,open,https://id.biodiversity.org.au/taxon/apni/51288337,Argyrodendron spec.,Argyrodendron spec.,Argyrodendron spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7390,Brachychiton sp. (Altanmoui Range D.G.Fell+ DGF3202),Special least concern,open,https://id.biodiversity.org.au/node/apni/2903599,Brachychiton spec.,Brachychiton spec.,Brachychiton spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7389,Brachychiton sp. (Ormeau L.H.Bird AQ435851),Critically Endangered,open,https://id.biodiversity.org.au/node/apni/2914890,Brachychiton spec.,Brachychiton spec.,Brachychiton spec.,INFORMAL,sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
