Taxon Id,Kingdom,Class,Family,Scientific name,Common name,Taxon author,NCA status,EPBC status,Significant,Endemicity
8545,plants,land plants,Orchidaceae,Acianthus ledwardii,,Rupp,SL,EX,Y,Q
7931,plants,land plants,Orchidaceae,Acianthus pusillus,,D.L.Jones,SL,,Y,Q
35341,plants,land plants,Orchidaceae,Acianthus saxatilis,,D.L.Jones & M.A.Clem.,E,,Y,Q
20094,plants,land plants,Orchidaceae,Acriopsis,,,C,,N,U
31909,plants,land plants,Orchidaceae,Acriopsis emarginata,pale chandelier orchid,D.L.Jones & M.A.Clem.,V,V,Y,QI
20170,plants,land plants,Orchidaceae,Anoectochilus,,,C,,N,XU
12862,plants,land plants,Orchidaceae,Anoectochilus yatesiae,jewel orchid,F.M.Bailey,NT,,Y,Q
20190,plants,land plants,Orchidaceae,Aphyllorchis,,,,,N,XU
9881,plants,land plants,Orchidaceae,Aphyllorchis anomala,,Dockrill,NT,,Y,Q
12863,plants,land plants,Orchidaceae,Aphyllorchis queenslandica,,Dockrill,NT,,Y,Q
11219,plants,land plants,Orchidaceae,Apostasia,,,C,,N,U
15686,plants,land plants,Orchidaceae,Apostasia wallichii,,R.Br.,SL,,Y,QI
20195,plants,land plants,Orchidaceae,Appendicula,,,,,N,U
7919,plants,land plants,Orchidaceae,Appendicula australiensis,,(F.M.Bailey) M.A.Clem. & D.L.Jones,SL,,Y,QI
12631,plants,land plants,Orchidaceae,Appendicula reflexa,,Blume,,,N,XU
9162,plants,land plants,Orchidaceae,Arthrochilus,,,,,N,U
30805,plants,land plants,Orchidaceae,Arthrochilus apectus,,D.L.Jones,SL,,Y,Q
30806,plants,land plants,Orchidaceae,Arthrochilus aquilus,,D.L.Jones,SL,,Y,Q
41413,plants,land plants,Orchidaceae,Arthrochilus byrnesii,,Blaxell,SL,,Y,Q
30807,plants,land plants,Orchidaceae,Arthrochilus corinnae,,D.L.Jones,SL,,Y,Q
13369,plants,land plants,Orchidaceae,Arthrochilus dockrillii,,Lavarack,SL,,Y,Q
15816,plants,land plants,Orchidaceae,Arthrochilus irritabilis,leafy elbow orchid,F.Muell.,SL,,Y,Q
31121,plants,land plants,Orchidaceae,Arthrochilus lavarackianus,,(D.L.Jones) Lavarack,SL,,Y,Q
7932,plants,land plants,Orchidaceae,Arthrochilus oreophilus,,D.L.Jones,SL,,Y,Q
8527,plants,land plants,Orchidaceae,Arthrochilus prolixus,,D.L.Jones,SL,,Y,QA
7933,plants,land plants,Orchidaceae,Arthrochilus rosulatus,,D.L.Jones,SL,,Y,Q
7934,plants,land plants,Orchidaceae,Arthrochilus sabulosus,,D.L.Jones,SL,,Y,Q
7935,plants,land plants,Orchidaceae,Arthrochilus stenophyllus,,D.L.Jones,SL,,Y,Q
41483,plants,land plants,Orchidaceae,Blepharoglossum condylobulbon,,(Rchb.f.) L.Li,V,,Y,QI
39196,plants,land plants,Orchidaceae,Bletilla striata,,(Thunb.) Rchb.f.,,,,XU
41817,plants,land plants,Orchidaceae,Bogoria matutina,,(D.L.Jones & M.A.Clem.) M.A.Clem. & D.L.Jones,V,V,Y,Q
20317,plants,land plants,Orchidaceae,Bromheadia,,,C,,N,U
5601,plants,land plants,Orchidaceae,Bromheadia pulchra,,Schltr.,SL,,Y,QI
33231,plants,land plants,Orchidaceae,Bryobium dischorense,,(Schltr.) M.A.Clem. & D.L.Jones,V,,Y,Q
35688,plants,land plants,Orchidaceae,Bryobium eriaeoides,,(F.M.Bailey) M.A.Clem. & D.L.Jones,SL,,Y,Q
32737,plants,land plants,Orchidaceae,Bryobium irukandjianum,,(St.Cloud) M.A.Clem. & D.L.Jones,V,,Y,Q
33434,plants,land plants,Orchidaceae,Bryobium queenslandicum,,(T.E.Hunt) M.A.Clem. & D.L.Jones,SL,,Y,Q
13491,plants,land plants,Orchidaceae,Bulbophyllum,,,,,N,U
9493,plants,land plants,Orchidaceae,Bulbophyllum argyropus,,(Endl.) Rchb.f.,V,,Y,QA
40385,plants,land plants,Orchidaceae,Bulbophyllum aurantiacum var. wattsii,,,C,,N,Q
14016,plants,land plants,Orchidaceae,Bulbophyllum baileyi,,F.Muell.,SL,,Y,QI
9437,plants,land plants,Orchidaceae,Bulbophyllum boonjee,,B.Gray & D.L.Jones,V,,Y,Q
9887,plants,land plants,Orchidaceae,Bulbophyllum bowkettiae,,F.M.Bailey,SL,,Y,Q
13480,plants,land plants,Orchidaceae,Bulbophyllum bracteatum,,F.M.Bailey,SL,,Y,Q
13483,plants,land plants,Orchidaceae,Bulbophyllum elisae,pineapple orchid,(F.Muell.) Benth.,SL,,Y,QA
13484,plants,land plants,Orchidaceae,Bulbophyllum evasum,,T.E.Hunt & Rupp,SL,,Y,Q
14017,plants,land plants,Orchidaceae,Bulbophyllum exiguum,,F.Muell.,SL,,Y,QA
13485,plants,land plants,Orchidaceae,Bulbophyllum gadgarrense,,Rupp,SL,,Y,Q
14018,plants,land plants,Orchidaceae,Bulbophyllum globuliforme,,Nicholls,NT,V,Y,QA
12448,plants,land plants,Orchidaceae,Bulbophyllum gracillimum,graceful orchid,(Rolfe) Rolfe,V,V,Y,Q
9006,plants,land plants,Orchidaceae,Bulbophyllum grandimesense,,B.Gray & D.L.Jones,V,,Y,Q
13481,plants,land plants,Orchidaceae,Bulbophyllum johnsonii,,T.E.Hunt,SL,,Y,Q
13486,plants,land plants,Orchidaceae,Bulbophyllum lageniforme,,F.M.Bailey,SL,,Y,Q
7844,plants,land plants,Orchidaceae,Bulbophyllum lamingtonense,,D.L.Jones,SL,,Y,Q
9005,plants,land plants,Orchidaceae,Bulbophyllum lewisense,,B.Gray & D.L.Jones,SL,,Y,Q
13487,plants,land plants,Orchidaceae,Bulbophyllum lilianae,,Rendle,SL,,Y,Q
12872,plants,land plants,Orchidaceae,Bulbophyllum longiflorum,,Thouars,V,V,Y,QI
13488,plants,land plants,Orchidaceae,Bulbophyllum macphersonii,,Rupp,SL,,Y,Q
34663,plants,land plants,Orchidaceae,Bulbophyllum maxillare,,(Lindl.) Rchb.,E,,Y,QI
17779,plants,land plants,Orchidaceae,Bulbophyllum minutissimum,grain-of-wheat orchid,F.Muell.,SL,,Y,QA
13489,plants,land plants,Orchidaceae,Bulbophyllum nematopodum,,F.Muell.,SL,,Y,Q
13490,plants,land plants,Orchidaceae,Bulbophyllum newportii,,(F.M.Bailey) Rolfe,SL,,Y,Q
39191,plants,land plants,Orchidaceae,Bulbophyllum purpurascens,,Teijsm. & Binn.,C,,N,Q
13482,plants,land plants,Orchidaceae,Bulbophyllum radicans,,F.M.Bailey,SL,,Y,Q
10323,plants,land plants,Orchidaceae,Bulbophyllum schillerianum,red rope orchid,Rchb.f.,SL,,Y,QA
8228,plants,land plants,Orchidaceae,Bulbophyllum shepherdii,wheat-leaved orchid,(F.Muell.) F.Muell.,SL,,Y,QA
8196,plants,land plants,Orchidaceae,Bulbophyllum sladeanum,,A.D.Hawkes,SL,,Y,Q
39981,plants,land plants,Orchidaceae,Bulbophyllum toressae,,,C,,N,Q
13258,plants,land plants,Orchidaceae,Bulbophyllum wadsworthii,,Dockrill,SL,,Y,Q
39982,plants,land plants,Orchidaceae,Bulbophyllum wanjurum,,,C,,N,Q
9362,plants,land plants,Orchidaceae,Bulbophyllum weinthalii,blotched bulbophyllum,R.S.Rogers,V,,Y,QA
26723,plants,land plants,Orchidaceae,Bulbophyllum weinthalii subsp. striatum,,D.L.Jones,V,,Y,Q
26724,plants,land plants,Orchidaceae,Bulbophyllum weinthalii subsp. weinthalii,,R.S.Rogers,V,,Y,Q
34198,plants,land plants,Orchidaceae,Bulbophyllum whitei,,T.E.Hunt & Rupp,SL,,Y,Q
8205,plants,land plants,Orchidaceae,Bulbophyllum wilkianum,,T.E.Hunt,SL,,Y,Q
9004,plants,land plants,Orchidaceae,Bulbophyllum windsorense,,B.Gray & D.L.Jones,V,,Y,Q
7975,plants,land plants,Orchidaceae,Bulbophyllum wolfei,,B.Gray & D.L.Jones,V,,Y,Q
20332,plants,land plants,Orchidaceae,Cadetia,,,C,,N,XU
32313,plants,land plants,Orchidaceae,Cadetia clausa,,D.L.Jones & M.A.Clem.,SL,,Y,Q
9697,plants,land plants,Orchidaceae,Cadetia collinsii,,Lavarack,V,,Y,Q
13492,plants,land plants,Orchidaceae,Cadetia maideniana,,Schltr. ex Kellermann,SL,,Y,Q
17788,plants,land plants,Orchidaceae,Cadetia taylori,,(F.Muell.) Schltr.,SL,,Y,Q
33783,plants,land plants,Orchidaceae,Cadetia uniflos,,(F.M.Bailey) M.T.Mathieson,SL,,Y,Q
13493,plants,land plants,Orchidaceae,Cadetia wariana,,Schltr.,V,,Y,Q
13322,plants,land plants,Orchidaceae,Caladenia,,,,,N,U
13494,plants,land plants,Orchidaceae,Caladenia alata,fairy orchid,R.Br.,SL,,Y,QA
32546,plants,land plants,Orchidaceae,Caladenia amnicola,,D.L.Jones,,,,XU
9298,plants,land plants,Orchidaceae,Caladenia atroclavia,,D.L.Jones & M.A.Clem.,E,E,Y,Q
41502,plants,land plants,Orchidaceae,Caladenia atrovespa,,(D.L.Jones) G.N.Backh.,SL,,Y,Q
13444,plants,land plants,Orchidaceae,Caladenia carnea,,R.Br.,SL,,Y,QAI
17790,plants,land plants,Orchidaceae,Caladenia catenata,,(Sm.) Druce,SL,,Y,QA
2326,plants,land plants,Orchidaceae,Caladenia chamaephylla,,D.L.Jones,SL,,Y,Q
14021,plants,land plants,Orchidaceae,Caladenia dilatata,,R.Br.,,,N,XU
19764,plants,land plants,Orchidaceae,Caladenia filamentosa,,R.Br.,C,,N,QA
13445,plants,land plants,Orchidaceae,Caladenia filamentosa var. filamentosa,daddy long legs,R.Br.,C,,N,XU
7977,plants,land plants,Orchidaceae,Caladenia flaccida,,D.L.Jones,SL,,Y,Q
8247,plants,land plants,Orchidaceae,Caladenia fuscata,,(Rchb.f.) M.A.Clem. & D.L.Jones,SL,,Y,QA
26363,plants,land plants,Orchidaceae,Caladenia gracillima,,(Rupp) D.L.Jones,SL,,Y,Q
9297,plants,land plants,Orchidaceae,Caladenia picta,,(Nicholls) M.A.Clem. & D.L.Jones,SL,,Y,QA
20335,plants,land plants,Orchidaceae,Calanthe,,,,,N,QAI
36927,plants,land plants,Orchidaceae,Calanthe masuca x Calanthe vestita,,,,,,XU
14760,plants,land plants,Orchidaceae,Calanthe triplicata,christmas orchid,(Willemet) Ames,SL,,Y,QAI
40260,plants,land plants,Orchidaceae,Calanthe veratrifolia var. kennyi,,,C,,N,Q
18742,plants,land plants,Orchidaceae,Caleana,,,C,,N,U
14023,plants,land plants,Orchidaceae,Caleana major,flying duck orchid,R.Br.,SL,,Y,QA
8206,plants,land plants,Orchidaceae,Caleana minor,small duck orchid,R.Br.,SL,,Y,QA
9344,plants,land plants,Orchidaceae,Calochilus,,,C,,N,U
27933,plants,land plants,Orchidaceae,Calochilus ammobius,,D.L.Jones & B.Gray,SL,,Y,Q
8204,plants,land plants,Orchidaceae,Calochilus caeruleus,blue beards,L.O.Williams,SL,,Y,QI
14140,plants,land plants,Orchidaceae,Calochilus campestris,copper beard orchid,R.Br.,SL,,Y,QA
30808,plants,land plants,Orchidaceae,Calochilus cleistanthus,,D.L.Jones,SL,,Y,Q
8547,plants,land plants,Orchidaceae,Calochilus gracillimus,slender beard orchid,Rupp,,,,XU
14139,plants,land plants,Orchidaceae,Calochilus grandiflorus,giant beard orchid,(Benth.) Domin,SL,,Y,QA
9329,plants,land plants,Orchidaceae,Calochilus holtzei,,F.Muell.,,,N,XU
30809,plants,land plants,Orchidaceae,Calochilus imperiosus,,D.L.Jones,SL,,Y,Q
30803,plants,land plants,Orchidaceae,Calochilus metallicus,,D.L.Jones,SL,,Y,Q
13288,plants,land plants,Orchidaceae,Calochilus paludosus,red beard orchid,R.Br.,SL,,Y,QA
8548,plants,land plants,Orchidaceae,Calochilus psednus,,D.L.Jones & Lavarack,E,E,Y,Q
