Taxon Id,Kingdom,Class,Family,Scientific name,Common name,Taxon author,NCA status,EPBC status,Significant,Endemicity
969,animals,mammals,Rhinolophidae,Rhinolophus robertsi,greater large-eared horseshoe bat,"Tate, 1952",E,V,Y,QI
1376,animals,birds,Estrildidae,Chloebia gouldiae,Gouldian finch,"(Gould, 1844)",E,E,Y,QA
1378,animals,birds,Estrildidae,Erythrura trichroa,blue-faced parrot-finch,"(Kittlitz, 1835)",NT,,Y,QAI
1370,animals,birds,Estrildidae,Neochmia phaeton evangelinae,crimson finch (white-bellied subspecies),"(Hombron & Jacquinot, 1841)",C,E,Y,QI
1365,animals,birds,Estrildidae,Poephila cincta cincta,black-throated finch (white-rumped subspecies),"Gould, 1837",E,E,Y,QA
1355,animals,birds,Estrildidae,Stagonopleura guttata,diamond firetail,"(Shaw, 1796)",V,V,Y,QA
1435,animals,birds,Pachycephalidae,Pachycephala olivacea,olive whistler,"Vigors & Horsfield, 1827",C,,N,QA
1478,animals,birds,Meliphagidae,Anthochaera phrygia,regent honeyeater,"(Shaw, 1794)",CR,CE,Y,QA
1528,animals,birds,Meliphagidae,Epthianura crocea,yellow chat,"Castelnau & Ramsay, 1877",V,,Y,QA
22458,animals,birds,Meliphagidae,Epthianura crocea crocea,yellow chat (gulf),"Castelnau & Ramsay, 1877",V,,Y,QA
22459,animals,birds,Meliphagidae,Epthianura crocea macgregori,yellow chat (Dawson),"Keast, 1958",E,CE,Y,Q
1399,animals,birds,Acanthizidae,Hylacola pyrrhopygia,chestnut-rumped heathwren,"(Vigors & Horsfield, 1827)",C,,N,QA
1405,animals,birds,Dasyornithidae,Dasyornis brachypterus,eastern bristlebird,"(Latham, 1801)",E,E,Y,QA
1566,animals,birds,Maluridae,Amytornis ballarae,Kalkadoon grasswren,"(Mathews, 1914)",C,,N,QA
1563,animals,birds,Maluridae,Amytornis barbatus,grey grasswren,"Favaloro & McEvey, 1968",NT,,Y,QA
29885,animals,birds,Maluridae,Amytornis barbatus barbatus,grey grasswren (Bulloo),"Favaloro & McEvey, 1968",E,E,Y,QA
29886,animals,birds,Maluridae,Amytornis barbatus diamantina,grey grasswren (Lake Eyre basin),"Schodde & Christidis, 1987",NT,,Y,QA
1564,animals,birds,Maluridae,Amytornis dorotheae,Carpentarian grasswren,"(Mathews, 1914)",E,E,Y,QA
1565,animals,birds,Maluridae,Amytornis goyderi,Eyrean grasswren,"(Gould, 1875)",C,,N,QA
1568,animals,birds,Maluridae,Amytornis rowleyi,rusty grasswren,"(Gould, 1840)",NT,,Y,QA
1549,animals,birds,Maluridae,Stipiturus malachurus,southern emu-wren,"(Shaw, 1798)",V,,Y,QA
1632,animals,birds,Atrichornithidae,Atrichornis rufescens,rufous scrub-bird,"(Ramsay, 1867)",V,E,Y,QA
1133,animals,birds,Psittaculidae,Pezoporus occidentalis,night parrot,"Gould, 1861",E,E,Y,QA
1093,animals,birds,Turnicidae,Turnix olivii,buff-breasted button-quail,"Robinson, 1900",CR,E,Y,Q
1705,animals,birds,Falconidae,Falco hypoleucos,grey falcon,"Gould, 1841",V,V,Y,QA
481,animals,reptiles,Elapidae,Hoplocephalus stephensii,Stephens' banded snake,"Krefft, 1869",C,,N,QA
541,animals,reptiles,Boidae,Aspidites ramsayi,woma,"(Macleay, 1882)",NT,,Y,QA
520,animals,reptiles,Boidae,Morelia viridis,green python,"(Schlegel, 1872)",NT,,Y,QAI
315,animals,reptiles,Scincidae,Calorodius thorntonensis,Thornton Peak skink,"Greer, 1983",C,,N,Q
35480,animals,reptiles,Scincidae,Carlia wundalthini,Cape Melville rainbow skink,"Hoskin, 2014",C,,N,Q
227,animals,reptiles,Scincidae,Egernia rugosa,yakka skink,"De Vis, 1888",V,V,Y,Q
29318,animals,reptiles,Scincidae,Glaphyromorphus clandestinus,Mt Elliot skink,"Hoskin & Couper, 2004",C,,N,Q
35478,animals,reptiles,Scincidae,Glaphyromorphus othelarrni,Cape Melville bar-lipped skink,"Hoskin & Couper, 2014",C,,N,Q
18839,animals,reptiles,Scincidae,Karma tryoni,Tryon's skink,"(Longman, 1918)",E,,Y,QA
161,animals,reptiles,Scincidae,Lerista allanae,Allan's lerista,"(Longman, 1937)",E,E,Y,Q
187,animals,reptiles,Scincidae,Magmellia luteilateralis,orange-speckled forest-skink,"(Covacevich & McDonald, 1980)",V,,Y,Q
125,animals,reptiles,Scincidae,Nangura spinosa,Nangur skink,"Covacevich, Couper & James, 1993",CR,CE,Y,Q
34971,animals,reptiles,Scincidae,Saproscincus saltus,Cape Melville shade skink,"Hoskin, 2013",C,,N,Q
70,animals,reptiles,Varanidae,Varanus semiremex,rusty monitor,"Peters, 1869",C,,N,Q
389,animals,reptiles,Carphodactylidae,Orraya occultus,McIlwraith leaf-tailed gecko,"(Couper, Covacevich & Moritz, 1993)",CR,,Y,Q
22412,animals,reptiles,Carphodactylidae,Phyllurus amnicola,Mount Elliot broad-tailed gecko,"Hoskin, Couper, Schneider & Covacevich 2000",V,,Y,Q
379,animals,reptiles,Carphodactylidae,Phyllurus caudiannulatus,ringed thin-tailed gecko,"Covacevich, 1975",E,,Y,Q
22413,animals,reptiles,Carphodactylidae,Phyllurus championae,Connors' Range broad-tailed gecko,"Schneider, Couper, Hoskin & Covacevich 2000",V,,Y,Q
27779,animals,reptiles,Carphodactylidae,Phyllurus gulbaru,Gulbaru gecko,"Hoskin, Couper & Schneider 2003",CR,CE,Y,Q
380,animals,reptiles,Carphodactylidae,Phyllurus isis,Mount Jukes broad-tailed gecko,"Couper, Covaevich & Moritz, 1993",V,,Y,Q
31986,animals,reptiles,Carphodactylidae,Phyllurus kabikabi,Oakview leaf-tailed gecko,"Couper, Hamley & Hoskin 2008",CR,CE,Y,Q
34950,animals,reptiles,Carphodactylidae,Saltuarius eximius,Cape Melville leaf-tailed gecko,"Hoskin & Couper, 2013",CR,,Y,Q
398,animals,reptiles,Carphodactylidae,Uvidicolus sphyrurus,border thick-tailed gecko,"(Ogilby, 1892)",C,V,Y,QA
32050,animals,reptiles,Diplodactylidae,Oedura jowalbinna,Quinkan velvet gecko,"Hoskin & Higgie, 2008",C,,N,Q
18454,animals,reptiles,Chelidae,Elseya irwini,Irwin's turtle,"Cann, 1997",C,,N,Q
56,animals,reptiles,Chelidae,Elusor macrurus,Mary River turtle,"Cann & Legler, 1994",E,E,Y,Q
27777,animals,reptiles,Chelidae,Emydura macquarii emmotti,Emmott's short-neck turtle,"Cann, McCord & Joseph-Ouni, 2003",C,,N,QA
29733,animals,reptiles,Chelidae,Emydura subglobosa angkibaanya,Jardine River turtle,"Joseph-Ouni, Mccord, Cann, Smales & Freeman 2019",CR,,Y,Q
48,animals,reptiles,Chelidae,Rheodytes leukops,Fitzroy River turtle,"Legler & Cann, 1980",E,V,Y,Q
22659,animals,reptiles,Chelidae,Wollumbinia belli,Bell's turtle,"(Gray, 1844)",E,E,Y,QA
29399,animals,amphibians,Microhylidae,Cophixalus concinnus,beautiful nurseryfrog,"Tyler, 1979",CR,CE,Y,Q
34088,animals,amphibians,Microhylidae,Cophixalus kulakula,Kutini boulder-frog,"Hoskin & Aland, 2011",C,,N,Q
709,animals,amphibians,Microhylidae,Cophixalus mcdonaldi,Mount Elliot nurseryfrog,"Zweifel, 1985",CR,CE,Y,Q
710,animals,amphibians,Microhylidae,Cophixalus monticola,mountain nurseryfrog,"Richards, Dennis, Trenerry & Werren, 1994",CR,CE,Y,Q
711,animals,amphibians,Microhylidae,Cophixalus neglectus,Bellenden Ker nurseryfrog,"Zweifel, 1962",CR,CE,Y,Q
34089,animals,amphibians,Microhylidae,Cophixalus pakayakulangun,golden-capped boulder-frog,"Hoskin & Aland, 2011",C,,N,Q
34968,animals,amphibians,Microhylidae,Cophixalus petrophilus,blotched boulder-frog,"Hoskin, 2013",C,,N,Q
19463,animals,amphibians,Microhylidae,Cophixalus zweifeli,Cape Melville boulderfrog,"Davies & McDonald, 1998",C,,N,Q
18173,animals,amphibians,Hylidae,Litoria andiirrmalin,Melville Range treefrog,"McDonald, 1997",V,,Y,Q
18279,animals,amphibians,Hylidae,Litoria kroombitensis,Kroombit treefrog,"Hoskin, Hines, Meyer, Clarke & Cunningham, 2013",CR,CE,Y,Q
616,animals,amphibians,Hylidae,Litoria longirostris,long snouted treefrog,"Tyler & Davies, 1977",NT,,Y,Q
602,animals,amphibians,Hylidae,Litoria lorica,little waterfall frog,"Davies & McDonald, 1979",CR,CE,Y,Q
31630,animals,amphibians,Hylidae,Litoria myola,Kuranda treefrog,"Hoskin, 2007",CR,CE,Y,Q
587,animals,amphibians,Hylidae,Litoria subglandulosa,New England treefrog,"Tyler & Anstis, 1975",V,V,Y,QA
675,animals,amphibians,Myobatrachidae,Mixophyes fleayi,Fleay's barred frog,"Corben & Ingram, 1987",E,E,Y,QA
676,animals,amphibians,Myobatrachidae,Mixophyes iteratus,giant barred frog,"Straughan, 1968",V,V,Y,QA
660,animals,amphibians,Myobatrachidae,Pseudophryne covacevichae,magnificent broodfrog,"Ingram & Corben, 1994",V,V,Y,Q
653,animals,amphibians,Myobatrachidae,Taudactylus eungellensis,Eungella dayfrog,"Liem & Hosmer, 1973",E,E,Y,Q
654,animals,amphibians,Myobatrachidae,Taudactylus liemi,Eungella tinkerfrog,"Ingram, 1980",NT,,Y,Q
655,animals,amphibians,Myobatrachidae,Taudactylus pleione,Kroombit tinkerfrog,"Czechura, 1986",CR,CE,Y,Q
656,animals,amphibians,Myobatrachidae,Taudactylus rheophilus,northern tinkerfrog,"Liem & Hosmer, 1973",CR,CE,Y,Q
36765,animals,amphibians,Limnodynastidae,Philoria knowlesi,Mt Ballow mountain frog,"Mahony, Hines, Mahony & Donnellan, 2022",E,,Y,QA
687,animals,amphibians,Limnodynastidae,Philoria kundagungan,red-and-yellow mountainfrog,"(Ingram & Corben, 1975)",E,E,Y,QA
18163,animals,ray-finned fishes,Gobiidae,Chlamydogobius micropterus,Elizabeth Springs goby,"Larson, 1995",E,E,Y,Q
18164,animals,ray-finned fishes,Gobiidae,Chlamydogobius squamigenus,Edgbaston goby,"Larson, 1995",E,V,Y,Q
32228,animals,ray-finned fishes,Gobiidae,Stiphodon pelewensis,Daintree cling goby,"Herre, 1936",V,,Y,QAI
18167,animals,ray-finned fishes,Percichthyidae,Nannoperca oxleyana,Oxleyan pygmy perch,"Whitley, 1940",E,E,Y,QA
18166,animals,ray-finned fishes,Pseudomugilidae,Pseudomugil mellis,honey blue eye,"Allen & Ivantsoff, 1982",E,E,Y,Q
18165,animals,ray-finned fishes,Pseudomugilidae,Scaturiginichthys vermeilipinnis,redfin blue eye,"Ivantsoff, Unmack, Saeed & Crowley, 1991",E,E,Y,Q
27032,animals,ray-finned fishes,Melanotaeniidae,Rhadinocentrus ornatus,ornate rainbowfish,"(Regan, 1914)",,,N,QA
18,animals,insects,Lycaenidae,Hypochrysops apollo apollo,Apollo jewel (Wet Tropics subspecies),"Miskin, 1891",V,,Y,Q
6,animals,insects,Lycaenidae,Hypochrysops piceatus,bulloak jewel,"(Kerr, Macqueen & Sands, 1969)",CR,CE,Y,Q
2008,animals,insects,Nymphalidae,Argynnis hyperbius inconstans,Australian fritillary,"Butler, 1873",E,CE,Y,QA
35259,animals,insects,Petaluridae,Petalura gigantea,south-eastern petaltail,"Leach, 1815",,,N,QA
35260,animals,insects,Petaluridae,Petalura ingentissima,giant petaltail,"Tillyard, 1908",,,N,Q
32098,animals,insects,Petaluridae,Petalura litorea,coastal petaltail,"Theishinger, 1999",,,N,QA
35261,animals,insects,Petaluridae,Petalura pulcherrima,beautiful petaltail,"Tillyard, 1913",,,N,Q
33588,animals,malacostracans,Parastacidae,Cherax robustus,,"Riek, 1951",V,V,Y,Q
33590,animals,malacostracans,Parastacidae,Euastacus bindal,Mt Elliot crayfish,"Morgan, 1989",CR,CE,Y,Q
36167,animals,malacostracans,Parastacidae,Euastacus binzayedi,,"Coughran & Furse, 2013",CR,CE,Y,Q
33591,animals,malacostracans,Parastacidae,Euastacus eungella,,"Morgan, 1988",E,E,Y,Q
33593,animals,malacostracans,Parastacidae,Euastacus hystricosus,,"Riek, 1951",E,,Y,Q
33594,animals,malacostracans,Parastacidae,Euastacus jagara,Jagara hairy crayfish,"Morgan, 1988",CR,CE,Y,Q
33595,animals,malacostracans,Parastacidae,Euastacus maidae,,"(Riek, 1956)",CR,CE,Y,Q
33596,animals,malacostracans,Parastacidae,Euastacus monteithorum,,"Morgan, 1989",E,E,Y,Q
33597,animals,malacostracans,Parastacidae,Euastacus robertsi,,"Monroe, 1977",E,E,Y,Q
33603,animals,malacostracans,Parastacidae,Tenuibranchiurus glypticus,swamp crayfish,"Riek, 1951",E,,Y,Q
29180,animals,arachnids,Theraphosidae,Selenocosmia crassipes,,"(Koch, 1874)",C,,N,Q
29182,animals,arachnids,Theraphosidae,Selenocosmia strenua,,"(Thorell, 1881)",C,,N,Q
29185,animals,arachnids,Theraphosidae,Selenotypus plumipes,,"Pocock, 1895",C,,N,Q
42130,fungi,lecanoromycetes,Parmeliaceae,Relicina rahengensis,,"(Vain.) Kirika, Divakar & Lumbsch",C,,N,QA
17957,plants,land plants,Aponogetonaceae,Aponogeton,,,,,N,U
11218,plants,land plants,Aponogetonaceae,Aponogeton bullosus,,H.Bruggen,E,E,Y,QA
30917,plants,land plants,Aponogetonaceae,Aponogeton cuneatus,,S.W.L.Jacobs,SL,,Y,Q
12437,plants,land plants,Aponogetonaceae,Aponogeton elongatus,,F.Muell. ex Benth.,C,,N,U
21902,plants,land plants,Aponogetonaceae,Aponogeton elongatus subsp. elongatus,,F.Muell. ex Benth.,NT,,Y,QA
21903,plants,land plants,Aponogetonaceae,Aponogeton elongatus subsp. fluitans,,Hellq. & S.W.L.Jacobs,V,,Y,Q
21901,plants,land plants,Aponogetonaceae,Aponogeton lancesmithii,,Hellq. & S.W.L.Jacobs,E,,Y,Q
21900,plants,land plants,Aponogetonaceae,Aponogeton prolifer,,Hellq. & S.W.L.Jacobs,E,E,Y,Q
11267,plants,land plants,Aponogetonaceae,Aponogeton queenslandicus,,H.Bruggen,SL,,Y,QA
21847,plants,land plants,Aponogetonaceae,Aponogeton vanbruggenii,,Hellq. & S.W.L.Jacobs,SL,,Y,QA
6523,plants,land plants,Arecaceae,Archontophoenix myolensis,,Dowe,E,E,Y,Q
12864,plants,land plants,Arecaceae,Arenga australasica,,(H.Wendl. & Drude) S.T.Blake ex H.E. Moore,V,,Y,QA
8610,plants,land plants,Arecaceae,Calamus aruensis,,Becc.,V,,Y,QI
12823,plants,land plants,Arecaceae,Calamus warburgii,,K.Schum.,V,,Y,QI
29580,plants,land plants,Arecaceae,Hydriastele costata,,F.M.Bailey,V,V,Y,QI
12768,plants,land plants,Arecaceae,Linospadix palmerianus,,(F.M.Bailey) Burret,NT,,Y,Q
26863,plants,land plants,Arecaceae,Livistona concinna,,Dowe & Barfod,NT,,Y,Q
12780,plants,land plants,Arecaceae,Livistona drudei,Halifax fan palm,F.Muell.,V,,Y,Q
3321,plants,land plants,Arecaceae,Livistona fulva,,Rodd,V,,Y,Q
2224,plants,land plants,Arecaceae,Livistona lanuginosa,,Rodd,V,V,Y,Q
3322,plants,land plants,Arecaceae,Livistona nitida,,Rodd,NT,,Y,Q
8539,plants,land plants,Arecaceae,Wodyetia bifurcata,foxtail palm,A.K.Irvine,V,,Y,Q
9655,plants,land plants,Orchidaceae,Acianthus,,,C,,,U
7974,plants,land plants,Orchidaceae,Acianthus borealis,,D.L.Jones,SL,,Y,Q
13477,plants,land plants,Orchidaceae,Acianthus caudatus,mayfly orchid,R.Br.,SL,,Y,QA
14086,plants,land plants,Orchidaceae,Acianthus exsertus,,R.Br.,SL,,Y,QA
14087,plants,land plants,Orchidaceae,Acianthus fornicatus,pixie caps,R.Br.,SL,,Y,QA
