sourceOrigin,Species,authority,vernacularName,family,sourceStatus,epbcaStatus,class
,Pimelea sp. Tunbridge,(A.Moscal 9026) Tas Herbarium,grassland riceflower,Thymelaeaceae,e,,vascular
end,Planocarpa nitida,(Jarman) C.M.Weiller,black cheeseberry,Ericaceae,r,,vascular
end,Planocarpa sulcata,(Mihaich) C.M.Weiller,grooved cheeseberry,Ericaceae,r,,vascular
,Plantago debilis,R.Br.,shade plantain,Plantaginaceae,r,,vascular
,Plantago glacialis,"B.G.Briggs, Carolin & Pulley",small star plantain,Plantaginaceae,r,,vascular
,Pneumatopteris pennigera,(G.Forst.) Holttum,lime fern,Thelypteridaceae,e,,vascular
sa,Poa cookii,(Hook.f.) Hook.f. ,cooks tussockgrass,Poaceae,e,,vascular
,Poa halmaturina,J.M.Black,dune tussockgrass,Poaceae,r,,vascular
end,Poa mollis,Vickery,soft tussockgrass,Poaceae,r,,vascular
,Podotheca angustifolia,(Labill.) Less.,sticky longheads,Asteraceae,x,,vascular
,Polyscias sp. Douglas-Denison,(R.B.Schahinger HO 526133) Tas. Herbarium,ferny panax,Araliaceae,e,,vascular
tmi,Polystichum vestitum,(G.Forst.) C.Presl,prickly shieldfern,Dryopteridaceae,e,,vascular
,Pomaderris elachophylla,F.Muell.,small-leaf dogwood,Rhamnaceae,v,,vascular
,Pomaderris intermedia,Sieber ex DC.,lemon dogwood,Rhamnaceae,r,,vascular
,Pomaderris oraria subsp. oraria,F.Muell. ex Reissek,bassian dogwood,Rhamnaceae,r,,vascular
,Pomaderris paniculosa subsp. paralia,N.G.Walsh ,shining dogwood,Rhamnaceae,r,,vascular
,Pomaderris phylicifolia subsp. ericoides,(Maiden & Betche) N.G.Walsh & Coates,revolute narrowleaf dogwood,Rhamnaceae,r,,vascular
,Pomaderris phylicifolia subsp. phylicifolia,Lodd. ex Link,narrowleaf dogwood,Rhamnaceae,r,,vascular
end,Pomaderris pilifera subsp. talpicutica,A.M.Gray & M.Wapstra,moleskin dogwood,Rhamnaceae,v,VU,vascular
end,Poranthera petalifera,(Orchard & J.B.Davies) Halford & R.J.F.Hend.,mountain poranthera,Phyllanthaceae,v,VU,vascular
end,Prasophyllum abblittiorum,P.A.Collier,pallid leek-orchid,Orchidaceae,e,,vascular
end,Prasophyllum amoenum,D.L.Jones,dainty leek-orchid,Orchidaceae,v,EN,vascular
end,Prasophyllum apoxychilum,D.L.Jones,tapered leek-orchid,Orchidaceae,v,EN,vascular
end,Prasophyllum atratum,D.L.Jones,three hummock leek-orchid,Orchidaceae,e,CR,vascular
end,Prasophyllum castaneum,D.L.Jones,chestnut leek-orchid,Orchidaceae,e,CR,vascular
end,Prasophyllum crebriflorum,D.L.Jones,crowded leek-orchid,Orchidaceae,e,EN,vascular
end,Prasophyllum favonium,D.L.Jones,western leek-orchid,Orchidaceae,e,CR,vascular
end,Prasophyllum incorrectum,D.L.Jones,golfers leek-orchid,Orchidaceae,e,CR,vascular
end,Prasophyllum limnetes,D.L.Jones,marsh leek-orchid,Orchidaceae,e,CR,vascular
end,Prasophyllum milfordense,D.L.Jones,milford leek-orchid,Orchidaceae,e,CR,vascular
end,Prasophyllum olidum,D.L.Jones,pungent leek-orchid,Orchidaceae,e,CR,vascular
end,Prasophyllum perangustum,D.L.Jones,knocklofty leek-orchid,Orchidaceae,e,CR,vascular
end,Prasophyllum pulchellum,D.L.Jones,pretty leek-orchid,Orchidaceae,e,CR,vascular
end,Prasophyllum robustum,(Nicholls) M.A. Clem. & D.L.Jones,robust leek-orchid,Orchidaceae,e,CR,vascular
end,Prasophyllum secutum,D.L.Jones,northern leek-orchid,Orchidaceae,e,EN,vascular
end,Prasophyllum sp. Arthurs Lake,(R.Smith DLJ11363) Tas Herbarium,mountain leek-orchid,Orchidaceae,e,,vascular
end,Prasophyllum stellatum,D.L.Jones,ben lomond leek-orchid,Orchidaceae,e,CR,vascular
,Prasophyllum tadgellianum,R.S.Rogers,tadgells leek-orchid,Orchidaceae,r,,vascular
end,Prasophyllum taphanyx,D.L.Jones,graveside leek-orchid,Orchidaceae,e,CR,vascular
end,Prasophyllum tunbridgense,D.L.Jones,tunbridge leek-orchid,Orchidaceae,e,EN,vascular
,Prostanthera cuneata,Benth.,alpine mintbush,Lamiaceae,x,,vascular
,Prostanthera rotundifolia,R.Br.,roundleaf mintbush,Lamiaceae,v,,vascular
end,Pterostylis atriola,D.L.Jones,snug greenhood,Orchidaceae,r,,vascular
end,Pterostylis commutata,D.L.Jones,midlands greenhood,Orchidaceae,e,CR,vascular
,Pterostylis cucullata subsp. cucullata,R.Br.,leafy greenhood,Orchidaceae,e,VU,vascular
,Pterostylis falcata,R.S.Rogers,sickle greenhood,Orchidaceae,e,,vascular
,Pterostylis grandiflora,R.Br.,superb greenhood,Orchidaceae,r,,vascular
,Pterostylis lustra,D.L.Jones,small sickle greenhood,Orchidaceae,e,,vascular
end,Pterostylis pratensis,D.L.Jones,liawenee greenhood,Orchidaceae,v,VU,vascular
end,Pterostylis rubenachii,D.L.Jones,arthur river greenhood,Orchidaceae,e,EN,vascular
,Pterostylis sanguinea,D.L.Jones & M.A.Clem.,banded greenhood,Orchidaceae,r,,vascular
,Pterostylis squamata,R.Br.,ruddy greenhood,Orchidaceae,v,,vascular
,Pterostylis tunstallii,D.L.Jones & M.A.Clem.,tunstalls greenhood,Orchidaceae,e,,vascular
end,Pterostylis wapstrarum,D.L.Jones,fleshy greenhood,Orchidaceae,e,CR,vascular
end,Pterostylis ziegeleri,D.L.Jones,grassland greenhood,Orchidaceae,v,VU,vascular
,Puccinellia perlaxa,(Stapf ex N.G.Walsh) N.G.Walsh & A.R.Williams,spreading saltmarshgrass,Poaceae,r,,vascular
,Pultenaea humilis,Benth. ex Hook.f.,dwarf bushpea,Fabaceae,v,,vascular
,Pultenaea mollis,Lindl.,soft bushpea,Fabaceae,v,,vascular
,Pultenaea prostrata,Benth. ex Hook.f.,silky bushpea,Fabaceae,v,,vascular
,Pultenaea sericea,(Benth.) Corrick,chaffy bushpea,Fabaceae,v,,vascular
t,Ranunculus acaulis,Banks & Sol. ex DC.,dune buttercup,Ranunculaceae,r,,vascular
end,Ranunculus collicola,Menadue,lake augusta buttercup,Ranunculaceae,r,,vascular
,Ranunculus diminutus,B.G.Briggs,brackish buttercup,Ranunculaceae,e,,vascular
end,Ranunculus jugosus,Menadue,twinned buttercup,Ranunculaceae,r,,vascular
end,Ranunculus prasinus,Menadue,midlands buttercup,Ranunculaceae,e,EN,vascular
,Ranunculus pumilio var. pumilio,R.Br. ex DC.,ferny buttercup,Ranunculaceae,r,,vascular
,Rhodanthe anthemoides,(Spreng.) Paul G.Wilson,chamomile sunray,Asteraceae,r,,vascular
,Rhytidosporum inconspicuum,"L.W.Cayzer, Crisp & I.Telford ",alpine appleberry,Pittosporaceae,e,,vascular
,Rumex bidens,R.Br.,mud dock,Polygonaceae,v,,vascular
,Ruppia megacarpa,R.Mason,largefruit seatassel,Ruppiaceae,r,,vascular
,Ruppia tuberosa,J.S.Davis & Toml.,tuberous seatassel,Ruppiaceae,r,,vascular
end,Rytidosperma remotum,(D.I.Morris) A.M.Humphreys & H.P.Linder,remote wallabygrass,Poaceae,r,,vascular
end,Sagina diemensis,L.G.Adams,tasmanian pearlwort,Caryophyllaceae,e,EN,vascular
,Scaevola aemula,R.Br.,fairy fanflower,Goodeniaceae,e,,vascular
,Scaevola albida,(Sm.) Druce,pale fanflower,Goodeniaceae,v,,vascular
,Schenkia australis,(R.Br.) G.Mans.,spike centaury,Gentianaceae,r,,vascular
,Schoenoplectus tabernaemontani,(C.C.Gmel.) Palla,river clubsedge,Cyperaceae,r,,vascular
,Schoenus brevifolius,R.Br.,zigzag bogsedge,Cyperaceae,r,,vascular
,Schoenus latelaminatus,Kük.,medusa bog sedge,Cyperaceae,e,,vascular
,Scleranthus diander,R.Br.,tufted knawel,Caryophyllaceae,v,,vascular
,Scleranthus fasciculatus,(R.Br.) Hook.f.,spreading knawel,Caryophyllaceae,v,,vascular
,Scutellaria humilis,R.Br.,dwarf scullcap,Lamiaceae,r,,vascular
,Senecio campylocarpus,I.Thomps.,bulging fireweed,Asteraceae,v,,vascular
,Senecio extensus,I.Thomps.,subalpine fireweed,Asteraceae,e,,vascular
,Senecio georgianus,DC.,grey groundsel,Asteraceae,x,EX,vascular
,Senecio longipilus,I.Thomps.,longhair fireweed,Asteraceae,v,,vascular
,Senecio macrocarpus,Belcher,largefruit fireweed,Asteraceae,x,VU,vascular
,Senecio psilocarpus,Belcher & Albr.,swamp fireweed,Asteraceae,e,VU,vascular
,Senecio squarrosus,A.Rich.,leafy fireweed,Asteraceae,r,,vascular
end,Senecio tasmanicus,I.Thomps.,tasmanian fireweed,Asteraceae,x,,vascular
,Sicyos australis,Endl.,star cucumber,Cucurbitaceae,r,,vascular
,Siloxerus multiflorus,Nees,small wrinklewort,Asteraceae,r,,vascular
,Solanum opacum,A.Braun & Bouché,greenberry nightshade,Solanaceae,e,,vascular
,Sowerbaea juncea,Andrews,purple rushlily,Laxmanniaceae,v,,vascular
,Spyridium eriocephalum var. eriocephalum,Fenzl,heath dustymiller,Rhamnaceae,e,,vascular
end,Spyridium lawrencei,(Hook.f.) Benth.,small-leaf dustymiller,Rhamnaceae,v,EN,vascular
end,Spyridium obcordatum,(Hook.f.) W.M.Curtis,creeping dustymiller,Rhamnaceae,v,VU,vascular
end,Spyridium parvifolium var. molle,(Hook.f.) Benth. ,soft dustymiller,Rhamnaceae,r,,vascular
,Spyridium parvifolium var. parvifolium,(Hook.) F.Muell.,coast dustymiller,Rhamnaceae,r,,vascular
,Spyridium vexilliferum var. vexilliferum,(Hook.) Reissek,helicopter bush,Rhamnaceae,r,,vascular
,Stackhousia pulvinaris,F.Muell.,alpine candles,Celastraceae,v,,vascular
,Stackhousia subterranea,W.R.Barker,grassland candles,Celastraceae,e,,vascular
,Stellaria multiflora subsp. nebulosa,C.H.Mill. & J.G.West,nebulous rayless starwort,Caryophyllaceae,r,,vascular
end,Stenanthemum pimeleoides,(Hook.f.) Benth.,propellor plant,Rhamnaceae,v,VU,vascular
,Stenopetalum lineare,R.Br. ex DC.,narrow threadpetal,Brassicaceae,e,,vascular
end,Stonesiella selaginoides,(Hook.f.) Crisp & P.H.Weston,clubmoss bushpea,Fabaceae,e,EN,vascular
,Stuckenia pectinata,(L.) Börner,fennel pondweed,Potamogetonaceae,r,,vascular
,Stylidium beaugleholei,J.H.Willis,blushing triggerplant,Stylidiaceae,r,,vascular
,Stylidium despectum,R.Br.,small triggerplant,Stylidiaceae,r,,vascular
,Stylidium perpusillum,Hook.f.,tiny triggerplant,Stylidiaceae,r,,vascular
,Taraxacum aristum,Hagl. & Markl.,mountain dandelion,Asteraceae,r,,vascular
,Taraxacum cygnorum,Hand.-Maz.,coast dandelion,Asteraceae,,VU,vascular
,Tetratheca ciliata,Lindl.,northern pinkbells,Elaeocarpaceae,r,,vascular
end,Tetratheca gunnii,Hook.f.,shy pinkbells,Elaeocarpaceae,e,CR,vascular
,Teucrium corymbosum,R.Br.,forest germander,Lamiaceae,r,,vascular
,Thelymitra antennifera,(Lindl.) Hook.f.,rabbit ears,Orchidaceae,e,,vascular
,Thelymitra atronitida,Jeanes,blackhood sun-orchid,Orchidaceae,e,,vascular
,Thelymitra benthamiana,Rchb.f.,blotched sun-orchid,Orchidaceae,e,,vascular
,Thelymitra bracteata,J.Z.Weber ex Jeanes,leafy sun-orchid,Orchidaceae,e,,vascular
,Thelymitra holmesii,Nicholls,bluestar sun-orchid,Orchidaceae,r,,vascular
,Thelymitra improcera,D.L.Jones & M.A.Clem.,coast sun-orchid,Orchidaceae,e,,vascular
,Thelymitra inflata,Jeanes,inflated sun-orchid,Orchidaceae,e,,vascular
end,Thelymitra jonesii,Jeanes,skyblue sun-orchid,Orchidaceae,e,EN,vascular
,Thelymitra lucida,Jeanes,glistening sun-orchid,Orchidaceae,e,,vascular
,Thelymitra malvina,"M.A.Clem., D.L.Jones & Molloy",mauvetuft sun-orchid,Orchidaceae,e,,vascular
,Thelymitra mucida,Fitzg.,plum sun-orchid,Orchidaceae,e,,vascular
,Thesium australe,R.Br.,southern toadflax,Santalaceae,x,VU,vascular
,Thryptomene micrantha,Hook.f.,ribbed heathmyrtle,Myrtaceae,v,,vascular
,Thynninorchis huntiana,(F.Muell.) D.L.Jones & M.A.Clem.,elbow orchid,Orchidaceae,x,,vascular
end,Thynninorchis nothofagicola,(D.L.Jones) D.L.Jones & M.A.Clem.,myrtle elbow orchid,Orchidaceae,e,CR,vascular
,Tmesipteris parva,N.A.Wakef.,small forkfern,Psilotaceae,v,,vascular
,Tricoryne elatior,R.Br.,yellow rushlily,Hemerocallidaceae,v,,vascular
,Tricostularia pauciflora,(F.Muell.) Benth.,needle bogsedge,Cyperaceae,r,,vascular
,Triglochin minutissima,F.Muell.,tiny arrowgrass,Juncaginaceae,r,,vascular
,Triglochin mucronata,R.Br.,prickly arrowgrass,Juncaginaceae,e,,vascular
,Triptilodiscus pygmaeus,Turcz.,dwarf sunray,Asteraceae,v,,vascular
,Trithuria submersa,Hook.f.,submerged watertuft,Hydatellaceae,r,,vascular
t,Uncinia elegans,(Kük.) Hamlin,handsome hooksedge,Cyperaceae,r,,vascular
,Utricularia australis,R.Br.,yellow bladderwort,Lentibulariaceae,r,,vascular
,Utricularia tenella,R.Br.,pink bladderwort,Lentibulariaceae,r,,vascular
,Utricularia violacea,R.Br.,violet bladderwort,Lentibulariaceae,r,,vascular
,Vallisneria australis,S.W.L.Jacobs & Les,river ribbons,Hydrocharitaceae,r,,vascular
,Velleia paradoxa,R.Br.,spur velleia,Goodeniaceae,v,,vascular
t,Veronica ciliolata subsp. fiordensis,(Ashwin) Meudt,ben lomond cushionplant,Plantaginaceae,v,VU,vascular
,Veronica notabilis,F.Muell. ex Benth.,forest speedwell,Plantaginaceae,e,,vascular
end,Veronica novae-hollandiae,Poir.,coast speedwell,Plantaginaceae,v,,vascular
,Veronica plebeia,R.Br.,trailing speedwell,Plantaginaceae,r,,vascular
,Viminaria juncea,(Schrad. & J.Wendl.) Hoffmanns.,golden spray,Fabaceae,e,,vascular
,Viola caleyana,G.Don,swamp violet,Violaceae,r,,vascular
t,Viola cunninghamii,Hook.f.,alpine violet,Violaceae,r,,vascular
end,Viola curtisiae,(L.G.Adams) K.R.Thiele,montane ivyleaf violet,Violaceae,r,,vascular
,Vittadinia australasica var. oricola,N.T.Burb.,coast new-holland-daisy,Asteraceae,e,,vascular
end,Vittadinia burbidgeae,A.M.Gray & Rozefelds,smooth new-holland-daisy,Asteraceae,r,,vascular
,Vittadinia cuneata var. cuneata,DC.,fuzzy new-holland-daisy,Asteraceae,r,,vascular
,Vittadinia gracilis,(Hook.f.) N.T.Burb.,woolly new-holland-daisy,Asteraceae,r,,vascular
,Vittadinia muelleri,N.T.Burb.,narrowleaf new-holland-daisy,Asteraceae,r,,vascular
end,Westringia angustifolia,R.Br.,narrowleaf westringia,Lamiaceae,r,,vascular
,Wilsonia humilis,R.Br.,silky wilsonia,Convolvulaceae,r,,vascular
,Wilsonia rotundifolia,Hook.,roundleaf wilsonia,Convolvulaceae,r,,vascular
,Wurmbea latifolia subsp. vanessae,R.J.Bates,broadleaf early nancy,Colchicaceae,e,,vascular
end,Xanthorrhoea arenaria,D.J.Bedford,sand grasstree,Xanthorrhoeaceae,v,VU,vascular
end,Xanthorrhoea bracteata,R.Br.,shiny grasstree,Xanthorrhoeaceae,v,EN,vascular
,Xerochrysum bicolor,(Lindl.) R.J.Bayer,eastcoast paperdaisy,Asteraceae,r,,vascular
,Xerochrysum palustre,(Flann) R.J.Bayer,swamp paperdaisy,Asteraceae,v,VU,vascular
,Zieria littoralis,J.A.Armstr.,downy zieria,Rutaceae,r,,vascular
,Zieria veronicea subsp. veronicea,(F.Muell.) Benth.,pink zieria,Rutaceae,e,,vascular
,Zygophyllum billardierei,DC.,coast twinleaf,Zygophyllaceae,r,,vascular
end,Ambuchanania leucobryoides,"(Yamaguchi, Seppelt, Iwatsuki & Buchanan) Seppelt & Crum",daisy pan moss,Ambuchananiaceae,r,,non-vascular
,Austromelanelixia piliferella,"(Essl.) Divakar, Crespo & Lumbsch ",,Parmeliaceae,v,,non-vascular
end,Austroparmelina pallida,(Elix & Kantvilas) Kantvilas & Divakar,,Parmeliaceae,e,,non-vascular
end,Austroparmelina whinrayi,(Elix) Kantvilas & Divakar,,Parmeliaceae,r,,non-vascular
t,Bunodophoron notatum,(Tibell) Wedin,,Sphaerophoraceae,e,,non-vascular
t,Calycidium cuneatum,Stirt.,,Calycidiaceae,r,,non-vascular
t,Calycidium polycarpum,(Colenso) Wedin,,Calycidiaceae,r,,non-vascular
,Cetraria islandica subsp. antarctica,Kärnefelt,,Parmeliaceae,r,,non-vascular
,Erioderma sorediatum,D.J.Galloway & P.M.Jørg.,,Pannariaceae,e,,non-vascular
,Hypotrachyna immaculata,(Kurok.) Hale,,Parmeliaceae,r,,non-vascular
t,Hypotrachyna laevigata,(Sm.) Hale,,Parmeliaceae,v,,non-vascular
end,Menegazzia minuta,P.James & Kantvilas,,Parmeliaceae,e,,non-vascular
,Parmeliopsis ambigua,(Wulf.) Nyl.,,Parmeliaceae,r,,non-vascular
t,Parmeliopsis hyperopta,(Ach.) Arnold,,Parmeliaceae,r,,non-vascular
,Parmotrema crinitum,(Ach.) M.Choisy,,Parmeliaceae,r,,non-vascular
,Pseudocephalozia paludicola,R.M.Schuster,liverwort,Lepidoziaceae,,VU,non-vascular
,Punctelia subflava,(Taylor) Elix & J.Johnst.,,Parmeliaceae,x,,non-vascular
t,Roccellinastrum neglectum,Henssen & Vobis,,Roccellinastraceae,e,,non-vascular
,Sirophysalis trinodis,(Forsskal) Kutzing,three-node seaweed,Sargassaceae,r,,non-vascular
,Teloschistes flavicans,(Sw.) Norm. ,golden-hair lichen,Teloschistaceae,r,,non-vascular
,Xanthoparmelia amphixantha,(Müll.Arg.) Hale ,,Parmeliaceae,e,,non-vascular
end,Xanthoparmelia graniticola,"(Elix & Kantvilas) O.Blanco, A.Crespo, Elix, D.Hawksw. & Lumbsch",,Parmeliaceae,r,,non-vascular
end,Xanthoparmelia jarmaniae,Elix & Kantvilas,,Parmeliaceae,v,,non-vascular
,Xanthoparmelia mannumensis,(Elix) Elix & J.Johnst. ,,Parmeliaceae,v,,non-vascular
,Xanthoparmelia microphyllizans,Elix ,,Parmeliaceae,r,,non-vascular
,Xanthoparmelia molliuscula,(Ach.) Hale,,Parmeliaceae,e,,non-vascular
,Xanthoparmelia oleosa,(Elix & P.Armstr.) Elix & T.H.Nash ,,Parmeliaceae,r,,non-vascular
,Xanthoparmelia subloxodella,"(Elix & Kantvilas) O.Blanco, A.Crespo, Elix, D.Hawksw. & Lumbsch",,Parmeliaceae,e,,non-vascular
end,Xanthoparmelia vicaria,Elix & J.Johnst.,,Parmeliaceae,r,,non-vascular
end,Xanthoparmelia vicariella,Elix & Kantvilas,,Parmeliaceae,r,,non-vascular
,Xanthoparmelia willisii,(Kurok. & Filson) Elix & J.Johnst.,,Parmeliaceae,e,,non-vascular
end,Allanaspides hickmani ,"Swain, Wilson & Ong",Hickman's Pigmy Mountain Shrimp,Syncarida,r,,invertebrate
end,Amelora acontistica ,Turner,Chevron Looper Moth,Lepidoptera,v,,invertebrate
end,Ammoniropa vigens,(Legrand),Ammonite Pinwheel Snail,Eupulmonata,e,CR,invertebrate
end,Antipodia chaostola leucophaea,Couchman,Tasmanian Chaostola Skipper,Lepidoptera,e,EN,invertebrate
end,Astacopsis gouldi ,Clark,Giant Freshwater Crayfish,Decapoda,v,VU,invertebrate
end,Attenborougharion rubicundus,(Dartnall and Kershaw),Burgundy Snail,Sigmurethra,r,,invertebrate
,Austrorhytida lamproides ,(Cox),Keeled Carnivorous Snail,Sigmurethra,r,,invertebrate
end,Beddomeia angulata ,Ponder & Clark,Rapid River Freshwater Snail,Mesogastropoda,r,,invertebrate
end,Beddomeia averni ,Ponder & Clark,Hydrobiid Snail (West Gawler),Mesogastropoda,e,,invertebrate
end,Beddomeia bellii ,Petterd,Bells Freshwater Snail,Mesogastropoda,r,,invertebrate
end,Beddomeia bowryensis ,Ponder & Clark,Hydrobiid Snail (Bowry Creek),Mesogastropoda,r,,invertebrate
end,Beddomeia briansmithi ,Ponder & Clark,Hydrobiid Snail (Fern Creek),Mesogastropoda,v,,invertebrate
end,Beddomeia camensis ,Ponder & Clark,Hydrobiid Snail (Cam River),Mesogastropoda,e,,invertebrate
end,Beddomeia capensis ,Ponder & Clark,Hydrobiid Snail (Table Cape),Mesogastropoda,e,,invertebrate
end,Beddomeia fallax ,Ponder & Clark,Hydrobiid Snail (Heathcote Creek),Mesogastropoda,r,,invertebrate
end,Beddomeia forthensis ,Ponder & Clark,Forth River Freshwater Snail,Mesogastropoda,r,,invertebrate
end,Beddomeia franklandensis ,Ponder & Clark,Hydrobiid Snail (Frankland River ),Mesogastropoda,r,,invertebrate
end,Beddomeia fromensis ,Ponder & Clark,Hydrobiid Snail (Frome River),Mesogastropoda,e,,invertebrate
end,Beddomeia fultoni ,Ponder & Clark,Hydrobiid Snail (Farnhams Creek),Mesogastropoda,e,,invertebrate
end,Beddomeia gibba ,Ponder & Clark,Hydrobiid Snail (Salmon River Road),Mesogastropoda,r,,invertebrate
end,Beddomeia hallae ,Ponder & Clark,Hydrobiid Snail (Buttons Rivulet),Mesogastropoda,e,,invertebrate
end,Beddomeia hermansi ,Ponder & Clark,Hydrobiid Snail (Viking Creek),Mesogastropoda,e,,invertebrate
end,Beddomeia hullii ,Petterd,Hulls Freshwater Snail,Mesogastropoda,r,,invertebrate
end,Beddomeia inflata ,Ponder & Clark,Upper Castra Freshwater Snail,Mesogastropoda,r,,invertebrate
end,Beddomeia kershawi ,Ponder & Clark,Hydrobiid Snail (Macquarie River),Mesogastropoda,e,,invertebrate
end,Beddomeia krybetes ,Ponder & Clark,Hydrobiid Snail (St. Pauls River),Mesogastropoda,v,,invertebrate
end,Beddomeia launcestonensis ,Johnston,Hydrobiid Snail (Cataract Gorge),Mesogastropoda,e,,invertebrate
end,Beddomeia lodderae ,Petterd,Castra Rivulet Freshwater Snail,Mesogastropoda,v,,invertebrate
end,Beddomeia mesibovi ,Ponder & Clark,Hydrobiid Snail (Arthur River),Mesogastropoda,r,,invertebrate
end,Beddomeia minima ,Petterd,Hydrobiid Snail (Scottsdale),Mesogastropoda,r,,invertebrate
end,Beddomeia petterdi ,Ponder & Clark,Blythe River Freshwater Snail,Mesogastropoda,e,,invertebrate
end,Beddomeia phasianella ,Ponder & Clark,Hydrobiid Snail (Keddies Creek),Mesogastropoda,v,,invertebrate
end,Beddomeia protuberata ,Ponder & Clark,Hydrobiid Snail (Emu River),Mesogastropoda,r,,invertebrate
end,Beddomeia ronaldi ,Ponder & Clark,Hydrobiid Snail (St. Patricks River),Mesogastropoda,e,,invertebrate
end,Beddomeia salmonis ,Ponder & Clark,Hydrobiid Snail (Salmon River),Mesogastropoda,r,,invertebrate
end,Beddomeia tasmanica ,Tenison-Woods,Hydrobiid Snail (Terrys Creek),Mesogastropoda,r,,invertebrate
end,Beddomeia topsiae ,Ponder & Clark,Hydrobiid Snail (Williamson Creek),Mesogastropoda,r,,invertebrate
end,Beddomeia trochiformis ,Ponder & Clark,Savage River Mine Freshwater Snail,Mesogastropoda,r,,invertebrate
end,Beddomeia tumida,Petterd,Hydrobiid Snail (Great Lake),Mesogastropoda,e,,invertebrate
end,Beddomeia turnerae ,Ponder & Clark,Hydrobiid Snail (Minnow River),Mesogastropoda,r,,invertebrate
end,Beddomeia waterhouseae ,Ponder & Clark,Claytons Rivulet Freshwater Snail,Mesogastropoda,e,,invertebrate
end,Beddomeia wilmotensis ,Ponder & Clark,Wilmot River Freshwater Snail,Mesogastropoda,r,,invertebrate
end,Beddomeia wiseae ,Ponder & Clark,Hydrobiid Snail (Blizzards Creek),Mesogastropoda,v,,invertebrate
end,Beddomeia zeehanensis ,Ponder & Clark,Zeehan Freshwater Snail,Mesogastropoda,r,,invertebrate
end,Benthodorbis pawpela ,Winston Ponder,Great Lake Glacidorbid Snail,Mesogastropoda,r,,invertebrate
end,Castiarina insculpta,(Carter),Miena Jewel Beetle,Coleoptera,e,,invertebrate
,Catadromus lacordairei ,Boisduval,Green-lined Ground Beetle,Coleoptera,v,,invertebrate
end,Cavernotettix craggiensis,Richards,Craggy Island Cave Cricket,Orthoptera,r,,invertebrate
end,"Charopidae ""Skemps""",,Skemps Snail,Sigmurethra,r,,invertebrate
,Chloritobadistes victoriae ,(Cox),Southern Hairy Red Snail,Eupulmonata,v,,invertebrate
,Chrysolarentia decisaria ,Walker,Tunbridge Looper Moth,Lepidoptera,e,,invertebrate
end,Costora iena ,Mosely,Caddis Fly (Great Lakes),Trichoptera,x,,invertebrate
end,Dasybela achroa ,Lower,Saltmarsh Looper Moth,Lepidoptera,v,,invertebrate
end,Dasyurotaenia robusta,Beddard,Tapeworm (Tasmanian Devil),Cyclophyllideae,r,,invertebrate
end,Echinodillo cavaticus ,Green,Flinders Island Cave Slater,Isopoda,r,,invertebrate
end,Ecnomina vega ,Neboiss,Caddis Fly (Macquarie River),Trichoptera,r,,invertebrate
end,Enchymus sp. nov. ,Zimmerman,Weldborough Forest Weevil,Coleoptera,r,,invertebrate
end,Engaeus granulatus ,Horwitz,Central North Burrowing Crayfish,Decapoda,e,EN,invertebrate
end,Engaeus martigener,Horwitz,Furneaux Burrowing Crayfish,Decapoda,v,EN,invertebrate
end,Engaeus orramakunna,Horwitz,Mt. Arthur Burrowing Crayfish,Decapoda,v,VU,invertebrate
end,Engaeus spinicaudatus ,Horwitz,Scottsdale Burrowing Crayfish,Decapoda,e,EN,invertebrate
end,Engaeus yabbimunna ,Horwitz,Burrowing Crayfish (Burnie) ,Decapoda,v,VU,invertebrate
end,Exquisitiropa agnewi,(Legrand),Silky Pinhead Snail,Sigmurethra,r,,invertebrate
,Gazameda gunnii,(Reeve),Gunn's Screw Shell,Mesogastropoda,v,,invertebrate
end,Goedetrechus mendumae ,Moore,Cave Beetle (Ida Bay),Coleoptera,v,,invertebrate
end,Goedetrechus parallelus,Moore,Cave Beetle (Junee-Florentine),Coleoptera,v,,invertebrate
end,Hadronyche pulvinator ,Hickman,Cascade Funnel-web Spider,Araneae,x,,invertebrate
,Haloniscus searlei ,Chilton,Salt Lake Slater,Isopoda,e,,invertebrate
end,Hickmanoxyomma cavaticum ,Hickman,Ida Bay Cave Harvestman,Opilionida,r,,invertebrate
end,Hickmanoxyomma gibbergunyar ,Hunt,Cave Harvestman,Opilionida,r,,invertebrate
end,Hoplogonus bornemisszai ,Bartoluzzi,Bornemisszas Stag Beetle,Coleoptera,e,CR,invertebrate
end,Hoplogonus simsoni ,Parry,Simsons Stag Beetle,Coleoptera,v,VU,invertebrate
end,Hoplogonus vanderschoori ,Bartoluzzi,Vanderschoors Stag Beetle,Coleoptera,v,VU,invertebrate
end,Hydrobiosella sagitta ,Neboiss,Caddis Fly (St. Columba Falls),Trichoptera,r,,invertebrate
end,Hydroptila scamandra ,Neboiss,Caddis Fly (Upper Scamander River),Trichoptera,r,,invertebrate
end,Hypolimnus pedderensis ,(Jamieson),Lake Pedder Earthworm,Haplotaxida,x,EX,invertebrate
end,Idacarabus cordicollis ,Moore,Cave Beetle (Hastings Cave),Coleoptera,r,,invertebrate
end,Idacarabus troglodytes ,Lea,Ida Bay Cave Beetle,Coleoptera,r,,invertebrate
end,Leucopatus anophthalmus ,"(Ruhberg, Mesibov, Briscoe & Tait)",Blind Velvet Worm,Onychophora,e,,invertebrate
end,Lissotes latidens ,Westwood,Broad-toothed Stag Beetle,Coleoptera,e,EN,invertebrate
