sourceStatus,Status,Notes
T,Threatened 
EX,Extinct
EW,Extinct in the Wild
CR,Critically Endangered
EN,Endangered
VU,Vulnerable
,Specially Protected Species
MI,Migratory Species (Specially Protected)
CD,Conservation Dependent Species (Specially Protected)
OS,Other Specially Protected Species
P1,Priority One
P2,Priority 2
P3,Priority 3
P4,Priority 4
