,Name ID,Taxon, WA Status,WA Rank,WA IUCN Criteria,EPBC,DBCA Region,DBCA District,Distribution,Flowering Period,Recovery Plan,Notes
3374,49817,Styphelia pogonocalyx,4,,,,SCST,ALBANY,"Stirling Range, Kendenup","Apr,Jun,Feb",,
3375,49819,Styphelia psilopus,2,,,,SCST,ALBANY,Stirling Range NP,Jul,,
3376,49559,Styphelia quartzitica,2,,,,SCST,ALBANY,Fitzgerald River NP,Jul,,
3377,49560,Styphelia rectiloba,3,,,,GOLD,KALGOORLIE,Kambalda,Jan,,
3378,49824,Styphelia rotundifolia,3,,,,SCST,"ALBANY,ESPERANCE","Albany, Lucky Bay, Recherche Archipelago, Cape Le Grand NP, Mt Ragged, Esperance",Nov-Jan,,
3379,49935,Styphelia saxicola,3,,,,"GOLD,WHTB","KALGOORLIE,CENTRAL WHEATBELT","Jackson Range, Bullfinch, Koolyanobbing, Bullabulling, Diemals Stn.",Apr-May,,
3380,49144,Styphelia sp. Dumbleyung (A.J.G. Wilson 146),3,,,,"SCST,WHTB","ALBANY,GREAT SOUTHERN","Dumbleyung, Lake Grace, Lake King, Ravensthorpe",Jun,,
3381,50545,Styphelia sp. Kirkalocka (A.S. George 17738) PN,1,,,,GOLD,KALGOORLIE,Kirkalocka Station,May/June,,
3382,49054,Styphelia sp. Wandoo (F. & J. Hort 2441),2,,,,"SWAN,WHTB","PERTH HILLS,GREAT SOUTHERN","Wandoo N.P., Hillman, Katanning",,,
3383,50717,Styphelia sp. Watheroo (M. Hislop 4324) PN,2,,,,MWST,MOORA,Watheroo NP,,,
3384,49342,Styphelia sulcata,1,,,,SCST,ESPERANCE,"Bonnie Hill, South of Peak Charles","May,Jun",,
3385,49828,Styphelia tamminensis,3,,,,"MWST,WHTB","MOORA,CENTRAL WHEATBELT","Wongan Hills, Marchagee, Watheroo, Moora, Tammin","Jun, Oct-Dec",,
3386,50653,Styphelia undulata,2,,,,MWST,MOORA,Badgingarra,Dec,,
3387,13584,Swainsona disjuncta,1,,,,SCST,ESPERANCE,Fraser Range,,,
3388,4225,Swainsona ecallosa,1,,,,MWST,GERALDTON,"Williambury Stn., Boolathana Stn., Minilya River",Aug-Oct,,
3389,50432,Swainsona katjarra,1,,,,"GOLD,PILB","KALGOORLIE,KARRATHA","Carnarvon Range, Yakabindie Stn.",Aug,,
3390,51244,Swainsona picta,1,,,,MWST,GERALDTON,Karara,Aug,,
3391,49717,Swainsona sp. Burnerbinmah (D. Edinger et al. 38) PN,1,,,,MWST,GERALDTON,Payne's Find,,,
3392,42142,Swainsona thompsoniana,3,,,,PILB,KARRATHA,"Tom Price, Coolawanya, Millstream, Karijin NP, Hamersley Stn","Mar, Aug-Sep",,
3393,7044,Symonanthus bancroftii,T,CR,"A1c; B1ab(iii,v)+2ab(iii,v); C1; D",EN,WHTB,CENTRAL WHEATBELT,Bruce Rock,Jun(Sep),IRP,
3394,16765,Synaphea bifurcata,3,,,,"SCST,WHTB","ESPERANCE,GREAT SOUTHERN","Newdegate, Lake King",Sep-Nov,,
3395,17292,Synaphea boyaginensis,2,,,,WHTB,GREAT SOUTHERN,"Boyagin NR, Lake Bryde NR",Sep-Oct,,
3396,18605,Synaphea brachyceras,3,,,,WHTB,GREAT SOUTHERN,"Arthur River, Highbury",Aug-Oct,,
3397,16766,Synaphea canaliculata,2,,,,WHTB,GREAT SOUTHERN,"Newdegate, Lake King",Aug-Oct,,
3398,17272,Synaphea cervifolia,2,,,,WHTB,GREAT SOUTHERN,"Hyden, Pingaring, Tarin Rock, Heathland NR, Breakaway Ridge NR, McGlinn NR",Jun-Oct,,
3399,16868,Synaphea constricta,3,,,,WHTB,CENTRAL WHEATBELT,"Bendering, Kellerberrin, Dowerin, Minnivale, Wongan Hills, Manmanning, Duracoppin NR, Cadoux, Ballidu, Kalgarin",Jun-Sep,,
3400,16937,Synaphea decumbens,3,,,,"SWST,WARR","BLACKWOOD,DONNELLY","Lake Muir, Cambray",Sep-Oct,,
3401,31765,Synaphea diabolica,3,,,,WHTB,CENTRAL WHEATBELT,York,Aug-Nov,,
3402,12912,Synaphea drummondii,3,,,,WHTB,GREAT SOUTHERN,"Wagin, Narrogin, Yealering, Dumbleyung, Corrigin",Jul-Sep,,
3403,16858,Synaphea endothrix,3,,,,MWST,MOORA,"Badgingarra, Mt Lesueur, Eneabba, Coomallo N.R.",Aug-Sep,,
3404,16770,Synaphea flexuosa,2,,,,WHTB,GREAT SOUTHERN,"Hopkins NR, Kulin, Nyabing, Tarin Rock",Sep-Oct,,
3405,16867,Synaphea grandis,4,,,,"MWST,SWAN","MOORA,PERTH HILLS,SWAN COASTAL","Wannamal, New Norcia, Julimar, Muchea, Bindoon, Gingin",Oct-Nov,,
3406,16769,Synaphea hians,3,,,,"SWST,WARR,WHTB","BLACKWOOD,DONNELLY,WELLINGTON,GREAT SOUTHERN","Busselton, Collie, Ludlow, Capel, Crooked Brook,Unicup, Elgin, Beaufort River",Sep-Oct,,
3407,16859,Synaphea incurva,3,,,,SCST,ALBANY,"Albany, Denmark, Cheyne Beach",Sep-Oct,,
3408,16866,Synaphea intricata,3,,,,WARR,FRANKLAND,"Rocky Gully, Bow Bridge, Nornalup, Mt Frankland",Sep-Oct,,
3409,15530,Synaphea lesueurensis,2,,,,MWST,MOORA,Mt Lesueur,Aug-Oct,,
3410,17271,Synaphea macrophylla,1,,,,SWST,BLACKWOOD,Alexander Bridge,Oct,,
3411,17270,Synaphea nexosa,1,,,,SWST,BLACKWOOD,Scott River,Oct-Nov,,
3412,16865,Synaphea odocoileops,1,,,,"SWAN,SWST","BLACKWOOD,PERTH HILLS,SWAN COASTAL","Serpentine, Elgin, Byford, Wagerup",Aug-Oct,,
3413,16762,Synaphea otiostigma,3,,,,SWST,BLACKWOOD,Nannup,Oct-Nov,,
3414,15531,Synaphea oulopha,3,,,,MWST,MOORA,"Eneabba, Arrowsmith, Arrino",Jun-Aug,,
3415,31774,Synaphea pandurata,3,,,,"SWAN,WHTB","PERTH HILLS,GREAT SOUTHERN","Wandering, Brookton",Sep-Oct,,
3416,16768,Synaphea panhesya,1,,,,SWAN,"PERTH HILLS,SWAN COASTAL","Bindoon, Mogumber",Aug-Sep,,
3417,16767,Synaphea parviflora,2,,,,WHTB,GREAT SOUTHERN,Tarin Rock,Jul-Oct,,
3418,16862,Synaphea petiolaris subsp. simplex,3,,,,SWST,"BLACKWOOD,WELLINGTON","Elgin, Busselton, Ruabon, Blackwood River NP, Blackwood SF, Millbrook SF, Muja SF",Sep-Oct,,
3419,17291,Synaphea platyphylla,3,,,,"SCST,WHTB","ALBANY,GREAT SOUTHERN","Dongolocking, Bandalup Hill, Tincurrin, Toolibin,",Sep-Oct,,
3420,31767,Synaphea polypodioides,3,,,,SWST,"BLACKWOOD,WELLINGTON","Dardanup, Boyanup, Donnybrook",Sep-Oct,,
3421,2327,Synaphea preissii,3,,,,"SCST,WARR,WHTB","ALBANY,FRANKLAND,GREAT SOUTHERN","Torndirrup NP, Albany, Mt Barker, Stirling Range NP, Gnowangerup, Narrikup, Rocky Gully",Aug-Sep,,
3422,16374,Synaphea quartzitica,T,EN,D,EN,MWST,MOORA,Moora,Jul-Oct,IRP,
3423,16773,Synaphea rangiferops,2,,,,MWST,MOORA,"Calingiri, Mogumber, Gillingarra",Aug-Sep,,
3424,34416,Synaphea sp. Argyle (R. Butcher RB 1323),1,,,,SWST,BLACKWOOD,Capel,Oct,,
3425,29185,Synaphea sp. Darkin (F. Hort et al. 586),3,,,,"SWAN,WHTB","SWAN COASTAL,GREAT SOUTHERN,CENTRAL WHEATBELT","Wandoo National Park, York, Darkin",Aug-Nov,,
3426,18590,Synaphea sp. Fairbridge Farm (D. Papenfus 696),T,CR,B1ab(iii),CR,"SWAN,SWST","SWAN COASTAL,WELLINGTON","Pinjarra, Dardanup, Serpentine, Kooljerrenup N.R., Dardanup",Oct,IRP,
