scientificName,family,vernacularName,status,sourceStatus
Delma impar,Pygopodidae,Striped Legless Lizard,Vulnerable,Vulnerable
Callocephalon fimbriatum,Cacatuidae,Gang-gang Cockatoo,Vulnerable,Vulnerable
Cacophis harriettae,Elapidae,White-crowned Snake,Vulnerable,Vulnerable
Litoria booroolongensis,Hylidae,Booroolong Frog,Endangered,Endangered
Anthochaera phrygia,Meliphagidae,Regent Honeyeater,Critically Endangered,Critically Endangered
Calidris tenuirostris,Scolopacidae,Great Knot,Vulnerable,Vulnerable
Neochmia ruficauda,Estrildidae,Star Finch,Extinct,Extinct
Uvidicolus sphyrurus,Carphodactylidae,Border Thick-tailed Gecko,Vulnerable,Vulnerable
Amaurornis moluccana,Rallidae,Pale-vented Bush-hen,Vulnerable,Vulnerable
Phascogale tapoatafa,Dasyuridae,Brush-tailed Phascogale,Vulnerable,Vulnerable
Turnix maculosus,Turnicidae,Red-backed Button-quail,Vulnerable,Vulnerable
Assa darlingtoni,Myobatrachidae,Pouched Frog,Vulnerable,Vulnerable
Pseudomys australis,Muridae,Plains Rat,Vulnerable,Vulnerable
Chaeropus ecaudatus,Chaeropodidae,Pig-footed Bandicoot,Extinct,Extinct
Tiliqua occipitalis,Scincidae,Western Blue-tongued Lizard,Vulnerable,Vulnerable
Litoria spenceri,Hylidae,Spotted Tree Frog,Critically Endangered,Critically Endangered
Ninox strenua,Strigidae,Powerful Owl,Vulnerable,Vulnerable
Limosa limosa,Scolopacidae,Black-tailed Godwit,Vulnerable,Vulnerable
Carterornis leucotis,Monarchidae,White-eared Monarch,Vulnerable,Vulnerable
Stagonopleura guttata,Estrildidae,Diamond Firetail,Vulnerable,Vulnerable
Litoria subglandulosa,Hylidae,Glandular Frog,Vulnerable,Vulnerable
Pseudomys gouldii,Muridae,Gould's Mouse,Extinct,Extinct
Diomedea exulans,Diomedeidae,Wandering Albatross,Endangered,Endangered
Strophurus elderi,Diplodactylidae,Jewelled Gecko,Vulnerable,Vulnerable
Dermochelys coriacea,Dermochelyidae,Leatherback Turtle,Endangered,Endangered
Lagorchestes leporides,Macropodidae,Eastern Hare-wallaby,Extinct,Extinct
Lichenostomus fasciogularis,Meliphagidae,Mangrove Honeyeater,Vulnerable,Vulnerable
Onychogalea lunata,Macropodidae,Crescent Nailtail Wallaby,Extinct,Extinct
Aepyprymnus rufescens,Potoroidae,Rufous Bettong,Vulnerable,Vulnerable
Echiopsis curta,Elapidae,Bardick,Endangered,Endangered
Haliaeetus leucogaster,Accipitridae,White-bellied Sea-Eagle,Vulnerable,Vulnerable
Tyto tenebricosa,Tytonidae,Sooty Owl,Vulnerable,Vulnerable
Pterodroma solandri,Procellariidae,Providence Petrel,Vulnerable,Vulnerable
Aprasia parapulchella,Pygopodidae,Pink-tailed Legless Lizard,Vulnerable,Vulnerable
Chalinolobus dwyeri,Vespertilionidae,Large-eared Pied Bat,Vulnerable,Vulnerable
Ninox connivens,Strigidae,Barking Owl,Vulnerable,Vulnerable
Ixobrychus flavicollis,Ardeidae,Black Bittern,Vulnerable,Vulnerable
Burramys parvus,Burramyidae,Mountain Pygmy-possum,Endangered,Endangered
Pachycephala inornata,Pachycephalidae,Gilbert's Whistler,Vulnerable,Vulnerable
Pseudomys delicatulus,Muridae,Delicate Mouse,Endangered,Endangered
Hoplocephalus bungaroides,Elapidae,Broad-headed Snake,Endangered,Endangered
Notomys longicaudatus,Muridae,Long-tailed Hopping-mouse,Extinct,Extinct
Pezoporus occidentalis,Psittacidae,Night Parrot,Extinct,Extinct
Petaurus australis,Petauridae,Yellow-bellied Glider,Vulnerable,Vulnerable
Phaethon rubricauda,Phaethontidae,Red-tailed Tropicbird,Vulnerable,Vulnerable
Neophema chrysogaster,Psittacidae,Orange-bellied Parrot,Critically Endangered,Critically Endangered
Petroica boodang,Petroicidae,Scarlet Robin,Vulnerable,Vulnerable
Ardeotis australis,Otididae,Australian Bustard,Endangered,Endangered
Ephippiorhynchus asiaticus,Ciconiidae,Black-necked Stork,Endangered,Endangered
Fregetta grallaria,Oceanitidae,White-bellied Storm-Petrel,Vulnerable,Vulnerable
Bettongia tropica,Potoroidae,Northern Bettong,Extinct,Extinct
Calamanthus campestris,Acanthizidae,Rufous Fieldwren,Vulnerable,Vulnerable
Glossopsitta porphyrocephala,Psittacidae,Purple-crowned Lorikeet,Vulnerable,Vulnerable
Glossopsitta pusilla,Psittacidae,Little Lorikeet,Vulnerable,Vulnerable
Nettapus coromandelianus,Anatidae,Cotton Pygmy-Goose,Endangered,Endangered
Caretta caretta,Cheloniidae,Loggerhead Turtle,Endangered,Endangered
Mastacomys fuscus,Muridae,Broad-toothed Rat,Vulnerable,Vulnerable
Charadrius leschenaultii,Charadriidae,Greater Sand-plover,Vulnerable,Vulnerable
Pseudomys bolami,Muridae,Bolam's Mouse,Endangered,Endangered
Dasycercus cristicauda,Dasyuridae,Crest-tailed Mulgara,Extinct,Extinct
Pseudomys fumeus,Muridae,Smoky Mouse,Critically Endangered,Critically Endangered
Macronectes halli,Procellariidae,Northern Giant-Petrel,Vulnerable,Vulnerable
Crinia tinnula,Myobatrachidae,Wallum Froglet,Vulnerable,Vulnerable
Thalassarche cauta,Diomedeidae,Shy Albatross,Endangered,Endangered
Miniopterus australis,Miniopteridae,Little Bent-winged Bat,Vulnerable,Vulnerable
Leporillus conditor,Muridae,Greater Stick-nest Rat,Extinct,Extinct
Lathamus discolor,Psittacidae,Swift Parrot,Endangered,Endangered
Burhinus grallarius,Burhinidae,Bush Stone-curlew,Endangered,Endangered
Psephotus pulcherrimus,Psittacidae,Paradise Parrot,Extinct,Extinct
Leporillus apicalis,Muridae,Lesser Stick-nest Rat,Extinct,Extinct
Neophema splendida,Psittacidae,Scarlet-chested Parrot,Vulnerable,Vulnerable
Sula dactylatra,Sulidae,Masked Booby,Vulnerable,Vulnerable
Syconycteris australis,Pteropodidae,Common Blossom-bat,Vulnerable,Vulnerable
Pterodroma nigripennis,Procellariidae,Black-winged Petrel,Vulnerable,Vulnerable
Varanus rosenbergi,Varanidae,Rosenberg's Goanna,Vulnerable,Vulnerable
Philoria loveridgei,Limnodynastidae,Loveridge's Frog,Endangered,Endangered
Tiliqua multifasciata,Scincidae,Centralian Blue-tongued Lizard,Vulnerable,Vulnerable
Amalosia rhombifer,Diplodactylidae,Zigzag Velvet Gecko,Endangered,Endangered
Oxyuranus microlepidotus,Elapidae,Fierce Snake,Extinct,Extinct
Simoselaps fasciolatus,Elapidae,Narrow-banded Snake,Vulnerable,Vulnerable
Litoria raniformis,Hylidae,Southern Bell Frog,Endangered,Endangered
Dasyornis brachypterus,Dasyornithidae,Eastern Bristlebird,Endangered,Endangered
Calidris ferruginea,Scolopacidae,Curlew Sandpiper,Endangered,Endangered
Crinia sloanei,Myobatrachidae,Sloane's Froglet,Endangered,Endangered
Dasyurus maculatus,Dasyuridae,Spotted-tailed Quoll,Vulnerable,Vulnerable
Thalassarche melanophris,Diomedeidae,Black-browed Albatross,Vulnerable,Vulnerable
Calamanthus fuliginosus,Acanthizidae,Striated Fieldwren,Endangered,Endangered
Hamirostra melanosternon,Accipitridae,Black-breasted Buzzard,Vulnerable,Vulnerable
Limicola falcinellus,Scolopacidae,Broad-billed Sandpiper,Vulnerable,Vulnerable
Neobatrachus pictus,Limnodynastidae,Painted Burrowing Frog,Endangered,Endangered
Pseudomys hermannsburgensis,Muridae,Sandy Inland Mouse,Vulnerable,Vulnerable
Chelonia mydas,Cheloniidae,Green Turtle,Vulnerable,Vulnerable
Planigale maculata,Dasyuridae,Common Planigale,Vulnerable,Vulnerable
Onychogalea fraenata,Macropodidae,Bridled Nailtail Wallaby,Extinct,Extinct
Suta flagellum,Elapidae,Little Whip Snake,Vulnerable,Vulnerable
Esacus magnirostris,Burhinidae,Beach Stone-curlew,Critically Endangered,Critically Endangered
Phascogale calura,Dasyuridae,Red-tailed Phascogale,Extinct,Extinct
Thylogale stigmatica,Macropodidae,Red-legged Pademelon,Vulnerable,Vulnerable
Pseudonaja modesta,Elapidae,Ringed Brown Snake,Endangered,Endangered
Antaresia stimsoni,Pythonidae,Stimson's Python,Vulnerable,Vulnerable
Neophema pulchella,Psittacidae,Turquoise Parrot,Vulnerable,Vulnerable
Antechinomys laniger,Dasyuridae,Kultarr,Endangered,Endangered
Tyto novaehollandiae,Tytonidae,Masked Owl,Vulnerable,Vulnerable
Phaps histrionica,Columbidae,Flock Bronzewing,Endangered,Endangered
Hoplocephalus stephensii,Elapidae,Stephens' Banded Snake,Vulnerable,Vulnerable
Hemiaspis damelii,Elapidae,Grey Snake,Endangered,Endangered
Gygis alba,Laridae,White Tern,Vulnerable,Vulnerable
Macronectes giganteus,Procellariidae,Southern Giant Petrel,Endangered,Endangered
Lucasium stenodactylum,Diplodactylidae,Crowned Gecko,Vulnerable,Vulnerable
Botaurus poiciloptilus,Ardeidae,Australasian Bittern,Endangered,Endangered
Phoebetria fusca,Diomedeidae,Sooty Albatross,Vulnerable,Vulnerable
