scientificName,vernacularName,sourceStatus,family,genus,species,status
Acacia curranii,Curly-bark Wattle,Vulnerable,Fabaceae,Acacia,curranii,Vulnerable
Acacia dangarensis,-,Critically Endangered,Fabaceae,Acacia,dangarensis,Critically Endangered
Acacia denticulosa,Sandpaper Wattle,Vulnerable,Fabaceae,Acacia,denticulosa,Vulnerable
Acacia depressa,Echidna Wattle,Vulnerable,Fabaceae,Acacia,depressa,Vulnerable
Acacia deuteroneura,-,Vulnerable,Fabaceae,Acacia,deuteroneura,Vulnerable
Acacia enterocarpa,Jumping-jack Wattle,Endangered,Fabaceae,Acacia,enterocarpa,Endangered
Acacia equisetifolia,a shrub,Critically Endangered,Fabaceae,Acacia,equisetifolia,Critically Endangered
Acacia eremophiloides,-,Vulnerable,Fabaceae,Acacia,eremophiloides,Vulnerable
Acacia flocktoniae,Flockton Wattle,Vulnerable,Fabaceae,Acacia,flocktoniae,Vulnerable
Acacia forrestiana,Forest's Wattle,Vulnerable,Fabaceae,Acacia,forrestiana,Vulnerable
Acacia georgensis,Bega Wattle,Vulnerable,Fabaceae,Acacia,georgensis,Vulnerable
Acacia glandulicarpa,Hairy-pod Wattle,Vulnerable,Fabaceae,Acacia,glandulicarpa,Vulnerable
Acacia gordonii,-,Endangered,Fabaceae,Acacia,gordonii,Endangered
Acacia grandifolia,-,Vulnerable,Fabaceae,Acacia,grandifolia,Vulnerable
Acacia handonis,"Hando's Wattle, Percy Grant Wattle",Vulnerable,Fabaceae,Acacia,handonis,Vulnerable
Acacia imitans,Gibson Wattle,Endangered,Fabaceae,Acacia,imitans,Endangered
Acacia insolita subsp. recurva,Yornaning Wattle,Endangered,Fabaceae,Acacia,insolita,Endangered
Acacia kingiana,-,Extinct,Fabaceae,Acacia,kingiana,Extinct
Acacia lanigera var. gracilipes,-,Endangered,Fabaceae,Acacia,lanigera,Endangered
Acacia lanuginophylla,Woolly Wattle,Endangered,Fabaceae,Acacia,lanuginophylla,Endangered
Acacia latzii,Latz's Wattle,Vulnerable,Fabaceae,Acacia,latzii,Vulnerable
Acacia lauta,Tara Wattle,Vulnerable,Fabaceae,Acacia,lauta,Vulnerable
Acacia leptalea,Chinocup Wattle,Endangered,Fabaceae,Acacia,leptalea,Endangered
Acacia leptoneura,-,Critically Endangered,Fabaceae,Acacia,leptoneura,Critically Endangered
Acacia lobulata,Chiddarcooping Wattle,Endangered,Fabaceae,Acacia,lobulata,Endangered
Acacia macnuttiana,McNutt's Wattle,Vulnerable,Fabaceae,Acacia,macnuttiana,Vulnerable
Acacia meiantha,-,Endangered,Fabaceae,Acacia,meiantha,Endangered
Acacia menzelii,Menzel's Wattle,Vulnerable,Fabaceae,Acacia,menzelii,Vulnerable
Acacia peuce,"Waddy, Waddi, Waddy-wood, Birdsville Wattle",Vulnerable,Fabaceae,Acacia,peuce,Vulnerable
Acacia pharangites,Wongan Gully Wattle,Endangered,Fabaceae,Acacia,pharangites,Endangered
Acacia phasmoides,Phantom Wattle,Vulnerable,Fabaceae,Acacia,phasmoides,Vulnerable
Acacia pickardii,Birds Nest Wattle,Vulnerable,Fabaceae,Acacia,pickardii,Vulnerable
Acacia pinguifolia,"Fat-leaved Wattle,  Fat-leaf Wattle",Endangered,Fabaceae,Acacia,pinguifolia,Endangered
Acacia porcata,-,Endangered,Fabaceae,Acacia,porcata,Endangered
Acacia praemorsa,Senna Wattle,Vulnerable,Fabaceae,Acacia,praemorsa,Vulnerable
Acacia praetermissa,a shrub,Vulnerable,Fabaceae,Acacia,praetermissa,Vulnerable
Acacia prismifolia,Diels' Wattle,Extinct,Fabaceae,Acacia,prismifolia,Extinct
Acacia pubescens,"Downy Wattle, Hairy Stemmed Wattle",Vulnerable,Fabaceae,Acacia,pubescens,Vulnerable
Acacia pubifolia,Velvet Wattle,Vulnerable,Fabaceae,Acacia,pubifolia,Vulnerable
Acacia purpureopetala,Purple-flowered Wattle,Critically Endangered,Fabaceae,Acacia,purpureopetala,Critically Endangered
Acacia pycnostachya,Bolivia Wattle,Vulnerable,Fabaceae,Acacia,pycnostachya,Vulnerable
Acacia pygmaea,Dwarf Rock Wattle,Endangered,Fabaceae,Acacia,pygmaea,Endangered
Acacia recurvata,Recurved Wattle,Endangered,Fabaceae,Acacia,recurvata,Endangered
Acacia rhamphophylla,Kundip Wattle,Endangered,Fabaceae,Acacia,rhamphophylla,Endangered
Acacia rhetinocarpa,"Neat Wattle, Resin Wattle (SA)",Vulnerable,Fabaceae,Acacia,rhetinocarpa,Vulnerable
Acacia ruppii,Rupp's Wattle,Endangered,Fabaceae,Acacia,ruppii,Endangered
Acacia sciophanes,"Wundowlin Wattle, Ghost Wattle",Endangered,Fabaceae,Acacia,sciophanes,Endangered
Acacia spilleriana,Spiller's Wattle,Endangered,Fabaceae,Acacia,spilleriana,Endangered
Acacia splendens,"Splendid Wattle, Dandaragan Wattle",Endangered,Fabaceae,Acacia,splendens,Endangered
Acacia subflexuosa subsp. capillata,Hairy-stemmed Zig-Zag Wattle,Endangered,Fabaceae,Acacia,subflexuosa,Endangered
Acacia terminalis subsp. terminalis MS,Sunshine Wattle (Sydney region),Endangered,Fabaceae,Acacia,terminalis,Endangered
Acacia undoolyana,"Undoolya Wattle, Sickle-leaf Wattle",Vulnerable,Fabaceae,Acacia,undoolyana,Vulnerable
Acacia unguicula,a shrub,Critically Endangered,Fabaceae,Acacia,unguicula,Critically Endangered
Acacia vassalii,Vassal's Wattle,Endangered,Fabaceae,Acacia,vassalii,Endangered
Acacia volubilis,"Tangled Wattle, Tangle Wattle",Endangered,Fabaceae,Acacia,volubilis,Endangered
Acacia whibleyana,"Whibley Wattle, Whibley's Wattle",Endangered,Fabaceae,Acacia,whibleyana,Endangered
Acacia wilsonii,Wilson's Wattle,Endangered,Fabaceae,Acacia,wilsonii,Endangered
Acacia woodmaniorum,Woodman's Wattle,Endangered,Fabaceae,Acacia,woodmaniorum,Endangered
Acanthiza iredalei rosinae,Slender-billed Thornbill (Gulf St Vincent),Vulnerable,Pardalotidae,Acanthiza,iredalei,Vulnerable
Acanthiza lineata whitei,Kangaroo Island Striated Thornbill,Vulnerable,Acanthizidae,Acanthiza,lineata,Vulnerable
Acanthiza pusilla magnirostris,"King Island Brown Thornbill, Brown Thornbill (King Island)",Endangered,Acanthizidae,Acanthiza,pusilla,Endangered
Acanthocladium dockeri,"Spiny Everlasting, Spiny Daisy",Critically Endangered,Asteraceae,Acanthocladium,dockeri,Critically Endangered
Acanthophis hawkei,Plains Death Adder,Vulnerable,Elapidae,Acanthophis,hawkei,Vulnerable
Acanthornis magna greeniana,"King Island Scrubtit, Scrubtit (King Island)",Critically Endangered,Acanthizidae,Acanthornis,magna,Critically Endangered
Accipiter hiogaster natalis,Christmas Island Goshawk,Endangered,Accipitridae,Accipiter,hiogaster,Endangered
Achyranthes arborescens,"Chaff Tree, Soft-wood",Critically Endangered,Amaranthaceae,Achyranthes,arborescens,Critically Endangered
Achyranthes margaretarum,Phillip Island Chaffy Tree,Critically Endangered,Amaranthaceae,Achyranthes,margaretarum,Critically Endangered
Acianthus ledwardii,-,Extinct,Orchidaceae,Acianthus,ledwardii,Extinct
Acriopsis emarginata,Pale Chandelier Orchid,Vulnerable,Orchidaceae,Acriopsis,emarginata,Vulnerable
Acronychia littoralis,Scented Acronychia,Endangered,Rutaceae,Acronychia,littoralis,Endangered
Acrophyllum australe,-,Vulnerable,Cunoniaceae,Acrophyllum,australe,Vulnerable
Actephila foetida,-,Vulnerable,Euphorbiaceae,Actephila,foetida,Vulnerable
Actinotus schwarzii,Desert Flannel-flower,Vulnerable,Apiaceae,Actinotus,schwarzii,Vulnerable
Adclarkia cameroni,Brigalow Woodland Snail,Endangered,Camaenidae,Adclarkia,cameroni,Endangered
Adclarkia dawsonensis,"Boggomoss Snail, Dawson River Snail, Dawson Valley Snail",Critically Endangered,Camaenidae,Adclarkia,dawsonensis,Critically Endangered
Adclarkia dulacca,Dulacca Woodland Snail,Endangered,Camaenidae,Adclarkia,dulacca,Endangered
Adenanthos dobagii,Fitzgerald Woollybush,Endangered,Proteaceae,Adenanthos,dobagii,Endangered
Adenanthos ellipticus,Oval-leaf Adenanthos,Vulnerable,Proteaceae,Adenanthos,ellipticus,Vulnerable
Adenanthos eyrei,Toolinna Adenanthos,Endangered,Proteaceae,Adenanthos,eyrei,Endangered
Adenanthos pungens subsp. effusus,Sprawling Spiky Adenanthos,Endangered,Proteaceae,Adenanthos,pungens,Endangered
Adenanthos pungens subsp. pungens,Spiky Adenanthos,Vulnerable,Proteaceae,Adenanthos,pungens,Vulnerable
Adenanthos velutinus,Velvet Woollybush,Endangered,Proteaceae,Adenanthos,velutinus,Endangered
Advena campbellii,Campbell's Keeled Glass-snail,Critically Endangered,Helicarionidae,Advena,campbellii,Critically Endangered
Aipysurus apraefrontalis,"Short-nosed Sea Snake, Short-nosed Seasnake",Critically Endangered,Elapidae,Aipysurus,apraefrontalis,Critically Endangered
Aipysurus foliosquama,"Leaf-scaled Sea Snake, Leaf-scaled Seasnake",Critically Endangered,Elapidae,Aipysurus,foliosquama,Critically Endangered
Alectryon ramiflorus,Isis Tamarind,Endangered,Sapindaceae,Alectryon,ramiflorus,Endangered
Allocasuarina defungens,Dwarf Heath Casuarina,Endangered,Casuarinaceae,Allocasuarina,defungens,Endangered
Allocasuarina emuina,"Emu Mountain Sheoak, Mt Emu She-oak",Endangered,Casuarinaceae,Allocasuarina,emuina,Endangered
Allocasuarina fibrosa,Woolly Sheoak,Vulnerable,Casuarinaceae,Allocasuarina,fibrosa,Vulnerable
Allocasuarina glareicola,-,Endangered,Casuarinaceae,Allocasuarina,glareicola,Endangered
Allocasuarina portuensis,Nielsen Park She-oak,Endangered,Casuarinaceae,Allocasuarina,portuensis,Endangered
Allocasuarina robusta,Mount Compass Oak-bush,Endangered,Casuarinaceae,Allocasuarina,robusta,Endangered
Allocasuarina simulans,Nabiac Casuarina,Vulnerable,Casuarinaceae,Allocasuarina,simulans,Vulnerable
Allocasuarina thalassoscopica,-,Endangered,Casuarinaceae,Allocasuarina,thalassoscopica,Endangered
Allocasuarina tortiramula,Twisted Sheoak,Vulnerable,Casuarinaceae,Allocasuarina,tortiramula,Vulnerable
Alloxylon flammeum,"Red Silky Oak, Queensland Waratah, Tree Waratah",Vulnerable,Proteaceae,Alloxylon,flammeum,Vulnerable
Almaleea cambagei,Torrington Pea,Endangered,Fabaceae,Almaleea,cambagei,Endangered
Ammobium craspedioides,Yass Daisy,Vulnerable,Asteraceae,Ammobium,craspedioides,Vulnerable
Ammoniropa vigens,Ammonite Pinwheel Snail,Critically Endangered,Charopidae,Ammoniropa,vigens,Critically Endangered
Amperea xiphoclada var. pedicellata,-,Extinct,Euphorbiaceae,Amperea,xiphoclada,Extinct
Amphibromus fluitans,"River Swamp Wallaby-grass, Floating Swamp Wallaby-grass",Vulnerable,Poaceae,Amphibromus,fluitans,Vulnerable
Amphibromus whitei,-,Extinct,Poaceae,Amphibromus,whitei,Extinct
Amyema plicatula,-,Endangered,Loranthaceae,Amyema,plicatula,Endangered
Amytornis barbatus barbatus,"Bulloo Grey Grasswren, Grey Grasswren (Bulloo)",Endangered,Maluridae,Amytornis,barbatus,Endangered
Amytornis dorotheae,Carpentarian Grasswren,Endangered,Maluridae,Amytornis,dorotheae,Endangered
Amytornis merrotsyi merrotsyi,Short-tailed Grasswren (Flinders Ranges),Vulnerable,Maluridae,Amytornis,merrotsyi,Vulnerable
