scientificName,family,vernacularName,status,sourceStatus
eriocaulon tricornum,eriocaulaceae,eriocaulon,DD,Data Deficient
haemodorum flaviflorum,haemodoraceae,"haemodorum, bloodroot",DD,Data Deficient
haemodorum sp. cobourg peninsula,haemodoraceae,,DD,Data Deficient
haemodorum sp. wildman river,haemodoraceae,,DD,Data Deficient
haemodorum sp. red flowers,haemodoraceae,"haemodorum, bloodroot",DD,Data Deficient
caesia chlorantha,hemerocallidaceae,caesia,NT,Near Threatened
caesia setifera,hemerocallidaceae,caesia,DD,Data Deficient
caesia sp. foster cliff,hemerocallidaceae,,DD,Data Deficient
caesia sp. mt mann,hemerocallidaceae,,DD,Data Deficient
caesia sp. mt zeil,hemerocallidaceae,caesia,NT,Near Threatened
corynotheca asperata,hemerocallidaceae,corynotheca,DD,Data Deficient
corynotheca borealis,hemerocallidaceae,corynotheca,DD,Data Deficient
corynotheca licrota,hemerocallidaceae,"corynotheca, club-fruit lily",NT,Near Threatened
corynotheca sp. ridged seeds,hemerocallidaceae,,DD,Data Deficient
tricoryne elatior,hemerocallidaceae,"tricoryne, yellow rush lily",NT,Near Threatened
tricoryne sp. divaricate,hemerocallidaceae,,DD,Data Deficient
enhalus acoroides,hydrocharitaceae,enhalus,DD,Data Deficient
halophila decipiens,hydrocharitaceae,halophila,DD,Data Deficient
halophila ovalis,hydrocharitaceae,halophila,DD,Data Deficient
halophila spinulosa,hydrocharitaceae,halophila,DD,Data Deficient
najas browniana,hydrocharitaceae,najas,DD,Data Deficient
najas foveolata,hydrocharitaceae,najas,DD,Data Deficient
najas marina,hydrocharitaceae,"najas, prickly waternymph, prickly naiad",NT,Near Threatened
najas pseudograminea,hydrocharitaceae,najas,DD,Data Deficient
thalassia hemprichii,hydrocharitaceae,thalassia,DD,Data Deficient
vallisneria caulescens,hydrocharitaceae,vallisneria,DD,Data Deficient
vallisneria triptera,hydrocharitaceae,vallisneria,NT,Near Threatened
molineria capitulata,hypoxidaceae,molineria,DD,Data Deficient
juncus aridicola,juncaceae,"juncus, tussock rush",NT,Near Threatened
juncus continuus,juncaceae,juncus,NT,Near Threatened
juncus kraussii,juncaceae,"juncus, sea rush",NT,Near Threatened
juncus kraussii var. australiensis,juncaceae,juncus,DD,Data Deficient
cycnogeton multifructum,juncaginaceae,triglochin,DD,Data Deficient
triglochin isingiana,juncaginaceae,triglochin,DD,Data Deficient
triglochin sp. newhaven,juncaginaceae,triglochin,DD,Data Deficient
arthrochilus byrnesii,orchidaceae,phoringopsis,DD,Data Deficient
arthrochilus sp. spinifex dweller,orchidaceae,,NT,Near Threatened
calochilus caeruleus,orchidaceae,calochilus,VU,Vulnerable
calochilus caesius,orchidaceae,,DD,Data Deficient
calochilus imperiosus,orchidaceae,,DD,Data Deficient
chiloschista phyllorhiza,orchidaceae,chiloschista,NT,Near Threatened
crepidium fontinale,orchidaceae,malaxis,DD,Data Deficient
crepidium marsupichilum,orchidaceae,malaxis,VU,Vulnerable
dendrobium johannis,orchidaceae,dendrobium,NT,Near Threatened
dendrobium paludicola,orchidaceae,dendrobium,DD,Data Deficient
didymoplexis pallens,orchidaceae,didymoplexis,DD,Data Deficient
dienia montana,orchidaceae,malaxis,VU,Vulnerable
eulophia bicallosa,orchidaceae,eulophia,DD,Data Deficient
habenaria elongata,orchidaceae,habenaria,DD,Data Deficient
habenaria ferdinandii,orchidaceae,habenaria,DD,Data Deficient
habenaria hymenophylla,orchidaceae,"habenaria, rainforest habenaria",DD,Data Deficient
habenaria rumphii,orchidaceae,habenaria,EN,Endangered
luisia corrugata,orchidaceae,luisia,VU,Vulnerable
nervilia crociformis,orchidaceae,nervilia,DD,Data Deficient
pachystoma pubescens,orchidaceae,pachystoma,DD,Data Deficient
phaius amboinensis,orchidaceae,phaius,NT,Near Threatened
spathoglottis paulinae,orchidaceae,spathoglottis,DD,Data Deficient
thrixspermum congestum,orchidaceae,thrixspermum,VU,Vulnerable
tropidia territorialis,orchidaceae,,DD,Data Deficient
zeuxine oblonga,orchidaceae,zeuxine,VU,Vulnerable
freycinetia excelsa,pandanaceae,freycinetia,VU,Vulnerable
freycinetia percostata,pandanaceae,freycinetia,VU,Vulnerable
acrachne racemosa,poaceae,acrachne,DD,Data Deficient
alloteropsis cimicina,poaceae,,DD,Data Deficient
aristida jacobsiana,poaceae,,DD,Data Deficient
aristida kimberleyensis,poaceae,"aristida, three-awn, wiregrass",DD,Data Deficient
aristida lazaridis,poaceae,"aristida, three-awn, wiregrass",DD,Data Deficient
aristida longicollis,poaceae,"aristida, bull wiregrass, three-awn, wiregrass",NT,Near Threatened
aristida perniciosa,poaceae,"aristida, three-awn, wiregrass",DD,Data Deficient
aristida polyclados,poaceae,"aristida, three-awn, wiregrass",DD,Data Deficient
aristida sp. bradshaw,poaceae,"aristida, three-awn, wiregrass",DD,Data Deficient
aristida strigosa,poaceae,"aristida, rough three-awn, rough wiregrass, three-awn, wiregrass",DD,Data Deficient
arthragrostis clarksoniana,poaceae,,DD,Data Deficient
astrebla lappacea,poaceae,"astrebla, curly mitchell grass, wheat mitchell grass",DD,Data Deficient
austrostipa centralis,poaceae,austrostipa,NT,Near Threatened
austrostipa feresetacea,poaceae,austrostipa,NT,Near Threatened
austrostipa plumigera,poaceae,austrostipa,DD,Data Deficient
austrostipa trichophylla,poaceae,austrostipa,DD,Data Deficient
bothriochloa decipiens,poaceae,bothriochloa,DD,Data Deficient
bothriochloa decipiens var. decipiens,poaceae,,DD,Data Deficient
brachyachne prostrata,poaceae,brachyachne,NT,Near Threatened
cenchrus basedowii,poaceae,"pennisetum, asbestos grass",DD,Data Deficient
cenchrus brevisetosus,poaceae,cenchrus,DD,Data Deficient
clausospicula extensa,poaceae,clausospicula,NT,Near Threatened
coelachne pulchella,poaceae,coelachne,DD,Data Deficient
digitaria benthamiana,poaceae,digitaria,DD,Data Deficient
digitaria cowiei,poaceae,,DD,Data Deficient
digitaria hystrichoides,poaceae,"digitaria, curly umbrella grass, summer grass",NT,Near Threatened
digitaria leucostachya,poaceae,digitaria,DD,Data Deficient
digitaria oraria,poaceae,digitaria,DD,Data Deficient
digitaria setigera,poaceae,digitaria,DD,Data Deficient
echinochloa dietrichiana,poaceae,echinochloa,DD,Data Deficient
echinochloa macrandra,poaceae,echinochloa,DD,Data Deficient
ectrosia blakei,poaceae,ectrosia,DD,Data Deficient
ectrosia lasioclada,poaceae,ectrosia,DD,Data Deficient
elionurus citreus,poaceae,elionurus,DD,Data Deficient
enneapogon caerulescens,poaceae,enneapogon,NT,Near Threatened
enneapogon caerulescens var. caerulescens,poaceae,enneapogon,NT,Near Threatened
enneapogon robustissimus,poaceae,enneapogon,DD,Data Deficient
enteropogon minutus,poaceae,enteropogon,DD,Data Deficient
eragrostis concinna,poaceae,"eragrostis, lovegrass",DD,Data Deficient
eragrostis crateriformis,poaceae,"eragrostis, lovegrass",DD,Data Deficient
eragrostis ecarinata,poaceae,"eragrostis, lovegrass",DD,Data Deficient
eragrostis hirticaulis,poaceae,"eragrostis, lovegrass",DD,Data Deficient
eragrostis lanicaulis,poaceae,"eragrostis, lovegrass",DD,Data Deficient
eragrostis petraea,poaceae,"eragrostis, lovegrass",DD,Data Deficient
eragrostis potamophila,poaceae,"eragrostis, lovegrass",DD,Data Deficient
eragrostis sororia,poaceae,"eragrostis, lovegrass",DD,Data Deficient
eragrostis sp. nitmiluk,poaceae,"eragrostis, lovegrass",DD,Data Deficient
eragrostis sp. gibber,poaceae,"eragrostis, lovegrass",DD,Data Deficient
eragrostis sp. islands,poaceae,"eragrostis, lovegrass",DD,Data Deficient
eragrostis sterilis,poaceae,"eragrostis, lovegrass",NT,Near Threatened
eragrostis subtilis,poaceae,"eragrostis, lovegrass",NT,Near Threatened
eragrostis uvida,poaceae,"eragrostis, lovegrass",DD,Data Deficient
eriachne axillaris,poaceae,"eriachne, wanderrie grass",DD,Data Deficient
eriachne basalis,poaceae,"eriachne, wanderrie grass",DD,Data Deficient
eriachne flaccida,poaceae,"eriachne, claypan wanderrie, wanderrie grass",NT,Near Threatened
eriachne glauca var. barbinodis,poaceae,"eriachne, wanderrie grass",DD,Data Deficient
eriachne pauciflora,poaceae,"eriachne, wanderrie grass",DD,Data Deficient
eriachne scleranthoides,poaceae,"eriachne, mt olga wanderrie, wanderrie grass",NT,Near Threatened
eriachne sp. davenport ranges,poaceae,"eriachne, wanderrie grass",DD,Data Deficient
eriachne squarrosa,poaceae,"eriachne, wanderrie grass",DD,Data Deficient
eriachne vesiculosa,poaceae,"eriachne, wanderrie grass",DD,Data Deficient
eriochloa fatmensis,poaceae,,DD,Data Deficient
hygrochloa cravenii,poaceae,hygrochloa,DD,Data Deficient
ischaemum australe var. villosum,poaceae,ischaemum,DD,Data Deficient
ischaemum barbatum,poaceae,ischaemum,NT,Near Threatened
ischaemum rugosum var. segetum,poaceae,ischaemum,DD,Data Deficient
iseilema calvum,poaceae,"iseilema, flinders grass",DD,Data Deficient
iseilema convexum,poaceae,"iseilema, flinders grass",DD,Data Deficient
iseilema trichopus,poaceae,"iseilema, flinders grass",DD,Data Deficient
lachnagrostis filiformis,poaceae,"lachnagrostis, blowngrass",DD,Data Deficient
lepturus copeanus,poaceae,lepturus,DD,Data Deficient
lepturus geminatus,poaceae,lepturus,DD,Data Deficient
lepturus xerophilus,poaceae,lepturus,DD,Data Deficient
micraira compacta,poaceae,micraira,NT,Near Threatened
micraira dunlopii,poaceae,micraira,DD,Data Deficient
micraira inserta,poaceae,micraira,DD,Data Deficient
micraira sp. purnululu,poaceae,micraira,DD,Data Deficient
micraira viscidula,poaceae,micraira,NT,Near Threatened
microchloa indica,poaceae,microchloa,DD,Data Deficient
oplismenus hirtellus,poaceae,oplismenus,DD,Data Deficient
oryza officinalis,poaceae,"oryza, rice, wild rice",DD,Data Deficient
panicum simile,poaceae,panicum,DD,Data Deficient
paspalidium disjunctum,poaceae,paspalidium,DD,Data Deficient
paspalidium gracile,poaceae,paspalidium,DD,Data Deficient
paspalidium udum,poaceae,paspalidium,DD,Data Deficient
pseudoraphis minuta var. laevis,poaceae,,DD,Data Deficient
schizachyrium dolosum,poaceae,schizachyrium,DD,Data Deficient
schizachyrium occultum,poaceae,schizachyrium,DD,Data Deficient
schizachyrium perplexum,poaceae,schizachyrium,DD,Data Deficient
setaria pumila,poaceae,setaria,DD,Data Deficient
sorghum grande,poaceae,sorghum,DD,Data Deficient
sorghum macrospermum,poaceae,sorghum,NT,Near Threatened
sporobolus latzii,poaceae,sporobolus,VU,Vulnerable
sporobolus lenticularis,poaceae,sporobolus,DD,Data Deficient
sporobolus scabridus,poaceae,sporobolus,DD,Data Deficient
thaumastochloa monilifera,poaceae,thaumastochloa,DD,Data Deficient
thuarea involuta,poaceae,thuarea,DD,Data Deficient
triodia aristiglumis,poaceae,"triodia, spinifex",DD,Data Deficient
triodia aurita,poaceae,"triodia, spinifex",DD,Data Deficient
triodia claytonii,poaceae,"triodia, spinifex",DD,Data Deficient
triodia contorta,poaceae,"triodia, spinifex",NT,Near Threatened
triodia gracilis,poaceae,spinifex,DD,Data Deficient
triodia helmsii,poaceae,"triodia, spinifex",DD,Data Deficient
triodia longiloba,poaceae,"triodia, spinifex",NT,Near Threatened
triodia racemigera,poaceae,"triodia, rock, spinifex, spinifex",NT,Near Threatened
triodia radonensis,poaceae,"triodia, spinifex",DD,Data Deficient
triodia roscida,poaceae,"triodia, spinifex",DD,Data Deficient
triodia sp. deaf adder,poaceae,,DD,Data Deficient
triodia sp. matt wilson,poaceae,"triodia, spinifex",VU,Vulnerable
triodia uniaristata,poaceae,"triodia, spinifex",NT,Near Threatened
urochloa argentea,poaceae,urochloa,DD,Data Deficient
urochloa atrisola,poaceae,urochloa,DD,Data Deficient
monochoria hastata,pontederiaceae,monochoria,VU,Vulnerable
potamogeton crispus,potamogetonaceae,"potamogeton, curly pondweed",NT,Near Threatened
stuckenia pectinata,potamogetonaceae,,NT,Near Threatened
ruppia tuberosa,ruppiaceae,ruppia,NT,Near Threatened
thismia tectipora,thismiaceae,,DD,Data Deficient
typha orientalis,typhaceae,"typha, bulrush, bullrush",DD,Data Deficient
xanthorrhoea thorntonii,xanthorrhoeaceae,"xanthorrhoea, desert grass tree, yacka",NT,Near Threatened
riccia corrugata,ricciaceae,riccia,NT,Near Threatened
riccia deserticola,ricciaceae,riccia,DD,Data Deficient
riccia discolor,ricciaceae,,NT,Near Threatened
riccia sp. darwin,ricciaceae,,DD,Data Deficient
cantharellus affin. lateritius,cantharellaceae,,DD,Data Deficient
