name,commonName_new,scientificName_new,listUpdate,commonName_old,scientificName_old
Latrobea colophon,,,removed,,Latrobea
Lemphoria humistrata,,,removed,,Arabidella
Lindernia sp. Minute-flowered (A.S. George 12433),,,removed,,Lindernia
Lysiandra baeckeoides,,,removed,,Phyllanthus subg. Lysiandra
Lysiandra fuernrohrii,,,removed,,Phyllanthus subg. Lysiandra
Lysiandra indigoferoides,,,removed,,Phyllanthus subg. Lysiandra
Machaerina ascendens,,,removed,,
Microcorys sp. Great Victoria Desert (J. Alford s.n. PERTH 09041567) PN,,,removed,,Microcorys
Microcorys sp. Mt Holland broad-leaf (G. Barrett s.n. PERTH 04104927),,,removed,,Microcorys
Microcorys sp. Parker Range (C. Hancock s.n. PERTH 09215123) PN,,,removed,,Microcorys
Netrostylis sp. Blackwood River (A.R. Annels 3043) PN,,,removed,,Netrostylis
Netrostylis sp. Chandala (G.J. Keighery 17055) PN,,,removed,,Netrostylis
Netrostylis sp. Nannup (P.A. Jurjevich 1133) PN,,,removed,,Netrostylis
Netrostylis sp. Warren (M. McCallum Webster 23/2/1979) PN,,,removed,,Netrostylis
Nicotiana salina,,,removed,Tobacco,Nicotiana
Olearia sp. Jerramungup (E.M. Sandiford 2528) PN,,,removed,,
Paranotis sp. Pilbara (H. Ajduk HAOP04a) PN,,,removed,,Paranotis
Portulaca sp. Kununurra (M.D. Barrett MDB 5981) PN,,,removed,Purslane Plants,Portulaca
Pterostylis neopolyphylla,,,removed,Greenhoods,Pterostylis
Ptilotus crinitus,,,removed,,
Ptilotus daphneae,,,removed,,Ptilotus daphne
Solanum octona,,,removed,,Solanum octonum
Solanum sp. W Hamersley Range (S. Colwill & B. Duncan LCR99-01) PN,,,removed,Tūpurupuru,Solanum
Stackhousia muricata subsp. Perennial (W.R. Barker 3641) PN,,,removed,Candles,Stackhousia
Stenanthemum sp. Eganu (S. Patrick 4537) PN,,,removed,,Stenanthemum
Streptoglossa sp. South Coast (R.M. Hoggart 16/1113) PN,,,removed,,Streptoglossa
Stylidium daphneae,,,removed,,Stylidium daphne
