name,commonName_new,scientificName_new,listUpdate,commonName_old,scientificName_old
Calyptorhynchus lathami halmaturinus,Glossy Black-cockatoo (kangaroo Island Subspecies),Calyptorhynchus (Calyptorhynchus) lathami halmaturinus,added,,
Lophochroa leadbeateri,Major Mitchell's Cockatoo,Lophochroa leadbeateri,added,,
Neophema splendida,Scarlet-chested Parrot,Neophema (Neophema) splendida,added,,
Pandion haliaetus cristatus,Fish Hawk,Pandion haliaetus cristatus,added,,
Zanda funerea whiteae,Yellow-tailed Black Cockatoo,Zanda funerea whiteae,added,,
Euastacus bispinosus,Glenelg Spiny Crayfish,Euastacus bispinosus,added,,
Nephrurus deleani,Pernatty Knob-tailed Gecko,Nephrurus deleani,added,,
Tiliqua adelaidensis,Pygmy Bluetongue,Tiliqua adelaidensis,added,,
Brachyscome melanocarpa ssp. melanocarpa,Black-fruit Daisy,Brachyscome melanocarpa subsp. melanocarpa,added,,
Caladenia sp. Southeast (R.Bates 66283),,Caladenia sp. Southeast (R.Bates 66283),added,,
Eriochilus paludosus,,Eriochilus paludosus,added,,
Prasophyllum tortilis,Goldsack's Leek-orchid,Prasophyllum tortilis,added,,
Pterostylis corpulenta,Tiny Greenhood,Pterostylis corpulenta,added,,
Dampiera lanceolata var.,,,added,,
Ixodia achillaeoides ssp.,,,added,,
Pterostylis cucullata (NC),Leafy Greenhood,Pterostylis cucullata,added,,
Rhodanthe oppositifolia (NC),,Rhodanthe oppositifolia,added,,
Calyptorhynchus lathami  (NC),Glossy Black-cockatoo,Calyptorhynchus (Calyptorhynchus) lathami,added,,
Amytornis striatus striatus  (NC),Striated Grasswren (sandplain),Amytornis (Magnamytis) striatus striatus,added,,
Polytelis anthopeplus  (NC),Regent Parrot,Polytelis anthopeplus,added,,
Amytornis whitei  (NC),,Amytornis (Magnamytis) striatus whitei,added,,
Tiliqua adelaidensis ,,,removed,Pygmy Bluetongue,Tiliqua adelaidensis
Calyptorhynchus lathami halmaturinus ,,,removed,Glossy Black-cockatoo (kangaroo Island Subspecies),Calyptorhynchus (Calyptorhynchus) lathami halmaturinus
Lophochroa leadbeateri ,,,removed,Major Mitchell's Cockatoo,Lophochroa leadbeateri
Calyptorhynchus funereus,,,removed,Yellow-tailed Black-cockatoo,Zanda funerea
Euastacus bispinosa,,,removed,Glenelg Spiny Crayfish,Euastacus bispinosus
Nephrurus deleani ,,,removed,Pernatty Knob-tailed Gecko,Nephrurus deleani
Neophema splendida ,,,removed,Scarlet-chested Parrot,Neophema (Neophema) splendida
Falco peregrinus,,,removed,Duck Hawk,Falco (Hierofalco) peregrinus
Pandion cristatus,,,removed,Fish Hawk,Pandion haliaetus cristatus
Brachyscome melanocarpa,,,removed,Black-seeded Daisy,Brachyscome melanocarpa
Lagenophora gracilis,,,removed,Slender Lagenophora,Lagenophora gracilis
Caladenia fragrantissima ssp. fragrantissima,,,removed,Scented Spider-orchid,Caladenia fragrantissima
Caladenia gracilis,,,removed,Musky Caladenia,Caladenia gracilis
Corybas dentatus,,,removed,Toothed Helmet-orchid,Corybas dentatus
Eriochilus sp. Swamp (D.E.Murfet 1950b),,,removed,,Eriochilus paludosus
Prasophyllum sp. Enigma (R.Bates 2350),,,removed,,Prasophyllum sp. Enigma (R.Bates 2350) R.J.Bates
Pterostylis sp. Sandheath (D.Murfet 3190),,,removed,Tiny Greenhood,Pterostylis corpulenta
Pandion haliaetus,,,removed,Osprey,Pandion haliaetus
Pterostylis cucullata ssp.,,,removed,Leafy Greenhood,Pterostylis cucullata
Pterostylis cucullata subsp. sylvicola,,,removed,Leafy Greenhood,Pterostylis cucullata
Pterostylis cucullata subsp. cucullata,,,removed,Leafy Greenhood,Pterostylis cucullata
Pterostylis cucullata,,,removed,Leafy Greenhood,Pterostylis cucullata
Rhodanthe oppositifolia,,,removed,,Rhodanthe oppositifolia
Wurmbea dioica subsp. lacunaria,,,removed,,Wurmbea dioica subsp. lacunaria
Calyptorhynchus (Zanda) funereus whiteae,,,removed,Yellow-tailed Black Cockatoo,Zanda funerea whiteae
Calyptorhynchus lathami,,,removed,Glossy Black-cockatoo,Calyptorhynchus (Calyptorhynchus) lathami
Calyptorhynchus,,,removed,,Calyptorhynchus
Calyptorhynchus (Zanda),,,removed,,Zanda
Amytornis striatus,,,removed,Striated Grasswren,Amytornis (Magnamytis) striatus
Thinornis cucullatus,,,removed,Hooded Plover,Thinornis cucullatus
Thinornis rubricollis,,,removed,Hooded Plover,Thinornis rubricollis
Thinornis sp.,,,removed,,Thinornis
Thysanotus tuberosus,,,removed,Fringed Lily,Thysanotus tuberosus
Thysanotus tuberosus subsp. parviflorus,,,removed,,Thysanotus tuberosus subsp. parviflorus
Thysanotus tuberosus subsp. tuberosus,,,removed,Tuber Fringe-lily,Thysanotus tuberosus subsp. tuberosus
Amytornis striatus striatus,,,removed,Striated Grasswren (sandplain),Amytornis (Magnamytis) striatus striatus
Amytornis whitei,,,removed,,Amytornis (Magnamytis) striatus whitei
Phebalium squamulosum,,,removed,Forest Phebalium,Phebalium squamulosum
Phebalium squamulosum ssp. squamulosum,,,removed,Forest Phebalium,Phebalium squamulosum subsp. squamulosum
Caladenia White spider orchid group,,,removed,Fairy Orchids,Caladenia
Neophema chrysogaster,,,removed,Orange-bellied Parrot,Neophema (Neonanodes) chrysogaster
Amanita rubescens,,,removed,The Blusher,Amanita rubescens
Amanita phalloides,,,removed,,Amanita phalloides
Boletus edulis,,,removed,,Boletus edulis
Morchella esculenta,,,removed,Common Morel,Morchella esculenta
Morchella elata,,,removed,,Morchella elata
Psilocybe argentina,,,removed,,Psilocybe argentina
Psilocybe inquilina,,,removed,,Psilocybe inquilina
Psilocybe kolya,,,removed,,Psilocybe kolya
