Origin,Species,Authority,Common Name,Family,Group,sch,EPBCA,Flora/Fauna,Classification
,Lepidosperma forsythii,A.A.Hamilton,stout rapiersedge,Cyperaceae,Monocotyledonae,r,,Flora,vascular
,Lepidosperma tortuosum,F.Muell.,twisting rapiersedge,Cyperaceae,Monocotyledonae,r,,Flora,vascular
,Lepidosperma viscidum,R.Br.,sticky swordsedge,Cyperaceae,Monocotyledonae,r,,Flora,vascular
,Lepilaena australis,J.Drumm. ex Harv.,southern watermat,Potomogetonaceae,Monocotyledonae,x,,Flora,vascular
,Lepilaena marina,E.L.Robertson,sea watermat,Potomogetonaceae,Monocotyledonae,r,,Flora,vascular
,Lepilaena patentifolia,E.L.Robertson,spreading watermat,Potomogetonaceae,Monocotyledonae,r,,Flora,vascular
,Lepilaena preissii,(Lehm.) F.Muell.,slender watermat,Potomogetonaceae,Monocotyledonae,r,,Flora,vascular
,Leptorhynchos elongatus,DC.,lanky buttons,Asteraceae,Dicotyledonae,e,,Flora,vascular
,Leucochrysum albicans subsp. tricolor ,(DC.) N.G.Walsh,grassland paperdaisy,Asteraceae,Dicotyledonae,e,EN,Flora,vascular
,Leucopogon affinis,R.Br.,lanceleaf beardheath,Ericaceae,Dicotyledonae,r,,Flora,vascular
,Leucopogon esquamatus,R.Br.,swamp beardheath,Ericaceae,Dicotyledonae,r,,Flora,vascular
,Leucopogon virgatus var. brevifolius,Benth.,shortleaf beardheath,Ericaceae,Dicotyledonae,r,,Flora,vascular
,Levenhookia dubia,Sond.,hairy stylewort,Stylidiaceae,Dicotyledonae,x,,Flora,vascular
,Limonium australe var. australe,(R.Br.) Kuntze,yellow sea-lavender,Plumbaginaceae,Dicotyledonae,r,,Flora,vascular
end,Limonium australe var. baudinii,(Lincz.) A.M.Gray,tasmanian sea-lavender,Plumbaginaceae,Dicotyledonae,v,VU,Flora,vascular
,Liparophyllum exaltatum,(Sol. ex Sims) Tippery & Les,erect marshwort,Menyanthaceae,Dicotyledonae,r,,Flora,vascular
,Lobelia pratioides,Benth.,poison lobelia,Campanulaceae,Dicotyledonae,v,,Flora,vascular
,Lobelia rhombifolia,de Vriese,tufted lobelia,Campanulaceae,Dicotyledonae,r,,Flora,vascular
end,Lomatia tasmanica,W.M.Curtis,kings lomatia,Proteaceae,Dicotyledonae,e,CR,Flora,vascular
,Lotus australis,Andrews,australian trefoil,Fabaceae,Dicotyledonae,r,,Flora,vascular
,Luzula atrata,Edgar,slender woodrush,Juncaceae,Monocotyledonae,r,,Flora,vascular
,Lycopus australis,R.Br.,australian gypsywort,Lamiaceae,Dicotyledonae,e,,Flora,vascular
,Lythrum salicaria,L.,purple loosestrife,Lythraceae,Dicotyledonae,v,,Flora,vascular
end,Melaleuca pustulata,Hook.f.,warty paperbark,Myrtaceae,Dicotyledonae,r,,Flora,vascular
,Mentha australis,R.Br.,river mint,Lamiaceae,Dicotyledonae,e,,Flora,vascular
end,Micrantheum serpentinum,Orchard,western tridentbush,Picrodendraceae,Dicotyledonae,r,,Flora,vascular
,Microtidium atratum,(Lindl.) D.L.Jones & M.A.Clem.,yellow onion-orchid ,Orchidaceae,Monocotyledonae,r,,Flora,vascular
end,Milligania johnstonii,F.Muell. ex Benth.,shortleaf milligania,Asteliaceae,Monocotyledonae,r,,Flora,vascular
end,Milligania longifolia,Hook.f.,longleaf milligania,Asteliaceae,Monocotyledonae,r,,Flora,vascular
,Millotia muelleri,(Sond.) P.S.Short,clustered bowflower,Asteraceae,Dicotyledonae,e,,Flora,vascular
,Mirbelia oxylobioides,F.Muell.,sandstone bushpea,Fabaceae,Dicotyledonae,v,,Flora,vascular
end,Monotoca submutica var. autumnalis,Jarman ,roundleaf broomheath,Ericaceae,Dicotyledonae,r,,Flora,vascular
,Muehlenbeckia axillaris,(Hook.f.) Endl.,matted lignum,Polygonaceae,Dicotyledonae,r,,Flora,vascular
,Myoporum parvifolium,R.Br.,creeping boobialla,Scrophulariaceae,Dicotyledonae,v,,Flora,vascular
,Myosurus australis,F.Muell.,southern mousetail,Ranunculaceae,Dicotyledonae,e,,Flora,vascular
,Myriophyllum glomeratum,Schindl.,clustered watermilfoil,Haloragaceae,Dicotyledonae,x,,Flora,vascular
,Myriophyllum integrifolium,(Hook.f.) Hook.f.,tiny watermilfoil,Haloragaceae,Dicotyledonae,v,,Flora,vascular
,Myriophyllum muelleri,Sond.,hooded watermilfoil,Haloragaceae,Dicotyledonae,r,,Flora,vascular
end,Odixia achlaena,(D.I.Morris) Orchard,golden everlastingbush,Asteraceae,Dicotyledonae,r,,Flora,vascular
end,Olearia hookeri,(Sond.) Benth.,crimsontip daisybush,Asteraceae,Dicotyledonae,r,,Flora,vascular
end,Orites milliganii,Meisn.,toothed orites,Proteaceae,Dicotyledonae,r,,Flora,vascular
,Orthoceras strictum,R.Br.,horned orchid,Orchidaceae,Monocotyledonae,r,,Flora,vascular
end,Ozothamnus floribundus,de Salas & Schmidt-Leb.,flowery everlastingbush,Asteraceae,Dicotyledonae,e,,Flora,vascular
end,Ozothamnus lycopodioides,Hook.f.,clubmoss everlastingbush,Asteraceae,Dicotyledonae,r,,Flora,vascular
end,Ozothamnus reflexifolius,K.Leeson & Rozefelds,reflexed everlastingbush,Asteraceae,Dicotyledonae,v,VU,Flora,vascular
end,Ozothamnus selaginoides,Sond. & F.Muell.,table mountain everlastingbush,Asteraceae,Dicotyledonae,x,EX,Flora,vascular
,Pandorea pandorana,(Andrews) Steenis,wonga vine,Bignoniaceae,Dicotyledonae,r,,Flora,vascular
,Parietaria debilis,G.Forst.,shade pellitory,Urticaceae,Dicotyledonae,r,,Flora,vascular
,Pellaea calidirupium,Brownsey & Lovis,hotrock fern,Adiantaceae,Pteridophyta,r,,Flora,vascular
end,Pentachondra ericifolia,Hook.f.,fine frillyheath,Ericaceae,Dicotyledonae,r,,Flora,vascular
,Persicaria decipiens,(R.Br.) K.L.Wilson,slender waterpepper,Polygonaceae,Dicotyledonae,v,,Flora,vascular
,Persicaria subsessilis,(R.Br.) K.L.Wilson,bristly waterpepper,Polygonaceae,Dicotyledonae,e,,Flora,vascular
end,Persoonia moscalii,Orchard,creeping geebung,Proteaceae,Dicotyledonae,r,,Flora,vascular
end,Persoonia muelleri subsp. angustifolia,(Benth.) L.A.S.Johnson & P.H.Weston,narrowleaf geebung,Proteaceae,Dicotyledonae,r,,Flora,vascular
end,Phebalium daviesii,Hook.f.,davies waxflower,Rutaceae,Dicotyledonae,e,CR,Flora,vascular
end,Pherosphaera hookeriana,W.Archer bis,drooping pine,Podocarpaceae,Gymnospermae,v,,Flora,vascular
end,Philotheca freyciana,Rozefelds,freycinet waxflower,Rutaceae,Dicotyledonae,e,EN,Flora,vascular
,Phyllangium distylis,(F.Muell.) Dunlop ,tiny mitrewort,Loganiaceae,Dicotyledonae,r,,Flora,vascular
,Phyllangium divergens,(Hook.f.) Dunlop,wiry mitrewort,Loganiaceae,Dicotyledonae,v,,Flora,vascular
,Phylloglossum drummondii,Kunze,pygmy clubmoss,Lycopodiaceae,Pteridophyta,r,,Flora,vascular
,Pilularia novae-hollandiae,A.Braun,australian pillwort,Marsileaceae,Pteridophyta,r,,Flora,vascular
,Pimelea axiflora subsp. axiflora,F.Muell. ex Meisn.,bootlace bush,Thymelaeaceae,Dicotyledonae,e,,Flora,vascular
,Pimelea curviflora var. gracilis,(R.Br.) Threlfall,slender curved riceflower,Thymelaeaceae,Dicotyledonae,r,,Flora,vascular
,Pimelea curviflora var. sericea,Benth.,silky curved riceflower,Thymelaeaceae,Dicotyledonae,r,,Flora,vascular
,Pimelea flava subsp. flava,R.Br.,yellow riceflower,Thymelaeaceae,Dicotyledonae,r,,Flora,vascular
end,Pimelea milliganii,Meisn.,silver riceflower,Thymelaeaceae,Dicotyledonae,r,,Flora,vascular
,Pimelea sp. Tunbridge,(A.Moscal 9026) Tas Herbarium,grassland riceflower,Thymelaeaceae,Dicotyledonae,e,,Flora,vascular
end,Planocarpa nitida,(Jarman) C.M.Weiller,black cheeseberry,Ericaceae,Dicotyledonae,r,,Flora,vascular
end,Planocarpa sulcata,(Mihaich) C.M.Weiller,grooved cheeseberry,Ericaceae,Dicotyledonae,r,,Flora,vascular
,Plantago debilis,R.Br.,shade plantain,Plantaginaceae,Dicotyledonae,r,,Flora,vascular
,Plantago glacialis,"B.G.Briggs, Carolin & Pulley",small star plantain,Plantaginaceae,Dicotyledonae,r,,Flora,vascular
,Pneumatopteris pennigera,(G.Forst.) Holttum,lime fern,Thelypteridaceae,Pteridophyta,e,,Flora,vascular
sa,Poa cookii,(Hook.f.) Hook.f. ,cooks tussockgrass,Poaceae,Monocotyledonae,e,,Flora,vascular
,Poa halmaturina,J.M.Black,dune tussockgrass,Poaceae,Monocotyledonae,r,,Flora,vascular
end,Poa mollis,Vickery,soft tussockgrass,Poaceae,Monocotyledonae,r,,Flora,vascular
,Podotheca angustifolia,(Labill.) Less.,sticky longheads,Asteraceae,Dicotyledonae,x,,Flora,vascular
,Polyscias sp. Douglas-Denison,(R.B.Schahinger HO 526133) Tas. Herbarium,ferny panax,Araliaceae,Dicotyledonae,e,,Flora,vascular
tmi,Polystichum vestitum,(G.Forst.) C.Presl,prickly shieldfern,Dryopteridaceae,Pteridophyta,e,,Flora,vascular
,Pomaderris elachophylla,F.Muell.,small-leaf dogwood,Rhamnaceae,Dicotyledonae,v,,Flora,vascular
,Pomaderris intermedia,Sieber ex DC.,lemon dogwood,Rhamnaceae,Dicotyledonae,r,,Flora,vascular
,Pomaderris oraria subsp. oraria,F.Muell. ex Reissek,bassian dogwood,Rhamnaceae,Dicotyledonae,r,,Flora,vascular
,Pomaderris paniculosa subsp. paralia,N.G.Walsh ,shining dogwood,Rhamnaceae,Dicotyledonae,r,,Flora,vascular
,Pomaderris phylicifolia subsp. ericoides,(Maiden & Betche) N.G.Walsh & Coates,revolute narrowleaf dogwood,Rhamnaceae,Dicotyledonae,r,,Flora,vascular
,Pomaderris phylicifolia subsp. phylicifolia,Lodd. ex Link,narrowleaf dogwood,Rhamnaceae,Dicotyledonae,r,,Flora,vascular
end,Pomaderris pilifera subsp. talpicutica,A.M.Gray & M.Wapstra,moleskin dogwood,Rhamnaceae,Dicotyledonae,v,VU,Flora,vascular
end,Poranthera petalifera,(Orchard & J.B.Davies) Halford & R.J.F.Hend.,mountain poranthera,Phyllanthaceae,Dicotyledonae,v,VU,Flora,vascular
end,Prasophyllum abblittiorum,P.A.Collier,pallid leek-orchid,Orchidaceae,Monocotyledonae,e,,Flora,vascular
end,Prasophyllum amoenum,D.L.Jones,dainty leek-orchid,Orchidaceae,Monocotyledonae,v,EN,Flora,vascular
end,Prasophyllum apoxychilum,D.L.Jones,tapered leek-orchid,Orchidaceae,Monocotyledonae,v,EN,Flora,vascular
end,Prasophyllum atratum,D.L.Jones,three hummock leek-orchid,Orchidaceae,Monocotyledonae,e,CR,Flora,vascular
end,Prasophyllum castaneum,D.L.Jones,chestnut leek-orchid,Orchidaceae,Monocotyledonae,e,CR,Flora,vascular
end,Prasophyllum crebriflorum,D.L.Jones,crowded leek-orchid,Orchidaceae,Monocotyledonae,e,EN,Flora,vascular
end,Prasophyllum favonium,D.L.Jones,western leek-orchid,Orchidaceae,Monocotyledonae,e,CR,Flora,vascular
end,Prasophyllum incorrectum,D.L.Jones,golfers leek-orchid,Orchidaceae,Monocotyledonae,e,CR,Flora,vascular
end,Prasophyllum limnetes,D.L.Jones,marsh leek-orchid,Orchidaceae,Monocotyledonae,e,CR,Flora,vascular
end,Prasophyllum milfordense,D.L.Jones,milford leek-orchid,Orchidaceae,Monocotyledonae,e,CR,Flora,vascular
end,Prasophyllum olidum,D.L.Jones,pungent leek-orchid,Orchidaceae,Monocotyledonae,e,CR,Flora,vascular
end,Prasophyllum perangustum,D.L.Jones,knocklofty leek-orchid,Orchidaceae,Monocotyledonae,e,CR,Flora,vascular
end,Prasophyllum pulchellum,D.L.Jones,pretty leek-orchid,Orchidaceae,Monocotyledonae,e,CR,Flora,vascular
end,Prasophyllum robustum,(Nicholls) M.A. Clem. & D.L.Jones,robust leek-orchid,Orchidaceae,Monocotyledonae,e,CR,Flora,vascular
end,Prasophyllum secutum,D.L.Jones,northern leek-orchid,Orchidaceae,Monocotyledonae,e,EN,Flora,vascular
end,Prasophyllum sp. Arthurs Lake,(R.Smith DLJ11363) Tas Herbarium,mountain leek-orchid,Orchidaceae,Monocotyledonae,e,,Flora,vascular
end,Prasophyllum stellatum,D.L.Jones,ben lomond leek-orchid,Orchidaceae,Monocotyledonae,e,CR,Flora,vascular
,Prasophyllum tadgellianum,R.S.Rogers,tadgells leek-orchid,Orchidaceae,Monocotyledonae,r,,Flora,vascular
end,Prasophyllum taphanyx,D.L.Jones,graveside leek-orchid,Orchidaceae,Monocotyledonae,e,CR,Flora,vascular
end,Prasophyllum tunbridgense,D.L.Jones,tunbridge leek-orchid,Orchidaceae,Monocotyledonae,e,EN,Flora,vascular
,Prostanthera cuneata,Benth.,alpine mintbush,Lamiaceae,Dicotyledonae,x,,Flora,vascular
,Prostanthera rotundifolia,R.Br.,roundleaf mintbush,Lamiaceae,Dicotyledonae,v,,Flora,vascular
end,Pterostylis atriola,D.L.Jones,snug greenhood,Orchidaceae,Monocotyledonae,r,,Flora,vascular
end,Pterostylis commutata,D.L.Jones,midlands greenhood,Orchidaceae,Monocotyledonae,e,CR,Flora,vascular
,Pterostylis cucullata subsp. cucullata,R.Br.,leafy greenhood,Orchidaceae,Monocotyledonae,e,VU,Flora,vascular
,Pterostylis falcata,R.S.Rogers,sickle greenhood,Orchidaceae,Monocotyledonae,e,,Flora,vascular
,Pterostylis grandiflora,R.Br.,superb greenhood,Orchidaceae,Monocotyledonae,r,,Flora,vascular
,Pterostylis lustra,D.L.Jones,small sickle greenhood,Orchidaceae,Monocotyledonae,e,,Flora,vascular
end,Pterostylis pratensis,D.L.Jones,liawenee greenhood,Orchidaceae,Monocotyledonae,v,VU,Flora,vascular
end,Pterostylis rubenachii,D.L.Jones,arthur river greenhood,Orchidaceae,Monocotyledonae,e,EN,Flora,vascular
,Pterostylis sanguinea,D.L.Jones & M.A.Clem.,banded greenhood,Orchidaceae,Monocotyledonae,r,,Flora,vascular
,Pterostylis squamata,R.Br.,ruddy greenhood,Orchidaceae,Monocotyledonae,v,,Flora,vascular
,Pterostylis tunstallii,D.L.Jones & M.A.Clem.,tunstalls greenhood,Orchidaceae,Monocotyledonae,e,,Flora,vascular
end,Pterostylis wapstrarum,D.L.Jones,fleshy greenhood,Orchidaceae,Monocotyledonae,e,CR,Flora,vascular
end,Pterostylis ziegeleri,D.L.Jones,grassland greenhood,Orchidaceae,Monocotyledonae,v,VU,Flora,vascular
,Puccinellia perlaxa,(Stapf ex N.G.Walsh) N.G.Walsh & A.R.Williams,spreading saltmarshgrass,Poaceae,Monocotyledonae,r,,Flora,vascular
,Pultenaea humilis,Benth. ex Hook.f.,dwarf bushpea,Fabaceae,Dicotyledonae,v,,Flora,vascular
,Pultenaea mollis,Lindl.,soft bushpea,Fabaceae,Dicotyledonae,v,,Flora,vascular
,Pultenaea prostrata,Benth. ex Hook.f.,silky bushpea,Fabaceae,Dicotyledonae,v,,Flora,vascular
,Pultenaea sericea,(Benth.) Corrick,chaffy bushpea,Fabaceae,Dicotyledonae,v,,Flora,vascular
t,Ranunculus acaulis,Banks & Sol. ex DC.,dune buttercup,Ranunculaceae,Dicotyledonae,r,,Flora,vascular
end,Ranunculus collicola,Menadue,lake augusta buttercup,Ranunculaceae,Dicotyledonae,r,,Flora,vascular
,Ranunculus diminutus,B.G.Briggs,brackish buttercup,Ranunculaceae,Dicotyledonae,e,,Flora,vascular
end,Ranunculus jugosus,Menadue,twinned buttercup,Ranunculaceae,Dicotyledonae,r,,Flora,vascular
end,Ranunculus prasinus,Menadue,midlands buttercup,Ranunculaceae,Dicotyledonae,e,EN,Flora,vascular
,Ranunculus pumilio var. pumilio,R.Br. ex DC.,ferny buttercup,Ranunculaceae,Dicotyledonae,r,,Flora,vascular
,Rhodanthe anthemoides,(Spreng.) Paul G.Wilson,chamomile sunray,Asteraceae,Dicotyledonae,r,,Flora,vascular
,Rhytidosporum inconspicuum,"L.W.Cayzer, Crisp & I.Telford ",alpine appleberry,Pittosporaceae,Dicotyledonae,e,,Flora,vascular
,Rumex bidens,R.Br.,mud dock,Polygonaceae,Dicotyledonae,v,,Flora,vascular
,Ruppia megacarpa,R.Mason,largefruit seatassel,Ruppiaceae,Monocotyledonae,r,,Flora,vascular
,Ruppia tuberosa,J.S.Davis & Toml.,tuberous seatassel,Ruppiaceae,Monocotyledonae,r,,Flora,vascular
end,Rytidosperma remotum,(D.I.Morris) A.M.Humphreys & H.P.Linder,remote wallabygrass,Poaceae,Monocotyledonae,r,,Flora,vascular
end,Sagina diemensis,L.G.Adams,tasmanian pearlwort,Caryophyllaceae,Dicotyledonae,e,EN,Flora,vascular
,Scaevola aemula,R.Br.,fairy fanflower,Goodeniaceae,Dicotyledonae,e,,Flora,vascular
,Scaevola albida,(Sm.) Druce,pale fanflower,Goodeniaceae,Dicotyledonae,v,,Flora,vascular
,Schenkia australis,(R.Br.) G.Mans.,spike centaury,Gentianaceae,Dicotyledonae,r,,Flora,vascular
,Schoenoplectus tabernaemontani,(C.C.Gmel.) Palla,river clubsedge,Cyperaceae,Monocotyledonae,r,,Flora,vascular
,Schoenus brevifolius,R.Br.,zigzag bogsedge,Cyperaceae,Monocotyledonae,r,,Flora,vascular
,Schoenus latelaminatus,Kük.,medusa bog sedge,Cyperaceae,Monocotyledonae,e,,Flora,vascular
,Scleranthus diander,R.Br.,tufted knawel,Caryophyllaceae,Dicotyledonae,v,,Flora,vascular
,Scleranthus fasciculatus,(R.Br.) Hook.f.,spreading knawel,Caryophyllaceae,Dicotyledonae,v,,Flora,vascular
,Scutellaria humilis,R.Br.,dwarf scullcap,Lamiaceae,Dicotyledonae,r,,Flora,vascular
,Senecio campylocarpus,I.Thomps.,bulging fireweed,Asteraceae,Dicotyledonae,v,,Flora,vascular
,Senecio extensus,I.Thomps.,subalpine fireweed,Asteraceae,Dicotyledonae,e,,Flora,vascular
,Senecio georgianus,DC.,grey groundsel,Asteraceae,Dicotyledonae,x,EX,Flora,vascular
,Senecio longipilus,I.Thomps.,longhair fireweed,Asteraceae,Dicotyledonae,v,,Flora,vascular
,Senecio macrocarpus,Belcher,largefruit fireweed,Asteraceae,Dicotyledonae,x,VU,Flora,vascular
,Senecio psilocarpus,Belcher & Albr.,swamp fireweed,Asteraceae,Dicotyledonae,e,VU,Flora,vascular
,Senecio squarrosus,A.Rich.,leafy fireweed,Asteraceae,Dicotyledonae,r,,Flora,vascular
end,Senecio tasmanicus,I.Thomps.,tasmanian fireweed,Asteraceae,Dicotyledonae,x,,Flora,vascular
,Sicyos australis,Endl.,star cucumber,Cucurbitaceae,Dicotyledonae,r,,Flora,vascular
,Siloxerus multiflorus,Nees,small wrinklewort,Asteraceae,Dicotyledonae,r,,Flora,vascular
,Solanum opacum,A.Braun & Bouché,greenberry nightshade,Solanaceae,Dicotyledonae,e,,Flora,vascular
,Sowerbaea juncea,Andrews,purple rushlily,Laxmanniaceae,Monocotyledonae,v,,Flora,vascular
,Spyridium eriocephalum var. eriocephalum,Fenzl,heath dustymiller,Rhamnaceae,Dicotyledonae,e,,Flora,vascular
end,Spyridium lawrencei,(Hook.f.) Benth.,small-leaf dustymiller,Rhamnaceae,Dicotyledonae,v,EN,Flora,vascular
end,Spyridium obcordatum,(Hook.f.) W.M.Curtis,creeping dustymiller,Rhamnaceae,Dicotyledonae,v,VU,Flora,vascular
end,Spyridium parvifolium var. molle,(Hook.f.) Benth. ,soft dustymiller,Rhamnaceae,Dicotyledonae,r,,Flora,vascular
,Spyridium parvifolium var. parvifolium,(Hook.) F.Muell.,coast dustymiller,Rhamnaceae,Dicotyledonae,r,,Flora,vascular
,Spyridium vexilliferum var. vexilliferum,(Hook.) Reissek,helicopter bush,Rhamnaceae,Dicotyledonae,r,,Flora,vascular
,Stackhousia pulvinaris,F.Muell.,alpine candles,Celastraceae,Dicotyledonae,v,,Flora,vascular
,Stackhousia subterranea,W.R.Barker,grassland candles,Celastraceae,Dicotyledonae,e,,Flora,vascular
,Stellaria multiflora subsp. nebulosa,C.H.Mill. & J.G.West,nebulous rayless starwort,Caryophyllaceae,Dicotyledonae,r,,Flora,vascular
end,Stenanthemum pimeleoides,(Hook.f.) Benth.,propellor plant,Rhamnaceae,Dicotyledonae,v,VU,Flora,vascular
,Stenopetalum lineare,R.Br. ex DC.,narrow threadpetal,Brassicaceae,Dicotyledonae,e,,Flora,vascular
end,Stonesiella selaginoides,(Hook.f.) Crisp & P.H.Weston,clubmoss bushpea,Fabaceae,Dicotyledonae,e,EN,Flora,vascular
,Stuckenia pectinata,(L.) Börner,fennel pondweed,Potamogetonaceae,Monocotyledonae,r,,Flora,vascular
,Stylidium beaugleholei,J.H.Willis,blushing triggerplant,Stylidiaceae,Dicotyledonae,r,,Flora,vascular
,Stylidium despectum,R.Br.,small triggerplant,Stylidiaceae,Dicotyledonae,r,,Flora,vascular
,Stylidium perpusillum,Hook.f.,tiny triggerplant,Stylidiaceae,Dicotyledonae,r,,Flora,vascular
,Taraxacum aristum,Hagl. & Markl.,mountain dandelion,Asteraceae,Dicotyledonae,r,,Flora,vascular
,Taraxacum cygnorum,Hand.-Maz.,coast dandelion,Asteraceae,Dicotyledonae,,VU,Flora,vascular
,Tetratheca ciliata,Lindl.,northern pinkbells,Elaeocarpaceae,Dicotyledonae,r,,Flora,vascular
end,Tetratheca gunnii,Hook.f.,shy pinkbells,Elaeocarpaceae,Dicotyledonae,e,CR,Flora,vascular
,Teucrium corymbosum,R.Br.,forest germander,Lamiaceae,Dicotyledonae,r,,Flora,vascular
,Thelymitra antennifera,(Lindl.) Hook.f.,rabbit ears,Orchidaceae,Monocotyledonae,e,,Flora,vascular
,Thelymitra atronitida,Jeanes,blackhood sun-orchid,Orchidaceae,Monocotyledonae,e,,Flora,vascular
,Thelymitra benthamiana,Rchb.f.,blotched sun-orchid,Orchidaceae,Monocotyledonae,e,,Flora,vascular
,Thelymitra bracteata,J.Z.Weber ex Jeanes,leafy sun-orchid,Orchidaceae,Monocotyledonae,e,,Flora,vascular
,Thelymitra holmesii,Nicholls,bluestar sun-orchid,Orchidaceae,Monocotyledonae,r,,Flora,vascular
,Thelymitra improcera,D.L.Jones & M.A.Clem.,coast sun-orchid,Orchidaceae,Monocotyledonae,e,,Flora,vascular
,Thelymitra inflata,Jeanes,inflated sun-orchid,Orchidaceae,Monocotyledonae,e,,Flora,vascular
end,Thelymitra jonesii,Jeanes,skyblue sun-orchid,Orchidaceae,Monocotyledonae,e,EN,Flora,vascular
,Thelymitra lucida,Jeanes,glistening sun-orchid,Orchidaceae,Monocotyledonae,e,,Flora,vascular
,Thelymitra malvina,"M.A.Clem., D.L.Jones & Molloy",mauvetuft sun-orchid,Orchidaceae,Monocotyledonae,e,,Flora,vascular
,Thelymitra mucida,Fitzg.,plum sun-orchid,Orchidaceae,Monocotyledonae,e,,Flora,vascular
,Thesium australe,R.Br.,southern toadflax,Santalaceae,Dicotyledonae,x,VU,Flora,vascular
,Thryptomene micrantha,Hook.f.,ribbed heathmyrtle,Myrtaceae,Dicotyledonae,v,,Flora,vascular
,Thynninorchis huntiana,(F.Muell.) D.L.Jones & M.A.Clem.,elbow orchid,Orchidaceae,Monocotyledonae,x,,Flora,vascular
end,Thynninorchis nothofagicola,(D.L.Jones) D.L.Jones & M.A.Clem.,myrtle elbow orchid,Orchidaceae,Monocotyledonae,e,CR,Flora,vascular
,Tmesipteris parva,N.A.Wakef.,small forkfern,Psilotaceae,Pteridophyta,v,,Flora,vascular
,Tricoryne elatior,R.Br.,yellow rushlily,Hemerocallidaceae,Monocotyledonae,v,,Flora,vascular
,Tricostularia pauciflora,(F.Muell.) Benth.,needle bogsedge,Cyperaceae,Monocotyledonae,r,,Flora,vascular
,Triglochin minutissima,F.Muell.,tiny arrowgrass,Juncaginaceae,Monocotyledonae,r,,Flora,vascular
,Triglochin mucronata,R.Br.,prickly arrowgrass,Juncaginaceae,Monocotyledonae,e,,Flora,vascular
,Triptilodiscus pygmaeus,Turcz.,dwarf sunray,Asteraceae,Dicotyledonae,v,,Flora,vascular
,Trithuria submersa,Hook.f.,submerged watertuft,Hydatellaceae,Monocotyledonae,r,,Flora,vascular
t,Uncinia elegans,(Kük.) Hamlin,handsome hooksedge,Cyperaceae,Monocotyledonae,r,,Flora,vascular
,Utricularia australis,R.Br.,yellow bladderwort,Lentibulariaceae,Dicotyledonae,r,,Flora,vascular
,Utricularia tenella,R.Br.,pink bladderwort,Lentibulariaceae,Dicotyledonae,r,,Flora,vascular
,Utricularia violacea,R.Br.,violet bladderwort,Lentibulariaceae,Dicotyledonae,r,,Flora,vascular
,Vallisneria australis,S.W.L.Jacobs & Les,river ribbons,Hydrocharitaceae,Monocotyledonae,r,,Flora,vascular
,Velleia paradoxa,R.Br.,spur velleia,Goodeniaceae,Dicotyledonae,v,,Flora,vascular
t,Veronica ciliolata subsp. fiordensis,(Ashwin) Meudt,ben lomond cushionplant,Plantaginaceae,Dicotyledonae,v,VU,Flora,vascular
,Veronica notabilis,F.Muell. ex Benth.,forest speedwell,Plantaginaceae,Dicotyledonae,e,,Flora,vascular
end,Veronica novae-hollandiae,Poir.,coast speedwell,Plantaginaceae,Dicotyledonae,v,,Flora,vascular
,Veronica plebeia,R.Br.,trailing speedwell,Plantaginaceae,Dicotyledonae,r,,Flora,vascular
,Viminaria juncea,(Schrad. & J.Wendl.) Hoffmanns.,golden spray,Fabaceae,Dicotyledonae,e,,Flora,vascular
,Viola caleyana,G.Don,swamp violet,Violaceae,Dicotyledonae,r,,Flora,vascular
t,Viola cunninghamii,Hook.f.,alpine violet,Violaceae,Dicotyledonae,r,,Flora,vascular
end,Viola curtisiae,(L.G.Adams) K.R.Thiele,montane ivyleaf violet,Violaceae,Dicotyledonae,r,,Flora,vascular
,Vittadinia australasica var. oricola,N.T.Burb.,coast new-holland-daisy,Asteraceae,Dicotyledonae,e,,Flora,vascular
end,Vittadinia burbidgeae,A.M.Gray & Rozefelds,smooth new-holland-daisy,Asteraceae,Dicotyledonae,r,,Flora,vascular
,Vittadinia cuneata var. cuneata,DC.,fuzzy new-holland-daisy,Asteraceae,Dicotyledonae,r,,Flora,vascular
,Vittadinia gracilis,(Hook.f.) N.T.Burb.,woolly new-holland-daisy,Asteraceae,Dicotyledonae,r,,Flora,vascular
,Vittadinia muelleri,N.T.Burb.,narrowleaf new-holland-daisy,Asteraceae,Dicotyledonae,r,,Flora,vascular
end,Westringia angustifolia,R.Br.,narrowleaf westringia,Lamiaceae,Dicotyledonae,r,,Flora,vascular
,Wilsonia humilis,R.Br.,silky wilsonia,Convolvulaceae,Dicotyledonae,r,,Flora,vascular
,Wilsonia rotundifolia,Hook.,roundleaf wilsonia,Convolvulaceae,Dicotyledonae,r,,Flora,vascular
,Wurmbea latifolia subsp. vanessae,R.J.Bates,broadleaf early nancy,Colchicaceae,Monocotyledonae,e,,Flora,vascular
end,Xanthorrhoea arenaria,D.J.Bedford,sand grasstree,Xanthorrhoeaceae,Monocotyledonae,v,VU,Flora,vascular
end,Xanthorrhoea bracteata,R.Br.,shiny grasstree,Xanthorrhoeaceae,Monocotyledonae,v,EN,Flora,vascular
,Xerochrysum bicolor,(Lindl.) R.J.Bayer,eastcoast paperdaisy,Asteraceae,Dicotyledonae,r,,Flora,vascular
,Xerochrysum palustre,(Flann) R.J.Bayer,swamp paperdaisy,Asteraceae,Dicotyledonae,v,VU,Flora,vascular
,Zieria littoralis,J.A.Armstr.,downy zieria,Rutaceae,Dicotyledonae,r,,Flora,vascular
