id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,sourceOrigin,scientificNameAuthorship,sourceStatus,epbcStatus,status
4241528,Leptorhynchos elongatus,Scaly Buttons,Leptorhynchos elongatus,https://id.biodiversity.org.au/node/apni/2914170,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'DC.'}, {'key': 'sourceStatus', 'value': 'e'}, {'key': 'status', 'value': 'Endangered'}]",,DC.,e,,Endangered
4241802,Leucochrysum albicans subsp. tricolor ,White Sunray,Leucochrysum albicans subsp. tricolor,https://id.biodiversity.org.au/taxon/apni/51268618,dr654,"[{'key': 'scientificNameAuthorship', 'value': '(DC.) N.G.Walsh'}, {'key': 'sourceStatus', 'value': 'e'}, {'key': 'epbcStatus', 'value': 'EN'}, {'key': 'status', 'value': 'Endangered'}]",,(DC.) N.G.Walsh,e,EN,Endangered
4241670,Leucopogon affinis,Lanceleaf Beardheath,Leucopogon affinis,https://id.biodiversity.org.au/node/apni/2895899,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'R.Br.'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,R.Br.,r,,Rare
4242126,Leucopogon esquamatus,Swamp Beard-heath,Leucopogon esquamatus,https://id.biodiversity.org.au/node/apni/2910149,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'R.Br.'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,R.Br.,r,,Rare
4241703,Leucopogon virgatus var. brevifolius,Common Beard-heath,Leucopogon virgatus var. brevifolius,https://id.biodiversity.org.au/node/apni/2906323,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'Benth.'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,Benth.,r,,Rare
4241702,Levenhookia dubia,Hairy Stylewort,Levenhookia dubia,https://id.biodiversity.org.au/node/apni/8495539,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'Sond.'}, {'key': 'sourceStatus', 'value': 'x'}, {'key': 'status', 'value': 'Presumed Extinct'}]",,Sond.,x,,Presumed Extinct
4242002,Limonium australe var. australe,Yellow Sea-lavender,Limonium australe var. australe,https://id.biodiversity.org.au/node/apni/2891177,dr654,"[{'key': 'scientificNameAuthorship', 'value': '(R.Br.) Kuntze'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,(R.Br.) Kuntze,r,,Rare
4242036,Limonium australe var. baudinii,,Limonium australe var. baudinii,https://id.biodiversity.org.au/node/apni/2904341,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': '(Lincz.) A.M.Gray'}, {'key': 'sourceStatus', 'value': 'v'}, {'key': 'epbcStatus', 'value': 'VU'}, {'key': 'status', 'value': 'Vulnerable'}]",end,(Lincz.) A.M.Gray,v,VU,Vulnerable
4241633,Liparophyllum exaltatum,Erect Marshwort,Liparophyllum exaltatum,https://id.biodiversity.org.au/taxon/apni/51300269,dr654,"[{'key': 'scientificNameAuthorship', 'value': '(Sol. ex Sims) Tippery & Les'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,(Sol. ex Sims) Tippery & Les,r,,Rare
4241999,Lobelia pratioides,Poison Lobelia,Lobelia pratioides,https://id.biodiversity.org.au/node/apni/2915669,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'Benth.'}, {'key': 'sourceStatus', 'value': 'v'}, {'key': 'status', 'value': 'Vulnerable'}]",,Benth.,v,,Vulnerable
4242020,Lobelia rhombifolia,Tufted Lobelia,Lobelia rhombifolia,https://id.biodiversity.org.au/node/apni/2892738,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'de Vriese'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,de Vriese,r,,Rare
4242052,Lomatia tasmanica,King's Lomatia,Lomatia tasmanica,https://id.biodiversity.org.au/node/apni/2903191,dr654,"[{'key': 'sourceOrigin', 'value': 'end'}, {'key': 'scientificNameAuthorship', 'value': 'W.M.Curtis'}, {'key': 'sourceStatus', 'value': 'e'}, {'key': 'epbcStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Endangered'}]",end,W.M.Curtis,e,CR,Endangered
4241675,Lotus australis,Australian Trefoil,Lotus australis,https://id.biodiversity.org.au/node/apni/2916257,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'Andrews'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,Andrews,r,,Rare
4241855,Luzula atrata,Slender Woodrush,Luzula atrata,https://id.biodiversity.org.au/node/apni/2902843,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'Edgar'}, {'key': 'sourceStatus', 'value': 'r'}, {'key': 'status', 'value': 'Rare'}]",,Edgar,r,,Rare
4241829,Lycopus australis,Australian Gipsywort,Lycopus australis,https://id.biodiversity.org.au/node/apni/2906908,dr654,"[{'key': 'scientificNameAuthorship', 'value': 'R.Br.'}, {'key': 'sourceStatus', 'value': 'e'}, {'key': 'status', 'value': 'Endangered'}]",,R.Br.,e,,Endangered
