taxonId,kingdom,class,family,scientificName,vernacularName,scientificNameAuthorship,sourceStatus,significant,confidential,endemicity,status,endemicity1,epbcStatus
706,Animalia,Amphibia,Limnodynastidae,Adelotus brevis,tusked frog,"(Günther, 1863)",V,Y,N,QA,Vulnerable,Australian endemic,
687,Animalia,Amphibia,Limnodynastidae,Philoria kundagungan,red-and-yellow mountainfrog,"(Ingram & Corben, 1975)",E,Y,Y,QA,Endangered,Australian endemic,Endangered
686,Animalia,Amphibia,Myobatrachidae,Crinia tinnula,wallum froglet,"Straughan & Main, 1966",V,Y,N,QA,Vulnerable,Australian endemic,
675,Animalia,Amphibia,Myobatrachidae,Mixophyes fleayi,Fleay's barred frog,"Corben & Ingram, 1987",E,Y,Y,QA,Endangered,Australian endemic,Endangered
676,Animalia,Amphibia,Myobatrachidae,Mixophyes iteratus,giant barred frog,"Straughan, 1968",V,Y,Y,QA,Vulnerable,Australian endemic,Vulnerable
660,Animalia,Amphibia,Myobatrachidae,Pseudophryne covacevichae,magnificent broodfrog,"Ingram & Corben, 1994",V,Y,Y,Q,Vulnerable,Queensland endemic,Vulnerable
648,Animalia,Amphibia,Myobatrachidae,Rheobatrachus silus,southern gastric brooding frog,"Liem, 1973",PE,Y,N,Q,Extinct in the wild,Queensland endemic,Extinct
650,Animalia,Amphibia,Myobatrachidae,Rheobatrachus vitellinus,northern gastric brooding frog,"Mahony, Tyler & Davies, 1984",E,Y,N,Q,Endangered,Queensland endemic,Extinct
651,Animalia,Amphibia,Myobatrachidae,Taudactylus acutirostris,sharp snouted dayfrog,"(Andersson, 1916)",PE,Y,N,Q,Extinct in the wild,Queensland endemic,Extinct
652,Animalia,Amphibia,Myobatrachidae,Taudactylus diurnus,southern dayfrog,"Straughan & Lee, 1966",PE,Y,N,Q,Extinct in the wild,Queensland endemic,Extinct
653,Animalia,Amphibia,Myobatrachidae,Taudactylus eungellensis,Eungella dayfrog,"Liem & Hosmer, 1973",E,Y,Y,Q,Endangered,Queensland endemic,Endangered
654,Animalia,Amphibia,Myobatrachidae,Taudactylus liemi,Eungella tinkerfrog,"Ingram, 1980",NT,Y,Y,Q,Near Threatened,Queensland endemic,
655,Animalia,Amphibia,Myobatrachidae,Taudactylus pleione,Kroombit tinkerfrog,"Czechura, 1986",CR,Y,Y,Q,Critically Endangered,Queensland endemic,Critically endangered
656,Animalia,Amphibia,Myobatrachidae,Taudactylus rheophilus,northern tinkerfrog,"Liem & Hosmer, 1973",CR,Y,Y,Q,Critically Endangered,Queensland endemic,Critically endangered
18173,Animalia,Amphibia,Hylidae,Litoria andiirrmalin,Melville Range treefrog,"McDonald, 1997",V,Y,Y,Q,Vulnerable,Queensland endemic,
629,Animalia,Amphibia,Hylidae,Litoria cooloolensis,Cooloola sedgefrog,"Liem, 1974",NT,Y,N,Q,Near Threatened,Queensland endemic,
579,Animalia,Amphibia,Hylidae,Litoria dayi,Australian lacelid,"(Günther, 1897)",V,Y,N,Q,Vulnerable,Queensland endemic,Vulnerable
609,Animalia,Amphibia,Hylidae,Litoria freycineti,wallum rocketfrog,"Tschudi, 1838",V,Y,N,QA,Vulnerable,Australian endemic,
18279,Animalia,Amphibia,Hylidae,Litoria kroombitensis,Kroombit treefrog,"Hoskin, Hines, Meyer, Clarke & Cunningham, 2013",CR,Y,Y,Q,Critically Endangered,Queensland endemic,Critically endangered
616,Animalia,Amphibia,Hylidae,Litoria longirostris,long snouted treefrog,"Tyler & Davies, 1977",NT,Y,Y,Q,Near Threatened,Queensland endemic,
602,Animalia,Amphibia,Hylidae,Litoria lorica,little waterfall frog,"Davies & McDonald, 1979",CR,Y,Y,Q,Critically Endangered,Queensland endemic,Critically endangered
31630,Animalia,Amphibia,Hylidae,Litoria myola,Kuranda treefrog,"Hoskin, 2007",CR,Y,Y,Q,Critically Endangered,Queensland endemic,Critically endangered
