dcterms_rightsHolder,dcterms_rights,dcterms_language,dcterms_type,dcterms_modified,dcterms_available,speciesID,taxonRank,kingdomID,kingdom,classID,class,orderID,order,familyID,family,sortOrder,genusID,genus,parentSpeciesID,specificEpithet,infraspecificEpithet,scientificNameAuthorship,scientificNameID,speciesCode_Synonym,scientificName,scientificNameHTML,vernacularName,otherVernacularNames,taxonID,currentScientificNameCode,currentScientificName,currentVernacularName,isCurrent,generalTypeID,generalType,establishmentMeans,primaryGrowthForm,primaryGrowthFormGroup,secondaryGrowthForms,secondaryGrowthFormGroups,stateConservation,protectedInNSW,sensitivityClass,TSProfileID,countryConservation,highThreatWeed,widelyCultivatedNativeSpecies,CAMBA,JAMBA,ROKAMBA,status
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2011-11-11T11:23:00+11:00,1995-12-15T12:49:03+11:00,131,Species,138,Animalia,17,Amphibia,119,Anura,18,Myobatrachidae,90,176.0,Assa,131.0,darlingtoni,,"(Loveridge, 1933)",131,3007,Assa darlingtoni,<em>Assa darlingtoni</em>,Pouched Frog,"Pouched Frog, Hip-pocket Frog, Marsupial Frog",131,3007,Assa darlingtoni,Pouched Frog,true,162.0,Amphibians,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,10070.0,Not Listed,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2020-01-22T14:13:05.977+11:00,1995-12-15T12:49:06+11:00,137,Species,138,Animalia,32,Mammalia,118,Rodentia,8,Muridae,4038,1439.0,Pseudomys,137.0,australis,,"Gray, 1832",137,1469,Pseudomys australis,<em>Pseudomys australis</em>,Plains Rat,Plains Mouse,137,1469,Pseudomys australis,Plains Rat,true,183.0,Rodents,"Extinct in NSW, Native",,,,,Vulnerable,true,Not Sensitive,20205.0,Vulnerable,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2021-02-01T18:08:00.66+11:00,1995-12-15T12:49:07+11:00,140,Species,138,Animalia,32,Mammalia,104,Peramelemorphia,1240,Chaeropodidae,3681,336.0,Chaeropus,140.0,ecaudatus,,"(Ogilby, 1838)",140,1110,Chaeropus ecaudatus,<em>Chaeropus ecaudatus</em>,Pig-footed Bandicoot,,140,1110,Chaeropus ecaudatus,Pig-footed Bandicoot,true,178.0,Marsupials,"Extinct in NSW, Native",,,,,Extinct,true,Not Sensitive,20186.0,Extinct,,,false,false,false,Extinct
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2011-11-11T11:23:08+11:00,1995-12-15T12:49:10+11:00,148,Species,138,Animalia,35,Reptilia,129,Squamata,2,Scincidae,1237,1679.0,Tiliqua,148.0,occipitalis,,"(Peters, 1863)",148,2579,Tiliqua occipitalis,<em>Tiliqua occipitalis</em>,Western Blue-tongued Lizard,"Western Bluetongue, Western Blue-Tongued Lizard",148,2579,Tiliqua occipitalis,Western Blue-tongued Lizard,true,182.0,Reptiles,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,10807.0,Not Listed,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2012-09-04T14:59:38.083+10:00,1995-12-15T12:49:15+11:00,161,Species,138,Animalia,17,Amphibia,119,Anura,9,Hylidae,271,948.0,Litoria,161.0,spenceri,,"Dubois, 1984",161,3195,Litoria spenceri,<em>Litoria spenceri</em>,Spotted Tree Frog,Spotted Frog,161,3195,Litoria spenceri,Spotted Tree Frog,true,162.0,Amphibians,"Alive in NSW, Native",,,,,Critically Endangered,true,Not Sensitive,10492.0,Endangered,,,false,false,false,Critically Endangered
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2011-11-11T11:23:06+11:00,1995-12-15T12:49:15+11:00,162,Species,138,Animalia,21,Aves,130,Strigiformes,56,Strigidae,2566,1141.0,Ninox,162.0,strenua,,"(Gould, 1838)",162,0248,Ninox strenua,<em>Ninox strenua</em>,Powerful Owl,,162,0248,Ninox strenua,Powerful Owl,true,165.0,Birds,"Alive in NSW, Native",,,,,Vulnerable,true,Category 3,10562.0,Not Listed,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2012-09-04T16:06:51.7+10:00,1995-12-15T12:49:16+11:00,163,Species,138,Animalia,21,Aves,55,Charadriiformes,12,Scolopacidae,2245,941.0,Limosa,163.0,limosa,,"(Linnaeus, 1758)",163,0152,Limosa limosa,<em>Limosa limosa</em>,Black-tailed Godwit,,163,0152,Limosa limosa,Black-tailed Godwit,true,165.0,Birds,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,10479.0,Not Listed,,,true,true,true,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2011-12-22T12:18:56.523+11:00,1995-12-15T12:49:27+11:00,194,Species,138,Animalia,21,Aves,100,Passeriformes,743,Monarchidae,3305,307.0,Carterornis,194.0,leucotis,,"(Gould, 1850)",194,0376,Carterornis leucotis,<em>Carterornis leucotis</em>,White-eared Monarch,,194,0376,Carterornis leucotis,White-eared Monarch,true,165.0,Birds,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,10540.0,Not Listed,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2022-05-12T15:43:35.677+10:00,1995-12-15T12:49:32+11:00,207,Species,138,Animalia,21,Aves,100,Passeriformes,473,Estrildidae,3547,1575.0,Stagonopleura,207.0,guttata,,"(Shaw, 1796)",207,0652,Stagonopleura guttata,<em>Stagonopleura guttata</em>,Diamond Firetail,,207,0652,Stagonopleura guttata,Diamond Firetail,true,165.0,Birds,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,10768.0,Not Listed,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2011-11-11T11:23:05+11:00,1995-12-15T12:49:37+11:00,221,Species,138,Animalia,17,Amphibia,119,Anura,9,Hylidae,274,948.0,Litoria,221.0,subglandulosa,,"Tyler & Anstis, 1983",221,3186,Litoria subglandulosa,<em>Litoria subglandulosa</em>,Glandular Frog,"Glandular Frog, New England Tree Frog",221,3186,Litoria subglandulosa,Glandular Frog,true,162.0,Amphibians,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,10493.0,Not Listed,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2012-08-05T13:29:13.003+10:00,1995-12-15T12:49:40+11:00,229,Species,138,Animalia,32,Mammalia,118,Rodentia,8,Muridae,4048,1439.0,Pseudomys,229.0,gouldii,,"(Waterhouse, 1839)",229,1461,Pseudomys gouldii,<em>Pseudomys gouldii</em>,Gould's Mouse,,229,1461,Pseudomys gouldii,Gould's Mouse,true,183.0,Rodents,"Extinct in NSW, Native",,,,,Extinct,true,Not Sensitive,20206.0,Extinct,,,false,false,false,Extinct
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2020-07-03T17:29:59.347+10:00,1995-12-15T12:49:42+11:00,235,Species,138,Animalia,21,Aves,113,Procellariiformes,46,Diomedeidae,1899,510.0,Diomedea,235.0,exulans,,"Linnaeus, 1758",235,0086,Diomedea exulans,<em>Diomedea exulans</em>,Wandering Albatross,,235,0086,Diomedea exulans,Wandering Albatross,true,165.0,Birds,"Alive in NSW, Native",,,,,Endangered,true,Not Sensitive,10907.0,Endangered,,,false,false,false,Endangered
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2016-06-10T13:41:06.947+10:00,1995-12-15T12:49:44+11:00,239,Species,138,Animalia,35,Reptilia,129,Squamata,880,Diplodactylidae,534,1597.0,Strophurus,239.0,elderi,,"(Stirling & Zietz, 1893)",239,2055,Strophurus elderi,<em>Strophurus elderi</em>,Jewelled Gecko,Jewelled Gecko,239,2055,Strophurus elderi,Jewelled Gecko,true,182.0,Reptiles,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,10230.0,Not Listed,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2012-09-04T15:07:15.47+10:00,1995-12-15T12:49:53+11:00,259,Species,138,Animalia,35,Reptilia,132,Testudines,70,Dermochelyidae,365,493.0,Dermochelys,259.0,coriacea,,"(Vandelli, 1761)",259,2013,Dermochelys coriacea,<em>Dermochelys coriacea</em>,Leatherback Turtle,"Leathery Turtle, Luth Turtle",259,2013,Dermochelys coriacea,Leatherback Turtle,true,182.0,Reptiles,"Alive in NSW, Native",,,,,Endangered,true,Not Sensitive,10216.0,Endangered,,,false,false,false,Endangered
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2012-08-05T13:29:13.003+10:00,1995-12-15T12:49:55+11:00,265,Species,138,Animalia,32,Mammalia,69,Diprotodonta,4,Macropodidae,3795,874.0,Lagorchestes,265.0,leporides,,"(Gould, 1841)",265,1194,Lagorchestes leporides,<em>Lagorchestes leporides</em>,Eastern Hare-wallaby,Brown Hare-wallaby,265,1194,Lagorchestes leporides,Eastern Hare-wallaby,true,178.0,Marsupials,"Extinct in NSW, Native",,,,,Extinct,true,Not Sensitive,20195.0,Extinct,,,false,false,false,Extinct
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2018-06-29T14:19:01.033+10:00,1995-12-15T12:50:04+11:00,288,Species,138,Animalia,21,Aves,100,Passeriformes,14,Meliphagidae,2937,930.0,Lichenostomus,288.0,fasciogularis,,"(Gould, 1854)",288,0610,Lichenostomus fasciogularis,<em>Lichenostomus fasciogularis</em>,Mangrove Honeyeater,,288,0610,Lichenostomus fasciogularis,Mangrove Honeyeater,true,165.0,Birds,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,10477.0,Not Listed,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2012-08-05T13:29:13.003+10:00,1995-12-15T12:50:10+11:00,304,Species,138,Animalia,32,Mammalia,69,Diprotodonta,4,Macropodidae,3825,1194.0,Onychogalea,304.0,lunata,,"(Gould, 1841)",304,1202,Onychogalea lunata,<em>Onychogalea lunata</em>,Crescent Nailtail Wallaby,"Lunated Nailtail Wallaby, Wurrung, Tjawalpa",304,1202,Onychogalea lunata,Crescent Nailtail Wallaby,true,178.0,Marsupials,"Extinct in NSW, Native",,,,,Extinct,true,Not Sensitive,20197.0,Extinct,,,false,false,false,Extinct
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2011-11-11T11:22:59+11:00,1995-12-15T12:50:12+11:00,308,Species,138,Animalia,32,Mammalia,69,Diprotodonta,76,Potoroidae,3767,41.0,Aepyprymnus,308.0,rufescens,,"(Gray, 1837)",308,1187,Aepyprymnus rufescens,<em>Aepyprymnus rufescens</em>,Rufous Bettong,Rufus Rat-kangaroo,308,1187,Aepyprymnus rufescens,Rufous Bettong,true,178.0,Marsupials,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,10033.0,Not Listed,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2011-11-11T11:23:02+11:00,1995-12-15T12:50:19+11:00,327,Species,138,Animalia,35,Reptilia,129,Squamata,16,Elapidae,1584,539.0,Echiopsis,327.0,curta,,"(Schlegel, 1837)",327,2667,Echiopsis curta,<em>Echiopsis curta</em>,Bardick,Bardick,327,2667,Echiopsis curta,Bardick,true,182.0,Reptiles,"Alive in NSW, Native",,,,,Endangered,true,Not Sensitive,10258.0,Not Listed,,,false,false,false,Endangered
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2020-07-03T17:30:02.107+10:00,1995-12-15T12:50:20+11:00,330,Species,138,Animalia,21,Aves,73,Falconiformes,20,Accipitridae,2103,736.0,Haliaeetus,330.0,leucogaster,,"(Gmelin, 1788)",330,0226,Haliaeetus leucogaster,<em>Haliaeetus leucogaster</em>,White-bellied Sea-Eagle,,330,0226,Haliaeetus leucogaster,White-bellied Sea-Eagle,true,165.0,Birds,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,20322.0,Not Listed,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2012-07-23T18:04:52.683+10:00,1995-12-15T12:50:21+11:00,333,Species,138,Animalia,21,Aves,130,Strigiformes,80,Tytonidae,2572,1729.0,Tyto,333.0,tenebricosa,,"(Gould, 1845)",333,9924,Tyto tenebricosa,<em>Tyto tenebricosa</em>,Sooty Owl,,333,9924,Tyto tenebricosa,Sooty Owl,true,165.0,Birds,"Alive in NSW, Native",,,,,Vulnerable,true,Category 3,10821.0,Not Listed,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2020-07-03T17:30:09.99+10:00,1995-12-15T12:50:23+11:00,337,Species,138,Animalia,21,Aves,113,Procellariiformes,19,Procellariidae,1985,1449.0,Pterodroma,337.0,solandri,,"(Gould, 1844)",337,0971,Pterodroma solandri,<em>Pterodroma solandri</em>,Providence Petrel,,337,0971,Pterodroma solandri,Providence Petrel,true,165.0,Birds,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,10894.0,Not Listed,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2011-11-11T11:23:00+11:00,1995-12-15T12:50:26+11:00,345,Species,138,Animalia,35,Reptilia,129,Squamata,1,Pygopodidae,648,137.0,Aprasia,345.0,parapulchella,,"Kluge, 1974",345,2144,Aprasia parapulchella,<em>Aprasia parapulchella</em>,Pink-tailed Legless Lizard,"Granite Worm-lizard, Pink-tailed Worm-lizard",345,2144,Aprasia parapulchella,Pink-tailed Legless Lizard,true,182.0,Reptiles,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,10061.0,Vulnerable,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2011-11-11T11:23:01+11:00,1995-12-15T12:50:28+11:00,353,Species,138,Animalia,32,Mammalia,56,Chiroptera,25,Vespertilionidae,3933,340.0,Chalinolobus,353.0,dwyeri,,"Ryan, 1966",353,1353,Chalinolobus dwyeri,<em>Chalinolobus dwyeri</em>,Large-eared Pied Bat,,353,1353,Chalinolobus dwyeri,Large-eared Pied Bat,true,166.0,Bats,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,10157.0,Vulnerable,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2011-11-11T11:23:06+11:00,1995-12-15T12:50:32+11:00,363,Species,138,Animalia,21,Aves,130,Strigiformes,56,Strigidae,2553,1141.0,Ninox,363.0,connivens,,"(Latham, 1801)",363,0246,Ninox connivens,<em>Ninox connivens</em>,Barking Owl,,363,0246,Ninox connivens,Barking Owl,true,165.0,Birds,"Alive in NSW, Native",,,,,Vulnerable,true,Category 3,10561.0,Not Listed,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2011-11-11T11:23:04+11:00,1995-12-15T12:50:33+11:00,365,Species,138,Animalia,21,Aves,57,Ciconiiformes,60,Ardeidae,2069,855.0,Ixobrychus,365.0,flavicollis,,"(Latham, 1790)",365,0196,Ixobrychus flavicollis,<em>Ixobrychus flavicollis</em>,Black Bittern,,365,0196,Ixobrychus flavicollis,Black Bittern,true,165.0,Birds,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,10441.0,Not Listed,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2011-11-11T11:23:00+11:00,1995-12-15T12:50:33+11:00,366,Species,138,Animalia,32,Mammalia,69,Diprotodonta,72,Burramyidae,3718,260.0,Burramys,366.0,parvus,,"Broom, 1896",366,1156,Burramys parvus,<em>Burramys parvus</em>,Mountain Pygmy-possum,Burramys,366,1156,Burramys parvus,Mountain Pygmy-possum,true,178.0,Marsupials,"Alive in NSW, Native",,,,,Endangered,true,Not Sensitive,10114.0,Endangered,,,false,false,false,Endangered
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2011-11-11T11:23:06+11:00,1995-12-15T12:50:41+11:00,386,Species,138,Animalia,21,Aves,100,Passeriformes,63,Pachycephalidae,3150,1236.0,Pachycephala,386.0,inornata,,"Gould, 1841",386,0403,Pachycephala inornata,<em>Pachycephala inornata</em>,Gilbert's Whistler,,386,0403,Pachycephala inornata,Gilbert's Whistler,true,165.0,Birds,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,10582.0,Not Listed,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2011-11-11T11:23:11+11:00,1995-12-15T12:50:41+11:00,388,Species,138,Animalia,32,Mammalia,118,Rodentia,8,Muridae,4042,1439.0,Pseudomys,388.0,delicatulus,,"(Gould, 1842)",388,1445,Pseudomys delicatulus,<em>Pseudomys delicatulus</em>,Delicate Mouse,,388,1445,Pseudomys delicatulus,Delicate Mouse,true,183.0,Rodents,Not Known from NSW,,,,,Endangered,true,Not Sensitive,10685.0,Not Listed,,,false,false,false,Endangered
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2011-11-11T11:23:04+11:00,1995-12-15T12:50:42+11:00,390,Species,138,Animalia,35,Reptilia,129,Squamata,16,Elapidae,1601,804.0,Hoplocephalus,390.0,bungaroides,,"(Schlegel, 1837)",390,2676,Hoplocephalus bungaroides,<em>Hoplocephalus bungaroides</em>,Broad-headed Snake,Broad-headed Snake,390,2676,Hoplocephalus bungaroides,Broad-headed Snake,true,182.0,Reptiles,"Alive in NSW, Native",,,,,Endangered,true,Category 2,10413.0,Vulnerable,,,false,false,false,Endangered
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2012-08-05T13:29:13.003+10:00,1995-12-15T12:50:43+11:00,393,Species,138,Animalia,32,Mammalia,118,Rodentia,8,Muridae,4027,1155.0,Notomys,393.0,longicaudatus,,"(Gould, 1844)",393,1485,Notomys longicaudatus,<em>Notomys longicaudatus</em>,Long-tailed Hopping-mouse,,393,1485,Notomys longicaudatus,Long-tailed Hopping-mouse,true,183.0,Rodents,"Extinct in NSW, Native",,,,,Extinct,true,Not Sensitive,20203.0,Extinct,,,false,false,false,Extinct
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2012-08-05T13:29:13.003+10:00,1995-12-15T12:50:48+11:00,406,Species,138,Animalia,21,Aves,114,Psittaciformes,21,Psittacidae,2447,1306.0,Pezoporus,406.0,occidentalis,,"(Gould, 1861)",406,0312,Pezoporus occidentalis,<em>Pezoporus occidentalis</em>,Night Parrot,,406,0312,Pezoporus occidentalis,Night Parrot,true,165.0,Birds,"Extinct in NSW, Native",,,,,Extinct,true,Not Sensitive,20174.0,Endangered,,,false,false,false,Extinct
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2011-11-11T11:23:06+11:00,1995-12-15T12:50:51+11:00,410,Species,138,Animalia,32,Mammalia,69,Diprotodonta,78,Petauridae,3728,1300.0,Petaurus,410.0,australis,,"Shaw, 1791",410,1136,Petaurus australis,<em>Petaurus australis</em>,Yellow-bellied Glider,Fluffy Glider,410,1136,Petaurus australis,Yellow-bellied Glider,true,178.0,Marsupials,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,10601.0,Vulnerable,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2020-07-03T18:01:04.053+10:00,1995-12-15T12:50:53+11:00,416,Species,138,Animalia,21,Aves,103,Pelecaniformes,85,Phaethontidae,1769,1308.0,Phaethon,416.0,rubricauda,,"Boddaert, 1783",416,0107,Phaethon rubricauda,<em>Phaethon rubricauda</em>,Red-tailed Tropicbird,,416,0107,Phaethon rubricauda,Red-tailed Tropicbird,true,165.0,Birds,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,10609.0,Not Listed,,,true,true,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2011-11-11T11:23:06+11:00,1995-12-15T12:50:54+11:00,418,Species,138,Animalia,21,Aves,114,Psittaciformes,21,Psittacidae,2419,1123.0,Neophema,418.0,chrysogaster,,"(Latham, 1790)",418,0305,Neophema chrysogaster,<em>Neophema chrysogaster</em>,Orange-bellied Parrot,,418,0305,Neophema chrysogaster,Orange-bellied Parrot,true,165.0,Birds,Not Known from NSW,,,,,Critically Endangered,true,Category 3,10554.0,Critically Endangered,,,false,false,false,Critically Endangered
