dcterms_rightsHolder,dcterms_rights,dcterms_language,dcterms_type,dcterms_modified,dcterms_available,speciesID,taxonRank,kingdomID,kingdom,classID,class,orderID,order,familyID,family,sortOrder,genusID,genus,parentSpeciesID,specificEpithet,infraspecificEpithet,scientificNameAuthorship,scientificNameID,speciesCode_Synonym,scientificName,scientificNameHTML,vernacularName,otherVernacularNames,taxonID,currentScientificNameCode,currentScientificName,currentVernacularName,isCurrent,generalTypeID,generalType,establishmentMeans,primaryGrowthForm,primaryGrowthFormGroup,secondaryGrowthForms,secondaryGrowthFormGroups,stateConservation,protectedInNSW,sensitivityClass,TSProfileID,countryConservation,highThreatWeed,widelyCultivatedNativeSpecies,CAMBA,JAMBA,ROKAMBA,status
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2013-12-20T15:06:07.13+11:00,1995-12-15T12:48:13+11:00,1,Species,138,Animalia,35,Reptilia,129,Squamata,1,Pygopodidae,669,486.0,Delma,1.0,impar,,"(Fischer, 1882)",1,2159,Delma impar,<em>Delma impar</em>,Striped Legless Lizard,"Many-lined Delma, Striped Legless lizard",1,2159,Delma impar,Striped Legless Lizard,true,182.0,Reptiles,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,10211.0,Vulnerable,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2022-05-12T15:50:01.01+10:00,1995-12-15T12:48:15+11:00,6,Species,138,Animalia,21,Aves,114,Psittaciformes,5,Cacatuidae,2366,279.0,Callocephalon,6.0,fimbriatum,,"(Grant, 1803)",6,0268,Callocephalon fimbriatum,<em>Callocephalon fimbriatum</em>,Gang-gang Cockatoo,,6,0268,Callocephalon fimbriatum,Gang-gang Cockatoo,true,165.0,Birds,"Alive in NSW, Native",,,,,Vulnerable,true,Category 3,10975.0,Endangered,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2015-05-28T10:14:29.083+10:00,1995-12-15T12:48:23+11:00,31,Species,138,Animalia,35,Reptilia,129,Squamata,16,Elapidae,1557,266.0,Cacophis,31.0,harriettae,,"Krefft, 1869",31,2645,Cacophis harriettae,<em>Cacophis harriettae</em>,White-crowned Snake,"White-crowned Snake, White-naped Snake",31,2645,Cacophis harriettae,White-crowned Snake,true,182.0,Reptiles,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,10117.0,Not Listed,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2011-11-11T11:23:05+11:00,1995-12-15T12:48:24+11:00,33,Species,138,Animalia,17,Amphibia,119,Anura,9,Hylidae,210,948.0,Litoria,33.0,booroolongensis,,"(Moore, 1961)",33,3168,Litoria booroolongensis,<em>Litoria booroolongensis</em>,Booroolong Frog,Booroolong Frog,33,3168,Litoria booroolongensis,Booroolong Frog,true,162.0,Amphibians,"Alive in NSW, Native",,,,,Endangered,true,Not Sensitive,10484.0,Endangered,,,false,false,false,Endangered
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2011-11-11T11:23:09+11:00,1995-12-15T12:48:31+11:00,53,Species,138,Animalia,21,Aves,100,Passeriformes,14,Meliphagidae,2898,121.0,Anthochaera,53.0,phrygia,,"(Shaw, 1794)",53,0603,Anthochaera phrygia,<em>Anthochaera phrygia</em>,Regent Honeyeater,,53,0603,Anthochaera phrygia,Regent Honeyeater,true,165.0,Birds,"Alive in NSW, Native",,,,,Critically Endangered,true,Not Sensitive,10841.0,Critically Endangered,,,false,false,false,Critically Endangered
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2012-09-04T17:26:31.88+10:00,1995-12-15T12:48:35+11:00,63,Species,138,Animalia,21,Aves,55,Charadriiformes,12,Scolopacidae,2232,273.0,Calidris,63.0,tenuirostris,,"(Horsfield, 1821)",63,0165,Calidris tenuirostris,<em>Calidris tenuirostris</em>,Great Knot,,63,0165,Calidris tenuirostris,Great Knot,true,165.0,Birds,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,10128.0,Critically Endangered,,,true,true,true,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2012-08-05T13:29:13.003+10:00,1995-12-15T12:48:40+11:00,77,Species,138,Animalia,21,Aves,100,Passeriformes,473,Estrildidae,3529,1119.0,Neochmia,77.0,ruficauda,,"(Gould, 1837)",77,0663,Neochmia ruficauda,<em>Neochmia ruficauda</em>,Star Finch,,77,0663,Neochmia ruficauda,Star Finch,true,165.0,Birds,"Extinct in NSW, Native",,,,,Extinct,true,Not Sensitive,20181.0,Endangered,,,false,false,false,Extinct
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2021-02-01T18:08:13.473+11:00,1995-12-15T12:48:42+11:00,81,Species,138,Animalia,35,Reptilia,129,Squamata,1239,Carphodactylidae,450,1740.0,Uvidicolus,81.0,sphyrurus,,"(Ogilby, 1892)",81,2139,Uvidicolus sphyrurus,<em>Uvidicolus sphyrurus</em>,Border Thick-tailed Gecko,Granite Belt Thick-tailed Gecko,81,2139,Uvidicolus sphyrurus,Border Thick-tailed Gecko,true,182.0,Reptiles,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,10823.0,Vulnerable,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2020-01-21T11:27:26.927+11:00,1995-12-15T12:48:44+11:00,86,Species,138,Animalia,21,Aves,77,Gruiformes,36,Rallidae,2133,74.0,Amaurornis,86.0,moluccana,,"(Wallace, 1865)",86,0053,Amaurornis moluccana,<em>Amaurornis moluccana</em>,Pale-vented Bush-hen,,86,0053,Amaurornis moluccana,Pale-vented Bush-hen,true,165.0,Birds,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,10042.0,Not Listed,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2011-11-11T11:23:07+11:00,1995-12-15T12:48:49+11:00,98,Species,138,Animalia,32,Mammalia,66,Dasyuromorphia,40,Dasyuridae,3632,1316.0,Phascogale,98.0,tapoatafa,,"(Meyer, 1793)",98,1017,Phascogale tapoatafa,<em>Phascogale tapoatafa</em>,Brush-tailed Phascogale,"Black-tailed Phascogale, Tuan, Common Wambenger",98,1017,Phascogale tapoatafa,Brush-tailed Phascogale,true,178.0,Marsupials,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,10613.0,Not Listed,,,false,false,false,Vulnerable
"NSW Dept of Planning, Industry and Environment",CC-BY 4.0,en,service,2011-12-22T12:01:05.753+11:00,1995-12-15T12:48:56+11:00,113,Species,138,Animalia,21,Aves,134,Turniciformes,44,Turnicidae,2270,1725.0,Turnix,113.0,maculosus,,"(Temminck, 1815)",113,0013,Turnix maculosus,<em>Turnix maculosus</em>,Red-backed Button-quail,,113,0013,Turnix maculosus,Red-backed Button-quail,true,165.0,Birds,"Alive in NSW, Native",,,,,Vulnerable,true,Not Sensitive,20039.0,Not Listed,,,false,false,false,Vulnerable
