,Taxon_Id,Kingdom,Class,Family,Scientific_name,Common_name,Taxon_author,NCA_status,EPBC_status,Significant,Confidential,Endemicity
47,635,animals,amphibians,Myobatrachidae,Uperoleia laevigata,eastern gungan,"Keferstein, 1867",C,,N,N,QA
48,636,animals,amphibians,Myobatrachidae,Uperoleia lithomoda,stonemason gungan,"Tyler, Davies & Martin, 1981",C,,N,N,QA
49,637,animals,amphibians,Myobatrachidae,Uperoleia littlejohni,Einasleigh gungan,"Davies, McDonald & Corben, 1986",C,,N,N,Q
50,638,animals,amphibians,Myobatrachidae,Uperoleia mimula,mimicking gungan,"Davies, McDonald & Corben, 1986",C,,N,N,QAI
51,639,animals,amphibians,Myobatrachidae,Uperoleia rugosa,chubby gungan,"(Andersson, 1916)",C,,N,N,QA
52,641,animals,amphibians,Myobatrachidae,Uperoleia trachyderma,orange shouldered gungan,"Tyler, Davies & Martin, 1981",C,,N,N,QA
53,624,animals,amphibians,Hylidae,Cyclorana alboguttata,greenstripe frog,"(Günther, 1867)",C,,N,N,QA
54,642,animals,amphibians,Hylidae,Cyclorana australis,northern snapping frog,"(Gray, 1842)",C,,N,N,QA
55,643,animals,amphibians,Hylidae,Cyclorana brevipes,superb collared frog,"(Peters, 1871)",C,,N,N,QA
56,18795,animals,amphibians,Hylidae,Cyclorana cryptotis,earless frog,"Tyler & Martin, 1977",C,,N,N,QA
57,644,animals,amphibians,Hylidae,Cyclorana cultripes,grassland collared frog,"Parker, 1940",C,,N,N,QA
58,18287,animals,amphibians,Hylidae,Cyclorana maculosa,spotted collared frog,"Tyler & Martin, 1977",C,,N,N,QA
59,645,animals,amphibians,Hylidae,Cyclorana maini,western collared frog,"Tyler & Martin, 1977",C,,N,N,QA
60,632,animals,amphibians,Hylidae,Cyclorana manya,little collared frog,"van Buerden & McDonald, 1980",C,,N,N,Q
61,620,animals,amphibians,Hylidae,Cyclorana novaehollandiae,eastern snapping frog,"Steindachner, 1867",C,,N,N,QA
62,621,animals,amphibians,Hylidae,Cyclorana platycephala,water holding frog,"(Günther, 1873)",C,,N,N,QA
63,623,animals,amphibians,Hylidae,Cyclorana verrucosa,rough collared frog,"Tyler & Martin, 1977",C,,N,N,QA
64,18173,animals,amphibians,Hylidae,Litoria andiirrmalin,Melville Range treefrog,"McDonald, 1997",V,,Y,Y,Q
65,617,animals,amphibians,Hylidae,Litoria balatus,slender bleating tree frog,"Rowley, Mahony, Hines, Myers, Price, Shea & Donnellan, 2021",C,,N,N,QA
66,36018,animals,amphibians,Hylidae,Litoria bella,Cape York graceful treefrog,"McDonald, Rowley, Richards & Frankham, 2016",C,,N,N,Q
67,625,animals,amphibians,Hylidae,Litoria bicolor,northern sedgefrog,"(Gray, 1842)",C,,N,N,QAI
68,626,animals,amphibians,Hylidae,Litoria brevipalmata,green thighed frog,"Tyler, Martin & Watson, 1972",C,,N,N,QA
69,627,animals,amphibians,Hylidae,Litoria caerulea,common green treefrog,"(White, 1790)",C,,N,N,QAI
70,628,animals,amphibians,Hylidae,Litoria chloris,orange eyed treefrog,"(Boulenger, 1893)",C,,N,N,QA
71,629,animals,amphibians,Hylidae,Litoria cooloolensis,Cooloola sedgefrog,"Liem, 1974",NT,,Y,N,Q
72,630,animals,amphibians,Hylidae,Litoria coplandi,sandstone frog,"(Tyler, 1968)",C,,N,N,QA
73,631,animals,amphibians,Hylidae,Litoria dahlii,northern waterfrog,"(Boulenger, 1896)",C,,N,N,QA
74,579,animals,amphibians,Hylidae,Litoria dayi,Australian lacelid,"(Günther, 1897)",V,V,Y,N,Q
75,36764,animals,amphibians,Hylidae,Litoria dentata sensu lato,bleating treefrog,"(Keferstein, 1868)",C,,N,N,QA
76,619,animals,amphibians,Hylidae,Litoria electrica,buzzing treefrog,"Ingram & Corben, 1990",C,,N,N,Q
