id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,status,source Status
4745803,Corunastylis ectopa,,Genoplesium ectopum,https://id.biodiversity.org.au/taxon/apni/51406011,dr649,"[{'key': 'status', 'value': 'Critically Endangered'}, {'key': 'source Status', 'value': 'Critically Endangered'}]",Critically Endangered,Critically Endangered
4745812,Daphoenositta chrysoptera,Varied Sittella,Daphoenositta (Neositta) chrysoptera,https://biodiversity.org.au/afd/taxa/8bf4b8b0-f432-4e9d-8ea6-08fc20c8090c,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745834,Dasyurus maculatus maculatus,Spot-tailed Quoll,Dasyurus maculatus maculatus,https://biodiversity.org.au/afd/taxa/a4ef7496-ba95-481c-b3a5-a6ed66f37394,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745842,Dasyurus viverrinus,Eastern Quoll,Dasyurus viverrinus,https://biodiversity.org.au/afd/taxa/52149285-a12a-4085-a285-b41af5ba3ce3,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745837,Delma impar,Many-lined Delma,Delma impar,https://biodiversity.org.au/afd/taxa/51c700dd-d2c3-4fb4-9d1f-2728bf2e302f,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745840,Euastacus armatus,Murray River Crayfish,Euastacus armatus,https://biodiversity.org.au/afd/taxa/98156289-1be9-4804-8de1-34104c4b3abb,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745801,Eucalyptus aggregata,Black Gum,Eucalyptus aggregata,https://id.biodiversity.org.au/node/apni/2900093,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745802,Gadopsis bispinosus,Two-spined Blackfish,Gadopsis bispinosus,https://biodiversity.org.au/afd/taxa/347bd80e-cd88-43e1-beb5-5e5da13b3cd6,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745817,Gentiana baeuerlenii,Baeuerlen's Gentian,Gentiana baeuerlenii,https://id.biodiversity.org.au/node/apni/2892776,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745809,Grantiella picta,Painted Honeyeater,Grantiella picta,https://biodiversity.org.au/afd/taxa/6dad05af-065a-4b0f-ac18-ff00331a3f3e,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745794,Hieraaetus morphnoides,Little Eagle,Hieraaetus (Hieraaetus) morphnoides,https://biodiversity.org.au/afd/taxa/b47a4ecd-416b-458c-886a-1dc3490e8175,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745841,Hirundapus caudacutus,White-throated Needletail,Hirundapus caudacutus,https://biodiversity.org.au/afd/taxa/6485cd0c-f104-4950-8cdf-be4d09fc6bbc,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745811,Isoodon obesulus obesulus,Southern Brown Bandicoot (sa Mainland And Ki),Isoodon obesulus obesulus,https://biodiversity.org.au/afd/taxa/1aa0b9a0-5c6d-4713-aea9-dd33856182f4,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745828,Keyacris scurra,Key's Matchstick Grasshopper,Keyacris scurra,https://biodiversity.org.au/afd/taxa/0aa4d63d-c3cc-4561-a880-921efa9266ce,dr649,"[{'key': 'status', 'value': 'Endangered'}, {'key': 'source Status', 'value': 'Endangered'}]",Endangered,Endangered
4745798,Lalage tricolor,Australian White-winged Triller,Lalage (Lalage) tricolor,https://biodiversity.org.au/afd/taxa/92358f59-80ae-482f-8979-5679b23e92cc,dr649,"[{'key': 'status', 'value': 'Vulnerable'}, {'key': 'source Status', 'value': 'Vulnerable'}]",Vulnerable,Vulnerable
4745820,Lathamus discolor,Swift Parrot,Lathamus discolor,https://biodiversity.org.au/afd/taxa/4cb195fd-b127-44cb-ad85-a62d224e9a96,dr649,"[{'key': 'status', 'value': 'Critically Endangered'}, {'key': 'source Status', 'value': 'Critically Endangered'}]",Critically Endangered,Critically Endangered
