id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,sourceStatus,status
4377750,Boronia grimshawii,Grimshaw's Boronia,Boronia grimshawii,https://id.biodiversity.org.au/node/apni/2888436,dr652,"[{'key': 'sourceStatus', 'value': 'CR'}, {'key': 'status', 'value': 'Critically endangered'}]",CR,Critically endangered
4378040,Boronia keysii,Key's Boronia,Boronia keysii,https://id.biodiversity.org.au/node/apni/2896699,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4378149,Boronia repanda,Granite Rose,Boronia repanda,https://id.biodiversity.org.au/node/apni/2920124,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4378501,Boronia rivularis,Wide Bay Boronia,Boronia rivularis,https://id.biodiversity.org.au/node/apni/2915897,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
4377770,Citrus inodora,Russell River Lime,Citrus inodora,https://id.biodiversity.org.au/node/apni/2908601,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4378038,Dinosperma longifolium,,Dinosperma longifolium,https://id.biodiversity.org.au/node/apni/2895266,dr652,"[{'key': 'sourceStatus', 'value': 'E'}, {'key': 'status', 'value': 'Endangered'}]",E,Endangered
4377966,Drummondita calida,,Drummondita calida,https://id.biodiversity.org.au/node/apni/2901394,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4377803,Euodia hylandii,Dwarf Euodia,Euodia hylandii,https://id.biodiversity.org.au/node/apni/2919325,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4377728,Euodia pubifolia,,Euodia pubifolia,https://id.biodiversity.org.au/node/apni/2887479,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4377933,Flindersia oppositifolia,Mountain Silkwood,Flindersia oppositifolia,https://id.biodiversity.org.au/node/apni/2900439,dr652,"[{'key': 'sourceStatus', 'value': 'V'}, {'key': 'status', 'value': 'Vulnerable'}]",V,Vulnerable
4378143,Leionema ambiens,Forest Phebalium,Leionema ambiens,https://id.biodiversity.org.au/node/apni/2911038,dr652,"[{'key': 'sourceStatus', 'value': 'NT'}, {'key': 'status', 'value': 'Near threatened'}]",NT,Near threatened
