id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,vernacularName,category,WildNetTaxonID,status,generalisation
5544750,Phyllurus kabikabi,Oakview Leaf-tailed Gecko,Phyllurus kabikabi,https://biodiversity.org.au/afd/taxa/1fa8126e-b07b-4451-b7b7-8e35bd50f540,dr493,"[{'key': 'vernacularName', 'value': 'Oakview leaf-tailed gecko'}, {'key': 'category', 'value': 'CR'}, {'key': 'WildNetTaxonID', 'value': '31986'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",Oakview leaf-tailed gecko,CR,31986,Critically Endangered,2 km
5544673,Saltuarius eximius,Cape Melville Leaf-tailed Gecko,Saltuarius eximius,https://biodiversity.org.au/afd/taxa/5a7be811-ee62-4319-87f2-ed15a756c813,dr493,"[{'key': 'vernacularName', 'value': 'Cape Melville leaf-tailed gecko'}, {'key': 'category', 'value': 'CR'}, {'key': 'WildNetTaxonID', 'value': '34950'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",Cape Melville leaf-tailed gecko,CR,34950,Critically Endangered,2 km
5544458,Uvidicolus sphyrurus,Border Thick-tailed Gecko,Uvidicolus sphyrurus,https://biodiversity.org.au/afd/taxa/6406a15f-e067-4f14-a2be-ce4fe6bf6029,dr493,"[{'key': 'vernacularName', 'value': 'border thick-tailed gecko'}, {'key': 'category', 'value': 'LC'}, {'key': 'WildNetTaxonID', 'value': '398'}, {'key': 'status', 'value': 'Least concern'}, {'key': 'generalisation', 'value': '2 km'}]",border thick-tailed gecko,LC,398,Least concern,2 km
5544420,Oedura jowalbinna,Quinkan Velvet Gecko,Oedura jowalbinna,https://biodiversity.org.au/afd/taxa/818becc4-88d0-49d8-95ec-d63f664d29d6,dr493,"[{'key': 'vernacularName', 'value': 'Quinkan velvet gecko'}, {'key': 'category', 'value': 'LC'}, {'key': 'WildNetTaxonID', 'value': '32050'}, {'key': 'status', 'value': 'Least concern'}, {'key': 'generalisation', 'value': '2 km'}]",Quinkan velvet gecko,LC,32050,Least concern,2 km
5544836,Elseya irwini,Irwin's Turtle,Elseya (Pelocomastes) irwini,https://biodiversity.org.au/afd/taxa/00a639e3-ddd3-4273-b8a2-d966e52a33aa,dr493,"[{'key': 'vernacularName', 'value': ""Irwin's turtle""}, {'key': 'category', 'value': 'LC'}, {'key': 'WildNetTaxonID', 'value': '18454'}, {'key': 'status', 'value': 'Least concern'}, {'key': 'generalisation', 'value': '2 km'}]",Irwin's turtle,LC,18454,Least concern,2 km
5544472,Elusor macrurus,Mary River Turtle,Elusor macrurus,https://biodiversity.org.au/afd/taxa/d315deea-822c-4f2c-b439-da33d6af5fd6,dr493,"[{'key': 'vernacularName', 'value': 'Mary River turtle'}, {'key': 'category', 'value': 'EN'}, {'key': 'WildNetTaxonID', 'value': '56'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",Mary River turtle,EN,56,Endangered,2 km
5544812,Emydura macquarii emmotti,Cooper Creek Turtle,Emydura macquarii emmotti,https://biodiversity.org.au/afd/taxa/d4631294-b771-45c1-85fd-ad65ebce8428,dr493,"[{'key': 'vernacularName', 'value': ""Emmott's short-neck turtle""}, {'key': 'category', 'value': 'LC'}, {'key': 'WildNetTaxonID', 'value': '27777'}, {'key': 'status', 'value': 'Least concern'}, {'key': 'generalisation', 'value': '2 km'}]",Emmott's short-neck turtle,LC,27777,Least concern,2 km
5544441,Emydura subglobosa angkibaanya,Jardine River Turtle,Emydura subglobosa angkibaanya,ALA_DR652_302,dr493,"[{'key': 'vernacularName', 'value': 'Jardine River turtle'}, {'key': 'category', 'value': 'CR'}, {'key': 'WildNetTaxonID', 'value': '29733'}, {'key': 'status', 'value': 'Critically Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",Jardine River turtle,CR,29733,Critically Endangered,2 km
5545044,Rheodytes leukops,Fitzroy River Turtle,Rheodytes leukops,https://biodiversity.org.au/afd/taxa/364e7d1c-d626-4b67-98b7-3608828b0dae,dr493,"[{'key': 'vernacularName', 'value': 'Fitzroy River turtle'}, {'key': 'category', 'value': 'EN'}, {'key': 'WildNetTaxonID', 'value': '48'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",Fitzroy River turtle,EN,48,Endangered,2 km
5544924,Wollumbinia belli,Bell's Turtle,Wollumbinia belli,https://biodiversity.org.au/afd/taxa/1a85a82f-5a1f-4c56-9f04-918643461260,dr493,"[{'key': 'vernacularName', 'value': ""Bell's turtle""}, {'key': 'category', 'value': 'EN'}, {'key': 'WildNetTaxonID', 'value': '22659'}, {'key': 'status', 'value': 'Endangered'}, {'key': 'generalisation', 'value': '2 km'}]",Bell's turtle,EN,22659,Endangered,2 km
