id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,generalisation,category
4746238,Sarcochilus dilatatus,Brown Sarcochilus,Sarcochilus dilatatus,https://id.biodiversity.org.au/taxon/apni/51413227,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746143,Diuris venosa,Veined Doubletail,Diuris venosa,https://id.biodiversity.org.au/taxon/apni/51404365,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746135,Bulbophyllum globuliforme,Miniature Moss-orchid,Bulbophyllum globuliforme,https://id.biodiversity.org.au/taxon/apni/51396335,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746315,Gentiana wingecarribiensis,Wingecarribee Gentian,Gentiana wingecarribiensis,https://id.biodiversity.org.au/node/apni/2915610,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4746239,Pterostylis cobarensis,Greenhood Orchid,Pterostylis cobarensis,https://id.biodiversity.org.au/taxon/apni/51412068,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746181,Sarcochilus weinthalii,Blotched Sarcochilus,Sarcochilus weinthalii,https://id.biodiversity.org.au/taxon/apni/51413251,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746223,Sarcochilus fitzgeraldii,Ravine Orchid,Sarcochilus fitzgeraldii,https://id.biodiversity.org.au/taxon/apni/51413233,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746136,Phaius australis,Southern Swamp Orchid,Phaius australis,https://id.biodiversity.org.au/taxon/apni/51407850,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746296,Diploglottis campbellii,Small-leaved Tamarind,Diploglottis campbellii,https://id.biodiversity.org.au/node/apni/2906814,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746304,Sarcochilus hartmannii,Waxy Sarcochilus,Sarcochilus hartmannii,https://id.biodiversity.org.au/taxon/apni/51413235,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746255,Chiloglottis anaticeps,Bird Orchid,Chiloglottis anaticeps,https://id.biodiversity.org.au/taxon/apni/51400590,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746253,Diuris pedunculata,Small Snake Orchid,Diuris pedunculata,https://id.biodiversity.org.au/taxon/apni/51404295,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746259,Grevillea mollis,Soft Grevillea,Grevillea mollis,https://id.biodiversity.org.au/node/apni/2890447,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4746245,Grevillea iaspicula,Wee Jasper Grevillea,Grevillea iaspicula,https://id.biodiversity.org.au/node/apni/2897239,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746176,Lastreopsis hispida,Bristly Shield Fern,Lastreopsis hispida,https://id.biodiversity.org.au/node/apni/2907135,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4746137,Prasophyllum fuscum,Slaty Leek Orchid,Prasophyllum fuscum,https://id.biodiversity.org.au/taxon/apni/51409769,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746270,Angiopteris evecta,Giant Fern,Angiopteris evecta,https://id.biodiversity.org.au/taxon/apni/51299822,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746173,Pterostylis alpina,Alpine Greenhood,Pterostylis alpina,https://id.biodiversity.org.au/taxon/apni/51412006,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746158,Prasophyllum affine,Jervis Bay Leek Orchid,Prasophyllum affine,https://id.biodiversity.org.au/taxon/apni/51409681,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746227,Pterostylis pulchella,Waterfall Greenhood,Pterostylis pulchella,https://id.biodiversity.org.au/taxon/apni/51412286,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746287,Platyzoma microphyllum,Braid Fern,Platyzoma microphyllum,https://id.biodiversity.org.au/node/apni/2916514,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4746209,Genoplesium rhyoliticum,Rhyolite Midge Orchid,Genoplesium rhyoliticum,https://id.biodiversity.org.au/taxon/apni/51406051,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746132,Pilularia novae-hollandiae,Austral Pillwort,Pilularia novae-hollandiae,https://id.biodiversity.org.au/node/apni/2905369,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4746198,Geodorum densiflorum,Pink Nodding Orchid,Geodorum densiflorum,https://id.biodiversity.org.au/taxon/apni/51406097,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746188,Lindsaea brachypoda,Short-footed Screw Fern,Lindsaea brachypoda,https://id.biodiversity.org.au/node/apni/2902961,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4746212,Zieria adenophora,Araluen Zieria,Zieria adenophora,https://id.biodiversity.org.au/node/apni/2905804,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746141,Cymbidium canaliculatum,Tiger Orchid,Cymbidium canaliculatum,https://id.biodiversity.org.au/taxon/apni/51401317,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746162,Eucalyptus copulans,,Eucalyptus copulans,https://id.biodiversity.org.au/node/apni/2891931,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4746202,Pterostylis nigricans,Dark Greenhood,Pterostylis nigricans,https://id.biodiversity.org.au/taxon/apni/51412236,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746231,Trachymene scapigera,Mountain Trachymene,Trachymene scapigera,https://id.biodiversity.org.au/node/apni/2903508,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4746224,Diuris disposita,Willawarrin Doubletail,Diuris disposita,https://id.biodiversity.org.au/taxon/apni/51404211,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746295,Psilotum complanatum,Flat Fork Fern,Psilotum complanatum,https://id.biodiversity.org.au/node/apni/2914286,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4746199,Myriophyllum implicatum,,Myriophyllum implicatum,https://id.biodiversity.org.au/node/apni/2889355,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746203,Caladenia arenaria,Sand-hill Spider-orchid,Caladenia arenaria,https://id.biodiversity.org.au/taxon/apni/51398785,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746294,Lysimachia vulgaris var. davurica,Yellow Loosestrife,Lysimachia vulgaris var. davurica,https://id.biodiversity.org.au/node/apni/2901512,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4746265,Diuris bracteata,,Diuris bracteata,https://id.biodiversity.org.au/taxon/apni/51404173,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746171,Diuris aequalis,Buttercup Doubletail,Diuris aequalis,https://id.biodiversity.org.au/taxon/apni/51404157,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746157,Gyrostemon thesioides,Broom Wheelfruit,Gyrostemon thesioides,https://id.biodiversity.org.au/node/apni/2898598,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4746279,Oberonia complanata,Yellow-flowered King Of The Fairies,Oberonia complanata,https://id.biodiversity.org.au/taxon/apni/51406761,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746201,Leucopogon confertus,Torrington Beard-heath,Leucopogon confertus,https://id.biodiversity.org.au/node/apni/2895126,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4746220,Grevillea divaricata,,Grevillea divaricata,https://id.biodiversity.org.au/node/apni/2919387,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4746299,Grevillea beadleana,Beadle's Grevillea,Grevillea beadleana,https://id.biodiversity.org.au/node/apni/2900555,dr487,"[{'key': 'generalisation', 'value': '1km'}, {'key': 'category', 'value': 'Category 3'}]",1km,Category 3
4746121,Diuris flavescens,Pale Yellow Doubletail,Diuris flavescens,https://id.biodiversity.org.au/taxon/apni/51404227,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746301,Prostanthera staurophylla,Tenterfield Mint-bush,Prostanthera staurophylla,https://id.biodiversity.org.au/node/apni/2909925,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
4746237,Pterostylis chaetophora,,Pterostylis chaetophora,https://id.biodiversity.org.au/taxon/apni/51412056,dr487,"[{'key': 'generalisation', 'value': '10km'}, {'key': 'category', 'value': 'Category 2'}]",10km,Category 2
