id,name,commonName,scientificName,lsid,dataResourceUid,kvpValues,category,generalisation
4395320,Anthochaera phrygia,Regent Honeyeater,Anthochaera (Xanthomyza) phrygia,https://biodiversity.org.au/afd/taxa/31869a0e-2ce5-40be-b6f6-c0231a48b414,dr2627,"[{'key': 'category', 'value': 'Extreme'}, {'key': 'generalisation', 'value': '10km'}]",Extreme,10km
4395460,Botaurus poiciloptilus,Australasian Bittern,Botaurus poiciloptilus,https://biodiversity.org.au/afd/taxa/dba78701-cae9-4afb-a41a-6697c52c5e34,dr2627,"[{'key': 'category', 'value': 'Sensitive'}, {'key': 'generalisation', 'value': '1km'}]",Sensitive,1km
4395322,Callocephalon fimbriatum,Gang-gang Cockatoo,Callocephalon fimbriatum,https://biodiversity.org.au/afd/taxa/6c646af8-06fb-40ae-83aa-3dd001cc4ea6,dr2627,"[{'key': 'category', 'value': 'Sensitive'}, {'key': 'generalisation', 'value': '1km'}]",Sensitive,1km
4395315,Calyptorhynchus lathami lathami,Glossy Black-cockatoo,Calyptorhynchus (Calyptorhynchus) lathami lathami,https://biodiversity.org.au/afd/taxa/9823b764-cb22-42d0-bbbe-79c0a95b1a25,dr2627,"[{'key': 'category', 'value': 'Sensitive'}, {'key': 'generalisation', 'value': '1km'}]",Sensitive,1km
4395376,Climacteris picumnus victoriae,Brown Treecreeper (eastern Subspecies),Climacteris (Climacteris) picumnus victoriae,https://biodiversity.org.au/afd/taxa/fe69a214-d43c-468f-bb83-06402ac95e35,dr2627,"[{'key': 'category', 'value': 'Sensitive'}, {'key': 'generalisation', 'value': '1km'}]",Sensitive,1km
4395348,Hieraaetus morphnoides,Little Eagle,Hieraaetus (Hieraaetus) morphnoides,https://biodiversity.org.au/afd/taxa/b47a4ecd-416b-458c-886a-1dc3490e8175,dr2627,"[{'key': 'category', 'value': 'Sensitive'}, {'key': 'generalisation', 'value': '1km'}]",Sensitive,1km
4395366,Lathamus discolor,Swift Parrot,Lathamus discolor,https://biodiversity.org.au/afd/taxa/4cb195fd-b127-44cb-ad85-a62d224e9a96,dr2627,"[{'key': 'category', 'value': 'Extreme'}, {'key': 'generalisation', 'value': '10km'}]",Extreme,10km
4395393,Melanodryas cucullata cucullata,Hooded Robin (south-eastern Form),Melanodryas (Melanodryas) cucullata cucullata,https://biodiversity.org.au/afd/taxa/f411b7e7-5818-45fc-b3d2-8dfa5ed45f1e,dr2627,"[{'key': 'category', 'value': 'Sensitive'}, {'key': 'generalisation', 'value': '1km'}]",Sensitive,1km
4395449,Ninox connivens,Barking Owl,Ninox (Hieracoglaux) connivens,https://biodiversity.org.au/afd/taxa/bd332ca4-dab5-4fda-8d68-04b678ffcdb4,dr2627,"[{'key': 'category', 'value': 'Sensitive'}, {'key': 'generalisation', 'value': '1km'}]",Sensitive,1km
4395340,Ninox strenua,Powerful Owl,Ninox (Rhabdoglaux) strenua,https://biodiversity.org.au/afd/taxa/d1c5dee0-0de6-487c-bf10-9fc5188ab671,dr2627,"[{'key': 'category', 'value': 'Sensitive'}, {'key': 'generalisation', 'value': '1km'}]",Sensitive,1km
4395364,Polytelis swainsonii,Superb Parrot,Polytelis swainsonii,https://biodiversity.org.au/afd/taxa/46fca72f-4a32-44c5-a67c-770bd5333f55,dr2627,"[{'key': 'category', 'value': 'Sensitive'}, {'key': 'generalisation', 'value': '1km'}]",Sensitive,1km
4395391,Litoria aurea,Green And Golden Bell Frog,Litoria aurea,https://biodiversity.org.au/afd/taxa/e7adefa4-f799-4b46-8344-c2c0aa805759,dr2627,"[{'key': 'category', 'value': 'Sensitive'}, {'key': 'generalisation', 'value': '1km'}]",Sensitive,1km
4395361,Litoria castanea,Yellow-spotted Bell Frog,Litoria castanea,https://biodiversity.org.au/afd/taxa/898034f7-3665-4566-ada2-0ba6bf48a9b0,dr2627,"[{'key': 'category', 'value': 'Sensitive'}, {'key': 'generalisation', 'value': '1km'}]",Sensitive,1km
4395311,Litoria raniformis,Southern Bell Frog,Litoria raniformis,https://biodiversity.org.au/afd/taxa/6e63311a-159e-44d5-ae3f-a63dfc0a829a,dr2627,"[{'key': 'category', 'value': 'Sensitive'}, {'key': 'generalisation', 'value': '1km'}]",Sensitive,1km
4395321,Litoria verreauxii alpina,Alpine Tree Frog,Litoria verreauxii alpina,https://biodiversity.org.au/afd/taxa/9e35aef8-6788-4070-b6ac-955915df25f6,dr2627,"[{'key': 'category', 'value': 'Sensitive'}, {'key': 'generalisation', 'value': '1km'}]",Sensitive,1km
4395477,Pseudophryne pengilleyi,Northern Corroboree Frog,Pseudophryne pengilleyi,https://biodiversity.org.au/afd/taxa/cc5315bf-6682-44d9-809c-139afaddf7c8,dr2627,"[{'key': 'category', 'value': 'Sensitive'}, {'key': 'generalisation', 'value': '1km'}]",Sensitive,1km
