name,commonName_new,scientificName_new,listUpdate,commonName_old,scientificName_old
Calorodius thorntonensis,,SCINCIDAE,added,,
Cooktownia,,Cooktownia,added,,
Corybas,Helmet Orchids,Corybas,added,,
Cymbidium,Boat-lipped Orchids,Cymbidium,added,,
Dipodium,Hyacinth Orchids,Dipodium,added,,
Liparis,Sphinx Orchids,Liparis,added,,
Luisia,,Luisia,added,,
Microtis,Onion Orchid,Microtis,added,,
Orthoceras,Horned Orchids,Orthoceras,added,,
Pachystoma,,Pachystoma,added,,
Phalaenopsis,,Phalaenopsis,added,,
Pholidota,Orchids,Orchidaceae,added,,
Philoria knowlesi,,,removed,,Philoria
Oberonia rimachila,,,removed,,Oberonia palmicola
Sarcochilus roseus,,,removed,Fairy Bells,Sarcochilus ceciliae
