name,commonName_new,scientificName_new,status_new,listUpdate,commonName_old,scientificName_old,status_old
Calorodius thorntonensis,,SCINCIDAE,Least concern,added,,,
Cherax robustus,Freshwater Crayfish Or Yabby,Cherax robustus,Vulnerable,added,,,
Euastacus binzayedi,,Euastacus binzayedi,Critically Endangered,added,,,
Euastacus eungella,Freshwater Crayfish Or Yabby,Euastacus eungella,Endangered,added,,,
Euastacus hystricosus,Freshwater Crayfish Or Yabby,Euastacus hystricosus,Endangered,added,,,
Euastacus robertsi,Freshwater Crayfish Or Yabby,Euastacus robertsi,Endangered,added,,,
Tenuibranchiurus glypticus,Swamp Crayfish,Tenuibranchiurus glypticus,Endangered,added,,,
Cooktownia,,Cooktownia,Least concern,added,,,
Corybas,Helmet Orchids,Corybas,,added,,,
Cymbidium,Boat-lipped Orchids,Cymbidium,,added,,,
Dipodium,Hyacinth Orchids,Dipodium,,added,,,
Liparis,Sphinx Orchids,Liparis,,added,,,
Luisia,,Luisia,,added,,,
Microtis,Onion Orchid,Microtis,,added,,,
Orthoceras,Horned Orchids,Orthoceras,,added,,,
Pachystoma,,Pachystoma,Least concern,added,,,
Phalaenopsis,,Phalaenopsis,Least concern,added,,,
Pholidota,Orchids,Orchidaceae,Least concern,added,,,
Striga asiatica,,Striga asiatica,,added,,,
Calyptotis thorntonensis,,,,removed,Thornton Peak Calyptotis,Calyptotis thorntonensis,Least concern
Caladenia sp. (Kilcoy Creek R.Crane 1286),,,,removed,,Caladenia sp. Kilcoy Creek (R.Crane 1286) Qld Herbarium,Least concern
Cestichis condylobulbon,,,,removed,,Liparis condylobulbon,
Dendrobium speciosum var. capricornicum,,,,removed,,Dendrobium speciosum subsp. capricornicum,
Oberonia rimachila,,,,removed,,Oberonia palmicola,
Pinalia kingii,,,,removed,,Eria kingii,Least concern
Rhinerrhizopsis matutina,,,,removed,,Rhinerrhizopsis matutina,Vulnerable
Sarcochilus roseus,,,,removed,Fairy Bells,Sarcochilus ceciliae,
Cyathea celebica,,,,removed,,Cyathea celebica,
Cyathea cunninghamii,,,,removed,Ponga,Cyathea cunninghamii,
Hydnophytum moseleyanum var. moseleyanum,,,,removed,,Hydnophytum moseleyanum var. moseleyanum,Least concern
Phlegmariurus filiformis,,,,removed,Rat's Tail Tassel-fern,Phlegmariurus filiformis,
Pteridoblechnum acuminatum,,,,removed,,Blechnum reticulatum,
Ctenopteris blechnoides,,,,removed,,Ctenopterella blechnoides,
Grammitis albosetosa,,,,removed,,Oreogrammitis albosetosa,
Grammitis reinwardtii,,,,removed,,Oreogrammitis reinwardtii,
