name,commonName_new,scientificName_new,listUpdate,commonName_old,scientificName_old
Lasiopetalum rutilans,,Lasiopetalum rutilans,added,,
Latrobea colophon,,,added,,
Lechenaultia orchestris,Dancing Lechenaultia,Lechenaultia orchestris,added,,
Leichhardtia glandulifera,,Leichhardtia glandulifera,added,,
Leichhardtia racemosa,,Leichhardtia racemosa,added,,
Lemphoria humistrata,,,added,,
Lepidium sp. Stirling Range (S. Barrett 1359) PN,,Lepidium sp. Stirling Range (S.Barrett 1359),added,,
Lepidosperma sp. Kambalda (A.A. Mitchell 5156) PN,,Lepidosperma sp. Kambalda (A.A.Mitchell 5156),added,,
Leucopogon kirupensis,Kirup Beard-heath,Leucopogon kirupensis,added,,
Leucopogon sp. Cascades (M. Hislop 3693),,Leucopogon sp. Cascades (M.Hislop 3693),added,,
Leucopogon sp. Varley (M. Hislop 3659),,Leucopogon sp. Varley (M.Hislop 3659),added,,
Levenhookia preissii,Preiss's Stylewort,Levenhookia preissii,added,,
Lindernia sp. Minute-flowered (A.S. George 12433),,,added,,
Lindernia sp. Pilbara (M.N. Lyons & L. Lewis FV 1069),,Lindernia sp. Pilbara (M.N.Lyons & L.Lewis FV 1069),added,,
Lysiandra baeckeoides,,,added,,
Lysiandra fuernrohrii,,,added,,
Lysiandra indigoferoides,,,added,,
Machaerina ascendens,,,added,,
Microcorys elatoides,Mount Holland Microcorys,Microcorys elatoides,added,,
Microcorys sp. Great Victoria Desert (J. Alford s.n. PERTH 09041567) PN,,,added,,
Microcorys sp. Mt Holland broad-leaf (G. Barrett s.n. PERTH 04104927),,,added,,
Microcorys sp. Parker Range (C. Hancock s.n. PERTH 09215123) PN,,,added,,
Microcorys wilsoniana,,Microcorys wilsoniana,added,,
Micromyrtus racemosa var. Jingemarra (R.J. Cranfield 5253a) PN,,Micromyrtus racemosa var. Jingemarra (R.J.Cranfield 5253a),added,,
Mirbelia sp. Zuytdorp (G.J. Keighery & N. Gibson 1688) PN,,Mirbelia sp. Zuytdorp (G.J.Keighery & N.Gibson 1688),added,,
Mitrasacme sp. I Kimberley Flora (K.F. Kenneally s.n. PERTH 04115058),,Mitrasacme sp. I Kimberley Flora (K.F.Kenneally PERTH 04115058),added,,
Morelotia australiensis,,Morelotia australiensis,added,,
Murdannia sp. Top End (G.M. Chippendale 7726) PN,,Murdannia sp. Top End (G.M.Chippendale 7726),added,,
Mychodea echinocarpa,,Mychodea echinocarpa,added,,
Mychodea minutissima,,Mychodea minutissima,added,,
Myriophyllum foveicola,Warty Rockpool Milfoil,Myriophyllum foveicola,added,,
Myriophyllum muelleri,Hooded Watermilfoil,Myriophyllum muelleri,added,,
Myriophyllum striatocarpum,Striped Rockpool Milfoil,Myriophyllum striatocarpum,added,,
Netrostylis sp. Blackwood River (A.R. Annels 3043) PN,,,added,,
Netrostylis sp. Chandala (G.J. Keighery 17055) PN,,,added,,
Netrostylis sp. Nannup (P.A. Jurjevich 1133) PN,,,added,,
Netrostylis sp. Warren (M. McCallum Webster 23/2/1979) PN,,,added,,
Nicotiana salina,,,added,,
Nymphaea carpentariae,,Nymphaea carpentariae,added,,
Nymphaea kimberleyensis,,Nymphaea kimberleyensis,added,,
Olearia adpressa,Northampton Daisy Bush,Olearia adpressa,added,,
Olearia sp. Jerramungup (E.M. Sandiford 2528) PN,,,added,,
Olearia strigosa,Bristly Daisy Bush,Olearia strigosa,added,,
Opercularia nubicola,Stirling Range Stinkweed,Opercularia nubicola,added,,
Ozothamnus vespertinus,,Ozothamnus vespertinus,added,,
Paracaleana ferricola,,Paracaleana ferricola,added,,
Paranotis halfordii,,Paranotis halfordii,added,,
Paranotis sp. Pilbara (H. Ajduk HAOP04a) PN,,,added,,
Peplidium sp. Tanami (P.K. Latz 11904),,Peplidium sp. Tanami (P.K.Latz 11904),added,,
Persoonia flexifolia,,Persoonia flexifolia,added,,
Phebalium sp. Mt Gibbs (G.F. Craig 6658),,Phebalium sp. Mt Gibbs (G.F.Craig 6658),added,,
Phebalium sp. Yerilgee Sandplain (J. Jackson 223),,Phebalium sp. Yerilgee Sandplain (J.Jackson 223),added,,
Philotheca pachyphylla,,Philotheca pachyphylla,added,,
Philotheca richardsoniana,Richardson's Philotheca,Philotheca richardsoniana,added,,
Philotheca sp. Latham (F. Keast L4B 043),,Philotheca sp. Latham (F.Keast L4B 043),added,,
Pimelea cruciata,Tarin Rock Banjine,Pimelea cruciata,added,,
Portulaca sp. Kununurra (M.D. Barrett MDB 5981) PN,,,added,,
Prasophyllum paulinae,Pauline's Laughing Leek Orchid,Prasophyllum paulinae,added,,
Pterostylis faceta,,Pterostylis faceta,added,,
Pterostylis fuliginosa,,Pterostylis fuliginosa,added,,
Pterostylis heberlei,,Pterostylis heberlei,added,,
Pterostylis neopolyphylla,,,added,,
Pterostylis saxum,,Pterostylis saxum,added,,
Pterostylis tylosa,,Pterostylis tylosa,added,,
Pterostylis virens,,Pterostylis virens,added,,
Pterostylis xerampelina,,Pterostylis xerampelina,added,,
Ptilotus actinocladus,,Ptilotus actinocladus,added,,
Ptilotus crinitus,,,added,,
Ptilotus daphneae,,,added,,
Ptilotus royceanus,,Ptilotus royceanus,added,,
Ptilotus sp. Cue (P. Armstrong PA 16/362) PN,,Ptilotus sp. Cue (P.Armstrong PA 16/362),added,,
Ptilotus sp. Kalgoorlie (J. Jackson & B. Moyle 260) PN,,Ptilotus sp. Kalgoorlie (J.Jackson & B.Moyle 260),added,,
Ptilotus sp. Kookynie (J. Jackson & B. Moyle 261) PN,,Ptilotus sp. Kookynie (J.Jackson & B.Moyle 261),added,,
Ptilotus unguiculatus,,Ptilotus unguiculatus,added,,
Ptilotus yapukaratja,,Ptilotus yapukaratja,added,,
Pultenaea sp. Mt Lesueur (J.S. Beard 7827) PN,,Pultenaea sp. Mt Lesueur (J.S.Beard 7827),added,,
Quoya zonalis,Pilbara Foxglove,Quoya zonalis,added,,
Rhizanthella johnstonii,South Coast Underground Orchid,Rhizanthella johnstonii,added,,
Rhodanthe chlorocephala subsp. chlorocephala,,Rhodanthe chlorocephala subsp. chlorocephala,added,,
"Rhodanthe sp. Yuna (G.J. Keighery, B.J. Keighery & B. Moyle 2820) PN",,"Rhodanthe sp. Yuna (G.J.Keighery, B.J.Keighery & B.Moyle 2820)",added,,
Rhodanthe uniflora,,Rhodanthe uniflora,added,,
Ricinocarpos digynus,Andrea's Wedding Bush,Ricinocarpos digynus,added,,
Ricinocarpos tuberculatus,,Ricinocarpos tuberculatus,added,,
Rorippa sp. Fortescue Valley (M.N. Lyons & R.A. Coppen FV 0760),,Rorippa sp. Fortescue Valley (M.N.Lyons & R.A.Coppen FV 0760),added,,
Rytidosperma racemosum var. racemosum,,Rytidosperma racemosum var. racemosum,added,,
Salicornia globosa,,Salicornia globosa,added,,
Scaevola sp. Mt Ragged (M. Goods GG 004),,Scaevola sp. Mt Ragged (M.Goods GG 004),added,,
Schoenoplectiella humillima,,Schoenoplectiella humillima,added,,
Schoenus coultasii,Pilbara Annual Bog-rush,Schoenus coultasii,added,,
Scholtzia bellairsiorum,,Scholtzia bellairsiorum,added,,
Scholtzia brevistylis subsp. brevistylis,,Scholtzia brevistylis subsp. brevistylis,added,,
Scholtzia brevistylis subsp. prowaka,,Scholtzia brevistylis subsp. prowaka,added,,
Scholtzia calcicola,Tiny-flowered Scholtzia,Scholtzia calcicola,added,,
Scholtzia cordata,,Scholtzia sp. Yuna (C.A.Gardner 14286),added,,
Scholtzia corrugata,,Scholtzia corrugata,added,,
Scholtzia halophila subsp. meridionalis,,Scholtzia halophila subsp. meridionalis,added,,
Scholtzia halophila subsp. mortlockensis,,Scholtzia halophila subsp. mortlockensis,added,,
Scholtzia inaequalis,,Scholtzia inaequalis,added,,
Scholtzia kalbarri,,Scholtzia kalbarri,added,,
Scholtzia laciniata,Ragged-leaved Scholtzia,Scholtzia laciniata,added,,
Scholtzia longipedata subsp. procera,,Scholtzia longipedata subsp. procera,added,,
Scholtzia multiflora,,Scholtzia multiflora,added,,
Scholtzia oleosa,,Scholtzia oleosa,added,,
Scholtzia peltigera,Eurardy Scholtzia,Scholtzia peltigera,added,,
Scholtzia prostrata,Creeping Scholtzia,Scholtzia prostrata,added,,
Scholtzia quindecim,Gunyidi Scholtzia,Scholtzia quindecim,added,,
Scholtzia recurva,,Scholtzia recurva,added,,
Scholtzia subsessilis,Billeranga Scholtzia,Scholtzia subsessilis,added,,
Scholtzia tenuissima,Delicate Scholtzia,Scholtzia tenuissima,added,,
Scholtzia thinicola,Dune Scholtzia,Scholtzia thinicola,added,,
Scholtzia truncata,,Scholtzia truncata,added,,
Scholtzia uniflora,,Scholtzia uniflora,added,,
Scleroschoenus glabrispiculus,,Scleroschoenus glabrispiculus,added,,
Scleroschoenus quadricostatus,,Scleroschoenus quadricostatus,added,,
Scleroschoenus ramosus,,Scleroschoenus ramosus,added,,
Senna artemisioides subsp. alicia,,Senna artemisioides subsp. alicia,added,,
Sida sp. R (P. Copley 1390),,Sida sp. R (P.Copley 1390),added,,
Solanum octona,,,added,,
Solanum sp. Mosquito Creek (A.A. Mitchell et al. AAM 10795),,Solanum sp. Mosquito Creek (A.A.Mitchell et al. AAM 10795),added,,
Solanum sp. Red Hill (S. van Leeuwen et al. PBS 5415),,Solanum sp. Red Hill (S.van Leeuwen et al. PBS 5415),added,,
Solanum sp. W Hamersley Range (S. Colwill & B. Duncan LCR99-01) PN,,,added,,
Stachystemon exilis,Slender Stachystemon,Stachystemon exilis,added,,
Stackhousia muricata subsp. Perennial (W.R. Barker 3641) PN,,,added,,
Stackhousia sp. Lake Mackay (P.K. Latz 12870),,Stackhousia sp. Lake Mackay (P.K.Latz 12870),added,,
Stenanthemum sp. Eganu (S. Patrick 4537) PN,,,added,,
Stenanthera localis,Rare Flame Heath,Stenanthera localis,added,,
Streptoglossa sp. Cracking clays (S. van Leeuwen et al. PBS 7353) PN,,Streptoglossa sp. Cracking clays (S.van Leeuwen et al. PBS 7353),added,,
Streptoglossa sp. South Coast (R.M. Hoggart 16/1113) PN,,,added,,
Stylidium daphneae,,,added,,
Stylidium milleri,,,added,,
Stylidium monticola,Stirling Range Triggerplant,Stylidium monticola,added,,
Stylidium nitidum,Shiny Triggerplant,Stylidium nitidum,added,,
Stylidium perizoster,,,added,,
Stylidium shepherdianum,Shepherd's Boomerang Triggerplant,Stylidium shepherdianum,added,,
Stylidium strigosum,Strigose Triggerplant,Stylidium strigosum,added,,
Stylidium vinosum,Julimar Triggerplant,Stylidium vinosum,added,,
Styphelia allittii,,Leucopogon allittii,added,,
Styphelia angustiflora,,Styphelia angustiflora,added,,
Styphelia blackallii,,,added,,
Styphelia blepharolepis,,Leucopogon blepharolepis,added,,
Styphelia brevicuspis,,Leucopogon brevicuspis,added,,
Styphelia capillaris,Horts' Styphelia,Styphelia capillaris,added,,
Styphelia carolineae,,,added,,
Styphelia caudata,,,added,,
Styphelia cernua,,Styphelia cernua,added,,
Styphelia chlorantha,,Styphelia chlorantha,added,,
Styphelia cymbiformis,,Leucopogon cymbiformis,added,,
Styphelia deserticola,,Styphelia deserticola,added,,
Styphelia disjuncta,,Styphelia disjuncta,added,,
Styphelia exarata,,,added,,
Styphelia filamentosa,,Styphelia filamentosa,added,,
Styphelia filifolia,,Styphelia filifolia,added,,
Styphelia graniticola,,,added,,
Styphelia inopinata,,Styphelia inopinata,added,,
Styphelia intricata,,,added,,
Styphelia lanata,,Styphelia lanata,added,,
Styphelia longissima,,Styphelia longissima,added,,
Styphelia marginata,,Styphelia marginata,added,,
Styphelia multiflora,,Leucopogon multiflorus,added,,
Styphelia obtecta,Hidden Beard-heath,Leucopogon obtectus,added,,
Styphelia pogonocalyx,,Leucopogon pogonocalyx,added,,
Styphelia psilopus,,Styphelia psilopus,added,,
Styphelia quartzitica,,Styphelia quartzitica,added,,
Styphelia rectiloba,,Styphelia rectiloba,added,,
Styphelia rotundifolia,,Leucopogon rotundifolius,added,,
Styphelia saxicola,,Styphelia saxicola,added,,
Styphelia sp. Dumbleyung (A.J.G. Wilson 146),,Styphelia sp. Dumbleyung (A.J.G.Wilson 146),added,,
Styphelia sp. Kirkalocka (A.S. George 17738) PN,,,added,,
Styphelia sp. Wandoo (F. & J. Hort 2441),,Styphelia sp. Wandoo (F. & J.Hort 2441),added,,
Styphelia sp. Watheroo (M. Hislop 4324) PN,,,added,,
Styphelia sulcata,,Styphelia sulcata,added,,
Styphelia tamminensis,,Leucopogon tamminensis,added,,
Styphelia undulata,,,added,,
Swainsona disjuncta,,Swainsona disjuncta,added,,
Swainsona katjarra,,Swainsona katjarra,added,,
Swainsona picta,,,added,,
Swainsona sp. Burnerbinmah (D. Edinger et al. 38) PN,,Swainsona sp. Burnerbinmah (D.Edinger et al. 38),added,,
Synaphea sp. Jilakin Flat Rocks Rd (R. Butcher et. al RB200) PN,,Synaphea sp. Jilakin Flat Rocks Rd (R.Butcher et al. RB200),added,,
Synostemon arenosus,,,added,,
Synostemon rigidulus,,Synostemon rigidulus,added,,
Tecticornia enodis,Smooth-seeded Samphire,Tecticornia enodis,added,,
Tecticornia willisii,Spencer's Samphire,Tecticornia willisii,added,,
Tephrosia cardiophylla,Romantic Tephrosia,Tephrosia cardiophylla,added,,
Tephrosia cowiei,,Tephrosia cowiei,added,,
Tephrosia funicularis,,Tephrosia funicularis,added,,
Tephrosia lithosperma,,Tephrosia lithosperma,added,,
Tephrosia pedleyi,,Tephrosia pedleyi,added,,
Tephrosia sabulosa,,,added,,
Tephrosia sp. Central (P.K. Latz 17037),,Tephrosia sp. Central (P.K.Latz 17037),added,,
Tetratheca hirsuta subsp. boonanarring,,Tetratheca hirsuta subsp. boonanarring,added,,
Teucrium diabolicum,Devil's Germander,Teucrium diabolicum,added,,
Thelymitra porphyrosticta,Curly-locks,Thelymitra spiralis,added,,
Themeda sp. Panorama (J. Nelson et al. NS 102) PN,,,added,,
Thomasia julietiae,Juliet's Thomasia,Thomasia julietiae,added,,
Thomasia x formosa,,Thomasia x formosa,added,,
Thryptomene planiflora,Goldfields Laceflower,Thryptomene planiflora,added,,
Thryptomene sp. Hyden (B.J. Lepschi & L.A. Craven 4477),,Thryptomene sp. Hyden (B.J.Lepschi & L.A.Craven 4477),added,,
Thysanotus kalbarriensis,,Thysanotus sp. Kalbarri (D. & B.Bellairs 1523 A),added,,
Thysanotus sp. Ennuin (N. Gibson & M. Lyons 2665),,Thysanotus sp. Ennuin (N.Gibson & M.Lyons 2665),added,,
Thysanotus sp. Mount Madden (G.F. Craig 10516),,Thysanotus sp. Mount Madden (G.F.Craig 10516),added,,
Thysanotus sp. Yellowdine (A.S. George 6040),,Thysanotus sp. Yellowdine (A.S.George 6040),added,,
Trachymene oleracea subsp. sedimentum,,,added,,
Tribulopis sp. Mitchell Plateau (K.F. Kenneally 7935),,Tribulopis sp. Mitchell Plateau (K.F.Kenneally 7935),added,,
Tricostularia davisii,Davis’ Tricostularia,Tricostularia davisii,added,,
Tricostularia drummondii,Drummond’s Tricostularia,Tricostularia drummondii,added,,
Tricostularia lepschii,Lepschi’s Tricostularia,Tricostularia lepschii,added,,
Tricostularia sandifordiana,Sandiford’s Tricostularia,Tricostularia sandifordiana,added,,
"Tricostularia sp. Mogumber (A. Harris s.n., 23/12/2015) PN",,"Tricostularia sp. Mogumber (A.Harris s.n., 23/12/2015)",added,,
Tricostularia sp. Porongurup (I. Abbott 18) PN,,Tricostularia sp. Porongurup (I.Abbott 18),added,,
Tricostularia sp. Two Peoples Bay (G. Wardell-Johnson GWJ 114) PN,,Tricostularia sp. Two Peoples Bay (G.Wardell-Johnson GWJ 114),added,,
Triglochin sp. Condingup (R. Davis 10877),,Triglochin sp. Condingup (R.Davis 10877),added,,
Triodia birriliburu,,Triodia birriliburu,added,,
Triodia chichesterensis,,Triodia chichesterensis,added,,
Triodia infesta,,Triodia infesta,added,,
Triodia latzii,,Triodia latzii,added,,
Triodia mallota,,Triodia mallota,added,,
Triodia nana,,Triodia nana,added,,
Triodia pisoliticola,Mesa Spinifex,Triodia pisoliticola,added,,
Triodia plurinervata,,Triodia plurinervata,added,,
Triodia sp. Silvergrass (P.-L. de Kock BES 00808),,Triodia sp. Silvergrass (P.-L.de Kock BES 00808),added,,
Triodia veniciae,Roy Hill Spinifex,Triodia veniciae,added,,
Typhonium sp. Middle Creek (M.D. Barrett MDB 3246) PN,,Typhonium sp. Middle Creek (M.D.Barrett MDB 3246),added,,
Utricularia albertiana,,Utricularia albertiana,added,,
Utricularia baliboongarnang,,,added,,
Utricularia bidentata,,Utricularia bidentata,added,,
Utricularia hamata,,Utricularia hamata,added,,
Utricularia magna,,Utricularia magna,added,,
Utricularia oppositiflora,Fairy Aprons,Utricularia dichotoma,added,,
Utricularia papilliscapa,,Utricularia papilliscapa,added,,
Vallisneria sp. Weelarrana (M.N. Lyons & S.D. Lyons 3050),,Vallisneria sp. Weelarrana (M.N.Lyons & S.D.Lyons 3050),added,,
Verticordia elizabethiae,Elizabeth's Featherflower,Verticordia elizabethiae,added,,
Verticordia halophila,Salt-loving Featherflower,Verticordia halophila,added,,
Verticordia staminosa subsp. cylindracea var. cylindracea,,Verticordia staminosa subsp. cylindracea var. cylindracea,added,,
Verticordia staminosa subsp. cylindracea var. erecta,,Verticordia staminosa subsp. cylindracea var. erecta,added,,
Vincetoxicum polyanthum,Coast Tylophora,Tylophora benthamii,added,,
Wurmbea sp. Muggon (T.D. Macfarlane & R. Davis TDM 3336),,Wurmbea sp. Muggon (T.D.Macfarlane & R.Davis TDM 3336),added,,
Xerochrysum boreale,,Xerochrysum boreale,added,,
Actitis hypoleucos,Common Sandpiper,Actitis hypoleucos,added,,
Anoxypristis cuspidata,Narrow Sawfish,Anoxypristis cuspidata,added,,
Antichiropus sp. 'DIP004',Roy Hill Antichiropus Millipede,Antichiropus sp. 'DIP004',added,,
Antichiropus sp. 'DIP005',Abydos Antichiropus Millipede,Antichiropus sp. 'DIP005',added,,
Antichiropus sp. 'DIP006',Area C Antichiropus Millipede,Antichiropus sp. 'DIP006',added,,
Antichiropus sp. 'DIP007',Bond's Antichiropus Millipede,Antichiropus sp. 'DIP007',added,,
Antichiropus sp. 'DIP008',Flinders Antichiropus Millipede,Antichiropus sp. 'DIP008',added,,
Antichiropus sp. 'DIP013',Cloudbreak Antichiropus Millipede,Antichiropus sp. 'DIP013',added,,
Antichiropus sp. 'DIP029',Mt Bruce Antichiropus Millipede,Antichiropus sp. 'DIP029',added,,
Ardenna carneipes,Flesh-footed Shearwater,Ardenna carneipes,added,,
Ardenna grisea,Sooty Shearwater,Ardenna grisea,added,,
Ardenna pacifica,Wedge-tailed Petrel,Ardenna pacifica,added,,
Ardenna tenuirostris,Short-tailed Shearwater,Ardenna tenuirostris,added,,
Aspidites ramsayi (southwest subpopulation),Woma,Aspidites ramsayi,added,,
Australotomurus morbidus,Guildford Springtail,Australotomurus morbidus,added,,
Balaenoptera bonaerensis,Antarctic Minke Whale,Balaenoptera bonaerensis,added,,
Balaenoptera edeni,Bryde's Whale,Balaenoptera edeni,added,,
Bettongia lesueur subsp. (Barrow and Boodie Islands),Boodie (barrow And Boodie Islands),Bettongia lesueur subsp. (Barrow and Boodie Islands),added,,
Caperea marginata,Pygmy Right Whale,Caperea marginata,added,,
Carcharhinus falciformis,Silky Shark,Carcharhinus falciformis,added,,
Cetorhinus maximus,Basking Shark,Cetorhinus maximus,added,,
Chaeropus yirratji ,Yirratji,Chaeropus yirratji,added,,
Crinia fimbriata,Kimberley Froglet,Crinia fimbriata,added,,
Ctenophorus nguyarna,Lake Disappointment Dragon,Ctenophorus nguyarna,added,,
Ctenotus gemmula (Swan Coastal Plain subpopulation),Jewelled South-west Ctenotus,Ctenotus gemmula,added,,
Diomedea amsterdamensis ,Amsterdam Albatross,Diomedea amsterdamensis,added,,
Diomedea antipodensis,Antipodean Albatross,Diomedea antipodensis,added,,
Diomedea antipodensis gibsoni,Gibson's Albatross,Diomedea antipodensis gibsoni,added,,
Euoplos inornatus,Inornate Trapdoor Spider (northern Jarrah Forest),Euoplos inornatus,added,,
Galaxias truttaceus (Western Australian population),Western Spotted Galaxias,Galaxias truttaceus (Western Australian population),added,,
Glossurocolletes bilobatus,A Short-tongued Bee (southwest),Glossurocolletes bilobatus,added,,
Hurleya sp. (WAM C23193),Crystal Cave Crangonyctoid,Hurleya sp. (WAM C23193),added,,
Hydrobates monorhis,Swinhoe's Storm-petrel,Hydrobates monorhis,added,,
Hydroprogne caspia,Caspian Tern,Hydroprogne caspia,added,,
Idiosoma arenaceum,Geraldton Sandplain Shield-backed Trapdoor Spider,Idiosoma arenaceum,added,,
Idiosoma castellum,,Idiosoma castellum,added,,
Idiosoma clypeatum,Northern Shield-backed Trapdoor Spider,Idiosoma clypeatum,added,,
Idiosoma dandaragan,Dandaragan Plateau Shield-backed Trapdoor Spider,Idiosoma dandaragan,added,,
Idiosoma formosum,Ornate Shield-backed Trapdoor Spider,Idiosoma formosum,added,,
Idiosoma gardneri,Mt Lesueur Shield-backed Trapdoor Spider,Idiosoma gardneri,added,,
Idiosoma gutharuka,Gutha Pintharuka Shield-backed Trapdoor Spider,Idiosoma gutharuka,added,,
Idiosoma incomptum,Carnarvon Shield-backed Trapdoor Spider,Idiosoma incomptum,added,,
Idiosoma intermedium,Coolgardie Shield-backed Trapdoor Spider,Idiosoma intermedium,added,,
Idiosoma kopejtkaorum,Lake Goorly Shield-backed Trapdoor Spider,Idiosoma kopejtkaorum,added,,
Idiosoma kwongan,Kwongan Heath Shield-backed Trapdoor Spider,Idiosoma kwongan,added,,
Idiosoma mcclementsorum,Julimar Shield-backed Trapdoor Spider,Idiosoma mcclementsorum,added,,
Idiosoma mcnamarai,Central-eastern Wheatbelt Shield-backed Trapdoor Spider,Idiosoma mcnamarai,added,,
Idiosoma schoknechtorum,Mortlock River Shield-backed Trapdoor Spider,Idiosoma schoknechtorum,added,,
Idiosoma sigillatum,Swan Coastal Plain Shield-backed Trapdoor Spider,Idiosoma sigillatum,added,,
Isoodon fusciventer,Quenda,Isoodon fusciventer,added,,
Isurus oxyrinchus,Mako Shark,Isurus oxyrinchus,added,,
Isurus paucus,Longfin Mako,Isurus paucus,added,,
Ixobrychus flavicollis australis (southwest subpopulation),,Ixobrychus flavicollis australis,added,,
Lagenodelphis hosei,Fraser's Dolphin,Lagenodelphis hosei,added,,
Lagenorhynchus obscurus,Dusky Dolphin,Lagenorhynchus obscurus,added,,
Lagorchestes hirsutus subsp. (Central Australia),Rufous Hare-wallaby (central Australia),Lagorchestes hirsutus subsp. (Central Australia),added,,
Lamna nasus,Mackerel Shark,Lamna nasus,added,,
Mobula alfredi ,Coastal Manta Ray,Mobula alfredi,added,,
Mobula birostris ,Giant Manta Ray,Mobula birostris,added,,
Mobula eregoodoo ,Pygmy Devilray,Mobula eregoodoo,added,,
Mobula thurstoni,Bentfin Devilray,Mobula thurstoni,added,,
Mormopterus cobourgianus,North-western Free-tailed Bat,Ozimops cobourgianus,added,,
Nanotrachia orientalis,A Camaenid Land Snail (eastern Napier Ranges),Nanotrachia orientalis,added,,
Ninox connivens connivens (southwest subpopulation),Barking Owl (southwest Subpop.),Ninox (Hieracoglaux) connivens connivens,added,,
Northiella narethae,Naretha Blue Bonnet,Northiella narethae,added,,
Notamacropus eugenii derbianus,Tammar Wallaby,Notamacropus eugenii derbianus,added,,
Notamacropus irma,Western Brush Wallaby,Notamacropus irma,added,,
Onychoprion anaethetus,Bridled Tern,Onychoprion anaethetus,added,,
Orcinus orca,Orca,Orcinus orca,added,,
Osphranter robustus isabellinus,Barrow Island Euro,Osphranter robustus isabellinus,added,,
Pandion haliaetus,Osprey,Pandion haliaetus,added,,
Perameles bougainville,Shark Bay Bandicoot,Perameles bougainville,added,,
Perameles myosuros,Marl,Perameles myosuros,added,,
Perameles papillon,Butterfly Bandicoot,Perameles papillon,added,,
Petrogale lateralis centralis,Warru (central Australian Rock-wallaby),Petrogale lateralis centralis,added,,
Petrogale lateralis kimberleyensis,Wiliji,Petrogale lateralis kimberleyensis,added,,
Phaps elegans (Abrolhos subpopulation),Brush Bronzewing,Phaps (Phaps) elegans,added,,
Rhinonicteris aurantia (Pilbara form),Pilbara Leaf-nosed Bat,Rhinonicteris aurantia (Pilbara form),added,,
Rhytidid sp. (WAM 2295-69),Stirling Range Rhytidid Snail,Rhytidid sp. (WAM 2295-69),added,,
Rostratula australis,Australian Painted-snipe,Rostratula australis,added,,
Spatula querquedula,Garganey,Spatula querquedula,added,,
Stenella attenuata,Pantropical Spotted Dolphin,Stenella attenuata,added,,
Stenella longirostris,Spinner Dolphin,Stenella longirostris,added,,
Stercorarius maccormicki,South Polar Skua,Stercorarius maccormicki,added,,
Sterna paradisaea,Arctic Tern,Sterna (Sterna) paradisaea,added,,
Sternula albifrons,Little Tern,Sternula albifrons,added,,
Sternula nereis nereis,Fairy Tern,Sternula nereis nereis,added,,
Teyl sp. (MYG693),,,added,,
Thalassarche cauta cauta,Shy Albatross,Thalassarche cauta cauta,added,,
Thalassarche cauta steadi,White-capped Albatross,Thalassarche steadi,added,,
Thinornis cucullatus,Hooded Plover,Thinornis cucullatus,added,,
Trichosurus vulpecula arnhemensis,Northern Brushtail Possum (kimberley),Trichosurus vulpecula arnhemensis,added,,
Tursiops aduncus,Long-beaked Bottle-nosed Dolphin,Tursiops aduncus,added,,
Xenus cinereus,Terek Sandpiper,Xenus cinereus,added,,
Aganippe castellum,,,removed,,Idiosoma castellum
Anas clypeata,,,removed,,Anas clypeata
Anas querquedula,,,removed,Garganey,Anas (Querquedula) querquedula
Antichiropus sp. DIP004,,,removed,Roy Hill Antichiropus Millipede,Antichiropus sp. 'DIP004'
Antichiropus sp. DIP005,,,removed,Abydos Antichiropus Millipede,Antichiropus sp. 'DIP005'
Antichiropus sp. DIP006,,,removed,Area C Antichiropus Millipede,Antichiropus sp. 'DIP006'
Antichiropus sp. DIP007,,,removed,Bond's Antichiropus Millipede,Antichiropus sp. 'DIP007'
Antichiropus sp. DIP008,,,removed,Flinders Antichiropus Millipede,Antichiropus sp. 'DIP008'
Antichiropus sp. DIP013,,,removed,Cloudbreak Antichiropus Millipede,Antichiropus sp. 'DIP013'
Antichiropus sp. DIP029,,,removed,Mt Bruce Antichiropus Millipede,Antichiropus sp. 'DIP029'
Arbanitis inornatus,,,removed,,Cataxia maculata
Ardea ibis,,,removed,Cattle Egret,Bubulcus ibis
Ardea modesta,,,removed,Eastern Great Egret,Casmerodius modesta
Aspidites ramsayi (southwest subpop.),,,removed,Woma (southwest Subpop.),Aspidites ramsayi (southwest subpop.)
Austromerope poultoni,,,removed,,Austromerope poultoni
Bettongia lesueur subsp. (WAM M10733),,,removed,Burrowing Bettong,Bettongia lesueur
Calidris alpina,,,removed,Dunlin,Calidris alpina
Calidris bairdii,,,removed,Baird's Sandpiper,Calidris bairdii
Calidris canutus piersmai,,,removed,,Calidris (Calidris) canutus piersmai
Calidris canutus rogersi,,,removed,Red Knot (ssp. Rogersi),Calidris (Calidris) canutus rogersi
Calidris minuta,,,removed,Little Stint,Calidris (Ereunetes) minuta
Catharacta maccormicki (Stercorarius maccormicki),,,removed,South Polar Skua,Stercorarius maccormicki
Charadrius hiaticula,,,removed,Ringed Plover,Charadrius hiaticula
Charadrius leschenaultii leschenaultii,,,removed,Greater Sand Plover,Charadrius (Charadrius) leschenaultii leschenaultii
Charadrius rubricollis,,,removed,Eastern Hooded Dotteral,Thinornis cucullatus cucullatus
Ctenotus gemmula (Swan Coastal Plain subpop.),,,removed,Jewelled Southwest Ctenotus (swan Coastal Plain Subpop.),Ctenotus gemmula (Swan Coastal Plain subpop.)
Diomedea amsterdamensis,,,removed,Amsterdam Albatross,Diomedea amsterdamensis
