WATaxonId,scientificName,vernacularName,class,Status,WAStatus,WARank,EPBCStatus,EPBCDesc,county,municipality,verbatimLocality,taxonRemarks
8244,Taraxacum cygnorum,,,Extinct,X,EX,VU,Vulnerable,SCST,ESPERANCE,"Israelite Bay, TAS, VIC",
3497,Acacia prismifolia,,,Extinct,X,EX,EX,Extinct,SCST,ALBANY,"Albany, Stirling Range N.P.",
6344,Coleanthera virgata,,,Extinct,X,EX,EX,Extinct,SCST,ALBANY,Cape Riche,
5195,Frankenia decurrens,,,Extinct,X,EX,EX,Extinct,SCST,ALBANY,Near Cape Riche,
8119,Myriocephalus nudus,,,Extinct,X,EX,,,SWAN,SWAN COASTAL,Swan River,
14180,Picris compacta,,,Extinct,X,EX,,,SWAN,SWAN COASTAL,"Claremont, Perth",
20093,Scholtzia sp. Bickley (W.H. Loaring s.n. PERTH 06165184),,,Extinct,X,EX,,,SWAN,PERTH HILLS,Bickley,
2343,Leptomeria dielsiana,,,Extinct,X,EX,VU,Vulnerable,SWST,BLACKWOOD,Scott River,
16881,Conospermum caeruleum subsp. contortum,,,Extinct,X,EX,,,SWST,BLACKWOOD,Nannup,
3024,Lepidium drummondii,,,Extinct,X,EX,EX,Extinct,UKN,Unknown,Southwest Western Australia,
6381,Leucopogon cryptanthus,,,Extinct,X,EX,EX,Extinct,UKN,Unknown,South-west Western Australia,
2703,Ptilotus caespitulosus,,,Extinct,X,EX,,,UKN,Unknown,W.A.,
3402,Acacia kingiana,,,Extinct,X,EX,EX,Extinct,WHTB,GREAT SOUTHERN,Wagin,
4532,Tetratheca fasciculata,,,Extinct,X,EX,EX,Extinct,WHTB,GREAT SOUTHERN,Lake Wagin,
5082,Thomasia gardneri,,,Extinct,X,EX,EX,Extinct,WHTB,CENTRAL WHEATBELT,Mt Holland,
29489,Tetratheca aphylla subsp. aphylla,,,Vulnerable,T,VU,VU,Vulnerable,GOLD,KALGOORLIE,Helena & Aurora Ranges,
4534,Tetratheca harperi,,,Vulnerable,T,VU,VU,Vulnerable,GOLD,KALGOORLIE,Mt Jackson,
46173,Atriplex yeelirrie,,,Vulnerable,T,VU,EN,Endangered,GOLD,KALGOORLIE,Yeelirrie Stn.,
23987,Tetratheca paynterae subsp. cremnobata,,,Vulnerable,T,VU,EN,Endangered,GOLD,KALGOORLIE,Die Hardy Ranges,
44470,Acacia shapelleae,,,Vulnerable,T,VU,,,GOLD,KALGOORLIE,"Bungalbin Hill, Helena and Aurora Range",
31771,Lepidosperma bungalbin,,,Vulnerable,T,VU,,,GOLD,KALGOORLIE,Helena-Aurora Range,
20761,Tetratheca erubescens,,,Vulnerable,T,VU,,,GOLD,KALGOORLIE,Koolyanobbing,
41500,Tetratheca spenceri,,,Vulnerable,T,VU,,,GOLD,KALGOORLIE,Kambalda West,
6069,Thryptomene wittweri,,,Vulnerable,T,VU,VU,Vulnerable,"GOLD,MWST,PILB","KALGOORLIE,KARRATHA,GERALDTON","Hamersley Range, Mt Augustus, Carnarvon Range, White Cliffs Stn, NT",
11034,Gastrolobium graniticum,,,Vulnerable,T,VU,EN,Endangered,"GOLD,WHTB","KALGOORLIE,CENTRAL WHEATBELT","Coolgardie,Gnamma Hill,Narembeen,Yellowdine, Bullabulling",
5716,Eucalyptus mooreana,,,Vulnerable,T,VU,VU,Vulnerable,KIMB,"EAST KIMBERLEY,WEST KIMBERLEY",King Leopold Range,
5586,Eucalyptus ceracea,,,Vulnerable,T,VU,VU,Vulnerable,KIMB,EAST KIMBERLEY,"NW of Wyndham, King George River",
