VBATaxonId,scientificName,vernacularName,scientificNameAuthoritiy,family,FFGStatus,FFGDesc,EPBCStatus,EPBCDesc,sourceStatus,status,VBARestriction,VBA_origin,speciesGroup,identificationRemarks,VBATreaty,VBA_discipline,kingdom,taxonRank,modified
12407,Lissolepis coventryi,Swamp Skink,,Scincidae,en,Endangered,,,vu,Vulnerable,Restricted viewing taxon,,Reptiles,,,Terrestrial fauna,Animalia,Species,23/06/2021
12993,Pseudemoia pagenstecheri,Tussock Skink,,Scincidae,en,Endangered,,,vu,Vulnerable,Restricted viewing taxon,,Reptiles,,,Terrestrial fauna,Animalia,Species,23/06/2021
12683,Pseudemoia rawlinsoni,Glossy Grass Skink,,Scincidae,en,Endangered,,,vu,Vulnerable,Restricted viewing taxon,,Reptiles,,,Terrestrial fauna,Animalia,Species,23/06/2021
1686,Engaeus australis,Lilly Pilly Burrowing Crayfish,"Riek, 1969",Parastacidae,cr,Critically endangered,,,vu,Vulnerable,Restricted viewing taxon,,"Mussels, decopod crustacea",,,Aquatic fauna,Animalia,Species,23/06/2021
1694,Engaeus mallacoota,Mallacoota Burrowing Crayfish,"Horwitz, 1990",Parastacidae,cr,Critically endangered,,,vu,Vulnerable,Restricted viewing taxon,,"Mussels, decopod crustacea",,,Aquatic fauna,Animalia,Species,23/06/2021
3023,Tamasia furcilla,Caddisfly,"Neboiss, 1984",Calocidae,cr,Critically endangered,,,vu,Vulnerable,Restricted viewing taxon,,Invertebrates,,,Aquatic invertebrates,Animalia,Species,23/06/2021
75160,Colubotelson joyneri,freshwater isopod,"(Nicholls, 1926)",Phreatoicidae,cr,Critically endangered,,,vu,Vulnerable,Restricted viewing taxon,,Invertebrates,,,Aquatic invertebrates,Animalia,Species,23/06/2021
75161,Colubotelson searli,freshwater isopod,"Nicholls, 1944",Phreatoicidae,cr,Critically endangered,,,vu,Vulnerable,Restricted viewing taxon,,Invertebrates,,,Aquatic invertebrates,Animalia,Species,23/06/2021
75163,Gariwerdeus beehivensis,freshwater isopod,"Wilson & Keable, 2002",Phreatoicidae,cr,Critically endangered,,,vu,Vulnerable,Restricted viewing taxon,,Invertebrates,,,Aquatic invertebrates,Animalia,Species,23/06/2021
2366,Thaumatoperla flaveola,Mount Stirling stonefly,Burns and Neboiss 1957,Eustheniidae,cr,Critically endangered,,,vu,Vulnerable,Restricted viewing taxon,,Invertebrates,,,Aquatic invertebrates,Animalia,Species,23/06/2021
