VBATaxonId,scientificName,vernacularName,scientificNameAuthoritiy,family,FFGStatus,FFGDesc,EPBCStatus,EPBCDesc,sourceStatus,status,VBARestriction,VBA_origin,speciesGroup,identificationRemarks,VBATreaty,VBA_discipline,kingdom,taxonRank,modified
12987,Cyclodomorphus praealtus,Alpine She-oak Skink,,Scincidae,cr,Critically endangered,EN,Endangered,cr,Critically endangered,Restricted viewing taxon,,Reptiles,,,Terrestrial fauna,Animalia,Species,23/06/2021
12432,Liopholis guthega,Guthega Skink,,Scincidae,cr,Critically endangered,EN,Endangered,cr,Critically endangered,Restricted viewing taxon,,Reptiles,,,Terrestrial fauna,Animalia,Species,4/08/2021
13042,Heleioporus australiacus,Giant Burrowing Frog,,Myobatrachidae,cr,Critically endangered,VU,Vulnerable,cr,Critically endangered,Restricted viewing taxon,,Amphibians,,,Terrestrial fauna,Animalia,Species,23/06/2021
13106,Philoria frosti,Baw Baw Frog,,Myobatrachidae,cr,Critically endangered,EN,Endangered,cr,Critically endangered,Restricted viewing taxon,,Amphibians,,,Terrestrial fauna,Animalia,Species,23/06/2021
517,Notopala sublineata,River Snail,"(Conrad, 1850)",Viviparidae,,,,,cr,Critically endangered,Restricted viewing taxon,,Aquatic invertebrates,,,Aquatic invertebrates,Animalia,Species,23/06/2021
10278,Polytelis anthopeplus monarchoides,Regent Parrot,"Schodde, 1993",Psittacidae,vu,Vulnerable,VU,Vulnerable,vu,Vulnerable,Restricted breeding taxon,,Non-passerine birds,,,Terrestrial fauna,Animalia,Species,3/08/2021
10226,Haliaeetus leucogaster,White-bellied Sea-Eagle,,Accipitridae,en,Endangered,,,vu,Vulnerable,Restricted breeding taxon,,Non-passerine birds,,CAMBA,Terrestrial fauna,Animalia,Species,23/06/2021
10265,Calyptorhynchus lathami,Glossy Black-Cockatoo,"(Temminck, 1807)",Cacatuidae,cr,Critically endangered,,,vu,Vulnerable,Restricted breeding taxon,,Non-passerine birds,,,Terrestrial fauna,Animalia,Species,23/06/2021
10270,Lophochroa leadbeateri,Major Mitchell's Cockatoo,,Cacatuidae,cr,Critically endangered,,,vu,Vulnerable,Restricted breeding taxon,,Non-passerine birds,,,Terrestrial fauna,Animalia,Species,23/06/2021
10277,Polytelis swainsonii,Superb Parrot,,Psittacidae,en,Endangered,VU,Vulnerable,en,Endangered,Restricted breeding taxon,,Non-passerine birds,,,Terrestrial fauna,Animalia,Species,23/06/2021
10264,Calyptorhynchus banksii graptogyne,Red-tailed Black-Cockatoo (south-eastern),,Cacatuidae,en,Endangered,EN,Endangered,en,Endangered,Restricted breeding taxon,,Non-passerine birds,,,Terrestrial fauna,Animalia,Species,23/06/2021
62969,Morelia spilota metcalfei,Carpet Python,,Morelia,en,Endangered,,,en,Endangered,Restricted breeding taxon,,Reptiles,,,Terrestrial fauna,Animalia,Species,23/06/2021
62968,Morelia spilota spilota,Diamond Python,,Morelia,cr,Critically endangered,,,en,Endangered,Restricted breeding taxon,,Reptiles,,,Terrestrial fauna,Animalia,Species,23/06/2021
10246,Ninox connivens,Barking Owl,,Strigidae,cr,Critically endangered,,,en,Endangered,Restricted breeding taxon,,Non-passerine birds,,,Terrestrial fauna,Animalia,Species,23/06/2021
