scientificName,vernacularName,status,sourceStatus,generalisation
Abildgaardia pachyptera,,Priority 1: Poorly-known species,P1,10 km
Abutilon sp. Hamelin (A.M. Ashby 2196),,Priority 2: Poorly-known species,P2,10 km
Abutilon sp. Onslow (F. Smith s.n. 10/9/61),,Priority 3: Poorly-known species,P3,10 km
Abutilon sp. Pritzelianum (S. van Leeuwen 5095),,Priority 3: Poorly-known species,P3,10 km
Abutilon sp. Quobba (H. Demarz 3858),,Priority 2: Poorly-known species,P2,10 km
Abutilon sp. Warburton (A.S. George 8164),,Priority 1: Poorly-known species,P1,10 km
Acacia adinophylla,,Priority 1: Poorly-known species,P1,10 km
Acacia adjutrices,,Priority 3: Poorly-known species,P3,10 km
Acacia alata var. platyptera,,"Priority 4: Rare, Near Threatened",P4,10 km
Acacia alexandri,,Priority 3: Poorly-known species,P3,10 km
Acacia ampliata,,Priority 1: Poorly-known species,P1,10 km
Acacia amyctica,,Priority 2: Poorly-known species,P2,10 km
Acacia anarthros,,Priority 3: Poorly-known species,P3,10 km
Acacia anastomosa,,Priority 1: Poorly-known species,P1,10 km
Acacia ancistrophylla var. lissophylla,,Priority 2: Poorly-known species,P2,10 km
Acacia ancistrophylla var. perarcuata,,Priority 3: Poorly-known species,P3,10 km
Acacia anomala,,Vulnerable,VU,10 km
Acacia anserina,,Priority 2: Poorly-known species,P2,10 km
Acacia aphanoclada,,Priority 1: Poorly-known species,P1,10 km
Acacia aphylla,,Vulnerable,VU,10 km
Acacia aprica,,Critically Endangered,CR,10 km
Acacia arcuatilis,,Priority 2: Poorly-known species,P2,10 km
Acacia argutifolia,,"Priority 4: Rare, Near Threatened",P4,10 km
Acacia aristulata,,Endangered,EN,10 km
Acacia ascendens,,Priority 2: Poorly-known species,P2,10 km
Acacia asepala,,Priority 2: Poorly-known species,P2,10 km
Acacia ataxiphylla subsp. ataxiphylla,,Priority 3: Poorly-known species,P3,10 km
Acacia ataxiphylla subsp. magna,,Endangered,EN,10 km
Acacia atopa,,Priority 3: Poorly-known species,P3,10 km
Acacia auratiflora,,Vulnerable,VU,10 km
Acacia auricoma,,Priority 3: Poorly-known species,P3,10 km
Acacia auripila,,Priority 2: Poorly-known species,P2,10 km
Acacia awestoniana,,Critically Endangered,CR,10 km
Acacia barrettiorum,,Priority 2: Poorly-known species,P2,10 km
Acacia bartlei,,Priority 3: Poorly-known species,P3,10 km
Acacia benthamii,,Priority 2: Poorly-known species,P2,10 km
Acacia besleyi,,Priority 1: Poorly-known species,P1,10 km
Acacia bifaria,,Priority 3: Poorly-known species,P3,10 km
Acacia botrydion,,"Priority 4: Rare, Near Threatened",P4,10 km
Acacia brachyphylla var. recurvata,,Priority 3: Poorly-known species,P3,10 km
Acacia brachypoda,,Vulnerable,VU,10 km
Acacia bromilowiana,,"Priority 4: Rare, Near Threatened",P4,10 km
Acacia browniana var. glaucescens,,Priority 2: Poorly-known species,P2,10 km
Acacia burrowsiana,,Priority 3: Poorly-known species,P3,10 km
Acacia caesariata,,Vulnerable,VU,10 km
Acacia calcicola,,"Priority 4: Rare, Near Threatened",P4,10 km
Acacia camptocarpa,,Priority 1: Poorly-known species,P1,10 km
Acacia campylophylla,,Priority 3: Poorly-known species,P3,10 km
Acacia capillaris,,Priority 2: Poorly-known species,P2,10 km
Acacia carens,,Priority 2: Poorly-known species,P2,10 km
Acacia cerastes,,Priority 1: Poorly-known species,P1,10 km
Acacia chapmanii subsp. australis,,Endangered,EN,10 km
Acacia chapmanii subsp. chapmanii,,Priority 2: Poorly-known species,P2,10 km
Acacia claviseta,,Priority 3: Poorly-known species,P3,10 km
Acacia coatesii,,Priority 1: Poorly-known species,P1,10 km
Acacia cochlocarpa subsp. cochlocarpa,,Critically Endangered,CR,10 km
Acacia cochlocarpa subsp. velutinosa,,Critically Endangered,CR,10 km
Acacia concolorans,,Priority 2: Poorly-known species,P2,10 km
Acacia congesta subsp. cliftoniana,,Priority 1: Poorly-known species,P1,10 km
Acacia congesta subsp. wonganensis,,Priority 2: Poorly-known species,P2,10 km
Acacia corusca,,Priority 1: Poorly-known species,P1,10 km
Acacia cowaniana,,Priority 2: Poorly-known species,P2,10 km
Acacia crenulata,,Priority 3: Poorly-known species,P3,10 km
Acacia cummingiana,,Priority 3: Poorly-known species,P3,10 km
Acacia cuneifolia,,"Priority 4: Rare, Near Threatened",P4,10 km
Acacia curryana,,Priority 1: Poorly-known species,P1,10 km
Acacia cyclocarpa,,Priority 3: Poorly-known species,P3,10 km
Acacia cylindrica,,Priority 3: Poorly-known species,P3,10 km
Acacia cyperophylla var. omearana,,Priority 1: Poorly-known species,P1,10 km
Acacia daweana,,Priority 3: Poorly-known species,P3,10 km
Acacia declinata,,"Priority 4: Rare, Near Threatened",P4,10 km
Acacia deflexa,,Priority 3: Poorly-known species,P3,10 km
Acacia deltoidea subsp. ampla,,Priority 2: Poorly-known species,P2,10 km
Acacia denticulosa,,Vulnerable,VU,10 km
Acacia depressa,,Endangered,EN,10 km
Acacia desertorum var. nudipes,,Priority 3: Poorly-known species,P3,10 km
Acacia diallaga,,Priority 1: Poorly-known species,P1,10 km
Acacia diaphana,,Priority 1: Poorly-known species,P1,10 km
Acacia diastemata,,Priority 3: Poorly-known species,P3,10 km
Acacia dilloniorum,,Priority 1: Poorly-known species,P1,10 km
Acacia diminuta,,Priority 1: Poorly-known species,P1,10 km
Acacia dimorpha,,Priority 1: Poorly-known species,P1,10 km
Acacia dissona var. indoloria,,Priority 3: Poorly-known species,P3,10 km
Acacia dorsenna,,Priority 1: Poorly-known species,P1,10 km
Acacia drepanophylla,,Priority 3: Poorly-known species,P3,10 km
Acacia drewiana subsp. minor,,Priority 2: Poorly-known species,P2,10 km
Acacia drummondii subsp. affinis,,Priority 3: Poorly-known species,P3,10 km
Acacia drummondii subsp. elegans Porongurup variant (R.J. Cumming 938),,"Priority 4: Rare, Near Threatened",P4,10 km
Acacia dura,,Priority 2: Poorly-known species,P2,10 km
Acacia effusa,,Priority 3: Poorly-known species,P3,10 km
Acacia epacantha,,Priority 3: Poorly-known species,P3,10 km
Acacia epedunculata,,Priority 1: Poorly-known species,P1,10 km
Acacia eremophila var. Numerous-nerved variant (A.S.George 11924),,Priority 3: Poorly-known species,P3,10 km
Acacia eremophila var. variabilis,,Priority 3: Poorly-known species,P3,10 km
Acacia errabunda,,Priority 3: Poorly-known species,P3,10 km
Acacia euthyphylla,,Priority 3: Poorly-known species,P3,10 km
Acacia fecunda,,Priority 1: Poorly-known species,P1,10 km
Acacia filifolia,,Priority 3: Poorly-known species,P3,10 km
Acacia flabellifolia,,Priority 3: Poorly-known species,P3,10 km
Acacia flagelliformis,,"Priority 4: Rare, Near Threatened",P4,10 km
Acacia formidabilis,,Priority 3: Poorly-known species,P3,10 km
Acacia forrestiana,,Vulnerable,VU,10 km
Acacia gelasina,,Priority 2: Poorly-known species,P2,10 km
Acacia gibsonii,,Priority 1: Poorly-known species,P1,10 km
Acacia glaucissima,,Priority 3: Poorly-known species,P3,10 km
Acacia gloeotricha,,Priority 1: Poorly-known species,P1,10 km
Acacia graciliformis,,Priority 1: Poorly-known species,P1,10 km
Acacia grisea,,"Priority 4: Rare, Near Threatened",P4,10 km
Acacia guinetii,,"Priority 4: Rare, Near Threatened",P4,10 km
Acacia haematites,,Priority 1: Poorly-known species,P1,10 km
Acacia heterochroa subsp. robertii,,Priority 2: Poorly-known species,P2,10 km
Acacia heteroclita subsp. valida,,Priority 2: Poorly-known species,P2,10 km
Acacia horridula,,Priority 3: Poorly-known species,P3,10 km
Acacia hypermeces,,Priority 1: Poorly-known species,P1,10 km
Acacia hystrix subsp. continua,,Priority 1: Poorly-known species,P1,10 km
Acacia imitans,,"Priority 4: Rare, Near Threatened",P4,10 km
Acacia imparilis,,"Priority 4: Rare, Near Threatened",P4,10 km
Acacia improcera,,Priority 3: Poorly-known species,P3,10 km
Acacia incanicarpa,,Priority 2: Poorly-known species,P2,10 km
Acacia inceana subsp. latifolia,,Priority 1: Poorly-known species,P1,10 km
Acacia inophloia,,Priority 3: Poorly-known species,P3,10 km
Acacia inops,,Priority 3: Poorly-known species,P3,10 km
Acacia insolita subsp. recurva,,Critically Endangered,CR,10 km
Acacia isoneura subsp. isoneura,,Priority 3: Poorly-known species,P3,10 km
Acacia isoneura subsp. nimia,,Priority 3: Poorly-known species,P3,10 km
Acacia jasperensis,,Priority 3: Poorly-known species,P3,10 km
Acacia karinae,,Priority 1: Poorly-known species,P1,10 km
Acacia keigheryi,,Priority 3: Poorly-known species,P3,10 km
Acacia kenneallyi,,Priority 3: Poorly-known species,P3,10 km
Acacia kerryana,,Priority 2: Poorly-known species,P2,10 km
Acacia kimberleyensis,,Priority 2: Poorly-known species,P2,10 km
Acacia kingiana,,Extinct,EX,10 km
Acacia kulinensis,,Priority 1: Poorly-known species,P1,10 km
Acacia lachnocarpa,,Priority 1: Poorly-known species,P1,10 km
Acacia lanceolata,,Priority 3: Poorly-known species,P3,10 km
Acacia lanei,,Priority 3: Poorly-known species,P3,10 km
Acacia lanuginophylla,,Vulnerable,VU,10 km
Acacia lapidosa,,Priority 1: Poorly-known species,P1,10 km
Acacia lasiocarpa var. bracteolata long peduncle variant (G.J. Keighery 5026),,Priority 1: Poorly-known species,P1,10 km
Acacia lasiocarpa var. lasiocarpa Cockleshell Gully variant (E.A. Griffin 2039),,Priority 2: Poorly-known species,P2,10 km
Acacia lateriticola var. Glabrous variant (B.R.Maslin 6765),,Priority 3: Poorly-known species,P3,10 km
Acacia latipes subsp. licina,,Priority 3: Poorly-known species,P3,10 km
Acacia leeuweniana,,Priority 1: Poorly-known species,P1,10 km
Acacia leioderma var. Fitzgerald River N.P. variant (A.S.George 9922),,Priority 2: Poorly-known species,P2,10 km
Acacia lentiginea,,Priority 2: Poorly-known species,P2,10 km
Acacia leptalea,,Vulnerable,VU,10 km
Acacia leptocarpa,,Priority 1: Poorly-known species,P1,10 km
Acacia leptoneura,,Critically Endangered,CR,10 km
Acacia leptospermoides subsp. obovata,,Priority 2: Poorly-known species,P2,10 km
Acacia leptospermoides subsp. psammophila,,Priority 3: Poorly-known species,P3,10 km
Acacia levata,,Priority 3: Poorly-known species,P3,10 km
Acacia lineolata subsp. multilineata,,Priority 1: Poorly-known species,P1,10 km
Acacia lirellata subsp. compressa,,Priority 2: Poorly-known species,P2,10 km
Acacia lirellata subsp. lirellata,,Priority 3: Poorly-known species,P3,10 km
Acacia lobulata,,Endangered,EN,10 km
Acacia mackenziei,,Priority 1: Poorly-known species,P1,10 km
Acacia manipularis,,Priority 1: Poorly-known species,P1,10 km
Acacia megacephala,,Priority 3: Poorly-known species,P3,10 km
Acacia merrickiae,,"Priority 4: Rare, Near Threatened",P4,10 km
Acacia microneura,,Priority 1: Poorly-known species,P1,10 km
Acacia mitodes,,Priority 2: Poorly-known species,P2,10 km
Acacia monticola x tumida var. kulparn,,Priority 3: Poorly-known species,P3,10 km
Acacia muriculata,,Priority 1: Poorly-known species,P1,10 km
Acacia mutabilis subsp. incurva,,Priority 2: Poorly-known species,P2,10 km
