group,subcategory,scientificName,scientificNameAuthorship,vernacularName,ngunnawalName,synonym,acceptedNameUsage,speciesSensitivity,generalisation,sensitivityReason,taxonomicStatus,taxonRank,kingdom,phylum,classs,order,family,genus,taxonRemarks,conservationStatusACT,conservationStatusAUS,authority,statusComment,invasive
Bird,,Anthochaera phrygia,"(Shaw, 1794)",Regent Honeyeater,,,Anthochaera (Xanthomyza) phrygia,Extreme,10km,Risk of disturbance,accepted,species,Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Anthochaera,,Critically Endangered,Critically Endangered,Nature Conservation Act 2014,,
Bird,,Botaurus poiciloptilus,"(Wagler, 1827)",Australasian Bittern,,,Botaurus poiciloptilus,Sensitive,1km,Risk of disturbance,accepted,species,Animalia,Chordata,Aves,Ciconiiformes,Ardeidae,Botaurus,,Endangered,Endangered,Nature Conservation Act 2014,ACT Migratory Species,
Bird,,Callocephalon fimbriatum,"(Grant, 1803)",Gang-gang Cockatoo,,,Callocephalon fimbriatum,Sensitive,1km,Breeding trees sensitive to disturbance,accepted,species,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Callocephalon,,,Endangered,,Protected Native Species,
Bird,,Calyptorhynchus lathami lathami,"(Temminck, 1807)",Glossy Black-cockatoo,,Calyptorhynchus lathami,Calyptorhynchus (Calyptorhynchus) lathami lathami,Sensitive,1km,Risk of disturbance,accepted,subspecies,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Calyptorhynchus,only subspecies in ACT is subsp. lathami,Vulnerable,Vulnerable,Nature Conservation Act 2014,,
Bird,,Climacteris picumnus victoriae,"Mathews, 1912",Brown Treecreeper (south-eastern),,Climacteris picumnus,Climacteris (Climacteris) picumnus victoriae,Sensitive,1km,Risk of disturbance,accepted,subspecies,Animalia,Chordata,Aves,Passeriformes,Climacteridae,Climacteris,only subspecies in ACT is subsp. victoriae,Vulnerable,,Nature Conservation Act 2014,,
Bird,,Hieraaetus morphnoides,"(Gould, 1841)",Little Eagle,,,Hieraaetus (Hieraaetus) morphnoides,Sensitive,1km,Breeding trees sensitive to disturbance,accepted,species,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Hieraaetus,,Vulnerable,,Nature Conservation Act 2014,,
Bird,,Lathamus discolor,"(Shaw, 1790)",Swift Parrot,,,Lathamus discolor,Extreme,10km,Risk of disturbance,accepted,species,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Lathamus,,Critically Endangered,Critically Endangered,Nature Conservation Act 2014,,
Bird,,Melanodryas cucullata cucullata,"(Latham, 1801)",Hooded Robin,,Melanodryas cucullata,Melanodryas (Melanodryas) cucullata cucullata,Sensitive,1km,Risk of disturbance,accepted,subspecies,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Melanodryas,only subspecies in ACT is subsp. cucullata,Vulnerable,,Nature Conservation Act 2014,,
Bird,,Ninox connivens,"(Latham, 1801)",Barking Owl,,,Ninox (Hieracoglaux) connivens,Sensitive,1km,Risk of disturbance,accepted,species,Animalia,Chordata,Aves,Strigiformes,Strigidae,Ninox,,,,,,
Bird,,Ninox strenua,"(Gould, 1838)",Powerful Owl,Mugmug,,Ninox (Rhabdoglaux) strenua,Sensitive,1km,Risk of disturbance,accepted,species,Animalia,Chordata,Aves,Strigiformes,Strigidae,Ninox,,,,,,
Bird,,Polytelis swainsonii,"(Desmarest, 1826)",Superb Parrot,,,Polytelis swainsonii,Sensitive,1km,Breeding trees sensitive to disturbance,accepted,species,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Polytelis,,Vulnerable,Vulnerable,Nature Conservation Act 2014,,
Frog,,Litoria aurea,"(Lesson, 1829)",Green and Golden Bell Frog,,,Litoria aurea,Sensitive,1km,Locally extinct but protection required if relocated,accepted,species,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,Locally extinct,Vulnerable,Vulnerable,Nature Conservation Act 2014,Locally extinct,
Frog,,Litoria castanea,"(Steindachner, 1867)",Yellow-spotted Bell Frog,,,Litoria castanea,Sensitive,1km,Locally extinct but protection required if relocated,accepted,species,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,Locally extinct,Critically Endangered,Endangered,Nature Conservation Act 2014,Locally extinct,
Frog,,Litoria raniformis,"(Keferstein, 1867)",Southern Bell Frog,,,Litoria raniformis,Sensitive,1km,Locally extinct but protection required if relocated,accepted,species,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,Locally extinct,Vulnerable,Vulnerable,Nature Conservation Act 2014,Locally extinct,
Frog,,Litoria verreauxii alpina,"(Fry, 1915)",Alpine Tree Frog,,,Litoria verreauxii alpina,Sensitive,1km,Risk of disturbance,accepted,subspecies,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,,Vulnerable,Vulnerable,Nature Conservation Act 2014,,
