scientificName,vernacularName,family,genus,sourceStatus,listedSpratTaxonId,currentSpratTaxonId,status
Amytornis striatus howei,"Murray Mallee Striated Grasswren, Striated Grasswren (sandplain)",Maluridae,Amytornis,Endangered,91648,,Endangered
Amytornis striatus striatus,"Mukarrthippi Grasswren, Striated Grasswren (sandplain)",Maluridae,Amytornis,Critically Endangered,26001,,Critically Endangered
Amytornis textilis myall,Western Grasswren (Gawler Ranges),Maluridae,Amytornis,Vulnerable,64454,,Vulnerable
Amytornis woodwardi,"White-throated Grasswren, Yirlinkirrkirr",Maluridae,Amytornis,Vulnerable,564,,Vulnerable
Andersonia annelsii,-,Ericaceae,Andersonia,Critically Endangered,84925,,Critically Endangered
Andersonia axilliflora,Giant Andersonia,Ericaceae,Andersonia,Critically Endangered,16916,,Critically Endangered
Andersonia gracilis,Slender Andersonia,Epacridaceae,Andersonia,Endangered,14470,,Endangered
Andersonia pinaster,Two Peoples Bay Andersonia,Epacridaceae,Andersonia,Vulnerable,67444,,Vulnerable
Androcalva adenothalia,-,Malvaceae,Androcalva,Critically Endangered,86389,,Critically Endangered
Androcalva bivillosa,Straggling Androcalva,Malvaceae,Androcalva,Critically Endangered,87807,,Critically Endangered
Androcalva perkinsiana,Headland Commersonia,Malvaceae,Androcalva,Critically Endangered,86431,,Critically Endangered
Androcalva perlaria,Pearl-like Androcalva,Malvaceae,Androcalva,Endangered,86388,,Endangered
Androcalva procumbens,-,Malvaceae,Androcalva,Vulnerable,87153,,Vulnerable
Androcalva rosea,Sandy Hollow Commersonia,Malvaceae,Androcalva,Endangered,86861,,Endangered
Angophora inopina,Charmhaven Apple,Myrtaceae,Angophora,Vulnerable,64832,,Vulnerable
Angophora robur,Sandstone Rough-barked Apple,Myrtaceae,Angophora,Vulnerable,56088,,Vulnerable
Anigozanthos bicolor subsp. minor,"Little Kangaroo Paw, Two-coloured Kangaroo Paw, Small Two-colour Kangaroo Paw",Haemodoraceae,Anigozanthos,Endangered,21241,,Endangered
Anigozanthos viridis subsp. terraspectans,Dwarf Green Kangaroo Paw,Haemodoraceae,Anigozanthos,Vulnerable,3435,,Vulnerable
Anilios insperatus,Fassifern Blind Snake,Typhlopidae,Anilios,Critically Endangered,88341,,Critically Endangered
Anomalopus mackayi,"Five-clawed Worm-skink, Long-legged Worm-skink",Scincidae,Anomalopus,Vulnerable,25934,,Vulnerable
Anous tenuirostris melanops,Australian Lesser Noddy,Laridae,Anous,Vulnerable,26000,,Vulnerable
Antechinus argentus,Silver-headed Antechinus,Dasyuridae,Antechinus,Endangered,88218,,Endangered
Antechinus arktos,Black-tailed Antechinus,Dasyuridae,Antechinus,Endangered,88217,,Endangered
Antechinus bellus,Fawn Antechinus,Dasyuridae,Antechinus,Vulnerable,344,,Vulnerable
Antechinus minimus maritimus,Swamp Antechinus (mainland),Dasyuridae,Antechinus,Vulnerable,83086,,Vulnerable
Anthocercis gracilis,Slender Tailflower,Solanaceae,Anthocercis,Vulnerable,11103,,Vulnerable
Anthochaera chrysoptera halmaturina,Kangaroo Island Little Wattlebird,Meliphagidae,Anthochaera,Vulnerable,80437,,Vulnerable
Anthochaera phrygia,Regent Honeyeater,Meliphagidae,Anthochaera,Critically Endangered,82338,,Critically Endangered
Anthosachne kingiana subsp. kingiana,Phillip Island Wheat Grass,Poaceae,Anthosachne,Critically Endangered,87946,,Critically Endangered
Antipodia chaostola leucophaea,"Tasmanian Chaostola Skipper, Heath-sand Skipper",Hesperiidae,Antipodia,Endangered,77672,,Endangered
Antrophyum austroqueenslandicum,"Border Ranges Lined Fern, Lamington Ox Tongue Fern",Pteridaceae,Antrophyum,Critically Endangered,74525,,Critically Endangered
Apatophyllum olsenii,-,Celastraceae,Apatophyllum,Vulnerable,7718,,Vulnerable
Aphelocephala leucopsis,Southern Whiteface,Pardalotidae,Aphelocephala,Vulnerable,529,,Vulnerable
Apium prostratum subsp. Porongurup Range (G.J.Keighery 8631),"Fine-leaved Apium, Porongurup Celery",Apiaceae,Apium,Vulnerable,82019,,Vulnerable
Aplonis fusca,Tasman Starling,Sturnidae,Aplonis,Extinct,25895,,Extinct
Aponogeton bullosus,-,Aponogetonaceae,Aponogeton,Endangered,8299,,Endangered
Aponogeton prolifer,an aquatic herb,Aponogetonaceae,Aponogeton,Endangered,82016,,Endangered
Aprasia parapulchella,"Pink-tailed Worm-lizard, Pink-tailed Legless Lizard",Pygopodidae,Aprasia,Vulnerable,1665,,Vulnerable
Aprasia pseudopulchella,Flinders Ranges Worm-lizard,Pygopodidae,Aprasia,Vulnerable,1666,,Vulnerable
Aquila audax fleayi,"Tasmanian Wedge-tailed Eagle, Wedge-tailed Eagle (Tasmanian)",Accipitridae,Aquila,Endangered,64435,,Endangered
Archidendron lovelliae,"Bacon Wood, Tulip Siris",Fabaceae,Archidendron,Vulnerable,13451,,Vulnerable
Archontophoenix myolensis,"Myola Palm, Myola Archontophoenix",Arecaceae,Archontophoenix,Endangered,64500,,Endangered
Arctocephalus tropicalis,Subantarctic Fur-seal,Otariidae,Arctocephalus,Endangered,25909,,Endangered
Argynnis hyperbius inconstans,Australian Fritillary,Nymphalidae,Argynnis,Critically Endangered,88056,,Critically Endangered
Argyrotegium nitidulum,Shining Cudweed,Asteraceae,Argyrotegium,Vulnerable,82043,,Vulnerable
Aristida annua,-,Poaceae,Aristida,Vulnerable,17906,,Vulnerable
Aristida granitica,-,Poaceae,Aristida,Endangered,4065,,Endangered
Arthraxon hispidus,Hairy-joint Grass,Poaceae,Arthraxon,Vulnerable,9338,,Vulnerable
Asperula asthenes,Trailing Woodruff,Rubiaceae,Asperula,Vulnerable,14004,,Vulnerable
Asplenium hookerianum,Maidenhair Spleenwort,Aspleniaceae,Asplenium,Vulnerable,3909,,Vulnerable
Asplenium listeri,Christmas Island Spleenwort,Aspleniaceae,Asplenium,Critically Endangered,65865,,Critically Endangered
Asplenium pellucidum,-,Aspleniaceae,Asplenium,Vulnerable,21662,,Vulnerable
Asplenium wildii,-,Aspleniaceae,Asplenium,Vulnerable,19154,92431.0,Vulnerable
Assa darlingtoni,Pouched Frog,Myobatrachidae,Assa,Vulnerable,1965,,Vulnerable
Assa wollumbin,"Mount Wollumbin Hip-pocket Frog, Wollumbin Pouched Frog",Myobatrachidae,Assa,Critically Endangered,92317,,Critically Endangered
Astacopsis gouldi,"Giant Freshwater Crayfish, Tasmanian Giant Freshwater Lobster",Parastacidae,Astacopsis,Vulnerable,64415,,Vulnerable
Astelia australiana,Tall Astelia,Liliaceae,Astelia,Vulnerable,10851,,Vulnerable
Asterolasia asteriscophora subsp. albiflora,White Star-bush,Rutaceae,Asterolasia,Critically Endangered,84573,,Critically Endangered
Asterolasia beckersii,Dungowan Starbush,Rutaceae,Asterolasia,Critically Endangered,90354,,Critically Endangered
Asterolasia buxifolia,-,Rutaceae,Asterolasia,Critically Endangered,51321,,Critically Endangered
Asterolasia elegans,-,Rutaceae,Asterolasia,Endangered,56780,,Endangered
Asterolasia nivea,Bindoon Starbush,Rutaceae,Asterolasia,Vulnerable,8225,,Vulnerable
Asterolasia phebalioides,Downy Star-bush,Rutaceae,Asterolasia,Vulnerable,3599,,Vulnerable
Astrotricha crassifolia,Thick-leaf Star-hair,Araliaceae,Astrotricha,Vulnerable,10352,,Vulnerable
Astrotricha roddii,-,Araliaceae,Astrotricha,Endangered,56312,,Endangered
Astrotricha sp. Wingan Inlet (J.A.Jeanes 2268),Wingan Star-hair,Araliaceae,Astrotricha,Endangered,85675,,Endangered
Atalaya brevialata,-,Sapindaceae,Atalaya,Critically Endangered,86125,,Critically Endangered
Atalaya collina,Yarwun Whitewood,Sapindaceae,Atalaya,Endangered,55417,,Endangered
Atrichornis clamosus,"Noisy Scrub-bird, Tjimiluk",Atrichornithidae,Atrichornis,Endangered,654,,Endangered
Atrichornis rufescens,Rufous Scrub-bird,Atrichornithidae,Atrichornis,Endangered,655,,Endangered
Atriplex infrequens,-,Chenopodiaceae,Atriplex,Vulnerable,4143,,Vulnerable
Atriplex yeelirrie,-,Chenopodiaceae,Atriplex,Endangered,88538,,Endangered
Austroablepharus barrylyoni,"Lyon's Grassland Striped Skink, Lyon's Snake-eyed Skink",Scincidae,Austroablepharus,Critically Endangered,91455,,Critically Endangered
Austrocordulia leonardi,Sydney Hawk Dragonfly,Austrocorduliidae,Austrocordulia,Endangered,84741,,Endangered
Austrostipa bronwenae,-,Poaceae,Austrostipa,Endangered,87808,92773.0,Endangered
Austrostipa jacobsiana,-,Poaceae,Austrostipa,Critically Endangered,87809,,Critically Endangered
Austrostipa metatoris,-,Poaceae,Austrostipa,Vulnerable,66704,,Vulnerable
Austrostipa wakoolica,-,Poaceae,Austrostipa,Endangered,66623,,Endangered
Azorella macquariensis,"Macquarie Azorella, Macquarie Cushions",Apiaceae,Azorella,Critically Endangered,21846,,Critically Endangered
Baeckea kandos,a shrub,Myrtaceae,Baeckea,Endangered,64838,,Endangered
Balaenoptera borealis,Sei Whale,Balaenopteridae,Balaenoptera,Vulnerable,34,,Vulnerable
Balaenoptera musculus,Blue Whale,Balaenopteridae,Balaenoptera,Endangered,36,,Endangered
Balaenoptera physalus,Fin Whale,Balaenopteridae,Balaenoptera,Vulnerable,37,,Vulnerable
Ballantinia antipoda,Southern Shepherd's Purse,Brassicaceae,Ballantinia,Endangered,16173,,Endangered
Baloghia marmorata,"Marbled Balogia, Jointed Baloghia",Euphorbiaceae,Baloghia,Vulnerable,8463,,Vulnerable
Baloskion longipes,Dense Cord-rush,Restionaceae,Baloskion,Vulnerable,68511,,Vulnerable
Banksia anatona,Cactus Dryandra,Proteaceae,Banksia,Critically Endangered,82758,,Critically Endangered
Banksia aurantia,Orange Dryandra,Proteaceae,Banksia,Critically Endangered,82763,,Critically Endangered
Banksia brownii,"Brown's Banksia, Feather-leaved Banksia",Proteaceae,Banksia,Critically Endangered,8277,,Critically Endangered
Banksia catoglypta,-,Proteaceae,Banksia,Vulnerable,85021,,Vulnerable
Banksia cuneata,"Matchstick Banksia, Quairading Banksia",Proteaceae,Banksia,Endangered,9827,,Endangered
Banksia fuscobractea,Dark-bract Banksia,Proteaceae,Banksia,Critically Endangered,83059,,Critically Endangered
Banksia goodii,Good's Banksia,Proteaceae,Banksia,Vulnerable,16727,,Vulnerable
Banksia ionthocarpa,Kamballup Dryandra,Proteaceae,Banksia,Endangered,82764,,Endangered
Banksia mimica,Summer Honeypot,Proteaceae,Banksia,Endangered,82765,,Endangered
Banksia montana,Stirling Range Dryandra,Proteaceae,Banksia,Critically Endangered,82696,,Critically Endangered
Banksia nivea subsp. uliginosa,Swamp Honeypot,Proteaceae,Banksia,Endangered,82766,,Endangered
Banksia oligantha,Wagin Banksia,Proteaceae,Banksia,Endangered,20697,,Endangered
Banksia pseudoplumosa,False Plumed-Banksia,Proteaceae,Banksia,Endangered,82760,,Endangered
Banksia rufa subsp. pumila,-,Proteaceae,Banksia,Endangered,85008,,Endangered
Banksia serratuloides subsp. perissa,Northern Serrate Dryandra,Proteaceae,Banksia,Critically Endangered,82767,,Critically Endangered
Banksia serratuloides subsp. serratuloides,Southern Serrate Dryandra,Proteaceae,Banksia,Vulnerable,82768,,Vulnerable
Banksia sphaerocarpa var. dolichostyla,"Ironcaps Banksia, Ironcap Banksia",Proteaceae,Banksia,Vulnerable,10518,,Vulnerable
Banksia squarrosa subsp. argillacea,Whicher Range Dryandra,Proteaceae,Banksia,Vulnerable,82769,,Vulnerable
Banksia verticillata,"Granite Banksia, Albany Banksia, River Banksia",Proteaceae,Banksia,Vulnerable,8333,,Vulnerable
Banksia vincentia,-,Proteaceae,Banksia,Critically Endangered,88276,,Critically Endangered
Barbarea australis,"Native Wintercress, Riverbed Wintercress",Brassicaceae,Barbarea,Endangered,12540,,Endangered
Bellatorias obiri,Arnhem Land Egernia,Scincidae,Bellatorias,Endangered,83161,,Endangered
Bertmainius colonus,Eastern Stirling Range Pygmy Trapdoor Spider,Migidae,Bertmainius,Vulnerable,89125,,Vulnerable
Bertmainius tingle,Tingle Pygmy Trapdoor Spider,Migidae,Bertmainius,Endangered,89126,,Endangered
Bertya calycina,a shrub,Euphorbiaceae,Bertya,Vulnerable,78344,,Vulnerable
Bertya ernestiana,Mt Ernest Bertya,Euphorbiaceae,Bertya,Vulnerable,78349,,Vulnerable
Bertya granitica,a shrub,Euphorbiaceae,Bertya,Endangered,78351,,Endangered
Bertya ingramii,a shrub,Euphorbiaceae,Bertya,Endangered,21383,,Endangered
Bertya mollissima,-,Euphorbiaceae,Bertya,Endangered,18382,,Endangered
Bertya opponens,-,Euphorbiaceae,Bertya,Vulnerable,13792,,Vulnerable
Bertya pinifolia,a shrub,Euphorbiaceae,Bertya,Vulnerable,8587,,Vulnerable
Bertya sp. Clouds Creek (M.Fatemi 4),-,Euphorbiaceae,Bertya,Endangered,84675,,Endangered
Bertya tasmanica subsp. tasmanica,Tasmanian Bertya,Euphorbiaceae,Bertya,Endangered,78359,,Endangered
Bettongia anhydra,Desert Bettong,Potoroidae,Bettongia,Extinct,64791,,Extinct
Bettongia gaimardi gaimardi,"Eastern Bettong (mainland), Eastern Rat-kangaroo",Potoroidae,Bettongia,Extinct,66656,,Extinct
Bettongia lesueur Barrow and Boodie Islands subspecies,"Boodie, Burrowing Bettong (Barrow and Boodie Islands)",Potoroidae,Bettongia,Vulnerable,88021,,Vulnerable
