scientificName,vernacularName,family,status,sourceStatus
Calystegia soldanella,sea bindweed,Convolvulaceae,Rare,r
Carex capillacea,yellowleaf sedge,Cyperaceae,Rare,r
Carex cephalotes,snow sedge,Cyperaceae,Rare,r
Carex gunniana,mountain sedge,Cyperaceae,Rare,r
Carex hypandra,dark fen sedge,Cyperaceae,Rare,r
Carex longebrachiata,drooping sedge,Cyperaceae,Rare,r
Cassinia rugata,wrinkled dollybush,Asteraceae,Endangered,e
Caustis pentandra,thick twistsedge,Cyperaceae,Rare,r
Centipeda cunninghamii,erect sneezeweed,Asteraceae,Rare,r
Centrolepis pedderensis,pedder bristlewort,Centrolepidaceae,Endangered,e
Centrolepis strigosa subsp. pulvinata,bassian bristlewort,Centrolepidaceae,Rare,r
Centropappus brunonis,tasmanian daisytree,Asteraceae,Rare,r
Cheilanthes distans,bristly rockfern,Adiantaceae,Endangered,e
Chenopodium erosum,papery goosefoot,Amaranthaceae,Extinct,x
Chiloglottis trapeziformis,broadlip bird-orchid,Orchidaceae,Endangered,e
Chiloglottis valida,large bird-orchid,Orchidaceae,Endangered,e
Chorizandra enodis,black bristlesedge,Cyperaceae,Endangered,e
Chrysocephalum baxteri,fringed everlasting,Asteraceae,Rare,r
Colobanthus curtisiae,grassland cupflower,Caryophyllaceae,Rare,r
Colobanthus pulvinatus,cushion cupflower,Caryophyllaceae,Rare,r
Comesperma defoliatum,leafless milkwort,Polygalaceae,Rare,r
Conospermum hookeri,tasmanian smokebush,Proteaceae,Vulnerable,v
Coopernookia barbata,purple native-primrose,Goodeniaceae,Extinct,x
Corunastylis brachystachya,shortspike midge-orchid,Orchidaceae,Endangered,e
Corunastylis firthii,firths midge-orchid,Orchidaceae,Endangered,e
Corunastylis morrisii,bearded midge-orchid,Orchidaceae,Endangered,e
Corunastylis nuda,tiny midge-orchid,Orchidaceae,Rare,r
Corunastylis nudiscapa,bare midge-orchid,Orchidaceae,Endangered,e
Corybas dienemus,windswept helmet-orchid,Orchidaceae,Vulnerable,v
Corybas fordhamii,swamp pelican-orchid,Orchidaceae,Endangered,e
Corybas sulcatus,grooved helmet-orchid,Orchidaceae,Endangered,e
Cotula vulgaris var. australasica,slender buttons,Asteraceae,Rare,r
Craspedia preminghana,preminghana billybuttons,Asteraceae,Endangered,e
Crassula moschata,musky stonecrop,Crassulaceae,Rare,r
Cryptandra amara,pretty pearlflower,Rhamnaceae,Endangered,e
Cryptandra exilis,slender pearlflower,Rhamnaceae,Endangered,e
Cryptostylis leptochila,small tongue-orchid,Orchidaceae,Endangered,e
Cullen microcephalum,dusky scurfpea ,Fabaceae,Rare,r
Cuscuta tasmanica,golden dodder,Convolvulaceae,Rare,r
Cyathea cunninghamii,slender treefern,Cyatheaceae,Endangered,e
Cyathea x marcescens,skirted treefern,Cyatheaceae,Endangered,e
Cyathodes platystoma,tall cheeseberry,Ericaceae,Rare,r
Cyphanthera tasmanica,tasmanian rayflower,Solanaceae,Rare,r
Cyrtostylis robusta,large gnat-orchid,Orchidaceae,Rare,r
Damasonium minus,starfruit,Alismataceae,Rare,r
Deschampsia gracillima,slender hairgrass,Poaceae,Rare,r
Desmodium gunnii,southern ticktrefoil,Fabaceae,Vulnerable,v
Desmodium varians,slender ticktrefoil,Fabaceae,Endangered,e
Deyeuxia apsleyensis,apsley bentgrass,Poaceae,Rare,r
Deyeuxia brachyathera,short bentgrass,Poaceae,Rare,r
Deyeuxia decipiens,trickery bentgrass,Poaceae,Rare,r
Deyeuxia lawrencei,lawrences bentgrass,Poaceae,Extinct,x
Deyeuxia minor,small bentgrass,Poaceae,Rare,r
Dianella amoena,grassland flaxlily,Hemerocallidaceae,Rare,r
Discaria pubescens,spiky anchorplant,Rhamnaceae,Endangered,e
Diuris lanceolata,large golden moths,Orchidaceae,Endangered,e
Diuris palustris,swamp doubletail,Orchidaceae,Endangered,e
Drosera glanduligera,scarlet sundew,Droseraceae,Rare,r
Dryopoa dives,tasmanian giant mountaingrass,Poaceae,Rare,r
Elaeocarpus reticulatus,blueberry ash,Elaeocarpaceae,Rare,r
Epacris apsleyensis,apsley heath,Ericaceae,Endangered,e
Epacris barbata,bearded heath,Ericaceae,Endangered,e
Epacris curtisiae,northwest heath,Ericaceae,Rare,r
Epacris exserta,south esk heath,Ericaceae,Endangered,e
Epacris glabella,smooth heath,Ericaceae,Endangered,e
Epacris grandis,tall heath,Ericaceae,Endangered,e
Epacris graniticola,granite heath,Ericaceae,Vulnerable,v
Epacris limbata,bordered heath,Ericaceae,Endangered,e
Epacris moscaliana,seepage heath,Ericaceae,Rare,r
Epacris stuartii,southport heath,Ericaceae,Endangered,e
Epacris virgata,pretty heath,Ericaceae,Vulnerable,v
Epilobium willisii,carpet willowherb,Onagraceae,Rare,r
Eryngium ovinum,blue devil,Apiaceae,Vulnerable,v
Eucalyptus barberi,barbers gum,Myrtaceae,Rare,r
Eucalyptus globulus subsp. pseudoglobulus,gippsland blue gum,Myrtaceae,Rare,r
Eucalyptus gunnii subsp. divaricata,miena cider gum,Myrtaceae,Endangered,e
Eucalyptus morrisbyi,morrisbys gum,Myrtaceae,Endangered,e
Eucalyptus perriniana,spinning gum,Myrtaceae,Rare,r
Eucalyptus radiata subsp. radiata,forth river peppermint,Myrtaceae,Rare,r
Eucalyptus risdonii,risdon peppermint,Myrtaceae,Rare,r
Euphrasia amphisysepala,shiny cliff-eyebright,Orobanchaceae,Rare,r
Euphrasia amplidens,pieman eyebright,Orobanchaceae,Endangered,e
Euphrasia collina subsp. deflexifolia,eastern eyebright,Orobanchaceae,Rare,r
Euphrasia collina subsp. gunnii,gunns eyebright,Orobanchaceae,Rare,r
