scientificName,vernacularName,family,status,sourceStatus
Stonesiella selaginoides,clubmoss bushpea,Fabaceae,Endangered,e
Stuckenia pectinata,fennel pondweed,Potamogetonaceae,Rare,r
Stylidium beaugleholei,blushing triggerplant,Stylidiaceae,Rare,r
Stylidium despectum,small triggerplant,Stylidiaceae,Rare,r
Stylidium perpusillum,tiny triggerplant,Stylidiaceae,Rare,r
Taraxacum aristum,mountain dandelion,Asteraceae,Rare,r
Tetratheca ciliata,northern pinkbells,Elaeocarpaceae,Rare,r
Tetratheca gunnii,shy pinkbells,Elaeocarpaceae,Endangered,e
Teucrium corymbosum,forest germander,Lamiaceae,Rare,r
Thelymitra antennifera,rabbit ears,Orchidaceae,Endangered,e
Thelymitra atronitida,blackhood sun-orchid,Orchidaceae,Endangered,e
Thelymitra benthamiana,blotched sun-orchid,Orchidaceae,Endangered,e
Thelymitra bracteata,leafy sun-orchid,Orchidaceae,Endangered,e
Thelymitra holmesii,bluestar sun-orchid,Orchidaceae,Rare,r
Thelymitra improcera,coast sun-orchid,Orchidaceae,Endangered,e
Thelymitra inflata,inflated sun-orchid,Orchidaceae,Endangered,e
Thelymitra jonesii,skyblue sun-orchid,Orchidaceae,Endangered,e
Thelymitra lucida,glistening sun-orchid,Orchidaceae,Endangered,e
Thelymitra malvina,mauvetuft sun-orchid,Orchidaceae,Endangered,e
Thelymitra mucida,plum sun-orchid,Orchidaceae,Endangered,e
Thesium australe,southern toadflax,Santalaceae,Extinct,x
Thryptomene micrantha,ribbed heathmyrtle,Myrtaceae,Vulnerable,v
Thynninorchis huntiana,elbow orchid,Orchidaceae,Extinct,x
Thynninorchis nothofagicola,myrtle elbow orchid,Orchidaceae,Endangered,e
Tmesipteris parva,small forkfern,Psilotaceae,Vulnerable,v
Tricoryne elatior,yellow rushlily,Hemerocallidaceae,Vulnerable,v
Tricostularia pauciflora,needle bogsedge,Cyperaceae,Rare,r
Triglochin minutissima,tiny arrowgrass,Juncaginaceae,Rare,r
Triglochin mucronata,prickly arrowgrass,Juncaginaceae,Endangered,e
Triptilodiscus pygmaeus,dwarf sunray,Asteraceae,Vulnerable,v
Trithuria submersa,submerged watertuft,Hydatellaceae,Rare,r
Uncinia elegans,handsome hooksedge,Cyperaceae,Rare,r
Utricularia australis,yellow bladderwort,Lentibulariaceae,Rare,r
Utricularia tenella,pink bladderwort,Lentibulariaceae,Rare,r
Utricularia violacea,violet bladderwort,Lentibulariaceae,Rare,r
Vallisneria australis,river ribbons,Hydrocharitaceae,Rare,r
Velleia paradoxa,spur velleia,Goodeniaceae,Vulnerable,v
Veronica ciliolata subsp. fiordensis,ben lomond cushionplant,Plantaginaceae,Vulnerable,v
Veronica notabilis,forest speedwell,Plantaginaceae,Endangered,e
Veronica novae-hollandiae,coast speedwell,Plantaginaceae,Vulnerable,v
Veronica plebeia,trailing speedwell,Plantaginaceae,Rare,r
Viminaria juncea,golden spray,Fabaceae,Endangered,e
Viola caleyana,swamp violet,Violaceae,Rare,r
Viola cunninghamii,alpine violet,Violaceae,Rare,r
Viola curtisiae,montane ivyleaf violet,Violaceae,Rare,r
Vittadinia australasica var. oricola,coast new-holland-daisy,Asteraceae,Endangered,e
Vittadinia burbidgeae,smooth new-holland-daisy,Asteraceae,Rare,r
Vittadinia cuneata var. cuneata,fuzzy new-holland-daisy,Asteraceae,Rare,r
Vittadinia gracilis,woolly new-holland-daisy,Asteraceae,Rare,r
Vittadinia muelleri,narrowleaf new-holland-daisy,Asteraceae,Rare,r
Westringia angustifolia,narrowleaf westringia,Lamiaceae,Rare,r
Wilsonia humilis,silky wilsonia,Convolvulaceae,Rare,r
Wilsonia rotundifolia,roundleaf wilsonia,Convolvulaceae,Rare,r
Wurmbea latifolia subsp. vanessae,broadleaf early nancy,Colchicaceae,Endangered,e
Xanthorrhoea arenaria,sand grasstree,Xanthorrhoeaceae,Vulnerable,v
Xanthorrhoea bracteata,shiny grasstree,Xanthorrhoeaceae,Vulnerable,v
Xerochrysum bicolor,eastcoast paperdaisy,Asteraceae,Rare,r
Xerochrysum palustre,swamp paperdaisy,Asteraceae,Vulnerable,v
Zieria littoralis,downy zieria,Rutaceae,Rare,r
Zieria veronicea subsp. veronicea,pink zieria,Rutaceae,Endangered,e
Zygophyllum billardierei,coast twinleaf,Zygophyllaceae,Rare,r
Ambuchanania leucobryoides,daisy pan moss,Ambuchananiaceae,Rare,r
Austromelanelixia piliferella,,Parmeliaceae,Vulnerable,v
Austroparmelina pallida,,Parmeliaceae,Endangered,e
Austroparmelina whinrayi,,Parmeliaceae,Rare,r
Bunodophoron notatum,,Sphaerophoraceae,Endangered,e
Calycidium cuneatum,,Calycidiaceae,Rare,r
Calycidium polycarpum,,Calycidiaceae,Rare,r
Cetraria islandica subsp. antarctica,,Parmeliaceae,Rare,r
Erioderma sorediatum,,Pannariaceae,Endangered,e
Hypotrachyna immaculata,,Parmeliaceae,Rare,r
Hypotrachyna laevigata,,Parmeliaceae,Vulnerable,v
Menegazzia minuta,,Parmeliaceae,Endangered,e
Parmeliopsis ambigua,,Parmeliaceae,Rare,r
Parmeliopsis hyperopta,,Parmeliaceae,Rare,r
Parmotrema crinitum,,Parmeliaceae,Rare,r
Punctelia subflava,,Parmeliaceae,Extinct,x
Roccellinastrum neglectum,,Roccellinastraceae,Endangered,e
Sirophysalis trinodis,three-node seaweed,Sargassaceae,Rare,r
Teloschistes flavicans,golden-hair lichen,Teloschistaceae,Rare,r
Xanthoparmelia amphixantha,,Parmeliaceae,Endangered,e
Xanthoparmelia graniticola,,Parmeliaceae,Rare,r
Xanthoparmelia jarmaniae,,Parmeliaceae,Vulnerable,v
Xanthoparmelia mannumensis,,Parmeliaceae,Vulnerable,v
Xanthoparmelia microphyllizans,,Parmeliaceae,Rare,r
Xanthoparmelia molliuscula,,Parmeliaceae,Endangered,e
Xanthoparmelia oleosa,,Parmeliaceae,Rare,r
Xanthoparmelia subloxodella,,Parmeliaceae,Endangered,e
Xanthoparmelia vicaria,,Parmeliaceae,Rare,r
Xanthoparmelia vicariella,,Parmeliaceae,Rare,r
Xanthoparmelia willisii,,Parmeliaceae,Endangered,e
Allanaspides hickmani ,Hickman's Pigmy Mountain Shrimp,Syncarida,Rare,r
Amelora acontistica ,Chevron Looper Moth,Lepidoptera,Vulnerable,v
Ammoniropa vigens,Ammonite Pinwheel Snail,Eupulmonata,Endangered,e
Antipodia chaostola leucophaea,Tasmanian Chaostola Skipper,Lepidoptera,Endangered,e
Astacopsis gouldi ,Giant Freshwater Crayfish,Decapoda,Vulnerable,v
Attenborougharion rubicundus,Burgundy Snail,Sigmurethra,Rare,r
Austrorhytida lamproides ,Keeled Carnivorous Snail,Sigmurethra,Rare,r
Beddomeia angulata ,Rapid River Freshwater Snail,Mesogastropoda,Rare,r
Beddomeia averni ,Hydrobiid Snail (West Gawler),Mesogastropoda,Endangered,e
Beddomeia bellii ,Bells Freshwater Snail,Mesogastropoda,Rare,r
Beddomeia bowryensis ,Hydrobiid Snail (Bowry Creek),Mesogastropoda,Rare,r
Beddomeia briansmithi ,Hydrobiid Snail (Fern Creek),Mesogastropoda,Vulnerable,v
Beddomeia camensis ,Hydrobiid Snail (Cam River),Mesogastropoda,Endangered,e
Beddomeia capensis ,Hydrobiid Snail (Table Cape),Mesogastropoda,Endangered,e
Beddomeia fallax ,Hydrobiid Snail (Heathcote Creek),Mesogastropoda,Rare,r
Beddomeia forthensis ,Forth River Freshwater Snail,Mesogastropoda,Rare,r
Beddomeia franklandensis ,Hydrobiid Snail (Frankland River ),Mesogastropoda,Rare,r
Beddomeia fromensis ,Hydrobiid Snail (Frome River),Mesogastropoda,Endangered,e
Beddomeia fultoni ,Hydrobiid Snail (Farnhams Creek),Mesogastropoda,Endangered,e
Beddomeia gibba ,Hydrobiid Snail (Salmon River Road),Mesogastropoda,Rare,r
Beddomeia hallae ,Hydrobiid Snail (Buttons Rivulet),Mesogastropoda,Endangered,e
Beddomeia hermansi ,Hydrobiid Snail (Viking Creek),Mesogastropoda,Endangered,e
Beddomeia hullii ,Hulls Freshwater Snail,Mesogastropoda,Rare,r
Beddomeia inflata ,Upper Castra Freshwater Snail,Mesogastropoda,Rare,r
Beddomeia kershawi ,Hydrobiid Snail (Macquarie River),Mesogastropoda,Endangered,e
Beddomeia krybetes ,Hydrobiid Snail (St. Pauls River),Mesogastropoda,Vulnerable,v
Beddomeia launcestonensis ,Hydrobiid Snail (Cataract Gorge),Mesogastropoda,Endangered,e
Beddomeia lodderae ,Castra Rivulet Freshwater Snail,Mesogastropoda,Vulnerable,v
Beddomeia mesibovi ,Hydrobiid Snail (Arthur River),Mesogastropoda,Rare,r
Beddomeia minima ,Hydrobiid Snail (Scottsdale),Mesogastropoda,Rare,r
Beddomeia petterdi ,Blythe River Freshwater Snail,Mesogastropoda,Endangered,e
Beddomeia phasianella ,Hydrobiid Snail (Keddies Creek),Mesogastropoda,Vulnerable,v
Beddomeia protuberata ,Hydrobiid Snail (Emu River),Mesogastropoda,Rare,r
Beddomeia ronaldi ,Hydrobiid Snail (St. Patricks River),Mesogastropoda,Endangered,e
Beddomeia salmonis ,Hydrobiid Snail (Salmon River),Mesogastropoda,Rare,r
Beddomeia tasmanica ,Hydrobiid Snail (Terrys Creek),Mesogastropoda,Rare,r
Beddomeia topsiae ,Hydrobiid Snail (Williamson Creek),Mesogastropoda,Rare,r
Beddomeia trochiformis ,Savage River Mine Freshwater Snail,Mesogastropoda,Rare,r
Beddomeia tumida,Hydrobiid Snail (Great Lake),Mesogastropoda,Endangered,e
Beddomeia turnerae ,Hydrobiid Snail (Minnow River),Mesogastropoda,Rare,r
Beddomeia waterhouseae ,Claytons Rivulet Freshwater Snail,Mesogastropoda,Endangered,e
Beddomeia wilmotensis ,Wilmot River Freshwater Snail,Mesogastropoda,Rare,r
Beddomeia wiseae ,Hydrobiid Snail (Blizzards Creek),Mesogastropoda,Vulnerable,v
Beddomeia zeehanensis ,Zeehan Freshwater Snail,Mesogastropoda,Rare,r
Benthodorbis pawpela ,Great Lake Glacidorbid Snail,Mesogastropoda,Rare,r
Castiarina insculpta,Miena Jewel Beetle,Coleoptera,Endangered,e
Catadromus lacordairei ,Green-lined Ground Beetle,Coleoptera,Vulnerable,v
Cavernotettix craggiensis,Craggy Island Cave Cricket,Orthoptera,Rare,r
"Charopidae ""Skemps""",Skemps Snail,Sigmurethra,Rare,r
Chloritobadistes victoriae ,Southern Hairy Red Snail,Eupulmonata,Vulnerable,v
Chrysolarentia decisaria ,Tunbridge Looper Moth,Lepidoptera,Endangered,e
Costora iena ,Caddis Fly (Great Lakes),Trichoptera,Extinct,x
Dasybela achroa ,Saltmarsh Looper Moth,Lepidoptera,Vulnerable,v
Dasyurotaenia robusta,Tapeworm (Tasmanian Devil),Cyclophyllideae,Rare,r
Echinodillo cavaticus ,Flinders Island Cave Slater,Isopoda,Rare,r
Ecnomina vega ,Caddis Fly (Macquarie River),Trichoptera,Rare,r
Enchymus sp. nov. ,Weldborough Forest Weevil,Coleoptera,Rare,r
Engaeus granulatus ,Central North Burrowing Crayfish,Decapoda,Endangered,e
Engaeus martigener,Furneaux Burrowing Crayfish,Decapoda,Vulnerable,v
Engaeus orramakunna,Mt. Arthur Burrowing Crayfish,Decapoda,Vulnerable,v
Engaeus spinicaudatus ,Scottsdale Burrowing Crayfish,Decapoda,Endangered,e
Engaeus yabbimunna ,Burrowing Crayfish (Burnie) ,Decapoda,Vulnerable,v
Exquisitiropa agnewi,Silky Pinhead Snail,Sigmurethra,Rare,r
Gazameda gunnii,Gunn's Screw Shell,Mesogastropoda,Vulnerable,v
Goedetrechus mendumae ,Cave Beetle (Ida Bay),Coleoptera,Vulnerable,v
Goedetrechus parallelus,Cave Beetle (Junee-Florentine),Coleoptera,Vulnerable,v
Hadronyche pulvinator ,Cascade Funnel-web Spider,Araneae,Extinct,x
Haloniscus searlei ,Salt Lake Slater,Isopoda,Endangered,e
Hickmanoxyomma cavaticum ,Ida Bay Cave Harvestman,Opilionida,Rare,r
Hickmanoxyomma gibbergunyar ,Cave Harvestman,Opilionida,Rare,r
Hoplogonus bornemisszai ,Bornemisszas Stag Beetle,Coleoptera,Endangered,e
Hoplogonus simsoni ,Simsons Stag Beetle,Coleoptera,Vulnerable,v
Hoplogonus vanderschoori ,Vanderschoors Stag Beetle,Coleoptera,Vulnerable,v
Hydrobiosella sagitta ,Caddis Fly (St. Columba Falls),Trichoptera,Rare,r
Hydroptila scamandra ,Caddis Fly (Upper Scamander River),Trichoptera,Rare,r
Hypolimnus pedderensis ,Lake Pedder Earthworm,Haplotaxida,Extinct,x
Idacarabus cordicollis ,Cave Beetle (Hastings Cave),Coleoptera,Rare,r
Idacarabus troglodytes ,Ida Bay Cave Beetle,Coleoptera,Rare,r
Leucopatus anophthalmus ,Blind Velvet Worm,Onychophora,Endangered,e
Lissotes latidens ,Broad-toothed Stag Beetle,Coleoptera,Endangered,e
Lissotes menalcas ,Mount Mangana Stag Beetle,Coleoptera,Rare,r
Mesacanthotelson setosus ,Isopod (Great Lake),Isopoda,Rare,r
Mesacanthotelson tasmaniae ,Isopod (Great Lake),Isopoda,Rare,r
Micropathus kiernani ,Southern Sandstone Cave Cricket,Orthoptera,Endangered,e
Migas plomleyi ,Spider (Cataract Gorge),Araneae,Endangered,e
Miselaoma weldii,Stanley Pinhead Snail,Sigmurethra,Endangered,e
Oecetis gilva ,Caddis Fly (South Esk River),Trichoptera,Rare,r
Olgania excavata ,Cave Spider (Bubs Hill Cave),Araneae,Rare,r
Onchotelson brevicaudatus ,Isopod (Great Lake & Shannon Lagoon),Isopoda,Rare,r
Onchotelson spatulatus ,Isopod (Great Lake),Isopoda,Endangered,e
Oreisplanus munionga larana ,Marrawah Skipper,Lepidoptera,Endangered,e
Oreixenica ptunarra ,Ptunarra Brown Butterfly,Lepidoptera,Endangered,e
Orphninotrichia maculata ,Caddis Fly (Wedge River),Trichoptera,Rare,r
Orthotrichia adornata ,Caddis Fly (Derwent River),Trichoptera,Rare,r
Oxyethira mienica ,Caddis Fly (Ouse River),Trichoptera,Rare,r
Parvotettix rangaensis ,Cave Cricket,Orthoptera,Rare,r
Parvotettix whinrayi ,Whinray's Cave Cricket,Orthoptera,Rare,r
Parvulastra vivipara ,Live-bearing Seastar,Asterinidae,Vulnerable,v
Pasmaditta jungermanniae ,Cataract Gorge Pinhead Snail,Sigmurethra,Vulnerable,v
Patiriella littoralis,Derwent River Seastar,Asterinidae,Endangered,e
Phrantela annamurrayae ,Warratah Road Hydrobiid Snail,Mesogastropoda,Rare,r
Phrantela conica ,Little Henty River Hydrobiid Snail,Mesogastropoda,Rare,r
Phrantela marginata ,Heazlewood River Hydrobiid Snail,Mesogastropoda,Rare,r
Phrantela pupiformis ,Tyenna River Freshwater Snail,Mesogastropoda,Rare,r
Plesiothele fentoni ,Lake Fenton Trapdoor Spider,Araneae,Endangered,e
Pseudalmenus chlorinda myrsilus,Tasmanian Hairstreak (butterfly),Lepidoptera,Rare,r
Pseudotyrannochthonius typhlus ,Cave Pseudoscorpion (Mole Creek),Pseudoscorpionida,Rare,r
Ramiheithrus kocinus ,Caddis Fly (Corinna),Trichoptera,Rare,r
Schayera baiulus,Schayer's Grasshopper,Orthoptera,Endangered,e
Smilasterias tasmaniae ,Bruny Island Seastar,Asterinidae,Endangered,e
Stenopsychodes lineata ,Caddis Fly (Bluff Hill Creek),Trichoptera,Rare,r
Tasimia drepana ,Caddis Fly (Huon & Picton Rivers),Trichoptera,Rare,r
Taskiria mccubbini ,Caddis Fly (Lake Pedder),Trichoptera,Endangered,e
Taskiropsyche lacustris ,Caddis Fly (Lake Pedder),Trichoptera,Endangered,e
Tasmanipatus barretti ,Giant Velvet Worm,Onychophora,Rare,r
Tasmanotrechus cockerilli ,Cave Beetle (Mole Creek),Coleoptera,Rare,r
Tasniphargus tyleri ,Amphipod (Great Lake),Amphipoda,Rare,r
Theclinesthes serpentata lavara,Chequered blue,Lepidoptera,Rare,r
Uramphisopus pearsoni ,Isopod (Great Lake),Isopoda,Rare,r
Acanthiza pusilla archibaldi,King Island Brown Thornbill,Birds,Endangered,e
Acanthornis magna greeniana,King Island Scrubtit,Birds,Endangered,e
Accipiter novaehollandiae ,Grey Goshawk,Birds,Endangered,e
Antechinus vandycki,Tasman Peninsula Dusky Antechinus,Mammals,Vulnerable,v
Aquila audax fleayi ,Wedge-tailed Eagle,Birds,Endangered,e
Arctocephalus forsteri ,New Zealand Fur Seal,Mammals,Rare,r
Arctocephalus tropicalis,Subantarctic Fur Seal,Mammals,Endangered,e
Balaenoptera musculus,Blue Whale,Mammals,Endangered,e
Balaenoptera physalus,Fin Whale,Mammals,Vulnerable,v
Brachiopsilus dianthus,pink handfish,Fish,Endangered,e
Brachionichthys hirsutus,Spotted Handfish,Fish,Endangered,e
Brachiopsilus ziebelli,Ziebell's Handfish,Fish,Endangered,e
Carcharodon carcharias,Great White Shark,Fish,Vulnerable,v
Caretta caretta ,Loggerhead Turtle,Reptiles,Endangered,e
Carinascincus palfreymani,Pedra Branca Skink,Reptiles,Endangered,e
Ceyx azureus diemenensis,Tasmanian Azure Kingfisher,Birds,Endangered,e
Chelonia mydas ,Green Turtle,Reptiles,Vulnerable,v
Cyanoramphus novaezelandiae erythrotis ,Macquarie Island Parakeet,Birds,Extinct,x
Dasyurus maculatus maculatus,Spotted-tail Quoll,Mammals,Rare,r
Dermochelys coriacea,Leathery Turtle,Reptiles,Vulnerable,v
Diomedea exulans,Wandering Albatross,Birds,Endangered,e
Dromaius ater,King Island Emu,Birds,Extinct,x
Dromaius novaehollandiae diemenensis,Tasmanian Emu,Birds,Extinct,x
Eretmochelys imbricata ,Hawksbill Turtle,Reptiles,Vulnerable,v
Eubalaena australis,Southern Right Whale,Mammals,Endangered,e
Galaxias auratus ,Golden Galaxias,Fish,Rare,r
Galaxias fontanus ,Swan Galaxias,Fish,Endangered,e
Galaxias johnstoni ,Clarence Galaxias,Fish,Endangered,e
Galaxias parvus ,Swamp Galaxias,Fish,Vulnerable,v
Galaxias pedderensis,Pedder Galaxias,Fish,Endangered,e
Galaxias tanycephalus ,Saddled Galaxias,Fish,Vulnerable,v
Galaxiella pusilla ,Dwarf Galaxias,Fish,Vulnerable,v
Gallirallus philippensis macquariensis,Macquarie Island Rail,Birds,Extinct,x
Haliaeetus leucogaster,White-bellied Sea-Eagle,Birds,Vulnerable,v
Halobaena caerulea,Blue Petrel,Birds,Vulnerable,v
Lathamus discolor,Swift Parrot,Birds,Endangered,e
Leucocarbo atriceps purpurascens,Macquarie Island Shag,Birds,Vulnerable,v
Limnodynastes peroni,Striped Marsh Frog,Amphibians,Endangered,e
Litoria raniformis ,Green and Gold Frog,Amphibians,Vulnerable,v
Macronectes giganteus,Southern Giant Petrel,Birds,Vulnerable,v
Macronectes halli,Northern Giant Petrel,Birds,Rare,r
Megaptera novaeangliae,Humpback Whale,Mammals,Endangered,e
Mirounga leonina,Southern Elephant Seal,Mammals,Endangered,e
Neophema chrysogaster,Orange-bellied Parrot,Birds,Endangered,e
Numenius madagascariensis,Eastern Curlew,Birds,Endangered,e
Oceanites oceanicus ,Wilson's Storm Petrel,Birds,Rare,r
Pachyptila turtur subantarctica ,Southern Fairy Prion,Birds,Endangered,e
Paragalaxias dissimilis,Shannon Paragalaxias,Fish,Vulnerable,v
Paragalaxias eleotroides ,Great Lake Paragalaxias,Fish,Vulnerable,v
Paragalaxias julianus ,Western Paragalaxias,Fish,Rare,r
Paragalaxias mesotes ,Arthurs Paragalaxias,Fish,Endangered,e
Pardalotus quadragintus ,Forty-spotted Pardalote,Birds,Endangered,e
Phoebetria fusca ,Sooty Albatross,Birds,Rare,r
Phoebetria palpebrata ,Light-mantled Albatross,Birds,Vulnerable,v
Platycercus caledonicus brownii,King Island Green Rosella,Birds,Vulnerable,v
Podiceps cristatus,Great Crested Grebe,Birds,Vulnerable,v
Procellaria cinerea,Grey Petrel,Birds,Endangered,e
Prototroctes maraena,Australian Grayling,Fish,Vulnerable,v
Pseudemoia pagenstecheri ,Tussock Skink,Reptiles,Vulnerable,v
Pseudemoia rawlinsoni ,Glossy Grass Skink,Reptiles,Rare,r
Pseudomys novaehollandiae,New Holland Mouse,Mammals,Endangered,e
Pterodroma lessonii ,White-headed Petrel,Birds,Vulnerable,v
Pterodroma mollis ,Soft-plumaged Petrel,Birds,Endangered,e
Sarcophilus harrisii,Tasmanian Devil,Mammals,Endangered,e
Sterna striata ,White-fronted Tern,Birds,Vulnerable,v
Sterna vittata bethunei ,Antarctic Tern,Birds,Endangered,e
Sternula albifrons sinensis ,Little Tern,Birds,Endangered,e
Sternula nereis nereis,Fairy Tern,Birds,Vulnerable,v
Thalassarche cauta,Shy Albatross,Birds,Vulnerable,v
Thalassarche chrysostoma,Grey-headed Albatross,Birds,Endangered,e
Thalassarche melanophris,Black-browed Albatross,Birds,Endangered,e
Thylacinus cynocephalus ,Thylacine,Mammals,Extinct,x
Thymichthys politus,Red Handfish,Fish,Endangered,e
Tyto novaehollandiae castanops,Masked Owl,Birds,Endangered,e
Zearaja maugeana,Maugean Skate,Fish,Endangered,e
