scientificName,vernacularName,status,sourceStatus
Abutilon malvifolium,Mallow-leaf Lantern-flower,Critically Endangered,Critically Endangered
Abutilon otocarpum,Desert Lantern,Endangered,Endangered
Abutilon oxycarpum var. subsagittatum,Flannel Weed,Critically Endangered,Critically Endangered
Acacia alpina,Alpine Wattle,Endangered,Endangered
Acacia amoena,Boomerang Wattle,Vulnerable,Vulnerable
Acacia ancistrophylla var. lissophylla,Dwarf Myall,Endangered,Endangered
Acacia argyrophylla,Silver Mulga,Extinct,Extinct
Acacia aspera subsp. parviceps,Rough Wattle,Endangered,Endangered
Acacia ausfeldii,Ausfeld's Wattle,Endangered,Endangered
Acacia binervia,Coast Myall,Critically Endangered,Critically Endangered
Acacia boormanii,Snowy River Wattle,Endangered,Endangered
Acacia caerulescens,Limestone Blue Wattle,Endangered,Endangered
Acacia cineramis,Smooth Nealie,Critically Endangered,Critically Endangered
Acacia colletioides,Wait-a-while,Endangered,Endangered
Acacia cupularis,Cup Wattle,Critically Endangered,Critically Endangered
Acacia dallachiana,Catkin Wattle,Vulnerable,Vulnerable
Acacia daviesii,Timbertop Wattle,Critically Endangered,Critically Endangered
Acacia dawsonii,Poverty Wattle,Vulnerable,Vulnerable
Acacia deanei subsp. deanei,Deane's Wattle,Endangered,Endangered
Acacia deanei subsp. paucijuga,Deane's Wattle,Vulnerable,Vulnerable
Acacia decora,Western Silver Wattle,Endangered,Endangered
Acacia doratoxylon,Currawang,Endangered,Endangered
Acacia enterocarpa,Jumping-jack Wattle,Endangered,Endangered
Acacia euthycarpa subsp. oblanceolata,Wedderburn Wattle,Endangered,Endangered
Acacia exudans,Casterton Wattle,Critically Endangered,Critically Endangered
Acacia flexifolia,Bent-leaf Wattle,Endangered,Endangered
Acacia glandulicarpa,Hairy-pod Wattle,Endangered,Endangered
Acacia havilandiorum,Needle Wattle,Critically Endangered,Critically Endangered
Acacia homalophylla,Yarran Wattle,Critically Endangered,Critically Endangered
Acacia howittii,Sticky Wattle,Vulnerable,Vulnerable
Acacia infecunda,Famine Wattle,Critically Endangered,Critically Endangered
Acacia irrorata subsp. irrorata,Green Wattle,Critically Endangered,Critically Endangered
Acacia kybeanensis,Kybean Wattle,Vulnerable,Vulnerable
Acacia lanigera var. gracilipes,Woolly Wattle,Vulnerable,Vulnerable
Acacia lanigera var. lanigera,Woolly Wattle,Vulnerable,Vulnerable
Acacia leprosa var. uninervia,Large-leaf Cinnamon-wattle,Endangered,Endangered
Acacia lineata,Streaked Wattle,Endangered,Endangered
Acacia loderi,Nealie,Critically Endangered,Critically Endangered
Acacia lucasii,Woolly-bear Wattle,Critically Endangered,Critically Endangered
Acacia maidenii,Maiden's Wattle,Critically Endangered,Critically Endangered
Acacia melvillei,Yarran,Critically Endangered,Critically Endangered
Acacia nanodealbata,Dwarf Silver-wattle,Vulnerable,Vulnerable
Acacia nanopravissima,Little Kooka Wattle,Critically Endangered,Critically Endangered
Acacia notabilis,Mallee Golden Wattle,Endangered,Endangered
Acacia oswaldii,Umbrella Wattle,Critically Endangered,Critically Endangered
Acacia pendula,Weeping Myall,Critically Endangered,Critically Endangered
Acacia penninervis var. penninervis,Hickory Wattle,Vulnerable,Vulnerable
Acacia phasmoides,Phantom Wattle,Critically Endangered,Critically Endangered
Acacia phlebophylla,Buffalo Sallow-wattle,Critically Endangered,Critically Endangered
Acacia rostriformis,Bacchus Marsh Wattle,Vulnerable,Vulnerable
Acacia rupicola,Rock Wattle,Endangered,Endangered
Acacia simmonsiana,Desert Manna Wattle,Endangered,Endangered
Acacia sporadica,Pale Hickory-wattle,Critically Endangered,Critically Endangered
Acacia stictophylla,Dandenong Wattle,Endangered,Endangered
Acacia subporosa,Bower Wattle,Critically Endangered,Critically Endangered
Acacia subtilinervis,Net-veined Wattle,Critically Endangered,Critically Endangered
Acacia tabula,Wombargo Wattle,Critically Endangered,Critically Endangered
Acacia trineura,Three-nerve Wattle,Critically Endangered,Critically Endangered
Acacia triptera,Spur-wing Wattle,Vulnerable,Vulnerable
Acacia uncifolia,Coast Wirilda,Endangered,Endangered
Acacia verticillata subsp. ruscifolia,Broad-leaf Prickly Moses,Endangered,Endangered
Acacia victoriae subsp. victoriae,Bramble Wattle,Endangered,Endangered
Acacia williamsonii,Whirrakee Wattle,Vulnerable,Vulnerable
Acianthus collinus,Hooded Mosquito-orchid,Critically Endangered,Critically Endangered
Aciphylla glacialis,Snow Aciphyll,Endangered,Endangered
Aciphylla simplicifolia,Mountain Aciphyll,Endangered,Endangered
Acrobolbus cinerascens,Grey Pouchwort,Critically Endangered,Critically Endangered
Acrobolbus setulosus,Bristly Pouchwort,Critically Endangered,Critically Endangered
Acronychia oblongifolia,Yellow-wood,Critically Endangered,Critically Endangered
Acrothamnus montanus,Snow Beard-heath,Endangered,Endangered
Acrotriche cordata,Coast Ground-berry,Endangered,Endangered
Acrotriche depressa,Wiry Ground-berry,Critically Endangered,Critically Endangered
Acrotriche leucocarpa,Tall Acrotriche,Endangered,Endangered
Actinotus bellidioides,Tiny Flannel-flower,Extinct,Extinct
Actinotus forsythii,Ridge Flannel-flower,Critically Endangered,Critically Endangered
Adelanthus bisetulus,Twin-tooth Featherwort,Endangered,Endangered
Adiantum diaphanum,Filmy Maidenhair,Critically Endangered,Critically Endangered
Adiantum formosum,Black Stem,Critically Endangered,Critically Endangered
Adiantum hispidulum var. hispidulum,Rough Maidenhair,Critically Endangered,Critically Endangered
Adriana quadripartita,Coast Bitter-bush,Endangered,Endangered
Adriana tomentosa var. tomentosa,Eastern Bitter-bush,Endangered,Endangered
Agrostis australiensis,Tiny Bent,Endangered,Endangered
Agrostis muelleriana,Mueller's Bent,Endangered,Endangered
Alchemilla xanthochlora,Lady's Mantle,Endangered,Endangered
Alectryon subcinereus,Native Quince,Critically Endangered,Critically Endangered
Allisoniella nigra,Black Threadwort,Critically Endangered,Critically Endangered
Allocasuarina grampiana,Grampians Sheoak,Endangered,Endangered
Allocasuarina luehmannii,Buloke,Critically Endangered,Critically Endangered
Allocasuarina mackliniana subsp. hirtilinea,Western Sheoak,Endangered,Endangered
Allocasuarina nana,Stunted Sheoak,Endangered,Endangered
Almaleea capitata,Slender Parrot-pea,Endangered,Endangered
Almaleea paludosa,Marsh Bush-pea,Endangered,Endangered
Althenia marina,Sea Water-mat,Critically Endangered,Critically Endangered
Althenia patentifolia,Spreading Water-mat,Endangered,Endangered
Amaranthus grandiflorus,Large-flower Amaranth,Endangered,Endangered
Amaranthus macrocarpus var. macrocarpus,Dwarf Amaranth,Endangered,Endangered
Ammannia multiflora,Jerry-jerry,Endangered,Endangered
Ammobium alatum,Winged Everlasting,Critically Endangered,Critically Endangered
Amphibromus pithogastrus,Plump Swamp Wallaby-grass,Critically Endangered,Critically Endangered
Amphibromus sinuatus,Wavy Swamp Wallaby-grass,Endangered,Endangered
Amyema linophylla subsp. orientalis,Buloke Mistletoe,Critically Endangered,Critically Endangered
Amyema pendula subsp. longifolia,Drooping Mistletoe,Critically Endangered,Critically Endangered
Androcalva rossii,Native Hemp,Critically Endangered,Critically Endangered
Androcalva tatei,Trailing Commersonia,Critically Endangered,Critically Endangered
Angianthus brachypappus,Spreading Angianthus,Endangered,Endangered
Angophora floribunda,Rough-barked Apple,Endangered,Endangered
Anoectangium bellii,Kiwi Cave-moss,Critically Endangered,Critically Endangered
Aphanopetalum resinosum,Gum Vine,Critically Endangered,Critically Endangered
Apium insulare,Island Celery,Vulnerable,Vulnerable
Argentipallium dealbatum,Silver Everlasting,Endangered,Endangered
Argyrotegium mackayi,Silver Cudweed,Endangered,Endangered
Argyrotegium poliochlorum,Grey-green Cudweed,Endangered,Endangered
Aristida holathera var. holathera,Tall Kerosene Grass,Endangered,Endangered
Aristida jerichoensis var. subspinulifera,Jericho Wire-grass,Critically Endangered,Critically Endangered
Aristida obscura,Rough-seed Wire-grass,Endangered,Endangered
Aristida personata,Purple Wire-grass,Critically Endangered,Critically Endangered
Arthropodium sp. 1 (robust glaucous),Tall Vanilla-lily,Endangered,Endangered
Asperula ambleia,Stiff Woodruff,Critically Endangered,Critically Endangered
Asperula gemella,Twin-leaf Bedstraw,Endangered,Endangered
Asperula wimmerana,Wimmera Woodruff,Endangered,Endangered
Asplenium aethiopicum,Shredded Spleenwort,Critically Endangered,Critically Endangered
Asplenium appendiculatum subsp. appendiculatum,Ground Spleenwort,Critically Endangered,Critically Endangered
Asplenium decurrens,Shore Spleenwort,Endangered,Endangered
Asplenium hookerianum,Maidenhair Spleenwort,Critically Endangered,Critically Endangered
Asplenium polyodon,Sickle Spleenwort,Extinct,Extinct
Asplenium trichomanes subsp. quadrivalens,Common Spleenwort,Endangered,Endangered
Asplenium trichomanes subsp. trichomanes,Common Spleenwort,Endangered,Endangered
Astelia australiana,Tall Astelia,Endangered,Endangered
Astelia psychrocharis,Kosciusko Pineapple-grass,Critically Endangered,Critically Endangered
Asterolasia asteriscophora subsp. albiflora,White Star-bush,Critically Endangered,Critically Endangered
Asterolasia phebalioides,Downy Star-Bush,Vulnerable,Vulnerable
Asterophora mirabilis,Grey Jockey,Endangered,Endangered
Astrotricha asperifolia subsp. 2,Bogong Star-hair,Endangered,Endangered
Astrotricha ledifolia s.s.,Common Star-hair,Vulnerable,Vulnerable
Astrotricha linearis subsp. 1,Narrow-leaf Star-hair,Endangered,Endangered
Astrotricha linearis subsp. 2,Narrow-leaf Star-hair,Endangered,Endangered
Astrotricha parvifolia subsp. 1,Small-leaf Star-hair,Critically Endangered,Critically Endangered
Astrotricha parvifolia subsp. 2,Small-leaf Star-hair,Endangered,Endangered
Astrotricha sp. 1 subsp. 1,Grampians Star-hair,Endangered,Endangered
Astrotricha sp. 1 subsp. 2,Greater Grampians Star-hair,Vulnerable,Vulnerable
Astrotricha sp. 2,Long-leaf Star-hair,Critically Endangered,Critically Endangered
Astrotricha sp. 3,Wingan Star-hair,Endangered,Endangered
Astrotricha sp. 4,Thick-leaf Star-hair,Vulnerable,Vulnerable
Astrotricha sp. 5,Wallagaraugh Star-hair,Critically Endangered,Critically Endangered
Atrichopsis australis,Alpine Smoothcap,Endangered,Endangered
Atriplex acutibractea subsp. acutibractea,Pointed Saltbush,Endangered,Endangered
Atriplex acutibractea subsp. karoniensis,Pointed Saltbush,Endangered,Endangered
Atriplex angulata,Angular Saltbush,Critically Endangered,Critically Endangered
Atriplex billardierei,Glistening Saltbush,Extinct,Extinct
Atriplex holocarpa,Pop Saltbush,Endangered,Endangered
Atriplex limbata,Spreading Saltbush,Endangered,Endangered
Atriplex lindleyi subsp. conduplicata,Baldoo,Vulnerable,Vulnerable
Atriplex nummularia subsp. omissa,Dwarf Old-man Saltbush,Endangered,Endangered
Atriplex paludosa subsp. paludosa,Marsh Saltbush,Endangered,Endangered
Atriplex papillata,Coral Saltbush,Vulnerable,Vulnerable
Atriplex rhagodioides,Silver Saltbush,Endangered,Endangered
Atriplex spinibractea,Spiny-fruit Saltbush,Endangered,Endangered
Atriplex spongiosa,Small Pop Saltbush,Critically Endangered,Critically Endangered
Atriplex turbinata,Paddle Saltbush,Critically Endangered,Critically Endangered
Australina pusilla subsp. pusilla,Small Shade-nettle,Endangered,Endangered
Australopyrum retrofractum,Comb Wheat-grass,Endangered,Endangered
Australopyrum velutinum,Mountain Wheat-grass,Vulnerable,Vulnerable
Austrobryonia micrantha,Mallee Cucumber,Endangered,Endangered
Austrostipa breviglumis,Cane Spear-grass,Endangered,Endangered
Austrostipa exilis,Heath Spear-grass,Vulnerable,Vulnerable
Austrostipa hemipogon,Half-bearded Spear-grass,Vulnerable,Vulnerable
Austrostipa macalpinei,Annual Spear-grass,Vulnerable,Vulnerable
Austrostipa mundula,Neat Spear-grass,Endangered,Endangered
Austrostipa nivicola,Alpine Spear-grass,Endangered,Endangered
Austrostipa nullanulla,Club Spear-grass,Endangered,Endangered
Austrostipa pilata,Prickly Spear-grass,Critically Endangered,Critically Endangered
Austrostipa puberula,Fine-hairy Spear-grass,Endangered,Endangered
Austrostipa rudis subsp. australis,Veined Spear-grass,Endangered,Endangered
Austrostipa tenuifolia,Long-awn Spear-grass,Endangered,Endangered
Austrostipa trichophylla,Spear-grass,Endangered,Endangered
Austrostipa tuckeri,Tucker's Spear-grass,Extinct,Extinct
Avicennia marina subsp. australasica,Grey Mangrove,Endangered,Endangered
Baeckea latifolia,Subalpine Baeckea,Endangered,Endangered
Baeckea linifolia,Swamp Baeckea,Endangered,Endangered
Ballantinia antipoda,Southern Shepherd's Purse,Critically Endangered,Critically Endangered
Banksia canei,Mountain Banksia,Critically Endangered,Critically Endangered
Banksia croajingolensis,Gippsland Banksia,Critically Endangered,Critically Endangered
Banksia saxicola,Rock Banksia,Endangered,Endangered
Barbarea grayi,Native Wintercress,Vulnerable,Vulnerable
Bartramia mossmaniana,Tall Apple-moss,Vulnerable,Vulnerable
Bartramia subsymmetrica,Bogong Apple-moss,Critically Endangered,Critically Endangered
Bauera sessiliflora,Grampians Bauera,Endangered,Endangered
Bazzania hochstetteri,Caducous Whipwort,Endangered,Endangered
Bergia ammannioides,Jerry Water-fire,Endangered,Endangered
Bergia trimera,Small Water-fire,Endangered,Endangered
Bertya cunninghamii subsp. pubiramula,Sticky Bertya,Endangered,Endangered
Bertya findlayi,Mountain Bertya,Endangered,Endangered
Bertya grampiana,Grampians Bertya,Critically Endangered,Critically Endangered
Beyeria lanceolata,Pinkwood,Endangered,Endangered
Beyeria lasiocarpa,Wallaby-bush,Vulnerable,Vulnerable
Billardiera scandens s.s.,Velvet Apple-berry,Endangered,Endangered
Blechnum deltoides,Mountain Water-fern,Critically Endangered,Critically Endangered
Boerhavia coccinea,Scarlet Spiderling,Critically Endangered,Critically Endangered
Boronia algida,Alpine Boronia,Vulnerable,Vulnerable
Boronia citrata,Lemon Boronia,Endangered,Endangered
Boronia filifolia,Slender Boronia,Endangered,Endangered
Boronia galbraithiae,Aniseed Boronia,Critically Endangered,Critically Endangered
Boronia latipinna,Grampians Boronia,Endangered,Endangered
Boronia ledifolia,Showy Boronia,Endangered,Endangered
Boronia pilosa subsp. parvidaemonis,Desert Boronia,Endangered,Endangered
Boronia pilosa subsp. torquata,Hairy Boronia,Endangered,Endangered
Borya mirabilis,Grampians Pincushion-lily,Critically Endangered,Critically Endangered
Bossiaea bracteosa,Mountain Leafless Bossiaea,Vulnerable,Vulnerable
Bossiaea cordigera,Wiry Bossiaea,Endangered,Endangered
Bossiaea ensata,Sword Bossiaea,Vulnerable,Vulnerable
Bossiaea heterophylla,Variable Bossiaea,Endangered,Endangered
Bossiaea riparia,River Leafless Bossiaea,Endangered,Endangered
Bossiaea rosmarinifolia,Grampians Bossiaea,Endangered,Endangered
Bossiaea vombata,Wombat Bossiaea,Critically Endangered,Critically Endangered
Bossiaea walkeri,Cactus Bossiaea,Endangered,Endangered
Botrychium australe,Austral Moonwort,Critically Endangered,Critically Endangered
Botrychium lunaria,Grassy Moonwort,Endangered,Endangered
Brachydontium intermedium,Bogong Bristle-leaf Moss,Critically Endangered,Critically Endangered
Brachyloma depressum,Spreading Brachyloma,Endangered,Endangered
Brachyscome barkerae,Peat Daisy,Endangered,Endangered
Brachyscome chrysoglossa,Yellow-tongue Daisy,Endangered,Endangered
Brachyscome exilis,Finger-leaved Daisy,Endangered,Endangered
Brachyscome foliosa,Mountain Daisy,Endangered,Endangered
Brachyscome gracilis subsp. gracilis,Dookie Daisy,Endangered,Endangered
Brachyscome gracilis subsp. robusta,Billabong Daisy,Critically Endangered,Critically Endangered
Brachyscome melanocarpa subsp. melanocarpa,Black-fruit Daisy,Critically Endangered,Critically Endangered
Brachyscome muelleroides,Mueller Daisy,Endangered,Endangered
Brachyscome obovata,Baw Baw Daisy,Endangered,Endangered
Brachyscome petrophila,Rock Daisy,Endangered,Endangered
Brachyscome ptychocarpa,Tiny Daisy,Endangered,Endangered
Brachyscome radicans,Marsh Daisy,Endangered,Endangered
Brachyscome readeri,Reader's Daisy,Endangered,Endangered
Brachyscome riparia,Snowy River Daisy,Endangered,Endangered
Brachyscome salkiniae,Elegant Daisy,Vulnerable,Vulnerable
Brachyscome tadgellii,Tadgell's Daisy,Endangered,Endangered
Brachyscome trachycarpa,Inland Daisy,Critically Endangered,Critically Endangered
Brachyscome walshii,Howitt Daisy,Critically Endangered,Critically Endangered
Braithwaitea sulcata,Giant Fern-moss,Extinct,Extinct
Brasenia schreberi,Water Shield,Critically Endangered,Critically Endangered
Brunoniella pumilio,Dwarf Brunoniella,Critically Endangered,Critically Endangered
Bulbine crassa,Coast Lily,Endangered,Endangered
Burnettia cuneata,Lizard Orchid,Endangered,Endangered
Caladenia aestiva,Summer Spider-orchid,Endangered,Endangered
Caladenia amoena,Charming Spider-orchid,Critically Endangered,Critically Endangered
Caladenia ampla,Dainty Spider-orchid,Critically Endangered,Critically Endangered
Caladenia ancylosa,Genoa Spider-orchid,Critically Endangered,Critically Endangered
Caladenia audasii,McIvor Spider-orchid,Critically Endangered,Critically Endangered
Caladenia aurantiaca,Orange-tip Finger-orchid,Endangered,Endangered
Caladenia bicalliata subsp. bicalliata,Limestone Ridge Spider-orchid,Endangered,Endangered
Caladenia brachyscapa,Short Spider-orchid,Extinct,Extinct
Caladenia calcicola,Limestone Spider-orchid,Critically Endangered,Critically Endangered
Caladenia clavescens,Castlemaine Spider-orchid,Critically Endangered,Critically Endangered
Caladenia colorata,Colourful Spider-orchid,Critically Endangered,Critically Endangered
Caladenia concolor,Crimson Spider-orchid,Endangered,Endangered
Caladenia cremna,Whitfield Spider-orchid,Critically Endangered,Critically Endangered
Caladenia cretacea,Stuart Mill Spider-orchid,Endangered,Endangered
Caladenia cruciformis,Red-cross Spider-orchid,Endangered,Endangered
Caladenia douglasiorum,Douglas' Spider-orchid,Critically Endangered,Critically Endangered
Caladenia fitzgeraldii,Monaro Spider-orchid,Critically Endangered,Critically Endangered
Caladenia flavovirens,Christmas Spider-orchid,Critically Endangered,Critically Endangered
Caladenia formosa,Elegant Spider-orchid,Critically Endangered,Critically Endangered
Caladenia fragrantissima,Scented Spider-orchid,Critically Endangered,Critically Endangered
Caladenia fulva,Tawny Spider-orchid,Endangered,Endangered
Caladenia grampiana,Grampians Spider-orchid,Critically Endangered,Critically Endangered
Caladenia hastata,Mellblom's Spider-orchid,Critically Endangered,Critically Endangered
Caladenia hildae,Honey Hood-orchid,Endangered,Endangered
Caladenia insularis,French Island Spider-orchid,Endangered,Endangered
Caladenia lowanensis,Wimmera Spider-orchid,Critically Endangered,Critically Endangered
Caladenia magnifica,Magnificent Spider-orchid,Extinct,Extinct
Caladenia maritima,Angahook Pink-fingers,Critically Endangered,Critically Endangered
Caladenia oenochila,Wine-lipped Spider-orchid,Critically Endangered,Critically Endangered
Caladenia orientalis,Eastern Spider-orchid,Endangered,Endangered
Caladenia ornata,Ornate Pink-fingers,Endangered,Endangered
Caladenia osmera,Pungent Spider-orchid,Endangered,Endangered
Caladenia peisleyi,Heath Spider-orchid,Endangered,Endangered
Caladenia pilotensis,Mount Pilot Spider-orchid,Critically Endangered,Critically Endangered
Caladenia pumila,Dwarf Spider-orchid,Critically Endangered,Critically Endangered
Caladenia reticulata s.s.,Veined Spider-orchid,Endangered,Endangered
Caladenia robinsonii,Frankston Spider-orchid,Critically Endangered,Critically Endangered
Caladenia rosella,Little Pink Spider-orchid,Critically Endangered,Critically Endangered
Caladenia sp. aff. fragrantissima (Central Victoria),Bendigo Spider-orchid,Critically Endangered,Critically Endangered
Caladenia sp. aff. fragrantissima (Inverleigh),Inverleigh Spider-orchid,Critically Endangered,Critically Endangered
Caladenia sp. aff. rosella (Violet Town),Violet Town Spider-orchid,Critically Endangered,Critically Endangered
Caladenia sp. aff. venusta (Kilsyth South),Kilsyth South Spider-orchid,Critically Endangered,Critically Endangered
Caladenia stricta,Upright Spider-orchid,Endangered,Endangered
Caladenia thysanochila,Fringed Spider-orchid,Extinct,Extinct
Caladenia toxochila,Bow-lip Spider-orchid,Critically Endangered,Critically Endangered
Caladenia valida,Robust Spider-orchid,Critically Endangered,Critically Endangered
Caladenia venusta,Large White Spider-orchid,Endangered,Endangered
Caladenia versicolor,Candy Spider-orchid,Endangered,Endangered
Caladenia vulgaris,Slender Pink-fingers,Vulnerable,Vulnerable
Caladenia xanthochila,Yellow-lip Spider-orchid,Endangered,Endangered
Calandrinia volubilis,Twining Purslane,Vulnerable,Vulnerable
Caleana disjuncta,Grampians Duck-orchid,Critically Endangered,Critically Endangered
Callistemon brachyandrus,Prickly Bottlebrush,Endangered,Endangered
Callistemon forresterae,Forrester's Bottlebrush,Endangered,Endangered
Callistemon genofluvialis,Genoa River Bottlebrush,Critically Endangered,Critically Endangered
Callistemon kenmorrisonii,Betka Bottlebrush,Critically Endangered,Critically Endangered
Callistemon nyallingensis,Boggy Creek Bottlebrush,Critically Endangered,Critically Endangered
Callistemon subulatus,Dwarf Bottlebrush,Endangered,Endangered
Callistemon wimmerensis,Wimmera Bottlebrush,Endangered,Endangered
Callitriche brachycarpa,Short Water-starwort,Endangered,Endangered
Callitriche umbonata,Winged Water-starwort,Endangered,Endangered
Calochilus imberbis,Naked Beard-orchid,Critically Endangered,Critically Endangered
Calochilus pulchellus,Pretty Beard-orchid,Endangered,Endangered
Calochilus richiae,Bald-tip Beard-orchid,Critically Endangered,Critically Endangered
Calomnion complanatum,Tree-fern Calomnion,Endangered,Endangered
Calorophus elongatus,Long Rope-rush,Endangered,Endangered
Calostemma luteum,Yellow Garland-lily,Endangered,Endangered
Calostemma purpureum s.s.,Garland Lily,Vulnerable,Vulnerable
Calotis anthemoides,Cut-leaf Burr-daisy,Critically Endangered,Critically Endangered
Calotis cuneifolia,Blue Burr-daisy,Endangered,Endangered
Calotis cymbacantha,Burr-daisy,Endangered,Endangered
Calotis lappulacea,Yellow Burr-daisy,Vulnerable,Vulnerable
Calotis pubescens,Mountain Burr-daisy,Critically Endangered,Critically Endangered
Calyptrochaeta brownii,Brown's Mitre-moss,Endangered,Endangered
Calystegia soldanella,Sea Bindweed,Endangered,Endangered
Cardamine astoniae,Spreading Bitter-cress,Critically Endangered,Critically Endangered
Cardamine franklinensis,Franklin Bitter-cress,Critically Endangered,Critically Endangered
Cardamine gunnii s.s.,Tuberous Bitter-cress,Extinct,Extinct
Cardamine lilacina s.s.,Lilac Bitter-cress,Endangered,Endangered
Cardamine lineariloba,Western Bitter-cress,Endangered,Endangered
Cardamine microthrix,Eastern Bitter-cress,Endangered,Endangered
Cardamine moirensis,Riverina Bitter-cress,Endangered,Endangered
Cardamine papillata,Forest Bitter-cress,Endangered,Endangered
Cardamine tryssa,Dainty Bitter-cress,Critically Endangered,Critically Endangered
Carex alsophila,Forest Sedge,Endangered,Endangered
Carex archeri,Archer's Sedge,Endangered,Endangered
Carex austrocompacta,Compact Hook-sedge,Endangered,Endangered
Carex austrosulcata,Small Hook-sedge,Critically Endangered,Critically Endangered
Carex blakei,Alpine Sedge,Endangered,Endangered
Carex canescens,Short Sedge,Endangered,Endangered
Carex capillacea,Hair Sedge,Endangered,Endangered
Carex cephalotes,Wire-head Sedge,Critically Endangered,Critically Endangered
Carex echinata,Star Sedge,Endangered,Endangered
Carex hypandra,Alpine Fen-sedge,Critically Endangered,Critically Endangered
Carex jackiana,Carpet Sedge,Endangered,Endangered
Carex nemoralis,River Hook-sedge,Endangered,Endangered
Carex paupera,Dwarf Sedge,Endangered,Endangered
Carex raleighii,Raleigh Sedge,Endangered,Endangered
Carex tasmanica,Curly Sedge,Endangered,Endangered
Carex umbricola,Forest Hook-sedge,Critically Endangered,Critically Endangered
Carpha alpina,Small Flower-rush,Endangered,Endangered
Carpha nivicola,Broad-leaf Flower-rush,Endangered,Endangered
Carpobrotus aff. rossii (N.W. Victoria),Mallee Pigface,Critically Endangered,Critically Endangered
Cassinia diminuta,Dwarf Cassinia,Endangered,Endangered
Cassinia monticola,Mountain Cassinia,Vulnerable,Vulnerable
Cassinia nivalis,Ochre Cassinia,Endangered,Endangered
Cassinia ozothamnoides,Cottony Cassinia,Endangered,Endangered
Cassinia rugata,Wrinkled Cassinia,Critically Endangered,Critically Endangered
Cassinia scabrida,Rough Cassinia,Vulnerable,Vulnerable
Cassinia tegulata,Avenue Cassinia,Critically Endangered,Critically Endangered
Cassinia venusta,Elegant Cassinia,Vulnerable,Vulnerable
Casuarina obesa,Swamp Sheoak,Critically Endangered,Critically Endangered
Celmisia costiniana,Carpet Snow-daisy,Endangered,Endangered
Celmisia latifolia,Victorian Snow-daisy,Endangered,Endangered
Celmisia sericophylla,Silky Snow-daisy,Critically Endangered,Critically Endangered
Celmisia tomentella,Silver Snow-daisy,Vulnerable,Vulnerable
Centipeda crateriformis subsp. compacta,Compact Sneezeweed,Endangered,Endangered
Centipeda crateriformis subsp. crateriformis,Lagoon Sneezeweed,Endangered,Endangered
Centipeda nidiformis,Cotton Sneezeweed,Endangered,Endangered
Centipeda pleiocephala,Tall Sneezeweed,Endangered,Endangered
Centipeda thespidioides s.s.,Desert Sneezeweed,Endangered,Endangered
Cephalomitrion aterrimum,Black Rustwort,Endangered,Endangered
Ceratogyne obionoides,Wingwort,Endangered,Endangered
Chaetospora turbinata,Top Bog-sedge,Vulnerable,Vulnerable
Cheilanthes lasiophylla,Woolly Cloak-fern,Endangered,Endangered
Chenopodium desertorum subsp. desertorum,Frosted Goosefoot,Endangered,Endangered
Chenopodium desertorum subsp. rectum,Frosted Goosefoot,Endangered,Endangered
Chenopodium erosum,Papery Goosefoot,Endangered,Endangered
Chiastocaulon biserialis,Olive Featherwort,Critically Endangered,Critically Endangered
Chiloglottis X pescottiana,Bronze Bird-orchid,Endangered,Endangered
Chiloglottis jeanesii,Mountain Bird-orchid,Vulnerable,Vulnerable
Chiloglottis seminuda,Bare-tip Wasp-orchid,Vulnerable,Vulnerable
Chloris ventricosa,Plump Windmill Grass,Endangered,Endangered
Chlorovibrissea bicolor,Two-tone Vibrissea,Endangered,Endangered
Choretrum glomeratum var. chrysanthum,Golden Sour-bush,Endangered,Endangered
Choretrum glomeratum var. glomeratum,Common Sour-bush,Endangered,Endangered
Choretrum spicatum subsp. continentale,Spiked Sour-bush,Critically Endangered,Critically Endangered
Chorizandra sphaerocephala,Roundhead Bristle-sedge,Critically Endangered,Critically Endangered
Christella dentata,Binung,Critically Endangered,Critically Endangered
Cladium procerum,Leafy Twig-sedge,Endangered,Endangered
Climacium dendroides,Marsh Tree-moss,Critically Endangered,Critically Endangered
Colobanthus affinis,Alpine Colobanth,Endangered,Endangered
Colobanthus apetalus var. apetalus,Coast Colobanth,Endangered,Endangered
Cololejeunea laevigata,Pouncewort,Endangered,Endangered
Colura pulcherrima var. bartlettii,Small Cowlwort,Endangered,Endangered
Comesperma polygaloides,Small Milkwort,Critically Endangered,Critically Endangered
Comesperma scoparium,Broom Milkwort,Endangered,Endangered
Commelina cyanea,Scurvy Weed,Critically Endangered,Critically Endangered
Commersonia breviseta,Hairy Kerrawang,Critically Endangered,Critically Endangered
Commersonia dasyphylla,Kerrawang,Critically Endangered,Critically Endangered
Commersonia prostrata,Dwarf Kerrawang,Endangered,Endangered
Conospermum taxifolium,Variable Smoke-bush,Endangered,Endangered
Convolvulus clementii,Desert Bindweed,Endangered,Endangered
Convolvulus crispifolius,Silver Bindweed,Vulnerable,Vulnerable
Convolvulus graminetinus,Grassland Bindweed,Endangered,Endangered
Coopernookia barbata,Purple Coopernookia,Vulnerable,Vulnerable
Coprosma X tadgellii,Shining Coprosma x Snow Coprosma hybrid,Critically Endangered,Critically Endangered
Coprosma moorei,Turquoise Coprosma,Endangered,Endangered
Coprosma nivalis,Snow Coprosma,Endangered,Endangered
Coprosma perpusilla subsp. perpusilla,Creeping Coprosma,Endangered,Endangered
